PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,2/8/24,4:05:09 PM,1,1,Kinsey Norton,nortoki10,,Georgia tech,Tess Cites,citeste10,Left,Villanova,,1,Top,0,0,0,Drop Ball,,BallCalled,,,,,,,63.02555881,7.027087898,3.284104281,977.2655204,6.798131606,6:15,1.479767611,0.756387923,4.718818949,-41.4573513,-8.761819741,-1.047577472,2.717503572,2.313650687,58.85039008,-4.625946715,3.374292046,0.419025381,,,,,,,,,,,,2.240406531,-12.04681506,-0.076287246,50,-0.291021499,-5.50206489,-93.77451384,16.70147954,1.948529265,17.25755185,-42.65142116,Georgia Tech,Villanova,,,,597c89db-f8a6-4dd9-9601-824288be5247,e886376c-89a9-4039-874b-bab843cf25c4,63.0752616,1.471152931,0.75827584,7.162774138,3.253767225,58.86516587,2.723347058,2.312473399,-4.503295795,3.349562734,0.418989746,-0.858535168,-10.45470164,-34.94809339,,801.0365303,-559.8110167,81.96713315,0.813908525,-0.572834102,0.097025797,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.28118243,Reese Hunter,huntere10,Georgia tech,2022-11
2,2/8/24,4:05:28 PM,1,2,Kinsey Norton,nortoki10,,Georgia tech,Tess Cites,citeste10,Left,Villanova,,1,Top,0,1,0,Drop Ball,,InPlay,,GroundBall,Out,1,0,,63.39492182,5.314644155,-0.136813708,927.5657793,13.43734129,6:30,1.981244682,0.570835603,6,-37.79635107,-6.935703057,-1.952102229,2.14169737,0.323192594,58.48357924,-5.223816844,-0.682631076,0.399828772,,,,,,,,,,,,2.23233155,-9.969657531,-0.582340577,50,0.393641162,-0.055003142,-95.06253441,14.3032372,1.992387327,17.92179222,-41.07210925,Georgia Tech,Villanova,,,,597c89db-f8a6-4dd9-9601-824288be5247,6a56e884-5e69-49c8-9b99-4882fc0cc945,63.44611389,1.974505435,0.572301411,5.432998202,-0.163034978,58.50269724,2.146741973,0.322159286,-5.115185631,-0.704914822,0.399792231,-1.786674798,-8.462307889,-38.70657267,,723.8340014,-580.0367344,78.03586738,0.75899607,-0.625332184,0.181341185,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000138,Reese Hunter,huntere10,Georgia tech,2022-11
3,2/8/24,4:05:57 PM,2,1,Kinsey Norton,nortoki10,,Georgia tech,Kelsey White,whiteke13,Right,Villanova,,1,Top,1,0,0,Fast Ball,2,BallCalled,,,,,,,64.49936289,6.353160215,1.043228499,1004.640856,18.40169081,6:30,1.541972835,0.879145375,6.553007703,-33.82803937,-5.751452472,-1.998034354,2.823958097,1.583191884,60.30839989,-3.451029521,1.469014902,0.387254572,,,,,,,,,,,,2.741911849,-9.028966007,-0.610125694,50,-0.356266273,-2.071702014,-96.6056928,16.22865811,2.531053865,18.30527301,-40.50867176,Georgia Tech,Villanova,,,,597c89db-f8a6-4dd9-9601-824288be5247,1f12c30e-4748-4e12-b96b-1953ea804896,64.55836381,1.53632265,0.880752009,6.454126875,1.013900042,60.34038396,2.828481238,1.58205906,-3.352315807,1.444388518,0.38720832,-1.818003354,-7.079245154,-49.85696251,,647.6899601,-767.9850029,64.46980096,0.611732471,-0.764437359,0.203516358,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.44699367,Reese Hunter,huntere10,Georgia tech,2022-11
4,2/8/24,4:06:16 PM,2,2,Kinsey Norton,nortoki10,,Georgia tech,Kelsey White,whiteke13,Right,Villanova,,1,Top,1,1,0,Rise Ball,,Foul,,,,,,,60.45694266,5.3491202,-0.919376384,1196.612867,90.00210556,9:00,1.858780276,0.687819971,6,-32.2839735,1.689192649,-5.538273794,2.500615039,-0.344727224,55.64487646,-3.65752253,-2.467237572,0.419507311,,,,,,,,,,,,6.143284059,0.07284939,-0.841068895,50,0.318649577,0.692807267,-90.66327963,12.932623,4.980962673,16.4524352,-32.11498344,Georgia Tech,Villanova,,,,597c89db-f8a6-4dd9-9601-824288be5247,523c9f05-4ba3-438f-b7eb-b1159f558840,60.54709894,1.854392805,0.688830366,5.426217399,-0.937714427,55.70531943,2.50435157,-0.345402338,-3.576664156,-2.481634433,0.419420287,-5.42179871,0.273634772,-62.68564975,,549.0922514,-1063.193328,45.88720937,-1.69E-05,-0.888502336,0.458872093,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000138,Reese Hunter,huntere10,Georgia tech,2022-11
5,2/8/24,4:06:39 PM,2,3,Kinsey Norton,nortoki10,,Georgia tech,Kelsey White,whiteke13,Right,Villanova,,1,Top,1,1,1,Rise Ball,,Foul,,,,,,,59.99221186,4.925558734,-0.077748761,1220.118175,100.2537353,9:15,1.500009943,1.027443385,5.545651947,-31.30050899,2.464064706,-5.866092041,2.17803749,0.480782193,56.48745055,-3.828047768,-0.949693958,0.427971927,,,,,,,,,,,,6.734926957,1.307690794,-0.990600224,50,0.122082056,-0.640549329,-89.94643065,11.95263963,5.376203453,16.15928898,-31.13017609,Georgia Tech,Villanova,,,,597c89db-f8a6-4dd9-9601-824288be5247,e4e10ba0-f9cf-462f-be9a-1c9e6b90e913,60.08449742,1.495605217,1.028394352,4.998474382,-0.093986579,56.55275991,2.181622348,0.480267122,-3.75142625,-0.960534907,0.4278707,-5.772374776,1.088152811,-61.6285686,,579.7825073,-1073.564439,47.51855346,-0.084586683,-0.879885622,0.467596391,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.45434943,Reese Hunter,huntere10,Georgia tech,2022-11
6,2/8/24,4:07:06 PM,2,4,Kinsey Norton,nortoki10,,Georgia tech,Kelsey White,whiteke13,Right,Villanova,,1,Top,1,1,2,Change Up,,BallCalled,,,,,,,56.55755453,2.8184584,-0.260043022,819.6970011,13.74397569,6:30,1.544171405,0.775536512,6.557720236,-44.12034201,-6.734150176,-1.638918721,-0.408156839,0.479991357,52.79125252,-9.629343696,-0.725919781,0.440075446,,,,,,,,,,,,1.878970133,-9.127290982,-0.818718531,50,0.382671924,0.159348469,-85.2397969,10.32153131,1.34319094,14.81507876,-38.69873795,Georgia Tech,Villanova,,,,597c89db-f8a6-4dd9-9601-824288be5247,bbb9cbb0-c325-4a2f-9028-d4fc7f48f34e,56.58476253,1.537518789,0.772910624,2.939250419,-0.212025162,52.78830513,-0.401989284,0.48234442,-9.507542111,-0.678257887,0.440049522,-1.931424187,-8.477934351,36.79946304,,656.3617023,491.0116999,80.07369814,0.777809524,0.599016099,0.190242103,,,,,,,,,,,,,,,,,1,1,,,high,medium,,,36.44228114,Reese Hunter,huntere10,Georgia tech,2022-11
7,2/8/24,4:07:27 PM,2,5,Kinsey Norton,nortoki10,,Georgia tech,Kelsey White,whiteke13,Right,Villanova,,1,Top,1,2,2,Rise Ball,,InPlay,,FlyBall,Out,1,0,,59.72299154,6.356166281,-1.742859705,1284.903436,86.47239188,9:00,1.644006261,0.788014231,6.973697885,-31.42723146,1.165686219,-5.674518515,3.005118999,-0.303504766,55.27092922,-2.877483269,-2.204317028,0.413627018,55.13406552,39.63969512,-26.20013219,1072.014176,-54.18361012,95.72949594,41.86353025,167.626729,,-30.75154419,3.496143377,6.34038665,-0.587923509,-1.144260594,50,-0.299503113,1.854228221,-89.57208051,14.8629537,5.013563107,16.1569515,-32.63894105,Georgia Tech,Villanova,,,,597c89db-f8a6-4dd9-9601-824288be5247,5fee1aa0-70df-44ba-98a1-e41eeaffbb74,59.80381861,1.640090157,0.788834792,6.428488395,-1.758575208,55.32631014,3.008677537,-0.304071217,-2.79792327,-2.216787959,0.413543891,-5.57285545,-0.177564693,-60.50161392,,632.6852123,-1118.340852,49.23990353,0.03029706,-0.870369571,0.49146607,-18.74517669,38.09500739,35.17319923,0.225510831,1.784998162,3.122505635,-85.71027013,144.0571757,-17.67245468,3.722299997,0.440437631,0.93201422,0.043799521,0.359765335,,,1,1,1,27.5625025,high,high,,,36.02630349,Reese Hunter,huntere10,Georgia tech,2022-11
8,2/8/24,4:07:57 PM,3,1,Kinsey Norton,nortoki10,,Georgia tech,Chloe Smith,smithch11,Right,Villanova,,1,Top,2,0,0,Drop Ball,,BallCalled,,,,,,,65.13804284,6.632862868,0.038765593,940.7712435,17.30043985,6:30,1.6569385,1.016581611,6.458000502,-34.71821033,-6.361946813,-2.088214341,3.068000227,1.204996658,60.15785753,-3.434544566,1.004123176,0.384674624,,,,,,,,,,,,2.458720535,-9.746214632,-0.984973566,50,-0.29134731,-0.387673103,-97.50354061,16.81827476,2.312197229,18.63670265,-41.33945498,Georgia Tech,Villanova,,,,597c89db-f8a6-4dd9-9601-824288be5247,46a20d08-e2d9-4867-bff8-eabe8d64e01d,65.19616135,1.651072942,1.017925081,6.736385044,0.014460081,60.18609121,3.072645704,1.204062308,-3.332818139,0.983747502,0.384631637,-1.937717179,-7.723381718,-43.20982407,,685.6822856,-644.1198148,72.88512381,0.695876927,-0.684672091,0.216747387,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.54200087,Reese Hunter,huntere10,Georgia tech,2022-11
9,2/8/24,4:08:17 PM,3,2,Kinsey Norton,nortoki10,,Georgia tech,Chloe Smith,smithch11,Right,Villanova,,1,Top,2,1,0,Drop Ball,,BallCalled,,,,,,,63.92121179,3.736532408,1.835545173,926.5591784,10.43341736,6:15,1.494844256,1.075838382,6.436443337,-35.79994089,-6.524336616,-1.596918644,0.8272953,2.135384156,59.51944328,-6.936893187,1.725312798,0.390974627,,,,,,,,,,,,2.473409946,-9.119471985,-0.628536033,50,0.222440521,-3.316066788,-96.11960875,11.84732695,2.254661542,18.45772865,-40.48699537,Georgia Tech,Villanova,,,,597c89db-f8a6-4dd9-9601-824288be5247,392aa747-16f6-4fb9-9ab7-fba3c8ecd949,63.96875807,1.488726196,1.077428175,3.843472127,1.807457684,59.53827744,0.831988506,2.134271135,-6.835249291,1.701014629,0.390934107,-1.42254822,-7.965205285,-43.88076972,,667.84884,-642.2537178,72.0783794,0.708866367,-0.693159954,0.130528738,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.56355804,Reese Hunter,huntere10,Georgia tech,2022-11
10,2/8/24,4:08:38 PM,3,3,Kinsey Norton,nortoki10,,Georgia tech,Chloe Smith,smithch11,Right,Villanova,,1,Top,2,2,0,Fast Ball,2,StrikeCalled,,,,,,,64.33377172,6.801619433,-1.233200737,1058.37046,13.84535372,6:30,1.529904973,0.710677729,6.310916247,-35.20546823,-6.513077733,-1.718261034,2.943223238,-0.387672683,60.04953197,-3.500400189,-1.606473218,0.391430364,,,,,,,,,,,,1.565200446,-10.17641158,-0.97928821,50,-0.444509563,1.815510947,-96.21974237,16.99170699,1.433053245,18.18379108,-41.49128411,Georgia Tech,Villanova,,,,597c89db-f8a6-4dd9-9601-824288be5247,da58e471-a4c0-4846-808f-4b529d7f029a,64.38934059,1.523833884,0.712401661,6.9094242,-1.264555052,60.077331,2.948027951,-0.388917384,-3.396248452,-1.633342146,0.391390107,-1.522168161,-7.90943529,-44.04844621,,760.7060681,-735.8493794,71.87521729,0.697868943,-0.695266362,0.171998908,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.68908513,Reese Hunter,huntere10,Georgia tech,2022-11
