PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,2/9/24,4:04:45 PM,1,1,Sophia Voyles,voyleso10,,Georgia tech,Jenna Johnson,johnsje10,Right,Alabama,,1,Top,0,0,0,Curve Ball,2,BallCalled,,,,,,,60.29661923,3.901987783,0.670168592,1551.471292,115.2392624,9:45,1.849446509,0.461019501,5.503102393,-28.40694818,5.83776318,-7.405768219,2.316044776,-1.488117068,56.25158076,-3.086064801,-5.283904429,0.425713999,,,,,,,,,,,,8.875813964,4.343229685,-0.246394422,50,0.726934442,-2.036061862,-90.50598898,10.02814964,7.176656234,16.31020098,-28.66227404,Georgia Tech,Alabama,,,,e36a9c1f-cd0a-41dc-a893-ceab1fe02559,343a2c7c-adb2-4286-8284-4ba1ac5f118f,60.39209738,1.845843102,0.461105806,3.961824711,0.668539754,56.32760463,2.318842504,-1.48795475,-3.02519663,-5.280352874,0.425605817,-7.411449509,4.454852876,-53.79369437,,916.4455072,-1251.874915,59.06944664,-0.251871667,-0.806895314,0.534303861,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.49689898,Reese Hunter,huntere10,Georgia tech,2022-11
2,2/9/24,4:05:04 PM,1,2,Sophia Voyles,voyleso10,,Georgia tech,Jenna Johnson,johnsje10,Right,Alabama,,1,Top,0,1,0,Curve Ball,2,Foul,,,,,,,61.52943965,2.69829746,5.798258037,1462.291144,121.939858,10:00,1.926045932,0.445050477,6.460003137,-26.21210407,4.628887741,-5.485439086,1.972593359,0.5481471,57.66866385,-3.824659322,-0.83236091,0.406759812,44.5321241,30.0208151,51.30779371,2264.371305,91.63673454,60.84988806,1.876621475,112.5638426,,56.56308502,2.310336345,8.948040659,3.455811711,0.986003978,50,0.976036044,-10.22099514,-92.10863865,8.582461549,7.524116872,16.38743877,-29.26816972,Georgia Tech,Alabama,,,,e36a9c1f-cd0a-41dc-a893-ceab1fe02559,00e669a5-011b-4094-b507-de6ee80d41d2,61.61609144,1.922790457,0.44576038,2.756548453,5.785251561,57.73990732,1.975154706,0.547808535,-3.767643985,-0.839732066,0.406666059,-5.418346779,3.487396223,-60.17580866,,727.2563093,-1268.618796,49.73402952,-0.263107338,-0.867555549,0.4220449,30.09500474,24.10392479,22.28007129,-0.278144272,1.69947778,2.130677753,93.93374118,62.02476063,14.96195223,-2.786784071,0.17888777,0.429503775,-0.525209246,-0.734630353,,,1,1,1,16.92502361,high,high,,,36.53999824,Reese Hunter,huntere10,Georgia tech,2022-11
3,2/9/24,4:05:27 PM,1,3,Sophia Voyles,voyleso10,,Georgia tech,Jenna Johnson,johnsje10,Right,Alabama,,1,Top,0,1,1,Curve Ball,2,InPlay,,LineDrive,Single,0,0,,63.76116838,5.203111271,-3.575627681,1555.447195,114.0646409,9:45,1.862089545,0.83177797,5.132517839,-28.62290888,4.69901434,-6.306147122,3.066238493,-0.438390236,57.40995776,-2.266601594,-2.474358571,0.408946695,69.25320045,25.1535061,-21.45004557,763.3304919,-46.91393362,99.49413462,30.52692636,200.5130228,,-28.9161477,2.800788876,5.759051775,3.970593629,-1.537493223,50,0.531600639,5.144954538,-95.35485362,12.16937167,5.147075295,18.66427602,-28.62538478,Georgia Tech,Alabama,,,,e36a9c1f-cd0a-41dc-a893-ceab1fe02559,7e1fd666-294e-4e76-985c-4586647576b5,63.87180712,1.85884066,0.832110402,5.254227354,-3.581177687,57.48930896,3.069269211,-0.438672641,-2.201915034,-2.480186334,0.40883382,-6.245376814,3.367626549,-59.25061403,,795.2750583,-1336.769823,51.12838679,-0.208484711,-0.859411896,0.46684614,-22.92366397,58.34423511,29.43572036,0.304390221,1.855749911,3.180523498,-96.95388081,175.5147211,-28.93991897,0.118085771,0.245758715,0.461082662,-0.088005508,0.882982338,,,1,1,1,39.07672317,high,high,,,37.86748354,Reese Hunter,huntere10,Georgia tech,2022-11
4,2/9/24,4:05:59 PM,2,1,Sophia Voyles,voyleso10,,Georgia tech,Kenleigh Cahalan,cahalke10,Left,Alabama,,1,Top,0,0,0,Screw Ball,2,BallCalled,,,,,,,65.41406697,3.849433751,-1.196160736,1311.276792,107.231557,9:30,1.796249547,0.635625771,5.723740038,-28.00449452,2.491111903,-4.26378567,2.131686736,1.077386371,59.12327037,-3.332347428,-0.177164145,0.390054559,,,,,,,,,,,,4.528759309,1.950638568,-0.860714048,50,0.690142535,1.432633411,-98.23874699,10.41892702,4.310971534,19.32304058,-30.31721711,Georgia Tech,Alabama,,,,e36a9c1f-cd0a-41dc-a893-ceab1fe02559,d6862da2-8f58-41ab-8be4-e327c5c002d8,65.51142254,1.793044047,0.636648984,3.904443228,-1.214213062,59.19440803,2.13473997,1.076553855,-3.265744075,-0.195065213,0.38996154,-4.121931779,1.276649835,-68.94966265,,470.994889,-1223.769031,35.91880004,-0.106403751,-0.933265225,0.343065972,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.27626134,Reese Hunter,huntere10,Georgia tech,2022-11
5,2/9/24,4:06:18 PM,2,2,Sophia Voyles,voyleso10,,Georgia tech,Kenleigh Cahalan,cahalke10,Left,Alabama,,1,Top,0,1,0,Screw Ball,2,BallCalled,,,,,,,65.06307723,5.923157716,-1.066952654,1403.694837,96.06802576,9:15,1.827279099,0.671876765,6,-28.48380962,1.561633363,-4.279819571,3.530511736,0.656877344,59.03910514,-1.261907702,0.09787044,0.390235845,,,,,,,,,,,,4.738123402,0.25639325,-0.870200955,50,0.204704249,1.167381729,-97.47376899,14.16339905,4.439644351,19.04369907,-31.93380788,Georgia Tech,Alabama,,,,e36a9c1f-cd0a-41dc-a893-ceab1fe02559,b7c4cbc0-4f38-4409-827f-7f670053bd2f,65.16077668,1.823771163,0.672985434,5.983326629,-1.08670434,59.1100893,3.533736301,0.656004278,-1.191260125,0.079086511,0.390145519,-4.130577617,0.338545012,-67.85892838,,529.0361956,-1300.184564,37.68883247,-0.039840548,-0.926258706,0.374776654,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000138,Reese Hunter,huntere10,Georgia tech,2022-11
6,2/9/24,4:06:39 PM,2,3,Sophia Voyles,voyleso10,,Georgia tech,Kenleigh Cahalan,cahalke10,Left,Alabama,,1,Top,0,2,0,Curve Ball,2,InPlay,,FlyBall,Out,1,0,,62.89785493,4.85672751,-1.948556873,1548.835241,109.0058096,9:45,1.764199297,0.899732928,4.470513864,-30.54321268,4.378082663,-7.269802032,2.726710124,-0.094450774,57.07849884,-2.786199258,-2.395440223,0.421389026,63.13078017,42.7265714,0.107796871,2581.205444,-11.45937345,109.4014751,65.873284,201.7003781,,-9.274957011,4.298363274,7.216865029,3.279413843,-1.237469096,50,0.57753608,2.34972147,-94.08692667,11.42713083,6.287775739,18.00352416,-29.31682298,Georgia Tech,Alabama,,,,e36a9c1f-cd0a-41dc-a893-ceab1fe02559,a44b6030-b6fa-40bc-9180-9c9b72130065,63.00612904,1.760209292,0.899928278,4.91819497,-1.951841185,57.15582273,2.730122246,-0.094569863,-2.714594158,-2.397794151,0.421273401,-7.231246431,2.934414696,-57.25944868,,837.6654852,-1302.769028,54.08357603,-0.176130751,-0.841128219,0.511352401,0.087251992,46.37578991,42.83426085,0.062899516,1.921228422,3.003712799,-32.50854778,199.0633991,-32.9204272,8.435981919,0.700191274,0.84146727,-0.252431452,0.477714554,,,1,1,1,33.57629306,high,high,,,38.52948751,Reese Hunter,huntere10,Georgia tech,2022-11
7,2/9/24,4:07:09 PM,3,1,Sophia Voyles,voyleso10,,Georgia tech,Abby Duchscherer,duchsab10,Right,Alabama,,1,Top,1,0,0,Curve Ball,6,BallCalled,,,,,,,64.80435224,3.694173228,0.177405733,1496.417498,121.5510155,10:00,1.474816548,0.794182345,-0.319977434,-34.84531008,7.021769403,-8.020067761,1.528300705,0.327527889,58.61374411,-4.247942663,-1.54775894,0.46280259,,,,,,,,,,,,6.970490707,4.696055169,-0.758101512,50,0.978216183,-0.737959697,-96.15006058,8.075128893,6.351511763,18.60808864,-27.89500369,Georgia Tech,Alabama,,,,e36a9c1f-cd0a-41dc-a893-ceab1fe02559,9eeb3f00-328d-4945-842d-5e950e2039b0,64.94827385,1.469735433,0.794754284,3.760409843,0.169500671,58.7174924,1.532408706,0.327267021,-4.169979796,-1.55248721,0.462634603,-7.950969277,5.195451094,-59.05181727,,769.5516276,-1283.376648,51.42626498,-0.269091808,-0.857632746,0.438241568,,,,,,,,,,,,,,,,,1,1,,,high,high,,,43.31997881,Reese Hunter,huntere10,Georgia tech,2022-11
8,2/9/24,4:07:30 PM,3,2,Sophia Voyles,voyleso10,,Georgia tech,Abby Duchscherer,duchsab10,Right,Alabama,,1,Top,1,1,0,Curve Ball,6,InPlay,,Popup,Out,1,0,,62.83273108,5.376941682,-0.550580245,1631.142154,116.8261868,10:00,1.904761049,0.558773368,5.529080141,-27.30669755,5.25358006,-6.322182786,3.228607054,-0.67928976,57.48045595,-1.87911473,-3.270309965,0.409289568,38.67285116,48.25822864,-28.06194438,1577.896854,,,,91.3461072,,-28.7855062,2.781120475,7.046469092,3.773610117,-0.621689464,50,0.478371409,0.051859161,-94.15249479,12.52814269,6.155878745,17.86072119,-28.87737915,Georgia Tech,Alabama,,,,e36a9c1f-cd0a-41dc-a893-ceab1fe02559,bc06c488-acec-4852-ad40-0a5118956ad9,62.93826561,1.901543173,0.559153674,5.429219065,-0.55710563,57.56002914,3.231324666,-0.679457247,-1.820317912,-3.273762852,0.409180349,-6.278215494,3.966570323,-58.02640257,,863.7361106,-1383.685172,52.95284097,-0.238968465,-0.848292204,0.472540379,-12.11224246,22.72052198,28.85586388,0.547606626,2.625119118,3.376864867,-43.98607225,80.05833341,-3.467576971,0.567443677,0.150895709,0.964545359,-0.26066093,-0.041329528,,,1,1,1,12.96957002,high,high,,,37.47092124,Reese Hunter,huntere10,Georgia tech,2022-11
9,2/9/24,4:07:59 PM,4,1,Sophia Voyles,voyleso10,,Georgia tech,Bailey Dowling,dowliba10,Right,Alabama,,1,Top,2,0,0,Rise Ball,2,Foul,,,,,,,60.94326854,5.322266554,0.982611943,1731.072039,139.1258964,10:45,1.790642296,0.382802363,5.457865349,-27.05357468,7.726505004,-5.114497782,3.345215678,0.695880756,55.64524418,-1.298116703,0.284122277,0.422755212,,,,,,,,,,,,6.322321479,7.002543012,-0.12223997,50,0.392470797,-2.244414584,-91.29475159,11.94217631,5.196509708,16.71217328,-26.41844496,Georgia Tech,Alabama,,,,e36a9c1f-cd0a-41dc-a893-ceab1fe02559,49c9f132-5e01-4226-b99c-2d9fd3c7bd3f,61.05697445,1.788382071,0.383483033,5.358386818,0.971058337,55.73475106,3.347429609,0.695412318,-1.249836692,0.274243105,0.422626462,-5.026198773,6.49036604,-54.20777403,,1012.413354,-1404.147287,58.48476156,-0.442232127,-0.811143185,0.382723764,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.54213603,Reese Hunter,huntere10,Georgia tech,2022-11
10,2/9/24,4:08:23 PM,4,2,Sophia Voyles,voyleso10,,Georgia tech,Bailey Dowling,dowliba10,Right,Alabama,,1,Top,2,0,1,Rise Ball,3,Foul,,,,,,,60.39529634,4.748743501,2.041042903,2013.40689,136.8554424,10:30,1.835161239,0.409711355,4.598728964,-28.69978877,8.247608856,-5.987443419,3.116917866,0.811026185,55.23142908,-1.726803741,0.147211222,0.436781452,,,,,,,,,,,,7.518538091,7.165488032,0.049876641,50,0.659578076,-3.93081337,-90.32830951,10.76344717,6.056210821,16.22962535,-26.40222192,Georgia Tech,Alabama,,,,e36a9c1f-cd0a-41dc-a893-ceab1fe02559,82355847-ad51-4bf5-a18b-16bcc81786db,60.51050652,1.832534507,0.41039321,4.790317747,2.029711289,55.32366179,3.119358469,0.81059569,-1.674328042,0.138272332,0.4366455,-5.901487349,6.905148456,-54.1457053,,1179.304737,-1631.88469,58.57259867,-0.427363656,-0.810509142,0.400543677,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.40127241,Reese Hunter,huntere10,Georgia tech,2022-11
