PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,2/11/24,1:48:28 PM,1,1,Blake Neleman,nelembl10,,Georgia tech,Lauren Fox,fox--la10,Left,Longwood,,1,Top,0,0,0,Curve Ball,2,StrikeCalled,,,,,,,64.40459634,2.698536348,-0.457502964,1257.199424,81.96259045,8:45,2.010210763,1.229079406,4.048468097,-31.56788011,0.968425693,-3.737322263,1.469822196,0.811512103,59.94199753,-5.221172668,-0.960229598,0.414802271,,,,,,,,,,,,3.914706961,0.195541359,-1.292199577,50,1.280906524,0.336983407,-96.50914613,8.151409803,3.596896504,18.62939584,-31.994383,Georgia Tech,Longwood,,,,6cf3748d-526c-4bf0-99c4-84c418c83c3c,7c044198-0537-4f92-a9de-af527a24c7a5,64.49998105,2.005576747,1.231012023,2.773243741,-0.489336472,60.01090676,1.473653447,0.810191038,-5.14161652,-0.987429565,0.414703863,-3.522193917,-0.448109542,-74.95680574,,326.3025328,-1214.115747,25.95471543,0.036289789,-0.965730436,0.25699762,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.95153328,Reese Hunter,huntere10,Georgia tech,2022-11
2,2/11/24,1:48:45 PM,1,2,Blake Neleman,nelembl10,,Georgia tech,Lauren Fox,fox--la10,Left,Longwood,,1,Top,0,0,1,Curve Ball,2,StrikeCalled,,,,,,,65.12034334,3.838086111,-2.512002285,1268.753063,33.24328797,7:00,1.848235659,1.533955414,2.755052064,-36.54671491,-2.226432912,-2.824679482,1.820085153,-0.04574379,60.29002375,-4.773129207,-2.769191271,0.425976512,,,,,,,,,,,,2.102621652,-3.453900498,-1.947565986,50,1.017692177,3.978393192,-97.13424788,9.982496525,1.954799048,19.02846746,-35.38512724,Georgia Tech,Longwood,,,,6cf3748d-526c-4bf0-99c4-84c418c83c3c,dd1c3274-a833-4585-9d37-285079a63164,65.21516282,1.841500843,1.536959239,3.937556383,-2.557370075,60.35141855,1.825035004,-0.047682798,-4.673721648,-2.807797265,0.425884027,-2.510888968,-3.902489356,-69.4331416,,445.7131218,-1187.886421,35.13001345,0.293810001,-0.936262899,0.192581068,,,,,,,,,,,,,,,,,1,1,,,high,high,,,40.24494931,Reese Hunter,huntere10,Georgia tech,2022-11
3,2/11/24,1:49:09 PM,1,3,Blake Neleman,nelembl10,,Georgia tech,Lauren Fox,fox--la10,Left,Longwood,,1,Top,0,0,2,Rise Ball,5,Foul,,,,,,,65.54027671,6.093293317,-0.207912496,1167.940216,87.09890186,9:00,2.042724801,0.343506421,6,-27.86235553,1.098015679,-1.768476327,3.955185589,-0.477558867,61.3355443,-0.993127188,-1.627883522,0.379775039,51.15551083,31.90534641,-48.16150228,,-80.04753994,75.44793801,13.88074948,130.8049271,,-46.92772939,2.405014833,1.545106025,-0.766987204,-0.629208118,50,0.446701552,1.773535437,-100.1067947,15.28135012,1.528548449,19.94246022,-32.93281765,Georgia Tech,Longwood,,,,6cf3748d-526c-4bf0-99c4-84c418c83c3c,d8029cff-7703-43c4-8be9-86e8ea61077a,65.6352398,2.039488546,0.345341631,6.151980926,-0.242144657,61.411179,3.958053358,-0.478923847,-0.930092786,-1.657427818,0.379691624,-1.555781199,-0.040220749,-79.09258237,,221.0006325,-1146.840472,18.92225556,0.009576947,-0.981934226,0.188980046,-32.35437309,28.96728987,27.03658536,0.565340305,2.425388582,3.424649201,-95.55206721,89.32934237,,,,,,,,,1,0,,21.62331681,high,high,,,37.00000138,Reese Hunter,huntere10,Georgia tech,2022-11
4,2/11/24,1:49:57 PM,1,4,Blake Neleman,nelembl10,,Georgia tech,Lauren Fox,fox--la10,Left,Longwood,,1,Top,0,0,2,Screw Ball,2,BallCalled,,,,,,,65.07291574,2.948929504,2.811348708,1221.105119,106.7767944,9:30,1.874258078,0.40594969,6,-26.5959705,1.63954234,-3.438570135,1.823953003,1.752349886,61.08458164,-3.909290986,1.993849832,0.388733721,,,,,,,,,,,,5.171061137,0.931086537,0.268365784,50,0.928437924,-5.332846339,-97.73859302,9.127263573,4.882272074,18.84408807,-31.29496159,Georgia Tech,Longwood,,,,6cf3748d-526c-4bf0-99c4-84c418c83c3c,f5b3af62-3d05-42ab-af6f-cd12c91bad39,65.16005632,1.871087774,0.407184139,3.007745206,2.788014829,61.15361022,1.826891463,1.751422109,-3.845148573,1.973862426,0.388648833,-3.283965508,0.519579689,-72.89208803,,359.2152976,-1167.074154,29.41722969,-0.084911082,-0.955752405,0.281651289,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000138,Reese Hunter,huntere10,Georgia tech,2022-11
5,2/11/24,1:50:14 PM,1,5,Blake Neleman,nelembl10,,Georgia tech,Lauren Fox,fox--la10,Left,Longwood,,1,Top,0,1,2,Curve Ball,2,Foul,,,,,,,64.60819594,6.292185212,-1.916196573,1129.06743,52.37086491,7:45,2.053492941,1.470961671,4.335542139,-33.73758475,-1.798989628,-4.382687647,3.904750637,-0.571468106,59.95230759,-1.88307151,-3.857037782,0.412490814,,,,,,,,,,,,4.23076851,-4.334989663,-1.818366425,50,0.561444777,2.688404232,-96.34856337,14.68711863,3.873533426,18.59682097,-36.143004,Georgia Tech,Longwood,,,,6cf3748d-526c-4bf0-99c4-84c418c83c3c,b876f386-21bd-4667-a27d-4e63da90d1e5,64.69818583,2.047656509,1.472471835,6.385593463,-1.941089726,60.01535475,3.909281588,-0.572471969,-1.789156239,-3.877541065,0.412408481,-4.215998879,-3.305885972,-61.15935607,,544.6340939,-989.0232377,48.23751705,0.29451318,-0.875964722,0.38203114,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.66445924,Reese Hunter,huntere10,Georgia tech,2022-11
6,2/11/24,1:50:35 PM,1,6,Blake Neleman,nelembl10,,Georgia tech,Lauren Fox,fox--la10,Left,Longwood,,1,Top,0,1,2,Change up,2,BallCalled,,,,,,,54.78976197,11.62758886,-0.967073172,750.5084303,17.79501558,6:30,1.796628182,0.964841856,4.21098117,-57.09340756,-9.222815704,-3.636755056,4.951616482,0.865313547,49.20521552,-3.901653524,0.104347042,0.494213448,,,,,,,,,,,,3.517579445,-13.89680252,-1.129592901,50,-0.892990139,1.010365811,-80.45300905,21.98562691,2.257687331,12.45683341,-41.09343165,Georgia Tech,Longwood,,,,6cf3748d-526c-4bf0-99c4-84c418c83c3c,729c768f-d6e3-48ad-a49e-6c8a8b1f1232,54.83317079,1.785851274,0.963224887,11.79835987,-0.940290622,49.1976703,4.959273024,0.866582314,-3.742725463,0.130767161,0.494202197,-3.842202461,-11.48790987,4.899472344,,747.7661346,64.09923505,99.63460827,0.948676884,0.085407748,0.304495791,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.78902021,Reese Hunter,huntere10,Georgia tech,2022-11
7,2/11/24,1:50:54 PM,1,7,Blake Neleman,nelembl10,,Georgia tech,Lauren Fox,fox--la10,Left,Longwood,,1,Top,0,2,2,Fast Ball,2,BallCalled,,,,,,,64.50081567,1.433270515,-1.097352778,1302.377056,72.36094667,8:30,1.897877315,0.431033808,6,-28.15660453,0.445667495,-3.699010948,0.940361971,-0.614599036,60.80515263,-5.560401772,-2.293278611,0.391662808,,,,,,,,,,,,4.191541509,-0.030788556,-0.640843311,50,1.280634459,1.282283934,-97.11876786,6.734448983,3.898928696,18.90558571,-32.20268878,Georgia Tech,Longwood,,,,6cf3748d-526c-4bf0-99c4-84c418c83c3c,2154d01f-dfed-46e4-a6ac-484abdbdeb2b,64.57838224,1.894183392,0.432412372,1.501442618,-1.123232841,60.86481175,0.943630425,-0.615629926,-5.489270314,-2.315527385,0.391586379,-3.526909196,-0.774312331,-73.52541738,,369.3410534,-1248.908796,28.35899571,0.085933294,-0.958945638,0.27025679,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000138,Reese Hunter,huntere10,Georgia tech,2022-11
8,2/11/24,1:51:16 PM,1,8,Blake Neleman,nelembl10,,Georgia tech,Lauren Fox,fox--la10,Left,Longwood,,1,Top,0,3,2,Curve Ball,2,InPlay,,LineDrive,Single,0,0,,65.54183946,4.049327744,0.081171528,1322.439294,70.72878019,8:15,1.994083717,0.447017566,6,-28.920367,-0.144319222,-3.809234955,2.648341941,-0.116228969,60.43132626,-3.009231992,-1.692500251,0.385953326,59.31701124,13.68838125,-19.70456666,1556.553439,-44.79524996,100.4658429,4.22220369,123.3628595,,-24.7693041,1.62058156,3.989221952,-1.704235989,-0.726336049,50,0.501319913,0.628416089,-98.50090393,12.91573773,3.821121898,19.29848478,-33.80647153,Georgia Tech,Longwood,,,,6cf3748d-526c-4bf0-99c4-84c418c83c3c,793aa978-ea62-4ee4-8f2a-faea5fb00dc6,65.62468057,1.990344377,0.448341761,4.118421027,0.056171159,60.49492657,2.651785093,-0.117302838,-2.934497132,-1.715497614,0.385876896,-3.653516015,-1.334671675,-71.07799729,,428.8415391,-1250.975868,32.42806992,0.10702569,-0.945960902,0.306110231,-19.43187863,54.25750564,14.03684428,-0.226469114,5.143334273,2.94860542,-51.68480497,112.0137314,-16.42782344,9.777816831,0.244221778,0.485040238,0.069446054,0.871730012,,,1,0,1,30.98024445,high,high,,,37.00000138,Reese Hunter,huntere10,Georgia tech,2022-11
9,2/11/24,1:52:18 PM,3,2,Blake Neleman,nelembl10,,Georgia tech,Kayley Devivi,devivka10,Left,Longwood,,1,Top,0,0,1,Screw Ball,2,StrikeCalled,,,,,,,65.37812389,3.821515907,0.853413095,1275.81516,80.77117745,8:45,1.900731133,0.654197754,3.872221706,-30.83785832,0.779390607,-4.200984411,2.32578079,0.201088852,60.95027431,-3.574880205,-1.224352508,0.411023339,,,,,,,,,,,,4.926822375,-0.749337713,-0.464655374,50,0.974774581,-1.947862425,-97.80507099,10.08643268,4.652034204,19.04898827,-32.8815938,Georgia Tech,Longwood,,,,6cf3748d-526c-4bf0-99c4-84c418c83c3c,d36d8731-0bd3-4fe0-85c3-0ab22044a384,65.47658222,1.895871153,0.655871016,3.89893311,0.82604737,61.02379299,2.329600772,0.199999232,-3.495869414,-1.246576271,0.410925504,-4.018183257,-0.620905403,-71.42729948,,406.3569309,-1209.371062,31.85076833,0.051081544,-0.947920279,0.314384828,,,,,,,,,,,,,,,,,1,1,,,high,high,,,39.12777967,Reese Hunter,huntere10,Georgia tech,2022-11
10,2/11/24,1:52:36 PM,3,2,Blake Neleman,nelembl10,,Georgia tech,Kayley Devivi,devivka10,Left,Longwood,,1,Top,0,0,1,Screw Ball,2,StrikeCalled,,,,,,,66.41052037,2.640150748,0.417453089,1204.266016,88.41130856,9:00,1.782845565,0.319229909,4.603957187,-28.9142892,1.033491889,-2.906595992,1.477014068,0.70971474,61.51972522,-4.371898784,0.15208633,0.39600035,,,,,,,,,,,,3.484024281,0.304610379,-0.211978882,50,1.03271367,-1.111170417,-99.62580054,8.243284726,3.413266532,19.76744352,-31.8756256,Georgia Tech,Longwood,,,,6cf3748d-526c-4bf0-99c4-84c418c83c3c,dd67bc2a-efe6-4702-afde-2532ea0f5d3a,66.5057164,1.779001909,0.320945913,2.705282846,0.38768712,61.59176412,1.480401675,0.708429152,-4.300530173,0.125278978,0.395908628,-2.697772232,-0.233619441,-77.38172633,,263.0772981,-1175.179549,21.84544732,0.006056507,-0.975847141,0.218370501,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.39604419,Reese Hunter,huntere10,Georgia tech,2022-11
