PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,02/16/2024,3:20:09 PM,1,1,Kayla Fekel,,,Nc state 2024 roster,Anjolee Aguilar-beaucage,aguilan10,Right,North dakota state,,1,Top,0,0,0,Screwball,,BallCalled,,,,,,,64.80111304149861,6.075941142756435,0.38358735466584476,1264.9683408994936,102.70129078383506,9:30,0.9477528055004282,1.620002479246545,6.0000000000000036,-27.7638995589217,1.920486783593411,-2.6938659278252266,2.421828950842598,1.633742716412767,59.330752341729635,-1.6737237696288545,-0.37061626009064097,0.3921349576634937,,,,,,,,,,,,3.2846135138070793,0.0415472617466678,-1.5060892164485962,49.99999999999999,-0.7130781200776765,-1.0463303193383242,-97.10985717286124,14.420242527840474,3.048297880360215,19.192692497939472,-32.135491494040394,NC State 2024 Roster,North Dakota State,,Softball,,367204aa-c278-4945-bee1-9fd4513efaec,e1f7c574-046f-4843-8104-4037b77a805e,64.90736131886413,0.9442909571559764,1.6217657728433603,6.13750325149997,0.3512504767430945,59.40962212099369,2.424968243647037,1.6324433129870208,-1.6047831692156027,-0.398707214174635,0.3920430915366759,-2.4896159955746704,0.712627485033239,-75.12724576961196,,324.68348902545176,-1222.5896840037037,25.66732134928973,-0.05643427270498207,-0.9664982470109448,0.25039231495601083,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
2,02/16/2024,3:20:26 PM,1,2,Kayla Fekel,,,Nc state 2024 roster,Anjolee Aguilar-beaucage,aguilan10,Right,North dakota state,,1,Top,0,1,0,Screwball,,StrikeCalled,,,,,,,65.17816110279477,5.279626141333346,-0.7731043990516744,1348.5944519042973,116.5521466571721,10:00,0.9040130573910403,1.731586485481747,6.0000000000000036,-26.232617502574225,3.0418305647976425,-2.808246313380461,2.006465290664672,1.017403161250772,59.76781169588963,-2.049027306956352,-1.5591427536916795,0.3894178729821858,,,,,,,,,,,,2.9994658710363202,1.6334985170336382,-1.8790008172522694,50.00000000000001,-0.5590394258186999,0.9040922842455946,-97.81291976550999,12.923666867624929,2.822719217739804,19.540541163432547,-30.63680667195169,NC State 2024 Roster,North Dakota State,,Softball,,367204aa-c278-4945-bee1-9fd4513efaec,ab790a74-6bba-4a99-8e90-abce77cccf04,65.28885993281517,0.9008418802295656,1.7332734103378031,5.334442595946081,-0.8033318118191276,59.84890221327472,2.009185409025076,1.0162504375043524,-1.9884190624493705,-1.5843838929324747,0.3893227545558495,-2.617007978855664,1.8735860117497287,-74.19310627291391,,367.3517427942467,-1297.597662133021,27.23960062830777,-0.12176432049140697,-0.9621852294444295,0.24366582545411744,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
3,02/16/2024,3:20:42 PM,1,3,Kayla Fekel,,,Nc state 2024 roster,Anjolee Aguilar-beaucage,aguilan10,Right,North dakota state,,1,Top,0,1,1,Riseball,,Foul,,,,,,,65.82665977247993,6.877915654307374,-2.2832114765777356,1229.6642208614865,81.33346821643057,8:45,0.9378665881523379,1.7136643018868305,6.0000000000000036,-27.68438196694409,1.234946436583769,-2.7866682380394288,2.9263856924162743,0.06271078674018822,60.15713220570502,-0.8354470632173634,-3.06194174175152,0.38704870968295346,,,,,,,,,,,,2.423963561130655,-1.0720991569311258,-2.204199036290083,50.00000000000001,-0.907489706450225,3.509459082042074,-98.43129486911094,16.00590310343593,2.309186365447239,19.84183129468955,-33.19538373280461,NC State 2024 Roster,North Dakota State,,Softball,,367204aa-c278-4945-bee1-9fd4513efaec,10f9ceb5-9b4a-4dd3-8e86-f1fd591f7fcf,65.93605171790813,0.9340393990996902,1.7154220258522885,6.943536926483077,-2.314446285926879,60.23487297816259,2.9295315641399915,0.06152033403678311,-0.76557925908137,-3.087924001346683,0.38696012144364844,-2.5888920728433376,0.007593694349664892,-73.88885541284222,,341.2336877516062,-1181.3694030278275,27.75015178635859,0.04181486804747045,-0.9607251987865238,0.2743330261320476,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
4,02/16/2024,3:21:02 PM,1,4,Kayla Fekel,,,Nc state 2024 roster,Anjolee Aguilar-beaucage,aguilan10,Right,North dakota state,,1,Top,0,1,2,Curveball,,InPlay,,FlyBall,Out,1,0,,64.91034763895003,6.545560790264256,-4.254615721411504,1226.9313805621605,52.580620474072404,7:45,0.9804907930976912,2.2252587457890423,6.0000000000000036,-30.02250018079495,-0.19711549254414606,-2.6322813424456597,2.5727722759812384,-0.6412789037057562,59.391838661602435,-1.809456178471403,-4.987121173989236,0.39306515845997103,66.86267350778706,40.90032714405088,15.197323320915633,2759.90382982337,39.7059197241655,102.58381908433563,68.01051889296548,218.9385127688415,,25.469678420375793,4.450450601330182,1.519781688810182,-2.6340135734745167,-3.1661425999313484,50.0,-0.8145025111465679,6.826037499079762,-96.94405071170898,15.556772221723328,1.403863560831028,19.298674179748136,-34.60715935548942,NC State 2024 Roster,North Dakota State,,Softball,,367204aa-c278-4945-bee1-9fd4513efaec,b72c58ae-3134-412e-a63f-aecf22a27d47,65.01053442891723,0.9761109360544878,2.2272699669289735,6.62205467706831,-4.290909790365876,59.461266192181064,2.5764496466888454,-0.6427220942324737,-1.7289031064456537,-5.018162719057106,0.3929847517031549,-2.4017408866111887,-1.5163985055452238,-71.73301145982157,,384.5759648630381,-1165.101686488279,31.34453735194478,0.1904633588441618,-0.9496062330351743,0.24894118003766716,13.248273380715927,48.770751657364904,43.77800982016407,0.478883400183395,2.2408575350052535,2.5148600366525344,94.15086824747328,197.6605331918314,40.785983636229865,0.33482796802585846,0.8167326286054206,0.8728181571026892,-0.008479071399467908,-0.4879718946620472,,,1.0,0,1.0,35.56113493402968,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
5,02/16/2024,3:21:34 PM,2,1,Kayla Fekel,,,Nc state 2024 roster,Emilee Buringa,burinem10,Left,North dakota state,,1,Top,1,0,0,Curveball,,StrikeSwinging,,,,,,,65.80699035225574,6.659216682871432,-2.9602417956607097,1195.5492630004883,83.2755478030393,8:45,0.9348968080919392,1.835543361237759,6.0000000000000036,-27.437993305227224,1.5103030773224617,-2.639582955247134,2.808353493032294,-0.22450676408942316,60.16145289874778,-0.9848285634133743,-3.6970765596220336,0.38724251108164554,,,,,,,,,,,,2.0024682812848904,-0.6780506199007245,-2.4814896044418213,50.00000000000002,-0.8583833239012864,4.695563029333749,-98.40005047099207,15.587813567033479,1.9057751085350214,19.878188706815326,-32.81935918006977,NC State 2024 Roster,North Dakota State,,Softball,,367204aa-c278-4945-bee1-9fd4513efaec,05258a19-d53c-4a1f-854d-b149293f5aad,65.91615195128414,0.9313036968847868,1.837253571217911,6.722250979868761,-2.9912874008114008,60.2406364778658,2.8114586525308805,-0.22571974176126708,-0.9162990850751935,-3.7233741925457844,0.38715417416425,-2.4426668753464775,0.292202856791352,-74.70088672951964,,315.4553699566451,-1153.1807966778354,26.385811084433435,0.030896355522978595,-0.9645615052144985,0.2620429695178612,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
6,02/16/2024,3:21:54 PM,2,2,Kayla Fekel,,,Nc state 2024 roster,Emilee Buringa,burinem10,Left,North dakota state,,1,Top,1,0,1,Riseball,,Foul,,,,,,,65.57043329771679,7.426553198040556,-4.89621543941275,1199.806465148926,52.690900401292424,7:45,0.9345743106838156,2.076432271871223,6.0000000000000036,-29.463417650755748,-0.06942366282310175,-2.4138093555166096,3.1345146340550762,-1.1729186331373507,59.853884935720416,-0.7537707835285142,-5.56673204932221,0.3902121815238977,,,,,,,,,,,,1.0268378932532096,-2.817875605166903,-3.166005176132022,50.00000000000002,-1.0597866122126578,8.009485548759342,-97.66113581927428,17.128477611397095,0.9624467368766344,19.607585332962785,-34.81522128304837,NC State 2024 Roster,North Dakota State,,Softball,,367204aa-c278-4945-bee1-9fd4513efaec,f5e684d7-263d-4d8d-b6b1-b7b904d6b5fb,65.6750496349103,0.9303085185862344,2.0784326135676827,7.500567164189529,-4.93224060221861,59.92749910369728,3.1381179782171933,-1.1743597538112258,-0.6750129354623169,-5.597621139793703,0.39013039979022757,-2.184642597616659,-1.3643629502196497,-71.67624021033893,,377.2025140966077,-1138.9705075955037,31.438613230825307,0.19055406510136855,-0.949295191082446,0.25005557074595597,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
7,02/16/2024,3:22:20 PM,2,3,Kayla Fekel,,,Nc state 2024 roster,Emilee Buringa,burinem10,Left,North dakota state,,1,Top,1,0,2,Screwball,,Foul,,,,,,,65.06429953778256,7.334899785338337,-1.5023912038987706,1307.1884788230614,72.83775494365523,8:30,0.8639309140537259,1.8805133213557095,6.0000000000000036,-29.265766327600087,0.35906786863306905,-3.417916488666496,4.089127982044348,1.0660683793259933,54.96895625130184,59.23091090667435,13.860528438236683,0.8178609211692542,,,,,,,,,,,,-52.38229012090899,-109.5473464514045,3.0317679938009023,49.99999999999999,-104.23832067755653,2.3478708046331804,-49.26149272008362,129.8521798522533,-11.238858095624277,8.472452013104915,-55.67792997530132,NC State 2024 Roster,North Dakota State,,Softball,,367204aa-c278-4945-bee1-9fd4513efaec,19794e81-410d-4e17-91e5-ba79d8865831,65.16819382564832,0.8597082274083409,1.8821821026154286,7.408464001167548,-1.532623558216054,55.879329018269914,4.1380589452916166,1.0028018209410885,59.63087361230291,12.590746230739725,0.8165204338911488,-3.2266383760787254,-0.925361738854035,-70.4374387594421,,437.69365634909553,-1231.7329184362611,33.48359195631657,0.09880288325176792,-0.942276449334424,0.31992668424320014,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
8,02/16/2024,3:22:40 PM,2,4,Kayla Fekel,,,Nc state 2024 roster,Emilee Buringa,burinem10,Left,North dakota state,,1,Top,1,0,2,Screwball,,Foul,,,,,,,65.3073287024779,5.586402034902298,0.251274102256312,1216.849197387695,101.49902349353444,9:30,0.8791214924391906,1.1206088578801026,6.0000000000000036,-27.377047458394358,1.7949048359474276,-2.4930738731320905,2.07818459885886,1.0689065492859138,59.865876350313115,-2.059374877615992,-0.4466827903555206,0.3887355597990284,,,,,,,,,,,,3.0022782363003513,0.07547761877523901,-1.0387183100557151,49.999999999999986,-0.665627217112884,-0.7994593772477723,-97.95276195642339,13.642703765703889,2.835201104030964,19.51026637297097,-32.1027723054689,NC State 2024 Roster,North Dakota State,,Softball,,367204aa-c278-4945-bee1-9fd4513efaec,1c901bcd-d850-4d8e-8f8b-36b4796ddf30,65.4139527699951,0.8755969748977404,1.1224170591934217,5.648129434279699,0.21855699951753296,59.94303088298878,2.0812020472229835,1.0676377736366196,-1.992371463550181,-0.4744485080900999,0.3886451739100661,-2.286167464956873,0.6013761443710449,-76.3554754508982,,287.0514904317457,-1182.5072562246673,23.58973413040675,-0.04702642591728572,-0.9717779810047521,0.2311624340150747,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
9,02/16/2024,3:23:02 PM,2,5,Kayla Fekel,,,Nc state 2024 roster,Emilee Buringa,burinem10,Left,North dakota state,,1,Top,1,0,2,Riseball,,Foul,,,,,,,66.49367164633331,6.827055656430206,-2.394169977269272,1307.8606047453707,79.28556835895026,8:45,0.9022871486363273,1.6490161865118327,6.0000000000000036,-27.04030516309403,1.294306167187525,-1.6778264275753032,2.9127485167807645,0.02144083057105235,60.768742188111695,-0.7056415073893485,-2.863021207281178,0.3831158787807633,,,,,,,,,,,,1.0908756263408055,-0.9777702098436916,-2.1758195464298575,49.999999999999986,-0.9251281643564093,3.9045086671881917,-99.42513364197568,15.983180701763912,1.0606494373425905,20.198958850085358,-33.12472755320307,NC State 2024 Roster,North Dakota State,,Softball,,367204aa-c278-4945-bee1-9fd4513efaec,a8223502-760c-4b04-8d11-e91af18767d9,66.60432585884595,0.8987174567596286,1.6511877546021119,6.888552625779286,-2.4330777924261744,60.849195778734675,2.9158134330305328,0.019884797948701974,-0.6386302425509234,-2.8964575544050195,0.3830270772018038,-1.4320798009895044,0.11574559203507216,-79.16502635780097,,245.85276220905453,-1284.5449703140428,18.798086074082793,0.034948294358375154,-0.9821726915339978,0.184703602364174,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
10,02/16/2024,3:23:30 PM,2,6,Kayla Fekel,,,Nc state 2024 roster,Emilee Buringa,burinem10,Left,North dakota state,,1,Top,1,0,2,Screwball,,BallCalled,,,,,,,65.5427222938964,5.542927989423298,1.2982423249089827,1239.9754570855039,113.11476880358776,9:45,0.8361085218154218,1.449172830581736,6.0000000000000036,-26.763844783697984,2.2059969072359387,-2.4941891700248937,2.059869346528985,2.0477303574688412,60.074443914336754,-1.9299089462307826,0.6002018267579834,0.38738659050140534,,,,,,,,,,,,3.380603711018426,0.5735218610048807,-1.1296681883152873,49.999999999999964,-0.6929112809145455,-2.5987559372466054,-98.28570553479267,13.52546193089674,3.2147187593280453,19.620972169727818,-31.628670226849472,NC State 2024 Roster,North Dakota State,,Softball,,367204aa-c278-4945-bee1-9fd4513efaec,2801bcb3-afe7-4648-8692-7d5059b6c08d,65.65013906264855,0.8328374139774221,1.4508951768073917,5.600834682656281,1.2667984637606022,60.15478051345184,2.062826337506543,2.0464694008378834,-1.8649279187684151,0.5729260850312884,0.3872942231837044,-2.2955342214125536,1.0452993804286324,-75.47466597261601,,310.9958220093835,-1200.341923314816,25.08080464272757,-0.09846076834645455,-0.9680368401292037,0.23067326080257392,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
