PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,02/17/2024,12:28:09 PM,1,1,Carly Maxton,,,Nc state 2024 roster,Drew Menscer,menscdr10,Left,Elon,,1,Top,0,0,0,Curveball,,StrikeCalled,,,,,,,60.34224556860438,5.738811725831633,-1.6929222972002553,1002.7762518988716,28.5522539066084,7:00,1.4999224545756955,2.416496256873706,6.0000000000000036,-33.993917031749426,0.22062894961315038,-0.6160392116495738,2.244691951140658,1.3134704137555233,55.391431472524815,-3.7486608814287665,-1.8652162389336393,0.4209949759759283,,,,,,,,,,,,0.10948409645405167,-1.8173841957822408,-2.7945719666447126,49.999999999999986,-0.14637003362459033,2.588646231472581,-90.44100540167025,13.750274449218214,0.08815274315843208,16.617690003124903,-33.63734341058046,NC State 2024 Roster,Elon,,Softball,,b0245a6a-8dc3-42b5-a0d1-88fed927f134,bf651f44-4eea-4c2e-9b3f-aae5a58c133a,60.434795587555435,1.495327171283225,2.4194957278233886,5.819083629501309,-1.746934147071554,55.45280639772277,2.2485973724774175,1.3112731517413143,-3.66311585354616,-1.912845593000919,0.42090740809594385,-0.27551072817696814,-1.2160231875152752,-81.51375242305211,,147.98170274016442,-991.7971703057389,14.757200567917733,0.12962453109295516,-0.9890513147151794,0.07053352252019356,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
2,02/17/2024,12:28:31 PM,1,2,Carly Maxton,,,Nc state 2024 roster,Drew Menscer,menscdr10,Left,Elon,,1,Top,0,0,1,Changeup,,BallCalled,,,,,,,52.857534256944234,9.682641465883778,-0.44667544169890255,1025.7825927734375,36.51719262723686,7:15,1.592454413815291,1.3371790230037925,6.0000000000000036,-52.3133753286043,-6.9676172731726425,-6.330057401036598,3.304466427979041,0.5322624514862828,48.221741861079835,-4.845526277250465,-2.216685023434057,0.48466298825564247,,,,,,,,,,,,7.2347379234660405,-11.61430370559335,-1.3752697593645813,50.00000000000001,-1.148478482004089,-0.14185886608453266,-78.49476838142036,19.62301250911182,4.39486686064954,12.375543366410113,-39.22935953712776,NC State 2024 Roster,Elon,,Softball,,b0245a6a-8dc3-42b5-a0d1-88fed927f134,cae7abd8-dc46-4f11-a814-16b67e9335a4,52.89894559529963,1.5827393712995643,1.337637016375246,9.850907493769379,-0.45483507453307964,48.21878619521889,3.3114248740062084,0.531939875493619,-4.694284626542063,-2.2238341545194604,0.4846458097534303,-6.278610352339428,-9.140036084057744,-29.26834333422521,,894.8307020549705,-501.5056752388795,87.23395272633661,0.701080380722451,-0.4889005514150366,0.5190978237212485,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
3,02/17/2024,12:28:51 PM,1,3,Carly Maxton,,,Nc state 2024 roster,Drew Menscer,menscdr10,Left,Elon,,1,Top,0,1,1,Curveball,,InPlay,,GroundBall,Out,1,0,,59.55384987757012,4.187044167710127,-0.9140492358231429,1034.4522705078125,27.6241458675932,7:00,1.5290975720516178,1.5244927579526137,6.0000000000000036,-35.266348649272125,-0.3205664294986974,-1.173989506632503,1.1955537835941636,0.8589452133500649,54.93824169469157,-5.658859029216996,-1.242620236856656,0.4254699629622918,53.76582874866945,-14.512407504961,11.006474516923548,,-22.62646153760778,-107.64777395273552,0.3933214290980467,9.083152645265171,,0.4879704740315354,0.0588036986538912,1.0411295292394869,-1.8886579217128587,-1.7201878331360643,49.999999999999964,0.225394517502072,1.2688288926938238,-89.50177737060267,11.333287526341815,0.8207509054525602,16.304051860926645,-33.662930321587524,NC State 2024 Roster,Elon,,Softball,,b0245a6a-8dc3-42b5-a0d1-88fed927f134,4cc316bd-27a1-4d39-88ca-c22f76e2ebe8,59.63819087388767,1.5241090754626552,1.5275006127617758,4.274390968882754,-0.9679730852098383,54.99079642635779,1.1996330700663482,0.856805207315525,-5.5693451363247215,-1.2893912189056302,0.42538705775935837,-0.8337849031564332,-1.8233171645117103,-79.36515756128371,,190.907175901603,-1016.6838004748788,18.454904237185026,0.16351197518976443,-0.9828233060726802,0.08556975522875387,9.937447459057251,51.09290977905974,-13.473160332252728,-0.8541988461816019,4.699962448651007,1.3548213171211925,0.07735747305732471,9.082823228410309,,,,,,,,,1.0,0,,28.001559904965298,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
4,02/17/2024,12:29:24 PM,2,1,Carly Maxton,,,Nc state 2024 roster,Greta Hessenthaler,hessegr10,Left,Elon,,1,Top,1,0,0,Changeup,,BallCalled,,,,,,,52.32594063817451,5.524742350079286,0.16523204154178123,955.6993865966796,55.45872649359443,7:45,1.6191763697765817,1.4914981147470403,6.0000000000000036,-49.83559601973146,-4.335716055776182,-9.31531068564536,0.9080186871264436,0.8178392213622829,48.42140923266421,-8.354155070241028,-2.443349330348791,0.4854859298610964,,,,,,,,,,,,10.938781697722945,-7.098839478751633,-1.3612345787136948,50.0,-0.13457759450478474,-1.3319968895141243,-78.52687420587965,13.510003221517424,6.623831527225776,12.744526131043518,-36.47265596150324,NC State 2024 Roster,Elon,,Softball,,b0245a6a-8dc3-42b5-a0d1-88fed927f134,646f7862-ab15-4a2d-ba1c-576d6df609b1,52.364387827834214,1.610786816370107,1.4904470832964367,5.672533207544406,0.1841006011981264,48.42072921026776,0.9142877311793286,0.8186109654857668,-8.220149833429312,-2.4266806152483187,0.485453234528286,-9.434057676247377,-6.506588288834615,-25.340532349066393,,863.7419906721092,-409.0367845207222,90.37799990099,0.51244303917497,-0.42799732871790813,0.744459816384642,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
5,02/17/2024,12:29:44 PM,2,2,Carly Maxton,,,Nc state 2024 roster,Greta Hessenthaler,hessegr10,Left,Elon,,1,Top,1,1,0,Curveball,,InPlay,,Popup,Out,1,0,,60.66296467564794,6.3071115684123615,-3.4353498222439116,1160.4977933443508,31.12631178518724,7:00,1.3254381800207977,1.5609301026407956,6.0000000000000036,-36.20214665571119,-2.1684497691131597,-2.3422890934063227,2.2485795124197554,-0.7703323711662495,55.63782260458762,-3.7782185565402897,-4.0884163407683,0.41988086742416403,39.948579650846874,41.506334177132494,3.6931965412332035,1591.3623168945312,,,,99.17461708326495,,2.6928863001845667,2.657370219308401,1.4890141085617146,-4.831570667726706,-2.3179607357227963,49.999999999999986,-0.4750584488862856,5.124071754706107,-90.71642823060051,15.015959363690811,1.2053194083342336,16.807960141289655,-36.085084320368345,NC State 2024 Roster,Elon,,Softball,,b0245a6a-8dc3-42b5-a0d1-88fed927f134,b0c63f5a-5874-455e-a0cc-57f4edef190e,60.74501674692528,1.3197662576548277,1.563571501136998,6.406357780889362,-3.4829117903534814,55.68695095181528,2.253219453331875,-0.7722548601063605,-3.677573548956664,-4.129691578654077,0.4198101016987888,-2.041302391758131,-3.720424106070195,-66.42528290987804,,464.134849753402,-1063.641842727849,39.99446206751043,0.342364508897128,-0.9165393065183003,0.2067419711973875,1.9270545472343454,29.854661707807562,26.474037304582183,0.7224120545846469,1.3904782813237064,2.0227969075647887,4.659464573662945,99.06510012864776,-1.883621474804908,6.529446515192955,0.28222420340580845,0.9796111363206393,-0.12466188969716552,0.15754819850990795,,,1.0,0,1.0,16.035777407718122,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
6,02/17/2024,12:30:14 PM,3,1,Carly Maxton,,,Nc state 2024 roster,Allee Seering,seerial10,Right,Elon,,1,Top,2,0,0,Riseball,,BallCalled,,,,,,,61.59769895535537,8.816592685704704,-0.48276703981942903,981.5019836425779,137.5156015351514,10:30,1.3955962034432905,1.441641721018377,6.0000000000000036,-28.551495987752876,4.766186570393398,-2.013788954362173,4.53564396286692,0.9739981752557487,55.946551656119155,0.886555240091514,-1.0469438369690471,0.415440579563851,,,,,,,,,,,,2.1740062141980676,2.296369704145898,-1.5311280103797489,50.0,-0.9051435742711744,0.49403978957467687,-91.77575877482063,18.194842369471953,1.7977973800250877,17.43018870152301,-30.275063552418057,NC State 2024 Roster,Elon,,Softball,,b0245a6a-8dc3-42b5-a0d1-88fed927f134,802aac5b-aa66-4a15-8ac1-bf428cc4c347,61.72070671776727,1.3926737008782637,1.4434541250982214,8.865857276994756,-0.5149554478429554,56.03752484209343,4.538307413774253,0.9727497547192636,0.9460452575334911,-1.0742364386558536,0.4153225055671938,-1.8106147577746388,3.469823029723879,-68.04278494678374,,366.99744615218106,-910.3071011543809,37.39141155784217,-0.27574717908491775,-0.9274633330602384,0.2525376388887478,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
7,02/17/2024,12:30:32 PM,3,2,Carly Maxton,,,Nc state 2024 roster,Allee Seering,seerial10,Right,Elon,,1,Top,2,1,0,Changeup,,StrikeCalled,,,,,,,52.65316924645959,6.946246837896457,-2.7130930002268685,1015.1122405223357,43.137380349328126,7:30,1.4730357393240734,1.5234352705134082,6.0000000000000036,-49.801356229687826,-4.500358753487696,-6.500122625394465,1.6629887101893763,-0.7044585728388302,48.46019750400343,-6.913349476402833,-4.527378063313653,0.48442372494721914,,,,,,,,,,,,6.587717696261081,-7.835795191206373,-2.074777255468593,50.00000000000004,-0.6082663652547408,2.9577666036620673,-78.72636968065498,15.523874721801029,4.006754988234775,12.868619209780675,-36.939905215631995,NC State 2024 Roster,Elon,,Softball,,b0245a6a-8dc3-42b5-a0d1-88fed927f134,dc5902fc-4e05-4a6f-8219-b40ef0786e00,52.70161945643014,1.464431018678744,1.5247249103072376,7.096653431292355,-2.736120133225246,48.46778188669913,1.6694043012584527,-0.7053595169433928,-6.775165560643764,-4.546980847422188,0.4843840675620057,-6.354409988133644,-6.710503714272774,-41.44587084195251,,760.9092346766643,-671.9151713140948,74.95813805625387,0.5469817864284112,-0.6619121950183109,0.5125262641090946,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
8,02/17/2024,12:30:52 PM,3,3,Carly Maxton,,,Nc state 2024 roster,Allee Seering,seerial10,Right,Elon,,1,Top,2,1,1,Riseball,,BallCalled,,,,,,,60.467932697433795,8.325276587062337,-1.6774907817355635,1009.3065625000002,88.83253303793312,9:00,1.4917179804471723,1.7188442973870155,6.0000000000000036,-32.717563783957075,1.7576404066067965,-2.1549358022317104,3.9745666884690842,0.49716904674995005,55.06423675855658,-0.7737928611387848,-2.2802462152696283,0.4225955757273807,,,,,,,,,,,,1.9074705616642205,-0.9925391516323766,-2.0780753653241213,50.00000000000005,-0.7376987594503092,2.3459783148537614,-90.14405794487718,17.66040723720199,1.5242929410061548,16.62238680859901,-32.96720490535942,NC State 2024 Roster,Elon,,Softball,,b0245a6a-8dc3-42b5-a0d1-88fed927f134,f08dc977-2b06-46c8-8eac-c019bcc779ca,60.57518054238384,1.4875166262166062,1.7211280424333404,8.39804712994025,-1.7188246000771208,55.138774699542,3.9781956075287535,0.4955404827231259,-0.693385761372299,-2.3157707714614117,0.4224954332045618,-1.8935701649550063,0.3289210377843506,-75.73641081837658,,248.67613311609804,-978.1921681980446,24.638315290464387,0.005019990818175397,-0.969172503718903,0.24633200711117215,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
9,02/17/2024,12:31:17 PM,3,4,Carly Maxton,,,Nc state 2024 roster,Allee Seering,seerial10,Right,Elon,,1,Top,2,2,1,Curveball,,InPlay,,GroundBall,Out,1,0,,60.23245674679184,5.153826580340578,-2.33613589135152,1289.0694671630858,45.656857796870064,7:30,1.4572136116618284,1.3208186480616677,6.0000000000000036,-33.73434851856954,0.5746119162442938,-1.3174031493814222,1.8581131670965692,-0.24061808866009496,55.37398473750302,-4.26062573336778,-2.704282909749898,0.4215754400183905,,,,,,,,,,,,0.6937480987923202,-1.198285861566464,-1.8380221351113541,49.99999999999997,-0.05283722221925235,3.505137547865086,-90.33617685387145,12.769087603885431,0.5570564989831237,16.628394486304725,-33.1362330182677,NC State 2024 Roster,Elon,,Softball,,b0245a6a-8dc3-42b5-a0d1-88fed927f134,dccebd34-7bab-4d84-b864-b9c9c22393e7,60.32484407773348,1.45269024256543,1.3238961874388493,5.233764670825833,-2.3920005321351048,55.43531271494228,1.861994876491709,-0.24287492029652927,-4.175722891019358,-2.753052440232032,0.4214881183360768,-0.9643716342330724,-0.8722097178376886,-81.2738794568218,,195.56657986687551,-1274.1482661022205,15.171143592227644,0.10603931271499684,-0.9884248277994645,0.10849895828315631,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
10,02/17/2024,12:34:07 PM,1,1,Lia Miller,milleli10,Right,Elon,Kaylee Lambrecht,,,Nc state 2024 roster,,1,Bottom,0,1,0,Curveball,,BallCalled,,,,,,,62.4819716581226,7.384562013859203,-4.220812740654665,1003.1731948852538,11.36458232779347,6:30,1.3968296483915599,1.8818703311290517,6.0000000000000036,-36.11249425763025,-3.859177265682945,-0.7471636594675786,3.0117158620857687,-0.8064656914230395,57.14569010111895,-2.6511647786205956,-4.4287345324013,0.40875089340183635,,,,,,,,,,,,-0.6408742402242228,-7.172545308067057,-2.8338169666853186,50.00000000000001,-0.653232973791334,6.766274206739415,-93.11218555061589,17.197821293896812,-0.5473641986514337,17.51599689182563,-38.300047899596805,NC State 2024 Roster,Elon,,Softball,,b0245a6a-8dc3-42b5-a0d1-88fed927f134,51eeddaa-3647-46a8-bac5-e19a7e444aef,62.56209103560878,1.3908954227255708,1.8846620940797947,7.487834348878097,-4.270929138223041,57.19189329914402,3.016474981210848,-0.8085103196602242,-2.5482975260341347,-4.472454605834925,0.4086899958752351,-0.4296465227954595,-5.35038116296596,-58.934643255287064,,517.6529119548434,-859.2973418328247,51.601549422784785,0.505898066257034,-0.8565792489412697,0.10168154621465832,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Mary Moss wirt,mosswma10,Elon,2022-11
