PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,02/17/2024,3:07:32 PM,1,1,Rylee Wyman,,,Nc state 2024 roster,Lexi Hastings,hastile10,,Connecticut,,1,Top,0,0,0,Dropball,,BallCalled,,,,,,,62.48722479611803,5.498577289036963,-0.28325705636667375,919.3505859375,12.283640405014248,6:30,1.5314763691744393,1.6595243640535087,6.0000000000000036,-37.892845164816954,-6.044509205233876,-1.5744264629492317,1.7991745039406857,1.3524049652790655,57.49341749884673,-5.0780131468352785,-0.7239500660213132,0.4061765957513256,,,,,,,,,,,,1.7369458616526092,-9.043039465033397,-1.7080785644662184,50.0,-0.09820235015619498,0.23979836539802665,-93.73050715490831,14.40421808100335,1.5024170051720467,17.822525050120213,-39.99606440561065,NC State 2024 Roster,Connecticut,,Softball,,a3adfbd8-ca83-410f-8fc9-23de1f264219,80ed46c0-3bc7-4ebc-92b8-9373e6f380ce,62.54756415533186,1.52482870635654,1.6615259633259432,5.615531096169204,-0.3191627862202927,57.52047640401136,1.8042841809717567,1.350972661883233,-4.966938848177328,-0.7550941735509179,0.4061299796116141,-1.3480364436249008,-7.611424407961424,-47.120787583456504,,625.5767430159649,-673.690758776727,68.04550435762634,0.6648769513961924,-0.7327898291267596,0.14476776516365722,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
2,02/17/2024,3:07:48 PM,1,2,Rylee Wyman,,,Nc state 2024 roster,Lexi Hastings,hastile10,,Connecticut,,1,Top,0,1,0,Dropball,,BallCalled,,,,,,,61.09495745412632,4.964517329059514,-0.0844737031664691,1026.48964621804,16.492225527465056,6:30,1.709268792460168,1.7026884093108139,6.0000000000000036,-41.36305960117457,-8.077231165454407,-2.8960109641114546,1.3532847596155155,1.4088920291826736,56.36619629638108,-6.577027752161399,-0.8954382062621762,0.4152419364016582,,,,,,,,,,,,3.3514159060709225,-11.240960896364,-1.6929787082965118,49.999999999999986,0.16759489266488764,-0.266813580052045,-91.74410197634016,13.71208972902888,2.773882880463003,17.22698021194571,-41.477910958112936,NC State 2024 Roster,Connecticut,,Softball,,a3adfbd8-ca83-410f-8fc9-23de1f264219,07091ce0-d4ba-476a-8a19-1996b79ac089,61.13573231908933,1.70181029895125,1.7038886649746463,5.099093164158828,-0.10642970779762141,56.373075479389584,1.3589990854790435,1.4080193233045606,-6.452799905361804,-0.9145648710005977,0.41521426673373807,-2.7572577018742797,-9.802925489214479,-33.50989223012797,,855.8773294596247,-566.7053826371318,83.37905137309343,0.7994869246391876,-0.5520809534953226,0.23670081985212751,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
3,02/17/2024,3:09:04 PM,1,3,Rylee Wyman,,,Nc state 2024 roster,Lexi Hastings,hastile10,,Connecticut,,1,Top,0,0,0,Riseball,,BallCalled,,,,1,,,62.59509558672592,8.681211096348221,-0.869007605641406,1113.191390093635,57.06097185901814,8:00,1.172424932872952,1.8793219783134103,6.0000000000000036,-33.73197800216424,-1.5504991591306378,-4.037574575987901,3.7951253178906446,1.003122046594592,57.01015508265681,-0.6919950950325203,-1.9983966506263595,0.4082954320856438,,,,,,,,,,,,4.403782257579637,-4.950539957398929,-2.0361981269698863,50.00000000000006,-1.1494953047993735,0.8436782388122605,-93.23121760684393,19.002749471991983,3.7696829541808063,17.599939553615222,-36.41176276068691,NC State 2024 Roster,Connecticut,,Softball,,a3adfbd8-ca83-410f-8fc9-23de1f264219,59894cbd-5d32-41a2-b249-c06a55434724,62.689564468017394,1.1670101899809076,1.8808922523401848,8.774632627095567,-0.8972411765131205,57.070742280069474,3.7995043963279573,1.0020375990991006,-0.5961621359304833,-2.0218073871985203,0.4082176255061906,-3.858968977790156,-2.9989172502271666,-62.08656865893691,,521.1260401133949,-983.678159406994,46.81369661595756,0.2545477186122839,-0.8836559177162275,0.3928837971135653,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
4,02/17/2024,3:12:11 PM,1,4,Rylee Wyman,,,Nc state 2024 roster,Lexi Hastings,hastile10,,Connecticut,,1,Top,1,1,0,Dropball,,HitByPitch,,,,,,,63.009595899712615,7.755984201276622,-4.480986649795427,986.9710163317229,22.35331381731568,6:45,1.5916218160805315,1.699270770227161,6.0000000000000036,-38.730696606320336,-6.921514784508741,-3.317296775542472,3.2253876124884218,-1.3657587032337406,57.62788720881293,-2.9990829325030712,-5.402768598191929,0.4059268435298923,,,,,,,,,,,,2.256227222708995,-10.904475408939826,-2.6849475473096884,50.000000000000036,-0.5709234722296758,6.8796163172567235,-93.80063713247417,18.317866149894353,1.954011122259203,17.881534288780237,-41.61789726987248,NC State 2024 Roster,Connecticut,,Softball,,a3adfbd8-ca83-410f-8fc9-23de1f264219,ee42992a-0d5c-4ffd-8e98-4616d0c4767f,63.07068407350015,1.5845708132593666,1.7004076474302143,7.880795587135831,-4.501676043659522,57.654240664055976,3.2308671022389035,-1.3665777591477553,-2.878890764723685,-5.420555458874173,0.40588816877176587,-3.185627765419007,-8.536742970707586,-34.8386931799434,,810.0698870113217,-563.8249420133332,82.07636025849169,0.7590883339294833,-0.5712679832371395,0.31215027249761057,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
5,02/17/2024,3:12:40 PM,2,1,Rylee Wyman,,,Nc state 2024 roster,Grace Jenkins,jenkigr10,,Connecticut,,1,Top,1,0,0,Dropball,,Foul,,,,,,,63.75535044324752,5.087765602140682,-1.271803515947838,869.0803391029096,8.456236344537615,6:15,1.6159288074070577,0.8798523617194058,6.0000000000000036,-36.873292583860724,-6.298082002824415,-1.1509147127501975,1.7120042927253034,-0.00603585002807061,58.700018389719965,-5.204505351673048,-1.5938199467411085,0.39797542102080663,55.16714319899586,32.58796574200589,53.950722883160964,,88.55659324068702,65.25128193055167,22.833522202868473,148.4282520347776,,53.702693630109174,2.591858724064253,0.8853025464468174,-9.196138423765966,-1.1569785580423728,49.99999999999999,0.09028655689284534,1.9574115733298183,-95.6810501972937,13.864304402083901,0.797667320323877,18.622343907986615,-40.45987133502114,NC State 2024 Roster,Connecticut,,Softball,,a3adfbd8-ca83-410f-8fc9-23de1f264219,17d987d2-21dd-4e54-8e47-beda03f56994,63.81591555729536,1.6093971384841292,0.8817341684317307,5.202509819520315,-1.3054732665548823,58.72764255431962,1.7169970903382483,-0.007379542336906201,-5.096502680704974,-1.6228869815382203,0.3979300798945262,-0.9385680341700298,-7.824636451067736,-43.19643041021383,,633.5693612368963,-594.8869643193568,72.90112694194477,0.7210858048954402,-0.6845016939785068,0.10720397809246388,37.581162781179664,27.353726914151625,29.71268275768798,0.433542885944455,1.7430604139745423,2.07656548468539,119.62665714418235,87.86585743397553,,,,,,,,,1.0,0,,24.676772084322586,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
6,02/17/2024,3:13:01 PM,2,2,Rylee Wyman,,,Nc state 2024 roster,Grace Jenkins,jenkigr10,,Connecticut,,1,Top,1,0,1,Dropball,,StrikeCalled,,,,,,,64.17659540827971,5.748912196479004,-2.5071790454292886,967.1268066406249,14.137459092891888,6:30,1.6119519856216882,1.3306295790505422,6.0000000000000036,-37.43706305527519,-7.151713075131077,-2.1242441570569164,2.077999915980667,-0.40445970179682217,58.99691933770963,-4.690149522042696,-3.1004809123969217,0.39608447570304306,,,,,,,,,,,,1.5755281833432015,-10.436135147979865,-1.8786582364366817,50.00000000000003,-0.07162879902772275,3.900354727901288,-96.14045847121069,15.139236208005917,1.4331587495384048,18.808560144508064,-41.667144382283034,NC State 2024 Roster,Connecticut,,Softball,,a3adfbd8-ca83-410f-8fc9-23de1f264219,b32a2ee9-28e2-4f60-876e-74eef68f3bb8,64.23337478883573,1.6052332627634947,1.3320798942037702,5.869200319591159,-2.533613531371204,59.020824702693744,2.0833365948115663,-0.40553594192259423,-4.575747107759572,-3.1235090484326364,0.39604578458973994,-1.9571766354133424,-8.70128623431376,-37.25068716174791,,769.8278505349326,-585.4052789851302,79.59947395202265,0.7718860777398625,-0.6053035392727576,0.1944209565228098,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
7,02/17/2024,3:13:20 PM,2,3,Rylee Wyman,,,Nc state 2024 roster,Grace Jenkins,jenkigr10,,Connecticut,,1,Top,1,0,2,Riseball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,62.91643405983674,7.7737673606727435,-1.6923288995449641,1215.526447164601,44.863282898816635,7:30,1.3659185537316112,1.7499900031280204,6.0000000000000036,-33.65765209369908,-1.926071790523828,-2.9779507945522434,3.4209478100058424,0.4505070340115023,57.44865138918878,-1.5942251802955538,-2.5247712446910664,0.40543139263619177,,,,,,,,,,,,2.8698158660335844,-5.061103902924623,-2.1043514270663874,49.999999999999936,-0.7455600551287181,2.3505250268604723,-93.897381787342,17.61293766929467,2.4914420889238773,17.87199898049697,-36.5678671230084,NC State 2024 Roster,Connecticut,,Softball,,a3adfbd8-ca83-410f-8fc9-23de1f264219,a011c09e-23b8-4fc9-a7b1-00f2be265fac,63.00815141774357,1.3604694126279333,1.7521745044365842,7.86768397487527,-1.7312832853806601,57.50652915309766,3.4252696071550255,0.44899376489246784,-1.499188750561517,-2.5576222598125664,0.40535673000279426,-2.731755014405207,-3.3673684886929056,-66.1234132733188,,492.0061408459928,-1111.5010126520042,40.476794395849744,0.2868962963065165,-0.914419439613797,0.2855303900147808,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
8,02/17/2024,3:13:49 PM,3,1,Rylee Wyman,,,Nc state 2024 roster,Haley Coupal,coupaha10,,Connecticut,,1,Top,2,0,0,Riseball,,BallCalled,,,,,,,64.19269675594248,7.3376176943530975,0.15693906715805112,1180.0972917344834,41.188637816961354,7:15,1.3704751500605379,1.3897891048485647,6.0000000000000036,-32.41910431217412,-2.039007770060312,-2.2872740403149745,3.250978011848302,1.2966495996826393,58.67575833699917,-1.693804202827152,-0.48313540903966684,0.39670355947159436,,,,,,,,,,,,2.727532157637674,-5.016595738890939,-1.331333605879717,50.0,-0.6273726477296858,-0.5954489361544826,-95.92637554554781,17.06804696231809,2.4731622479886637,18.55494738851266,-36.722797126924135,NC State 2024 Roster,Connecticut,,Softball,,a3adfbd8-ca83-410f-8fc9-23de1f264219,733d191d-3b9b-4bc0-b847-edb7b9812621,64.28440515039598,1.3654012209866873,1.3920161783683174,7.426655725295484,0.11654930032853926,58.735784331878854,3.255188194458845,1.2950298831540186,-1.6020355317274688,-0.5180586279681243,0.39662909896392806,-2.0324268121051614,-3.3989788586950103,-69.3820564981441,,415.55328810090515,-1104.5112415487624,35.21347697443939,0.26499744240840006,-0.9359493062859029,0.23189491495059567,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
9,02/17/2024,3:14:07 PM,3,2,Rylee Wyman,,,Nc state 2024 roster,Haley Coupal,coupaha10,,Connecticut,,1,Top,2,1,0,Dropball,,BallCalled,,,,,,,63.45375044692714,5.850062775717488,-4.185142058193388,986.0700122730151,9.839071059118242,6:15,1.6099572893574345,1.644404922804659,6.0000000000000036,-38.47093926767342,-7.36793844259633,-1.524952601645143,2.059631451990155,-1.0864740646271827,58.32760228119836,-4.858340704833652,-4.609621817343495,0.4013956562222616,,,,,,,,,,,,0.264110088365701,-10.73443440411413,-2.580464110432106,50.000000000000036,-0.10933214588639771,6.724021975361833,-94.88380466387038,15.274363898261427,0.23393244420125345,18.36061920159065,-41.68195022247775,NC State 2024 Roster,Connecticut,,Softball,,a3adfbd8-ca83-410f-8fc9-23de1f264219,3cbec978-6a3b-4e35-8e76-b776e76cdcde,63.50892686231723,1.6028365386772865,1.6462200322116205,5.9745410197667015,-4.217453282736888,58.348674466946214,2.0650086046089897,-1.0877706289733062,-4.742197854624778,-4.637528005043669,0.4013594335408304,-1.3201920953292527,-8.968030347548284,-35.944267012655516,,798.3108052085323,-578.8211531996812,80.95883611431664,0.7976806119765449,-0.586998028532909,0.1383436148696536,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
10,02/17/2024,3:14:27 PM,3,3,Rylee Wyman,,,Nc state 2024 roster,Haley Coupal,coupaha10,,Connecticut,,1,Top,2,2,0,Dropball,,Foul,,,,,,,63.25457267148828,5.0705982528224265,0.2605396711260074,960.9533207334323,19.003701110624647,6:45,1.4621355769865707,1.1975260540882406,6.0000000000000036,-37.50975705647963,-6.466547672452386,-2.680397702364218,1.4936784150264453,1.1359678878938348,58.25575402958878,-5.401014172663207,-0.4898482718023711,0.40100965536374683,,,,,,,,,,,,3.2243740389461752,-9.38497601871389,-1.1116630843066702,49.99999999999997,-0.06568559454005873,-0.8172843611909277,-94.95283237261039,13.82008236459747,2.8613857591407448,18.328803746518993,-40.5024992030308,NC State 2024 Roster,Connecticut,,Softball,,a3adfbd8-ca83-410f-8fc9-23de1f264219,2fc8af51-b150-445f-96bb-189309a54a66,63.311656497388974,1.4554585503938744,1.1989840961121636,5.188981526867202,0.23418237573961462,58.28031599006126,1.498873821539581,1.1349168345868232,-5.288549553869185,-0.5126355924882711,0.4009662520384438,-2.5140739730745123,-8.024245183560964,-43.652096080609056,,695.2925112902609,-663.3246628705231,72.35445221830234,0.6841095680053586,-0.6902777154297683,0.23560724637536387,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
