PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,02/18/2024,3:10:43 PM,1,1,Madison Inscoe,,,Nc state 2024 roster,Lindsay Lumsden,lumsdli10,Right,Campbell,,1,Top,0,0,0,Dropball,,Foul,,,,,,,63.14118113762489,5.947183177504209,-1.0269709745823976,839.0652505197834,20.982791947085687,6:45,1.2688295370797522,1.3816728386726407,6.0000000000000036,-35.94865095668895,-4.70237239746006,-2.220948752522299,1.9805021779464718,0.5587289071369544,57.987476236331226,-4.0841841400237,-1.6482928093989029,0.40231911985474655,,,,,,,,,,,,2.2251658765746494,-7.635385345073892,-1.5925377296309935,50.00000000000001,-0.44451413572673537,1.3776894533285053,-94.61937258439173,15.012823171204923,1.961781141700424,18.136421416213892,-38.9056623332887,NC State 2024 Roster,Campbell,,Softball,,2d9bbf58-a4f9-4045-b3bd-47d2a429effc,4d78a29a-fd04-4aae-83f9-c6c7f2472a6f,63.21254365988537,1.262679264413448,1.3833951802915168,6.054890689971502,-1.0578550958406165,58.02544027955995,1.985218401612151,0.5575272372685286,-3.980673482783678,-1.6745745983659701,0.4022633460256473,-2.0257950521177888,-6.200997563110988,-51.41693277275185,,523.2818674367509,-655.9013506936341,62.36485983808633,0.5822932222600483,-0.7817048200808184,0.2233207952082053,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
2,02/18/2024,3:11:07 PM,1,2,Madison Inscoe,,,Nc state 2024 roster,Lindsay Lumsden,lumsdli10,Right,Campbell,,1,Top,0,0,1,Changeup,,StrikeCalled,,,,,,,49.180940735103306,7.995010150219091,-1.7376211608295404,868.6460509008292,98.30567152978111,9:15,1.3183275119846547,1.494788162416954,6.0000000000000036,-49.508362196372374,2.5679799601705255,-6.28878929718463,2.1926809085791743,-0.10875183921813251,45.05560629450764,-5.789369044572147,-3.495769763180281,0.5193878169079349,,,,,,,,,,,,6.706225826330315,0.0452276406035294,-1.8265225900498367,49.999999999999964,-1.0015226583564187,1.5288656541975283,-73.39499441486568,15.805708485549467,3.5480082167979266,11.12062726342151,-32.150121366962445,NC State 2024 Roster,Campbell,,Softball,,2d9bbf58-a4f9-4045-b3bd-47d2a429effc,e4459cda-895a-4af4-8587-dc3cd7ad72d2,49.268285371594466,1.3127632215884792,1.48836802803752,8.09122006270681,-1.6222269464867896,45.10213538994818,2.1976033236295383,-0.10402046531149997,-5.682160441227574,-3.3930272828650243,0.5192635625755511,-7.015693012741295,0.4534407307519602,59.873978706443886,,435.9765732279602,751.3124445542021,50.190359211997894,-0.07250205695858469,0.864923571315444,0.49663937371065564,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
3,02/18/2024,3:11:30 PM,1,3,Madison Inscoe,,,Nc state 2024 roster,Lindsay Lumsden,lumsdli10,Right,Campbell,,1,Top,0,0,2,Dropball,,Foul,,,,,,,62.919656302375685,5.4133723251983445,-1.8433196241392906,838.9696747750945,23.368498795234906,6:45,1.3062659667694696,1.0872270102361823,6.0000000000000036,-36.235006079547276,-4.786213425118312,-2.698590958225686,1.6604223421749416,-0.28283758734226544,57.8656455227603,-4.697950754708898,-2.5977722314582588,0.40362077412353176,,,,,,,,,,,,2.4848496162706057,-7.554119105184533,-1.4786866227859414,50.000000000000014,-0.2877693832270891,2.6511733228299432,-94.35761169428571,14.123158343226313,2.1767195064051528,18.149433756295437,-38.7914312988788,NC State 2024 Roster,Campbell,,Softball,,2d9bbf58-a4f9-4045-b3bd-47d2a429effc,01d92dee-8324-4288-9dbb-5e92f6667a81,62.9875826585898,1.3002386607513818,1.0887162231980634,5.521351662801984,-1.8704933992847446,57.90153055456029,1.6652837997444006,-0.28392562221693746,-4.59250905276992,-2.6212730829170634,0.4035671545857367,-2.5267909990631705,-6.306429917386002,-49.07301853441789,,549.6062471887686,-633.8793956608039,65.50966783586111,0.6013609575024829,-0.7555450628543041,0.25983967516178597,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
4,02/18/2024,3:11:57 PM,1,4,Madison Inscoe,,,Nc state 2024 roster,Lindsay Lumsden,lumsdli10,Right,Campbell,,1,Top,0,0,2,Changeup,,InPlay,,LineDrive,Single,0,0,,50.626233492055626,6.8552854014799784,-0.8310509982525812,710.3154078892301,76.31193000414503,8:30,1.3548221577448052,1.2701665919272316,6.0000000000000036,-48.52010283472217,0.304147583824367,-5.953620044188174,1.5898127035041356,0.25787419794323724,46.58374327449299,-6.663733865697311,-2.496981026200083,0.5029088921716742,71.40152948614569,11.927756138201838,-26.67067902597826,740.5307700417258,,,,110.01341274039872,,-29.968550228773797,1.2024600771709408,6.650428504530824,-2.151533803756553,-1.3993861738938471,49.999999999999964,-0.6919311775767739,0.41650070345177015,-75.75957003742279,14.670531480943191,3.752648879077247,11.764342033237146,-33.388099313993195,NC State 2024 Roster,Campbell,,Softball,,2d9bbf58-a4f9-4045-b3bd-47d2a429effc,c7d48f3d-db1e-4467-be60-e32d2ad2d346,50.700037685808084,1.3487172171095352,1.2646501111516233,6.96182935105662,-0.7318688794292202,46.61845684683977,1.5949484006120518,0.26196517628914046,-6.552798765465922,-2.4082168769351124,0.5028145202027944,-6.57762849001044,-1.7241070485739454,56.01478678694168,,397.0513403675513,588.9806548581831,55.89789211350873,0.1322744504926477,0.8291818652905126,0.5431030326008263,-31.357436471244657,62.426888847329444,14.757138603264588,-0.22577876062545466,1.8860172944634281,1.6443608318914333,-54.95440176652202,95.30458913018306,-0.7479088372183483,-14.174182337341916,-0.1686789121254757,-0.2524572632366976,-0.3642472607007954,0.8964314046880574,,,1.0,0,1.0,43.739124643546006,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
5,02/18/2024,3:12:31 PM,2,1,Madison Inscoe,,,Nc state 2024 roster,Charlie Montgomery,montgch11,Left,Campbell,,1,Top,0,0,0,Dropball,,Foul,,,,,,,63.76935672142113,5.3016123844021354,0.07396885180591255,838.9158245584239,14.886140838568398,6:30,1.4072845570120183,1.602224299621008,6.0000000000000036,-36.09056604125745,-5.5324539344137555,-1.762274619705753,1.701715994030766,1.5013061828959982,58.666648603106104,-4.774488641080599,-0.41932085611903075,0.3978641262176801,,,,,,,,,,,,2.0847940829235196,-8.372081564677169,-1.5678495474840861,49.999999999999986,-0.15932969702524047,-0.37903112780713943,-95.68409178770877,14.111648772007007,1.8794270649347686,18.56075626842221,-39.72142167966538,NC State 2024 Roster,Campbell,,Softball,,2d9bbf58-a4f9-4045-b3bd-47d2a429effc,1d83e4e0-e3b2-40df-826a-623e1cdece67,63.83481572063781,1.4011042746921218,1.6039169772885147,5.411299857777909,0.043322356145272425,58.69976956000675,1.7065246370464267,1.500094111668191,-4.669172366397693,-0.4458483036633355,0.3978135397327468,-1.5687366497803608,-7.023162530595295,-48.07508089251992,,560.5268120048812,-624.1710131992551,66.81562030373227,0.6457317105117526,-0.7440210268149334,0.1716486810226576,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
6,02/18/2024,3:12:54 PM,2,2,Madison Inscoe,,,Nc state 2024 roster,Charlie Montgomery,montgch11,Left,Campbell,,1,Top,0,0,1,Dropball,,InPlay,,Bunt,Single,0,0,,62.81625781811419,6.528838151021584,-2.29102236741202,842.5958799164873,15.535237882313071,6:30,1.262955379544297,2.081193052988036,6.0000000000000036,-37.00563019033275,-5.327690268408983,-1.7323992687689558,2.2547625433432725,0.5132366268935371,57.61710292562421,-3.785267494936134,-2.774963835473893,0.405088568661498,,,,,,,,,,,,1.201331369147608,-8.575811913448844,-2.5839895350907875,49.99999999999997,-0.5955106400701448,3.5125689083661316,-93.96525060131998,16.032632664891942,1.0446938081058226,17.8676963859207,-39.6316901966976,NC State 2024 Roster,Campbell,,Softball,,2d9bbf58-a4f9-4045-b3bd-47d2a429effc,44889716-84a8-45cd-90a4-2288bb64c2dd,62.884835689763385,1.2565975245753525,2.083043039233431,6.64071321974755,-2.3243942935800646,57.652003712312826,2.2596951060573782,0.511912271567568,-3.6772996003456617,-2.80380417375994,0.4050373924995646,-1.5213813271499381,-6.856735491615113,-47.350597791777446,,570.8674703091534,-619.7403877391463,67.75103984198618,0.6527581758081353,-0.7355131950094166,0.18145827036174286,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
7,02/18/2024,3:13:33 PM,3,1,Madison Inscoe,,,Nc state 2024 roster,Tristin Doster,dostetr10,Right,Campbell,,1,Top,0,0,0,Dropball,,StrikeCalled,,,,,,,62.37854107225278,5.8033210727496,-2.3499506291713623,825.9249044278772,21.88855046176901,6:45,1.3710846485999546,1.4246669058177908,6.0000000000000036,-36.994477396414524,-4.935716049334623,-2.5622807964404855,1.9077623337966556,-0.24910359598204285,57.32236546046941,-4.514079650094577,-3.065752480811775,0.4075162129133417,,,,,,,,,,,,2.1427346746156672,-7.870588224383258,-1.932590439236312,49.99999999999994,-0.320354969142342,3.4724402815203192,-93.45197822285635,14.741011493293016,1.8413073958522395,17.793231325364594,-38.9374498702017,NC State 2024 Roster,Campbell,,Softball,,2d9bbf58-a4f9-4045-b3bd-47d2a429effc,cd9271aa-28e2-4dbf-a340-2b17f2e0b955,62.44597127526712,1.3648498724092033,1.4262235544099107,5.914134228638798,-2.378200849479447,57.3567519586989,1.9126768449710043,-0.25022198679697694,-4.406933336273864,-3.090035747312152,0.40746363944886793,-2.3834860909391913,-6.487849020147779,-47.6225889726541,,556.6826295273418,-610.1281813985668,67.4011192231767,0.625422244587816,-0.7387211332744663,0.251272965574146,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
8,02/18/2024,3:13:54 PM,3,2,Madison Inscoe,,,Nc state 2024 roster,Tristin Doster,dostetr10,Right,Campbell,,1,Top,0,0,1,Riseball,,BallCalled,,,,,,,60.876818219115634,7.189366938991654,-1.5527403519929566,1235.3195911754265,83.43228039855737,8:45,0.9392848823827272,2.016491941722044,6.0000000000000036,-32.52455615643619,1.3066538208754466,-4.089745920020186,2.719065345638673,0.7111199297485815,55.62374092858778,-1.8763434283114115,-2.696534913293042,0.4186299422554818,,,,,,,,,,,,4.211291589129053,-1.1036125044620422,-2.328110046346369,50.00000000000004,-1.025410357862949,1.903798452537451,-91.00870399252297,15.962942816886256,3.429417151664349,16.969743475666526,-33.07276380977003,NC State 2024 Roster,Campbell,,Softball,,2d9bbf58-a4f9-4045-b3bd-47d2a429effc,e01fc354-7b1c-49f2-936e-1bd36dcf8e7b,60.97778739926777,0.9347344167104689,2.018236807889103,7.268050443768878,-1.5840856734100934,55.69236668241255,2.722830091716379,0.7099363248614552,-1.7922972992053057,-2.722549152205975,0.41853683591690405,-3.8911096830946965,-0.1416317188835811,-68.73916425381661,,447.94452733881644,-1151.2428904314793,36.261428260243974,0.04147490307718415,-0.9319393124301163,0.36023457685516563,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
9,02/18/2024,3:14:18 PM,3,3,Madison Inscoe,,,Nc state 2024 roster,Tristin Doster,dostetr10,Right,Campbell,,1,Top,0,1,1,Dropball,,BallCalled,,,,,,,62.51420949348308,7.5149157312020565,-2.799666642681743,874.2198147243923,17.707857576355007,6:30,1.4366499814223774,1.499711148806973,6.0000000000000036,-38.114799532867316,-5.979413560745954,-2.1490729666669908,2.960084884245819,-0.4194860845553146,57.20779655844713,-3.090461393047564,-3.399311199082194,0.4080029307331412,,,,,,,,,,,,1.5094716122240488,-9.686214833485874,-2.1139745515077597,50.000000000000014,-0.6610494016931672,4.257137367780018,-93.2690982974882,17.709006418178873,1.2939366146137543,17.5394925167713,-40.477185549978586,NC State 2024 Roster,Campbell,,Softball,,2d9bbf58-a4f9-4045-b3bd-47d2a429effc,d5f8825c-1fc1-464b-b6e6-66a4d8166287,62.581491586260334,1.429714868382843,1.5014217165034334,7.634662481022378,-2.829971099250457,57.23917395898502,2.9652144617258296,-0.42065623598173074,-2.9779487688147257,-3.424831518414291,0.4079559510957683,-1.9572499770221206,-7.556806807951955,-42.37570501942979,,645.8221883986898,-589.2147192905808,73.8741192456605,0.7037394700373509,-0.6739892065662426,0.22469825932515622,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
10,02/18/2024,3:14:45 PM,3,4,Madison Inscoe,,,Nc state 2024 roster,Tristin Doster,dostetr10,Right,Campbell,,1,Top,0,2,1,Dropball,,InPlay,,GroundBall,Double,0,1,,63.91501754241617,6.049602375834961,-1.339983529668611,931.5793355305992,19.29660104937728,6:45,1.2689671184942206,2.1042155519530823,6.0000000000000036,-34.924210055307086,-4.413452813233409,-1.8654760319583692,2.1307552354875092,1.116415604657752,58.66373703083534,-3.694404477132073,-1.8617215725149825,0.3975557284553072,,,,,,,,,,,,1.6979372336696543,-7.333759401662955,-2.3896785500984197,49.99999999999999,-0.4578307333868218,1.968991027704433,-95.74844048847608,15.217987108134704,1.5330383501879803,18.55956496405152,-38.79557492324833,NC State 2024 Roster,Campbell,,Softball,,2d9bbf58-a4f9-4045-b3bd-47d2a429effc,6583c6bf-e62e-4640-bddf-f548f902bb0a,63.9896854491168,1.2630992757052149,2.1062142241950013,6.152899983617784,-1.3760513979088504,58.70610455923251,2.135379476891261,1.1149822951208517,-3.5929093530143383,-1.8929849658370266,0.3974980209638652,-1.63771095053628,-5.86472006723689,-55.71548332093441,,524.7612300116821,-769.7179417580568,56.33027805546954,0.5316567440960155,-0.8262505536575142,0.18614813734731592,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
