PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,2/18/23,3:21:20 PM,1,1,Breanna Vasquez,vasqubr10,Right,Iowa,Rebecca Murray,murrare10,Right,North carolina state,,1,Top,0,0,0,,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,c4aa58c0-d0b9-4652-b78d-4130de38eb2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skylinn Pogue,poguesk10,Iowa
2,2/18/23,3:21:21 PM,1,2,Breanna Vasquez,vasqubr10,Right,Iowa,Rebecca Murray,murrare10,Right,North carolina state,,1,Top,0,0,1,,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,e7cf55f0-7e6b-4805-90de-eafd674863e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skylinn Pogue,poguesk10,Iowa
4,2/18/23,3:21:23 PM,1,4,Breanna Vasquez,vasqubr10,Right,Iowa,Rebecca Murray,murrare10,Right,North carolina state,,1,Top,0,1,2,,,InPlay,,LineDrive,Out,1,0,,46.2723172,12.37517025,-1.859029645,727.1786728,64.01574656,8:15,0.547997349,1.488822941,6,-60.12513329,0.293650625,-4.605900554,3.34901963,-0.049950974,41.73747415,-4.244740934,-3.146305436,0.559445149,,,,,,,,,,,,4.704789407,-4.217466396,-1.864836661,50,-2.905464662,1.735268243,-68.08758772,21.14353746,2.145270244,9.47241408,-34.09711232,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,e1931bc1-f0ef-417b-a7d5-e2f61adae193,46.34967826,0.539143444,1.490780852,12.5237181,-1.894278225,41.76439114,3.356065768,-0.051281586,-4.091357419,-3.174876615,0.559358178,-4.382388799,-2.453282995,-52.46785161,,443.0019548,-576.6611572,60.92064734,0.266908047,-0.793011647,0.547624526,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Skylinn Pogue,poguesk10,Iowa
5,2/18/23,3:22:08 PM,2,1,Breanna Vasquez,vasqubr10,Right,Iowa,Makayla Marbury,marbuma10,,North carolina state,,1,Top,1,0,0,,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,2cda92ce-ec1f-43be-9596-90f6b423f9c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skylinn Pogue,poguesk10,Iowa
6,2/18/23,3:22:11 PM,2,2,Breanna Vasquez,vasqubr10,Right,Iowa,Makayla Marbury,marbuma10,,North carolina state,,1,Top,1,1,0,,,Foul,,,,0,0,,62.79959162,8.980531826,-0.291717552,1342.265009,94.68776056,9:15,0.578697658,1.594252904,6,-29.95527382,2.149188914,-6.330079071,3.705950652,0.885574609,56.99645987,0.65750937,-2.065250507,0.407806577,,,,,,,,,,,,7.283310076,-0.850219279,-1.597467224,50,-1.77380933,-0.417576964,-93.54673797,19.01393022,6.250901083,18.24589264,-32.90375031,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,f7561ec4-6eb3-46ca-8879-2d861dfe33a2,62.89975457,0.574534764,1.594286818,9.052593575,-0.292682805,57.06640317,3.709441324,0.885658043,0.735049326,-2.06316047,0.407720101,-6.32229104,0.659872839,-53.66632276,,795.2742696,-1081.302081,59.24867772,-0.048421341,-0.805580175,0.590504831,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Skylinn Pogue,poguesk10,Iowa
7,2/18/23,3:22:34 PM,2,3,Breanna Vasquez,vasqubr10,Right,Iowa,Makayla Marbury,marbuma10,,North carolina state,,1,Top,1,1,1,,,InPlay,,FlyBall,Out,1,0,,63.88201416,7.722880033,0.519342666,1285.30022,85.97867378,8:45,0.640176604,1.222350385,6,-29.87978741,0.880002991,-5.15019158,2.975917948,1.115712418,58.26826329,-0.595281258,-0.922505243,0.399174885,,,,,,,,,,,,6.202394836,-1.777707758,-1.053126216,50,-1.420975653,-1.608805661,-95.3989859,17.25459209,5.554923043,18.5270674,-33.76618134,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,1539b449-cf89-4667-9af7-d00f96b08174,63.97460287,0.635846847,1.22300221,7.79807372,0.507316876,58.33222561,2.979515132,1.11532136,-0.515783027,-0.930810513,0.399097212,-5.073076122,-0.51330541,-60.5934025,,631.0876272,-1119.698648,49.10040607,0.034433022,-0.871157283,0.489795217,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Skylinn Pogue,poguesk10,Iowa
8,2/18/23,3:23:05 PM,3,1,Breanna Vasquez,vasqubr10,Right,Iowa,Katlyn Pavlick,pavlika10,Right,North carolina state,,1,Top,2,0,0,,,StrikeCalled,,,,0,0,,63.41454116,7.180754687,-1.673003888,1336.668783,95.26477966,9:15,0.733421852,1.250156143,6,-28.83654115,2.424492006,-6.592048069,2.815366375,-0.33848953,57.80421305,-0.86422193,-3.517878625,0.402414097,,,,,,,,,,,,7.068676863,0.120001827,-1.564357852,50,-1.191642987,1.828297163,-94.873496,16.08200433,6.230851616,18.95817532,-32.06827115,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,e8b3f4e0-ab78-40ea-8636-e78567333483,63.5123015,0.729438796,1.249943375,7.250004023,-1.669524126,57.8727409,2.818735326,-0.338224244,-0.790350567,-3.511885768,0.402328319,-6.612266621,0.951177787,-52.74384223,,809.1919153,-1063.904074,60.5379527,-0.05554871,-0.79593695,0.602825607,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Skylinn Pogue,poguesk10,Iowa
9,2/18/23,3:23:24 PM,3,2,Breanna Vasquez,vasqubr10,Right,Iowa,Katlyn Pavlick,pavlika10,Right,North carolina state,,1,Top,2,0,1,,,StrikeSwinging,,,,0,0,,48.09967432,8.907148514,-1.824979587,766.6244332,67.14833184,8:15,0.588227181,1.558937234,6,-54.24955277,0.437027261,-4.940884245,1.647010813,0.013416546,43.99454703,-6.178274044,-3.206271173,0.532245385,,,,,,,,,,,,5.103395145,-2.770200992,-1.923913339,50,-1.990841807,1.746334586,-71.60009472,17.10167365,2.571059572,10.54015007,-33.56966007,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,ed6a9703-ea3b-4288-a5ca-e90aa0bb21d0,48.1687387,0.580348341,1.560460958,9.042824528,-1.852563011,44.02009352,1.653268874,0.012396696,-6.04170317,-3.228334149,0.532164397,-4.765628257,-2.084939812,-53.64677726,,454.4254896,-617.4224616,59.2761553,0.23019702,-0.805378011,0.546237669,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Skylinn Pogue,poguesk10,Iowa
10,2/18/23,3:23:44 PM,3,3,Breanna Vasquez,vasqubr10,Right,Iowa,Katlyn Pavlick,pavlika10,Right,North carolina state,,1,Top,2,0,2,,,BallCalled,,,,0,0,,63.26017107,11.62966179,-0.938939055,1281.681375,89.1641475,9:00,0.612322941,1.840941632,6,-30.6535611,1.555667272,-6.641435147,5.382251777,0.70431182,56.99400894,3.190011532,-2.799322324,0.408471427,,,,,,,,,,,,7.402749017,-2.602816141,-1.987997098,50,-2.368200448,0.595837811,-93.45557647,23.55591609,6.333156429,18.36745022,-34.40079559,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,680cedd6-52ff-4bef-8d1d-32861b21d7e9,63.36717813,0.607853722,1.840619052,11.70519316,-0.933518121,57.06879345,5.386008408,0.704662617,3.272102688,-2.791473808,0.408382223,-6.673765227,0.018495781,-47.67464761,,863.0069733,-947.5896325,67.33397161,0.009822586,-0.739333231,0.673268067,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Skylinn Pogue,poguesk10,Iowa
11,2/18/23,3:24:06 PM,3,4,Breanna Vasquez,vasqubr10,Right,Iowa,Katlyn Pavlick,pavlika10,Right,North carolina state,,1,Top,2,1,2,,,BallCalled,,,,0,0,,63.24452665,7.929268828,0.863753797,1530.219444,99.55953577,9:15,0.699691897,1.644561571,6,-28.92701082,2.551019449,-6.504612524,3.245794903,1.638982261,57.53820826,-0.126047587,-0.959111926,0.403808352,,,,,,,,,,,,7.91478036,0.029405921,-1.3838279,50,-1.399087799,-2.351750382,-94.44777316,17.28249775,6.927858663,18.53354991,-32.14831039,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,c69916eb-1e59-4b6b-a4dd-08d794eda967,63.34153263,0.695785913,1.644761407,7.997992269,0.859710697,57.60794096,3.249063437,1.63894963,-0.050778119,-0.959567657,0.403725468,-6.477263891,1.113045223,-56.97115875,,834.0631303,-1282.930334,54.50611242,-0.090519588,-0.838396309,0.53749217,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Skylinn Pogue,poguesk10,Iowa
12,2/18/23,3:24:28 PM,3,5,Breanna Vasquez,vasqubr10,Right,Iowa,Katlyn Pavlick,pavlika10,Right,North carolina state,,1,Top,2,2,2,,,BallCalled,,,,0,0,,47.09105001,7.458790376,-0.909634428,833.6149995,78.71652059,8:30,0.515133293,0.974925023,6,-55.09291803,1.512371002,-5.449312303,0.583244203,-0.044156945,43.36865459,-7.874296611,-2.434798507,0.541501955,,,,,,,,,,,,6.03096831,-0.977741793,-1.127035785,50,-1.735989474,0.537557526,-70.38364238,15.07923491,2.935407141,10.19960914,-32.64993838,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,f82305f1-d8c0-4f6e-b67d-0ab521f32a1f,47.15723749,0.507361704,0.976680628,7.593341257,-0.941383491,43.39239169,0.58952583,-0.045336913,-7.737944274,-2.460316625,0.541415945,-5.247865781,-1.070986307,-57.48731359,,448.0566676,-702.9645724,53.7486331,0.105166396,-0.843272461,0.52709732,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Skylinn Pogue,poguesk10,Iowa
13,2/18/23,3:24:51 PM,3,6,Breanna Vasquez,vasqubr10,Right,Iowa,Katlyn Pavlick,pavlika10,Right,North carolina state,,1,Top,2,3,2,,,InPlay,,,HomeRun,0,1,,63.42926203,7.249249201,-2.358568485,1439.178755,96.99142062,9:15,0.835353521,1.346813729,6,-28.51733445,2.748172947,-5.734071013,2.989044485,-0.596633771,57.84399935,-0.699646924,-3.961302133,0.402442894,75.12765671,31.9615538,-2.299189282,1497.086368,,,,258.4965692,,0.490363143,4.241348183,5.815247517,0.488460823,-1.82524447,50,-1.103232595,3.085415935,-94.82571718,16.15178311,5.12503273,18.83226299,-31.74356444,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,0c94f83a-65b0-4864-9119-762a379ba7df,63.52763711,0.83151035,1.347312281,7.315683933,-2.367849932,57.91366879,2.99226123,-0.596892204,-0.62826018,-3.966677587,0.402357163,-5.673866524,1.308479328,-60.49103936,,708.8814027,-1252.486585,49.25596631,-0.059954717,-0.870278679,0.488897181,-2.557041751,63.68725407,39.76883213,0.456653097,2.953097051,3.347113325,2.212303309,258.4871022,11.08661693,23.91799208,0.934661986,0.977849816,0.098613812,-0.184621379,,,1,0,1,43.35796181,medium,high,,,37,Skylinn Pogue,poguesk10,Iowa
14,2/18/23,3:25:45 PM,4,1,Breanna Vasquez,vasqubr10,Right,Iowa,Madison Inscoe,inscoma10,,North carolina state,,1,Top,2,0,0,,,Foul,,,,0,0,,63.59476419,7.247818433,-0.632509804,1306.449225,98.82872262,9:15,0.916073211,1.909894819,6,-28.48046045,2.546299697,-5.815929553,3.06837212,1.032400152,58.00007658,-0.693832632,-2.261260519,0.400903397,50.5073882,-8.7231276,-72.59231556,2302.587565,,,,16.74547614,,-63.73502568,0.214391663,6.55801953,0.284345876,-1.995518507,50,-1.020839208,0.214487352,-95.12294406,16.19039779,5.823710754,18.77537101,-31.92154224,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,af305c58-9549-43a0-a364-282abfe49161,63.6935935,0.912219223,1.910070965,7.314196732,-0.635925923,58.07009069,3.071618337,1.032373856,-0.622517681,-2.261602372,0.400816655,-5.792896913,1.140498878,-56.71722746,,716.9420732,-1092.155503,54.87714787,-0.084226116,-0.835972406,0.542269395,-47.63668664,14.93544941,-7.659941211,-0.915246316,2.735035243,3.129601582,-15.01662492,7.410259573,0.615057526,-0.106789845,-0.077342214,-0.910311892,-0.141428078,-0.389012029,,,1,0,1,19.18188511,medium,high,,,37,Skylinn Pogue,poguesk10,Iowa
15,2/18/23,3:26:09 PM,4,2,Breanna Vasquez,vasqubr10,Right,Iowa,Madison Inscoe,inscoma10,,North carolina state,,1,Top,2,0,1,,,BallCalled,,,,0,0,,62.64796916,10.19604221,-1.773384978,1260.557563,87.42142242,9:00,0.811608622,1.461574076,6,-31.0558391,1.489707985,-6.407949378,4.62660333,-0.174127785,56.67825846,1.597640341,-3.566288231,0.410598455,,,,,,,,,,,,6.818150465,-2.119113801,-1.800380611,50,-1.836326053,1.979985859,-92.96379096,21.08174756,5.772699545,18.1550887,-33.96823224,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,cac109cc-7cc7-46f0-be8e-05f7c5d927cc,62.74988728,0.807042725,1.461456981,10.273485,-1.771620311,56.74783767,4.630348419,-0.173935848,1.680058085,-3.561859304,0.410511469,-6.417404864,-0.067499683,-50.29635453,,805.2653026,-969.821201,63.88167636,0.028740033,-0.769358917,0.638169937,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Skylinn Pogue,poguesk10,Iowa
16,2/18/23,3:26:29 PM,4,3,Breanna Vasquez,vasqubr10,Right,Iowa,Madison Inscoe,inscoma10,,North carolina state,,1,Top,2,1,1,,,StrikeCalled,,,,0,0,,62.8749832,7.265545151,0.519531185,1286.465726,95.74482087,9:15,0.691502113,1.245367085,6,-29.64973559,2.088243023,-6.440721853,2.757459779,1.031302013,57.32526648,-1.003231911,-1.28509707,0.405472266,,,,,,,,,,,,7.712493178,-0.252474395,-1.063360661,50,-1.261158777,-1.767820374,-94.04044673,16.20244105,6.695363394,18.32288079,-32.39322746,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,d5d4a20d-4700-437b-964b-ddb3b805d460,62.97128055,0.687315994,1.245227575,7.337800182,0.521689237,57.39128773,2.760874858,1.031504835,-0.927287388,-1.280407523,0.405387771,-6.45269819,0.627712388,-52.6302934,,780.8277384,-1022.40017,60.69557257,-0.060755129,-0.794735646,0.603907333,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Skylinn Pogue,poguesk10,Iowa
17,2/18/23,3:26:48 PM,4,4,Breanna Vasquez,vasqubr10,Right,Iowa,Madison Inscoe,inscoma10,,North carolina state,,1,Top,2,1,2,,,StrikeSwinging,Strikeout,,,1,0,,63.38468419,8.348626229,0.063075278,1285.358034,93.94574519,9:15,0.79094079,1.573336546,6,-29.46534085,1.927280663,-6.232435574,3.557391359,1.093139574,57.63820419,0.150734439,-1.68302998,0.403260157,,,,,,,,,,,,7.301084598,-0.850777015,-1.496982089,50,-1.410148233,-0.994389596,-94.56421475,18.08645315,6.407993072,18.54814536,-32.92075689,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,bfecc850-445c-497b-a9d7-e2af8bee10d1,63.48393852,0.786776154,1.573276781,8.420359243,0.063809004,57.7069194,3.560814302,1.093284524,0.226729542,-1.679615169,0.403175381,-6.235447133,0.477989991,-52.98490303,,773.8182228,-1026.328717,60.20254295,-0.041426468,-0.798476914,0.600598423,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Skylinn Pogue,poguesk10,Iowa
18,2/18/23,3:28:50 PM,1,1,Madison Inscoe,inscoma10,,North carolina state,Nia Carter,carteni10,Left,Iowa,,1,Bottom,0,0,0,Curveball,2,StrikeCalled,,,,0,0,,62.20947112,6.059842656,-2.680323587,944.3254841,63.21011631,8:00,0.903311658,1.236470195,6,-32.27643754,-0.020973256,-3.330085461,1.995284362,-0.706857397,57.09968758,-2.935788354,-3.609509042,0.4087645,,,,,,,,,,,,2.929089337,-2.204551175,-1.811805258,50,-0.80060498,3.888903372,-93.11044036,14.45114093,2.501542619,17.51883057,-34.0568118,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,a6495a4f-27c8-4d22-b9d6-85036bf75f76,62.29346023,0.898710105,1.237613798,6.139924147,-2.700954011,57.1543747,1.999041525,-0.707635621,-2.853313516,-3.626253662,0.408690916,-3.199058447,-1.464169727,-64.84521493,,401.3998122,-854.7682789,42.50651062,0.191585318,-0.905162778,0.379440919,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Haley Haislip,haislha10,North carolina state
19,2/18/23,3:29:07 PM,1,2,Madison Inscoe,inscoma10,,North carolina state,Nia Carter,carteni10,Left,Iowa,,1,Bottom,0,0,1,Screwball,1,BallCalled,,,,0,0,,62.34918166,7.774164742,-0.48698522,1069.841291,55.59415476,7:45,0.856380935,1.406472507,6,-33.31054669,-1.059795211,-3.117046968,2.938642766,0.844270916,56.97600588,-1.49549397,-1.358749036,0.408734637,,,,,,,,,,,,3.468218924,-4.010222232,-1.48580822,50,-1.251487947,0.350735148,-93.05698239,17.40939141,2.96221981,17.3434226,-35.59919661,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,7ad673ed-fae8-4925-b332-4f160c5cd631,62.43384602,0.851374872,1.40802748,7.860921348,-0.515058811,57.02961995,2.942686189,0.843196193,-1.406507822,-1.381989775,0.40866374,-2.93936733,-2.518360611,-65.13331835,,449.8771139,-970.654918,42.05082733,0.237608695,-0.907288704,0.346942814,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Haley Haislip,haislha10,North carolina state
20,2/18/23,3:29:26 PM,1,3,Madison Inscoe,inscoma10,,North carolina state,Nia Carter,carteni10,Left,Iowa,,1,Bottom,0,1,1,Curveball,2,InPlay,,Bunt,Out,1,0,,63.38187803,7.366351496,-4.442620773,1112.109833,60.44781069,8:00,0.881362499,2.083616046,6,-31.54431,-0.158374621,-3.553515118,2.866753241,-0.977126224,57.94619042,-1.396309258,-5.430213244,0.40321721,22.27258187,63.40320296,-62.23941718,1640.033406,,,,26.92869206,,-56.91143772,1.881429397,2.539972694,-2.872202885,-3.058191326,50,-1.11901748,6.830294836,-94.4535552,16.75895498,2.229466731,18.19028966,-34.69513211,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,98a849f4-923a-4dec-b821-2d1ac598f8bb,63.47045308,0.876707637,2.084957111,7.446716302,-4.466758839,58.00441585,2.870523661,-0.978035953,-1.313631224,-5.449679747,0.403144877,-3.399542553,-1.601416112,-64.48746669,,478.9951754,-1003.669219,43.07085158,0.212432392,-0.902491094,0.374676266,-8.823918297,4.644569171,19.91568091,0.643862265,4.108006247,2.83055375,-22.56160456,14.70130795,0.100188925,-1.640188737,-0.020284612,0.974026628,-0.119811186,0.192139034,,,1,0,1,-3.35360013,medium,high,,,37,Haley Haislip,haislha10,North carolina state
21,2/18/23,3:30:09 PM,2,1,Madison Inscoe,inscoma10,,North carolina state,Tatianna Roman,romanta11,Left,Iowa,,1,Bottom,1,0,0,Curveball,2,BallCalled,,,,0,0,,63.58537094,6.992743414,-5.56601823,1064.374592,53.55240652,7:45,0.962701846,1.980781601,6,-31.54250516,-0.30424874,-3.080771702,2.719344724,-1.743619806,58.20032865,-1.758829053,-6.41917194,0.402267471,,,,,,,,,,,,1.580861927,-2.906188412,-3.216922489,50,-0.954074332,8.784058873,-94.66919129,16.18861232,1.394154218,18.25416914,-34.7370026,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,73960421-ed7d-4c33-b283-b65bcd5c052f,63.67267925,0.958174503,1.98223018,7.071788174,-5.592207758,58.25860442,2.723163217,-1.744655498,-1.676241446,-6.441042778,0.4021964,-2.913541651,-1.728141615,-65.39924241,,443.0914849,-967.7619588,41.62928053,0.247314259,-0.909230609,0.334866178,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Haley Haislip,haislha10,North carolina state
22,2/18/23,3:30:28 PM,2,2,Madison Inscoe,inscoma10,,North carolina state,Tatianna Roman,romanta11,Left,Iowa,,1,Bottom,1,1,0,Curveball,2,Foul,,,,0,0,,63.89901813,7.405942926,-3.893083844,1189.652802,65.03232081,8:15,0.93575538,1.780152628,6,-30.53440346,0.290342956,-3.262785392,3.027140329,-0.913259285,58.42497066,-1.078370876,-4.80111436,0.399596135,,,,,,,,,,,,2.410463994,-2.341650199,-2.632254674,50,-1.062755563,6.011986053,-95.26560777,16.8195047,2.154211131,18.38887017,-34.26676241,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,c3644348-7a55-4e52-bf87-d7729181b9c3,63.98940515,0.931344431,1.781750838,7.481788142,-3.921746828,58.48567049,3.030707302,-0.914346674,-0.999772046,-4.824529439,0.399522836,-3.080403527,-1.092241503,-68.53210651,,435.3888782,-1107.118021,36.59797864,0.154482609,-0.9306228,0.331777527,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Haley Haislip,haislha10,North carolina state
23,2/18/23,3:30:55 PM,2,3,Madison Inscoe,inscoma10,,North carolina state,Tatianna Roman,romanta11,Left,Iowa,,1,Bottom,1,1,1,Changeup,1,StrikeCalled,,,,0,0,,53.49661414,7.873274702,-0.112151261,819.9800833,72.01164797,8:30,1.211031431,1.238781573,6,-43.94683164,-0.025837322,-5.533035863,2.469484082,0.70804401,48.89807408,-4.37527941,-1.661408791,0.476988166,,,,,,,,,,,,6.420790834,-2.915982064,-1.209073192,50,-1.02476429,-0.512298497,-79.88142886,16.35742061,4.027568114,13.09008922,-34.00315704,Iowa,North Carolina State,,Softball,,2cd6d029-0014-4edc-bde4-039856203a36,bdeb7006-5aa5-45e9-ad7e-291b8d5275f4,53.58253308,1.205540299,1.235133934,7.969403948,-0.046395977,48.94671819,2.474178412,0.710828341,-4.272796393,-1.60065992,0.476889625,-5.945898134,-1.984678721,50.77717114,,518.5045776,635.2325086,63.23380143,0.195280929,0.774692607,0.601428901,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Haley Haislip,haislha10,North carolina state
