PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,2/19/23,12:49:12 PM,1,1,Madi Elish,madi-el10,,Purdue,Rebecca Murray,murrare10,Right,North carolina state,,1,Top,0,0,0,,,StrikeCalled,,,,,,,57.47075365,6.120721117,-4.995110579,1056.65322,7.416089176,6:15,1.80490913,2.216903335,6,-44.36814683,-6.206142717,-1.083844472,1.937888003,-0.983495537,52.74232484,-6.225965448,-5.296674277,0.44461807,,,,,,,,,,,,-0.618642383,-9.566614695,-3.34237169,50,-0.035192852,7.3659673,-85.88111791,14.98673262,-0.44671213,15.56579209,-39.08195461,Purdue,North Carolina State,,Softball,,03905cb5-d110-4b07-8f42-1da2a3453373,c90b0899-2929-4a60-a8fb-b3d7638c567b,57.52201066,1.797500398,2.218662284,6.251729772,-5.026767083,52.75697662,1.943313828,-0.984714054,-6.099829716,-5.325018799,0.444580679,-0.881838446,-8.25714698,-32.06343559,,895.4722553,-560.9326759,84.74608684,0.840371821,-0.530857868,0.109385216,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Anna Lonchar,lonchan10,Purdue
2,2/19/23,12:49:32 PM,1,2,Madi Elish,madi-el10,,Purdue,Rebecca Murray,murrare10,Right,North carolina state,,1,Top,0,0,1,,,BallCalled,,,,0,0,,49.08988514,10.54305468,-4.689152438,886.3858966,13.24118902,6:30,2.214290574,1.839742738,6,-59.92176318,-6.471329413,-1.99110294,3.865693574,-1.244882772,44.54891614,-6.059422756,-5.243437625,0.526195512,,,,,,,,,,,,0.55758459,-11.5791195,-2.886279559,50,-0.808619767,5.734272887,-72.56404244,20.10374333,0.287459831,11.10728804,-38.14360433,Purdue,North Carolina State,,Softball,,03905cb5-d110-4b07-8f42-1da2a3453373,fb59be56-555c-4842-a3a7-017e8eb715f8,49.1345579,2.203822779,1.840514869,10.72361118,-4.702971368,44.54230042,3.873453445,-1.245443493,-5.892479806,-5.255571139,0.526176794,-1.903415882,-9.297942013,-13.41925678,,862.1857301,-205.7078623,97.26979337,0.946838266,-0.232074837,0.222797144,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Anna Lonchar,lonchan10,Purdue
3,2/19/23,12:49:52 PM,1,3,Madi Elish,madi-el10,,Purdue,Rebecca Murray,murrare10,Right,North carolina state,,1,Top,0,1,1,,,BallCalled,,,,0,0,,57.76126009,4.775659444,-5.343085284,840.8856974,357.9082876,6:00,1.944810455,1.927339145,6,-42.91898005,-5.302402807,0.180417773,1.353995206,-1.38558218,53.25134267,-7.156439831,-5.29293967,0.441429304,,,,,,,,,,,,-2.204267399,-7.980051014,-3.144967615,50,0.427134309,8.107588512,-86.43673026,12.85097857,-1.614625703,15.6140136,-38.01943635,Purdue,North Carolina State,,Softball,,03905cb5-d110-4b07-8f42-1da2a3453373,87b0009c-a652-46b2-924e-7d1d9f8b0465,57.81526095,1.937880212,1.928892009,4.896944738,-5.370574451,53.27037082,1.359378872,-1.38672072,-7.04068356,-5.31752721,0.441382897,0.354786712,-7.240381015,-26.72171793,,751.0799527,-378.1106463,89.32010082,0.892605854,-0.449657602,-0.032601085,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Anna Lonchar,lonchan10,Purdue
4,2/19/23,12:50:15 PM,1,4,Madi Elish,madi-el10,,Purdue,Rebecca Murray,murrare10,Right,North carolina state,,1,Top,0,2,1,,,BallCalled,,,,0,0,,58.19620878,3.935556062,-4.462038028,891.537371,3.50506503,6:00,1.79218308,2.325298912,6,-42.47007029,-5.55679243,-0.60955909,0.708466447,-0.502245805,53.76304364,-7.883127012,-4.631946497,0.437283236,,,,,,,,,,,,-0.971890654,-7.976750661,-3.333700377,50,0.473268297,6.734326796,-87.32657651,11.61449331,-0.725531845,16.10597207,-38.12882094,Purdue,North Carolina State,,Softball,,03905cb5-d110-4b07-8f42-1da2a3453373,3e352782-fa6f-4060-8796-73b122b57f9b,58.24678918,1.785315473,2.326643649,4.05780489,-4.486208854,53.77940056,0.71381399,-0.503228371,-7.767613739,-4.653355367,0.437239233,-0.456249405,-7.51513983,-27.71806289,,789.2308143,-414.6728898,88.52470351,0.88359109,-0.465121153,0.05412115,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Anna Lonchar,lonchan10,Purdue
5,2/19/23,12:50:36 PM,1,5,Madi Elish,madi-el10,,Purdue,Rebecca Murray,murrare10,Right,North carolina state,,1,Top,0,3,1,,,InPlay,,LineDrive,HomeRun,0,1,,49.69535301,8.336639161,-3.678063673,971.8713074,6.692004852,6:15,1.896072367,1.885497222,6,-58.510053,-7.082175721,-1.096435276,2.245284641,-0.493263222,45.48596681,-7.939260618,-3.984446232,0.516143927,73.32346533,21.39117887,-8.157211153,1228.307631,,,,221.8974071,,-3.925171122,2.991618188,-0.127020797,-11.48228912,-2.710298422,50,-0.593081816,4.638401299,-74.05631528,17.39199552,-0.068067549,11.72966431,-38.3271465,Purdue,North Carolina State,,Softball,,03905cb5-d110-4b07-8f42-1da2a3453373,002d853e-6af5-4e04-a54e-05a3c3d0aaae,49.72970063,1.886073358,1.886752649,8.513384166,-3.700802459,45.47227447,2.252753852,-0.494191253,-7.776093565,-4.005019652,0.516132479,-0.952470097,-9.878897026,-16.63363597,,931.203054,-278.1990481,95.81546928,0.951626709,-0.286250912,0.111655824,-9.68714582,67.58160947,26.7435195,0.377085981,3.241887159,2.581890146,-15.18967317,221.3769028,10.89325847,33.48046428,0.653335742,0.874317189,0.196550459,-0.443776261,,,1,0,1,45.73116594,medium,high,,,37,Anna Lonchar,lonchan10,Purdue
6,2/19/23,12:51:27 PM,2,1,Madi Elish,madi-el10,,Purdue,Makayla Marbury,marbuma10,,North carolina state,,1,Top,0,0,0,,,StrikeCalled,,,,0,0,,58.0091036,5.190665059,-4.960907827,913.3922822,0.99561255,6:00,1.804576607,2.381355069,6,-42.37647301,-5.093554994,-0.189822808,1.517849993,-0.723139345,53.41463883,-6.598346527,-5.013710749,0.439467204,,,,,,,,,,,,-1.619489262,-7.881887332,-3.507881686,50,0.197492756,7.508968689,-86.79425946,13.46782686,-1.196853238,15.67564454,-37.99901095,Purdue,North Carolina State,,Softball,,03905cb5-d110-4b07-8f42-1da2a3453373,17c05aa1-7a5d-4061-ba94-aaf04389cc85,58.06552675,1.797807193,2.383282165,5.309710637,-4.995316347,53.43624884,1.52313982,-0.724554984,-6.483567597,-5.044455147,0.439419982,0.028441356,-6.995490127,-36.28087736,,736.3091026,-540.4945574,80.61258202,0.806004118,-0.591744169,0.014007115,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Anna Lonchar,lonchan10,Purdue
7,2/19/23,12:51:46 PM,2,2,Madi Elish,madi-el10,,Purdue,Makayla Marbury,marbuma10,,North carolina state,,1,Top,0,0,1,,,BallCalled,,,,0,0,,57.87347776,3.656441673,-4.091802974,901.9063326,356.2545485,6:00,1.853507191,2.298390307,6,-42.46404977,-5.220501204,0.260424496,0.594554603,-0.225435856,53.5349308,-8.160727351,-4.019142316,0.439235111,,,,,,,,,,,,-1.836363953,-7.467889768,-3.230961247,50,0.598524092,6.250451272,-86.89648634,11.13221992,-1.358652779,15.84739574,-37.69924473,Purdue,North Carolina State,,Softball,,03905cb5-d110-4b07-8f42-1da2a3453373,61b23851-60ab-4524-8263-43297f8c7f4e,57.92505189,1.846644235,2.30034328,3.776404057,-4.126262587,53.55214265,0.599773589,-0.226835672,-8.048262128,-4.0496015,0.439189018,0.478328609,-7.154360387,-34.24484301,,745.5522105,-507.5302298,82.66403989,0.824874788,-0.562730531,-0.053999385,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Anna Lonchar,lonchan10,Purdue
8,2/19/23,12:52:05 PM,2,3,Madi Elish,madi-el10,,Purdue,Makayla Marbury,marbuma10,,North carolina state,,1,Top,0,1,1,,,Foul,,,,0,0,,57.56420815,4.094732148,-3.564675874,1045.77159,0.394896873,6:00,2.167313293,2.073251036,6,-43.74510355,-6.068169798,-0.261614034,1.074182538,-0.165239804,53.16311826,-8.093242139,-3.637787661,0.441783303,,,,,,,,,,,,-1.045757746,-8.640549356,-2.880498506,50,0.800608448,5.352525162,-86.46803505,11.89804932,-0.764878971,15.86438,-38.49384452,Purdue,North Carolina State,,Softball,,03905cb5-d110-4b07-8f42-1da2a3453373,b6762c6c-d8d6-4ba0-9a76-cefc8a2ece1b,57.61104227,2.160153804,2.075292641,4.222163145,-3.601450626,53.17496109,1.079724694,-0.166739562,-7.972607451,-3.670774237,0.441744096,-0.028969895,-8.096479384,-34.83587928,,858.3605969,-597.3736722,82.07916576,0.820772163,-0.571227673,0.005657057,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Anna Lonchar,lonchan10,Purdue
9,2/19/23,12:52:36 PM,2,4,Madi Elish,madi-el10,,Purdue,Makayla Marbury,marbuma10,,North carolina state,,1,Top,0,1,2,,,InPlay,,GroundBall,Out,1,0,,58.10939986,3.962729177,-4.366856388,945.2180525,2.816251433,6:00,2.171861924,1.873581151,6,-42.47662946,-5.466006639,-0.552400966,1.104289369,-0.889735873,53.68552248,-7.858823649,-4.520862704,0.437859442,,,,,,,,,,,,-0.999390467,-7.878066265,-2.860824451,50,0.846695447,6.586365086,-87.20038459,11.64078248,-0.744089033,16.03246022,-38.03960755,Purdue,North Carolina State,,Softball,,03905cb5-d110-4b07-8f42-1da2a3453373,a7affb47-754d-42ca-9272-06a525c4c62c,58.16025109,2.164944573,1.875329109,4.08435867,-4.397906054,53.7021603,1.109497811,-0.890971404,-7.743471821,-4.548448316,0.437815753,-0.355444436,-7.418325176,-33.9801628,,783.8042301,-528.2878908,82.92311261,0.828229615,-0.558905841,0.040742671,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Anna Lonchar,lonchan10,Purdue
10,2/19/23,12:53:09 PM,3,1,Madi Elish,madi-el10,,Purdue,Katlyn Pavlick,pavlika10,Right,North carolina state,,1,Top,1,0,0,,,BallCalled,,,,0,0,,58.314351,4.167540966,-4.841592501,981.0188904,0.557729706,6:00,2.050153409,2.449847011,6,-42.35638019,-5.542610808,-0.246141274,1.122549758,-0.584695345,53.83196395,-7.615935569,-4.910126047,0.436693438,,,,,,,,,,,,-1.533615058,-8.043682869,-3.548545901,50,0.678632566,7.37265702,-87.42379373,11.9751193,-1.147935565,16.09208771,-38.19487573,Purdue,North Carolina State,,Softball,,03905cb5-d110-4b07-8f42-1da2a3453373,2e3cc0e9-1464-4e0a-a60e-4f1b542b4978,58.36533601,2.043528081,2.451749927,4.286438671,-4.876144339,53.84974573,1.127784004,-0.586112632,-7.499080116,-4.941956452,0.436650884,-0.02662346,-7.465401992,-35.48687273,,798.7932001,-569.4975739,81.42485409,0.814209964,-0.58051642,0.007925949,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Anna Lonchar,lonchan10,Purdue
