PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,2/22/23,5:01:58 PM,1,1,Madison Inscoe,inscoma10,,North carolina state,Drew Menscer,menscdr10,Left,Elon,,1,Top,0,0,0,Screwball,1,StrikeCalled,,,,,,,62.54590681,6.908224222,-0.815935848,1189.739601,60.70992803,8:00,0.916058456,1.341268644,6,-32.93722233,-0.977105597,-4.062739446,2.482965963,0.495938789,57.24579807,-2.274268885,-1.952427444,0.406888767,,,,,,,,,,,,4.452119698,-3.633320944,-1.485850688,50,-0.987996943,0.756388517,-93.55543394,16.00596478,3.837464234,17.72749206,-35.30575765,North Carolina State,Elon,,Softball,,e3f6601b-4db0-44cb-8434-1ce6822d9198,6e3a751e-6ad9-45a3-9b16-9eb9828d4e33,62.62743713,0.911018354,1.34257521,6.996437426,-0.83976432,57.2975752,2.487120187,0.495036461,-2.183626151,-1.971728152,0.406819953,-3.911626084,-2.465731445,-63.11185511,,538.0599347,-1061.118195,45.22501684,0.221254954,-0.891891129,0.39443182,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
2,2/22/23,5:02:16 PM,1,2,Madison Inscoe,inscoma10,,North carolina state,Drew Menscer,menscdr10,Left,Elon,,1,Top,0,0,1,Screwball,1,BallCalled,,,,0,0,,62.64757538,5.634064454,-0.42397832,1126.044973,67.87945739,8:15,0.913385639,1.206555308,6,-31.80994256,-0.131945693,-3.645255975,1.77298964,0.639468977,57.55011173,-3.244086287,-1.443693625,0.405088933,,,,,,,,,,,,4.10654953,-2.168302625,-1.266334428,50,-0.686931965,0.175747921,-93.92700415,13.79794217,3.570959597,17.75393002,-34.05955493,North Carolina State,Elon,,Softball,,e3f6601b-4db0-44cb-8434-1ce6822d9198,2f478519-765e-4fb4-9e17-5ca385e1abd2,62.72895934,0.908830526,1.207904541,5.714783832,-0.44869354,57.6034666,1.776823794,0.638520319,-3.160543566,-1.463991421,0.405017674,-3.488628437,-1.549928829,-67.6516296,,428.1640723,-1041.466662,38.02370976,0.143180725,-0.924889047,0.352249245,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
3,2/22/23,5:02:36 PM,1,3,Madison Inscoe,inscoma10,,North carolina state,Drew Menscer,menscdr10,Left,Elon,,1,Top,0,1,1,Riseball,3,InPlay,,GroundBall,Out,1,0,,61.66902736,6.081753201,-1.200323266,1299.928909,86.06794797,8:45,0.921191712,1.45597625,6,-31.36257933,1.407258818,-3.840524409,2.099775596,0.390367105,56.56781546,-2.667749685,-2.274197472,0.412010867,51.77831343,1.758994253,-39.66697547,1993.781427,,,,38.10870738,,-39.37709806,0.479669953,4.055542214,-0.543545261,-1.690010321,50,-0.777402956,1.397812056,-92.37970737,14.23664825,3.409216479,17.25238543,-32.63097085,North Carolina State,Elon,,Softball,,e3f6601b-4db0-44cb-8434-1ce6822d9198,90de9bc2-efd3-43c2-906b-ffff9e5196d4,61.75435204,0.916989679,1.457643745,6.156089809,-1.230947446,56.62610177,2.103383838,0.389189195,-2.588511665,-2.299504337,0.411933541,-3.646338095,-0.019316745,-70.90404314,,425.2733108,-1228.396426,32.71512063,0.02243387,-0.944972004,0.326381117,-33.03577824,39.83848694,1.589357023,-0.751005009,3.507864972,2.185354753,-24.17698672,29.45754387,-1.993766386,0.536646168,0.026069137,0.262217348,0.110911725,0.958613922,,,1,0,1,25.01476288,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
4,2/22/23,5:03:19 PM,2,1,Madison Inscoe,inscoma10,,North carolina state,Megan Grant,grantme10,Left,Elon,,1,Top,1,0,0,Curveball,2,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Carolina State,Elon,,Softball,,e3f6601b-4db0-44cb-8434-1ce6822d9198,54a7048b-0fe8-4ee0-87ac-d200ba1d90af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amanda Hasler,hasleam10,North carolina state
5,2/22/23,5:03:32 PM,2,2,Madison Inscoe,inscoma10,,North carolina state,Megan Grant,grantme10,Left,Elon,,1,Top,1,1,0,Curveball,2,StrikeCalled,,,,0,0,,62.41917343,7.275886924,-2.541488464,1460.044737,65.4741555,8:15,1.094500348,1.496563787,6,-32.55564208,-0.323501483,-4.55625418,2.929113008,-0.462542159,57.04720405,-1.790798609,-3.813578489,0.408616686,,,,,,,,,,,,4.395977352,-3.041115543,-2.028163176,50,-0.891482114,3.495760687,-93.23915691,16.50899185,3.757413159,17.81240231,-34.77340956,North Carolina State,Elon,,Softball,,e3f6601b-4db0-44cb-8434-1ce6822d9198,af332581-a2eb-4ea4-8ff2-fa4f0bab36a1,62.50212007,1.089473709,1.498251979,7.364006119,-2.572399117,57.10026644,2.933224028,-0.463697766,-1.700304047,-3.838390037,0.408548335,-4.359557005,-1.853094364,-65.90065524,,596.1654842,-1332.78556,40.83200118,0.169495131,-0.912838851,0.37147898,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
6,2/22/23,5:03:51 PM,2,3,Madison Inscoe,inscoma10,,North carolina state,Megan Grant,grantme10,Left,Elon,,1,Top,1,1,1,Changeup,1,InPlay,,FlyBall,Out,1,0,,50.53926811,8.413154207,0.325153131,922.5122803,88.47193361,9:00,1.46405653,1.159260951,6,-47.48616591,1.820753337,-4.979160879,2.76979788,0.946268182,46.18664289,-4.808050238,-1.068712791,0.505388618,61.82367234,36.39023127,-3.687430638,2206.058665,-12.82582005,109.2497064,50.98867956,193.8962968,,-8.280267292,3.89302764,5.932449458,-0.929958401,-1.035800412,50,-0.932540621,-0.995788212,-75.34459808,16.56272451,3.314555257,11.54580154,-32.69363235,North Carolina State,Elon,,Softball,,e3f6601b-4db0-44cb-8434-1ce6822d9198,b283a72e-c845-4055-848d-cbb4f02bd311,50.63526696,1.458464764,1.154617613,8.5091951,0.407758135,46.24210251,2.774690508,0.949767464,-4.701356269,-0.992367853,0.505263238,-5.497093105,-0.288528074,64.52828147,,396.7407187,832.8419474,43.00655148,0.011468397,0.902797681,0.429912576,-3.200732238,49.66471312,36.67885012,-0.987985189,2.840733796,3.021010196,-27.92405256,191.8750146,-15.24521299,7.892601352,0.76163349,0.960733789,-0.019402188,0.276792596,,,1,0,1,36.03838542,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
7,2/22/23,5:04:20 PM,3,1,Madison Inscoe,inscoma10,,North carolina state,Carley Davis,davisca11,Right,Elon,,1,Top,2,0,0,Screwball,1,StrikeCalled,,,,0,0,,62.80708959,6.321203085,-0.346568483,1202.676213,65.75357367,8:15,0.966894751,1.298022532,6,-31.97866843,-0.383301782,-3.673885248,2.243843396,0.776627705,57.59108114,-2.598533972,-1.374322521,0.404560262,,,,,,,,,,,,4.167610469,-2.708863045,-1.339950155,50,-0.79272606,0.044805939,-94.04828353,14.98017705,3.633529008,17.79599783,-34.53577042,North Carolina State,Elon,,Softball,,e3f6601b-4db0-44cb-8434-1ce6822d9198,295f04f3-9de0-4b20-b504-d7d1a4e26e11,62.88959625,0.962146351,1.299548091,6.404192841,-0.374259198,57.64443667,2.247712577,0.775579549,-2.513396629,-1.396948205,0.404489686,-3.498395072,-1.812471804,-67.69911949,,456.3799854,-1112.720712,37.94703681,0.155834054,-0.925203891,0.345996399,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
8,2/22/23,5:04:37 PM,3,2,Madison Inscoe,inscoma10,,North carolina state,Carley Davis,davisca11,Right,Elon,,1,Top,2,0,1,Curveball,2,BallCalled,,,,0,0,,62.24297545,4.522506942,-3.142605906,1160.422379,62.90406093,8:00,1.042490386,1.477654777,6,-32.14001515,-0.021332788,-3.915924876,1.18292851,-0.802335681,57.33053459,-4.440157032,-4.234589167,0.407896879,,,,,,,,,,,,3.433195551,-1.669838899,-2.15234991,50,-0.307866875,4.573495761,-93.38196451,11.94052045,2.944783829,17.81096875,-33.60633461,North Carolina State,Elon,,Softball,,e3f6601b-4db0-44cb-8434-1ce6822d9198,34453222-f4c2-4982-bdd9-f27359f8f995,62.3208936,1.037844526,1.479015353,4.604443175,-3.167388888,57.38115642,1.186807925,-0.803285746,-4.355455863,-4.254956538,0.407827507,-3.758394845,-1.497759073,-67.09492155,,451.6428751,-1068.924137,38.92055888,0.177276066,-0.921150916,0.346488364,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
9,2/22/23,5:04:57 PM,3,3,Madison Inscoe,inscoma10,,North carolina state,Carley Davis,davisca11,Right,Elon,,1,Top,2,1,1,Screwball,1,InPlay,,LineDrive,Double,0,0,,62.73683117,7.064669863,-1.372795958,1350.683341,77.1797027,8:30,1.109973802,1.343121584,6,-31.21797983,0.591695277,-4.317064426,2.919599541,0.13063313,57.37352388,-1.634922866,-2.57991491,0.405929991,77.20179987,9.329944831,-41.80037639,1168.756386,,,,119.3789693,,-45.22497232,1.215288404,4.546970261,-1.86933537,-1.611578245,50,-0.813112237,1.634534931,-93.80187707,16.0637091,3.937861902,17.88710979,-33.79297034,North Carolina State,Elon,,Softball,,e3f6601b-4db0-44cb-8434-1ce6822d9198,4cf1933e-4158-48dd-a7f0-c0862dcbfd1d,62.82246505,1.105581721,1.344537148,7.142604132,-1.39903209,57.43225302,2.923275692,0.129661253,-1.551558065,-2.601427337,0.405857693,-4.150073032,-0.843374052,-67.26223385,,522.0580667,-1245.712994,38.6514034,0.08576512,-0.922283526,0.376878552,-50.77715436,56.79040578,12.51592223,-0.463361965,2.212848026,3.009030521,-84.74447814,84.08157792,-2.637540773,-8.974986395,-0.036766302,-0.00212267,-0.127581322,0.991825842,,,1,0,1,44.5918576,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
10,2/22/23,5:05:33 PM,4,1,Madison Inscoe,inscoma10,,North carolina state,Claudia Penny,pennycl10,Right,Elon,,1,Top,2,0,0,Riseball,3,Foul,,,,0,0,,61.22807754,7.161521087,-0.691817399,1201.615093,86.14735705,8:45,0.875991092,1.012421925,6,-32.09353057,1.289155003,-4.1092696,2.672799876,0.24031124,55.99443448,-1.781791535,-1.841386389,0.415845646,57.81588403,54.01040408,147.2928665,,60.48299411,-91.87930901,51.911346,151.5669889,,146.8216596,3.912677447,4.551289157,-1.076261206,-1.128368914,50,-1.077978792,0.535210588,-91.53478878,15.95425926,3.755747594,16.95591068,-33.06218596,North Carolina State,Elon,,Softball,,e3f6601b-4db0-44cb-8434-1ce6822d9198,f758b1e6-203a-40ed-82fa-e55b0d33bf48,61.31664876,0.87158219,1.013797951,7.238490178,-0.71693523,56.05371167,2.676473003,0.239382101,-1.700737204,-1.861416824,0.415765525,-3.949711252,-0.177427814,-67.10726318,,467.436877,-1106.969556,38.90071619,0.026137642,-0.92123473,0.388128066,18.35813246,-28.58790028,46.78020283,-0.279067058,3.430162962,3.174953247,82.94455899,-126.857212,,,,,,,,,1,0,,16.92643466,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
