PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,02/23/2024,5:39:03 PM,1,1,Aisha Weixlmann,,,Nc state 2024 roster,Caitlyn Mitros,,Left,Albany,,1,Top,0,0,0,Screwball,,StrikeCalled,,,,,,,68.09771048617692,5.78989163637881,0.1421276485171478,1640.5468562199521,107.05259084071693,9:30,0.9174069334385504,1.2508771721456646,6.0000000000000036,-24.272149588766133,2.585642564621388,-3.970169692309832,2.502819563920845,1.008297715712876,62.35643083159632,-0.9865857086976891,-0.9694795547551515,0.3729981490864137,,,,,,,,,,,,4.6881171488157065,0.9161126812552499,-1.1790290699617494,49.999999999999986,-0.6428733956315076,-0.8670441891845582,-102.11290549517622,14.10627875596345,4.808815898636772,21.279914215171996,-31.234350963563507,NC State 2024 Roster,Albany,,Softball,,6548ba08-7b4e-48b3-a472-c59742814bb1,0e6a81f2-07ed-421b-a1de-cc441ca65f61,68.21125819422531,0.9142471377043276,1.2520374807127121,5.844358810382752,0.12141112797610167,62.44008726542383,2.5054568014619174,1.007549407315626,-0.9276405457823765,-0.9858693043033473,0.37290867198882605,-3.8386812570846964,1.49116224049093,-69.9697213915168,,561.914656930497,-1541.313046003261,34.25166765582218,-0.10044279537737454,-0.9395117488778469,0.32745826997843314,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
2,02/23/2024,5:39:17 PM,1,2,Aisha Weixlmann,,,Nc state 2024 roster,Caitlyn Mitros,,Left,Albany,,1,Top,0,0,1,Riseball,,StrikeSwinging,,,,,,,68.20264254416637,6.1748139571766965,-1.0390820579257065,1599.6965893554695,110.02683378107986,9:45,1.0048485194460453,1.3521688795404898,6.0000000000000036,-23.24812015049097,3.6004781632363176,-5.136649889937761,2.917899724985962,0.27872585149339757,62.374031567106194,-0.3131966964719552,-2.4767691440123727,0.37293430209032924,,,,,,,,,,,,5.617487189522472,1.9316025207598289,-1.5367871320236872,50.0,-0.6334351175430787,1.0602002202644574,-102.2131795627463,14.652406130236834,5.764551188587012,21.55543087811137,-30.191878335535556,NC State 2024 Roster,Albany,,Softball,,6548ba08-7b4e-48b3-a472-c59742814bb1,2b5d1b9b-fde5-4b68-9707-19139ba18d58,68.31806414191622,1.0020593116838756,1.3526236827384988,6.223727262052092,-1.0474717040078285,62.46184357705737,2.9203890781173087,0.2784714270288518,-0.25824352606088424,-2.482164974379558,0.3728430128421315,-5.082615583440061,2.514553742931487,-63.35881910287304,,717.306557693551,-1429.8603009683673,44.840162970064185,-0.1535597115201939,-0.8938321869802006,0.42128783096124,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
3,02/23/2024,5:39:32 PM,1,3,Aisha Weixlmann,,,Nc state 2024 roster,Caitlyn Mitros,,Left,Albany,,1,Top,0,0,2,Riseball,,Foul,,,,,,,67.72343808122562,7.318693072541549,0.03074152590545934,1572.3167865459739,111.73887647540728,9:45,0.9661260531242495,1.4151247650088383,6.0000000000000036,-23.736383691364274,3.608685026236195,-4.973662612862467,3.558225026119977,1.0197447730457716,61.77460590086629,0.7090161819522233,-1.3623228880262672,0.3763665620615414,,,,,,,,,,,,5.8194666322250646,1.5221570916018439,-1.3585941434964437,49.99999999999997,-0.9400235574169534,-0.8159090695433936,-101.26682283081522,16.640717053082906,5.863313524579928,21.11839157613133,-30.6404237701386,NC State 2024 Roster,Albany,,Softball,,6548ba08-7b4e-48b3-a472-c59742814bb1,87a0fe7c-433b-4998-bb08-5c1ac27dec70,67.84115576296325,0.9633232850716904,1.4156529499836263,7.367658091059996,0.021001379345700358,61.86489946239352,3.5607676420605197,1.0194314415217802,0.7650586131045367,-1.3690009965920282,0.37627232364713165,-4.911171812424773,2.512495002782424,-62.6070714362502,,723.4075425111579,-1396.0163339632616,46.009019855363974,-0.17040687783300007,-0.8878721806627755,0.4273692628071614,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
4,02/23/2024,5:39:52 PM,1,4,Aisha Weixlmann,,,Nc state 2024 roster,Caitlyn Mitros,,Left,Albany,,1,Top,0,0,2,Changeup,,Foul,,,,,,,52.59634686537205,8.267009853535553,-2.3782076411504987,1265.7281147724873,86.27755909201001,9:00,0.9400548032009112,1.3556288079430365,6.0000000000000036,-43.5533997469976,2.1098342997216832,-7.1541708927248795,2.4851858198801824,-0.7183780454928962,48.011262029564755,-3.8580591197542593,-4.3762300689359135,0.48635664704698645,,,,,,,,,,,,7.4734684215142515,-0.6194391245077595,-1.8243427533807324,50.0,-1.3838438577919754,2.409859179901002,-78.42404916706064,16.562166066897117,4.509484829180608,12.79278685077539,-32.547818655061334,NC State 2024 Roster,Albany,,Softball,,6548ba08-7b4e-48b3-a472-c59742814bb1,0709ef37-2ecf-4ce4-87d8-1fea20ccbab4,52.68704195892565,0.9339645540295611,1.3571239964282378,8.373276710237459,-2.405300651421652,48.06376560632636,2.490343612867872,-0.7193890134763955,-3.7448357437596185,-4.398191975440471,0.48625274094267673,-6.9819803487348375,0.09464555041416008,-56.67162834967579,,695.4373737803236,-1057.5606458615227,54.943661728279416,0.03567115846857543,-0.8355353993630913,0.548277452449642,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
5,02/23/2024,5:40:18 PM,1,5,Aisha Weixlmann,,,Nc state 2024 roster,Caitlyn Mitros,,Left,Albany,,1,Top,0,0,2,Riseball,,BallCalled,,,,,,,67.60633192627952,5.205503878590674,0.4813951099915186,1574.3745396205359,124.55647889649211,10:15,0.801923256366178,1.4467610251867606,6.0000000000000036,-22.105951444237537,5.102362552171417,-5.258928470984093,2.2016584822231025,1.307492662417859,61.94072926545168,-0.9709464527572266,-0.9913696446048339,0.37542426388313344,,,,,,,,,,,,6.31671056582169,4.059665458070017,-1.285104614129857,50.0,-0.6028550995347332,-1.660197996266983,-101.48421136161397,12.640337720173694,6.396061583909549,21.10613989606784,-28.06338628912809,NC State 2024 Roster,Albany,,Softball,,6548ba08-7b4e-48b3-a472-c59742814bb1,27013776-653d-4616-a2df-60f7a10af306,67.72324243125604,0.7995928369679015,1.4469987763102277,5.245703721626728,0.4770047469193759,62.03058978370577,2.2037729929792436,1.307405047704308,-0.9241462893542076,-0.993166796243883,0.3753277406202359,-5.23011114746627,4.073721063903997,-59.47847585998184,,799.5650101079418,-1356.226745650026,50.786200486998304,-0.2880686423274355,-0.8614384388970817,0.4182586201122299,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
6,02/23/2024,5:40:41 PM,1,6,Aisha Weixlmann,,,Nc state 2024 roster,Caitlyn Mitros,,Left,Albany,,1,Top,0,1,2,Curveball,,BallCalled,,,,,,,67.89194575734466,3.0233251357665423,-1.9160459089781858,1453.9067299582741,102.70559541530446,9:30,1.1674418510909235,1.700586506159693,6.0000000000000036,-24.232369042891914,2.631270930824705,-4.436157740932904,1.028498584031376,0.14050962494102043,62.543110061101,-3.7483290805487464,-3.1560825302287023,0.37303875382838825,,,,,,,,,,,,4.482352968961799,1.9697757817783816,-2.0912661448568923,50.00000000000003,0.23890196232376798,2.731575082920395,-102.14262021329908,9.142205543450313,4.596936211276427,21.40750707207218,-30.153920050897884,NC State 2024 Roster,Albany,,Softball,,6548ba08-7b4e-48b3-a472-c59742814bb1,abf0a98b-e66a-46fd-a0a1-862aa0e0161b,67.99605711817861,1.1643852650474962,1.7014545105450134,3.0780358250266002,-1.931986223266624,62.62185523183845,1.0312529859274848,0.1399174354779278,-3.688311842757616,-3.168732535126812,0.3729541974664158,-4.334749927847178,1.527128234228718,-70.18188639456844,,492.92576974898515,-1367.7971212629936,33.90353449723227,-0.07456793299144307,-0.9407736363544092,0.330733410029718,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
7,02/23/2024,5:41:00 PM,1,7,Aisha Weixlmann,,,Nc state 2024 roster,Caitlyn Mitros,,Left,Albany,,1,Top,0,2,2,Screwball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,67.8679160694461,7.884714728593123,-1.1953581165222131,1698.7244960239957,103.24906223162822,9:30,0.9777383307220355,1.6903730597406368,6.0000000000000036,-24.425785174873628,2.895392145055748,-4.634511082354611,3.8712490243498285,0.5616832911820365,61.838501606756054,1.091615314176986,-2.492492749374503,0.37620211032405615,,,,,,,,,,,,4.972960420784897,0.46639659845939135,-1.9154732612766054,50.0,-1.0662859180207693,1.4046843687106416,-101.3368789996571,17.77813117210789,5.014937773529193,21.219703944701255,-31.703716078159538,NC State 2024 Roster,Albany,,Softball,,6548ba08-7b4e-48b3-a472-c59742814bb1,eda83ae6-945a-411d-a4c0-75c57c8a4968,67.98658536953612,0.9746018989056396,1.6912215948226668,7.938506637177527,-1.2106910219134506,61.927353627116034,3.873967108981485,0.5611439391394474,1.151401308569806,-2.5040495007608525,0.3761087075392231,-4.536846005789006,1.7623027223824288,-65.63702344585249,,700.7508095761831,-1547.4537848576615,41.25158677680506,-0.09454222616961283,-0.9109504151377132,0.4015359369114072,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
8,02/23/2024,5:42:05 PM,2,1,Aisha Weixlmann,,,Nc state 2024 roster,Jordan Nastos,,Left,Albany,,1,Top,0,0,0,,,InPlay,,,Out,1,0,,64.82583371326929,7.703672366066866,0.16896274435061398,1191.861446496212,21.459040504077425,6:45,1.0947952384160349,0.7695344985293611,6.0000000000000036,-33.85367727245246,-4.029772856713699,-1.4511000083984105,3.0870540878792863,0.7535434871806814,59.23679831918066,-1.7200896612087775,-0.23700300199406435,0.39305540417221946,,,,,,,,,,,,1.7548606035832197,-7.456279387947552,-0.7166930587198708,49.999999999999986,-1.0021242554294818,-0.49848969588900405,-96.77487144651757,18.06249433687685,1.6208070818884899,18.772468070675668,-39.060744980407975,NC State 2024 Roster,Albany,,Softball,,6548ba08-7b4e-48b3-a472-c59742814bb1,883ca33a-ed7f-4f4b-ade8-1a257c814674,64.90882030277989,1.089226802864659,0.7719965454221877,7.802749285048217,0.12385350701180164,59.28785195368115,3.0916698763926673,0.7517037677544327,-1.619585445836147,-0.27671347239704913,0.3929929088255496,-1.166539893734975,-5.414344664199132,-63.1888932285289,,537.5897620668587,-1063.7344383655825,45.10505509237204,0.4197834262897335,-0.8924984036464202,0.16501052845513706,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
9,02/23/2024,5:38:41 PM,3,1,Aisha Weixlmann,,,Nc state 2024 roster,Morgan Petty,,Right,Albany,,1,Top,1,0,0,Screwball,,InPlay,,,Out,1,0,,68.81138143341964,5.813381721167134,0.7091256186075262,1707.8608398437502,115.90963986391093,9:45,1.0089106562400525,1.541478904757492,6.0000000000000036,-22.82376892276722,3.4886640025659474,-4.4025358416418685,2.730027105877844,1.6150232463249383,62.98293997121967,-0.5574257740445328,-0.5236631172080672,0.3691917821448892,,,,,,,,,,,,5.398674961552484,1.9591493667132767,-1.3366683928106868,50.00000000000001,-0.5423732224136018,-1.96456333116998,-103.17452940570743,14.069659512064083,5.65249102460063,21.749891268765232,-30.122791769949842,NC State 2024 Roster,Albany,,Softball,,6548ba08-7b4e-48b3-a472-c59742814bb1,03840e5a-6ff9-4f73-92e5-9fea965ccf1c,68.9270734289151,1.0062149940844964,1.5422631733640428,5.860605959869517,0.6947716086996164,63.07166991795677,2.7324301422646253,1.614515555301066,-0.5040041597911232,-0.5346461415244766,0.3691012571092297,-4.311049242349685,2.451669996010994,-66.54531422745464,,679.7690017812012,-1566.7491032354828,39.8023648017711,-0.17391767897869448,-0.9173751553310528,0.3580160126586386,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
10,02/23/2024,5:42:57 PM,3,1,Wendi Hammond,,Right,Albany,Kaylee Lambrecht,,,Nc state 2024 roster,,1,Bottom,0,0,0,Screwball,,BallCalled,,,,,,,64.34642148709305,5.792873645733477,0.6192590195238273,1019.7945233513327,36.54870365074503,7:15,0.9558285978082053,0.6973867107907865,6.0000000000000036,-32.716745333696736,-2.6599303455908405,-2.6014606111347707,1.8395956553825121,0.8652018293118591,59.05716161702801,-3.3397565167413292,-0.1087992410378023,0.39458720762424404,,,,,,,,,,,,3.260085987440399,-5.187604503746807,-0.5308966304686106,50.00000000000002,-0.6898288076449822,-1.4229174799229247,-96.4550550977148,14.569772612138681,2.98788810336309,18.797911970248446,-36.928519818200044,NC State 2024 Roster,Albany,,Softball,,6548ba08-7b4e-48b3-a472-c59742814bb1,569f728e-29a9-49f9-a681-11c019ee9996,64.43113038538714,0.9505071240616818,0.6993081191988401,5.885717924713995,0.5849139982795961,59.109975983990715,1.8438538503054607,0.8638484562276412,-3.247123013153235,-0.13801562857701655,0.39451744887467194,-2.384771535386696,-4.03691072833695,-65.66202301452313,,420.2760447321437,-929.1657096996623,41.21183582659357,0.3310756736584257,-0.9111303193178185,0.24541890622246237,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Maddi Petrella,,Albany,2022-11
