PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,2/24/23,5:30:26 PM,1,1,Madison Inscoe,inscoma10,,North carolina state,Kemiah  Michel,,Switch,East tennessee state,,1,Top,0,0,0,Curveball,2,StrikeCalled,,,,0,0,,62.07097451,4.639084196,-4.100434223,1008.275409,79.51099031,8:45,1.296151654,1.962563559,6,-30.96402832,1.40497459,-3.597631708,1.610624431,-0.888155201,57.15225888,-3.986183352,-5.101235614,0.409483289,,,,,,,,,,,,2.716954755,-0.043969768,-2.858623224,50,-0.070342047,6.160687735,-93.00420877,11.9267506,2.31237497,17.62609932,-32.21147185,North Carolina State,East Tennessee State,,Softball,,3867564a-e0dd-49c1-bff3-89126ce80773,7d6e44f9-00d0-4994-9429-283239d41663,62.15654283,1.291988092,1.963694876,4.711642404,-4.120816384,57.20977637,1.614079644,-0.888919268,-3.910773667,-5.117530848,0.409405259,-3.467692602,-0.020050639,-68.39145531,,371.3107276,-937.4154067,36.82631989,0.06704118,-0.92972158,0.362109464,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
2,2/24/23,5:30:42 PM,1,2,Madison Inscoe,inscoma10,,North carolina state,Kemiah  Michel,,Switch,East tennessee state,,1,Top,0,0,1,Riseball,3,InPlay,,Bunt,Out,1,0,,60.91295912,7.299689916,-1.812835326,951.7220993,73.24397774,8:30,1.093813957,1.608478058,6,-33.3344786,0.445258167,-3.85717714,2.876357477,0.160816054,55.71186999,-1.983943797,-2.890616786,0.418311354,,,,,,,,,,,,3.854321088,-2.114574054,-1.981424491,50,-0.905099201,2.348191001,-90.99792359,16.2595642,3.14322988,16.76434625,-33.89850175,North Carolina State,East Tennessee State,,Softball,,3867564a-e0dd-49c1-bff3-89126ce80773,b61ef03c-ef80-41c1-bc39-8f7a73042962,61.00027075,1.089057752,1.609481082,7.381631088,-1.830855157,55.76830286,2.880208463,0.160161223,-1.899177729,-2.904693779,0.418232563,-3.742641758,-1.063174178,-62.31645892,,442.15836,-842.7757347,46.45876777,0.133939194,-0.885527125,0.444861779,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
3,2/24/23,5:31:17 PM,2,1,Madison Inscoe,inscoma10,,North carolina state,Kaylee Higgins,,Right,East tennessee state,,1,Top,1,0,0,Riseball,3,BallCalled,,,,0,0,,63.21494276,9.452578041,-0.843168959,1085.445017,81.67726593,8:45,0.875930675,1.281393828,6,-30.93204027,0.76621835,-4.370674541,4.223238117,0.393486144,57.43884989,0.880286188,-2.065899097,0.405218463,,,,,,,,,,,,4.800857529,-2.541301851,-1.429097292,50,-1.597399791,0.760738725,-93.96147589,20.0482657,4.172330141,17.93475464,-34.38264466,North Carolina State,East Tennessee State,,Softball,,3867564a-e0dd-49c1-bff3-89126ce80773,9737bdb2-24aa-4ce8-8f7e-7abd22c6cc9c,63.31266235,0.871526483,1.282143024,9.528150554,-0.856857629,57.50548255,4.226850902,0.393019168,0.960101366,-2.07591046,0.405137131,-4.283230579,-0.653714826,-59.76239237,,546.6161304,-937.7641981,50.35871203,0.07289364,-0.86394445,0.498283559,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
4,2/24/23,5:31:35 PM,2,2,Madison Inscoe,inscoma10,,North carolina state,Kaylee Higgins,,Right,East tennessee state,,1,Top,1,1,0,Screwball,1,Foul,,,,0,0,,62.82500544,7.942512524,-2.199756389,987.7519956,75.48443121,8:30,0.924279559,2.250170813,6,-31.0848219,0.760509504,-3.079119329,3.302047657,0.626755262,57.37729664,-0.697013085,-3.059482696,0.406157436,,,,,,,,,,,,2.81304066,-1.959156585,-2.718757621,50,-1.201398237,3.160638485,-93.67325724,17.49571123,2.433283738,17.64088412,-33.86872252,North Carolina State,East Tennessee State,,Softball,,3867564a-e0dd-49c1-bff3-89126ce80773,f715ee1d-2b96-472b-92be-2060523d1058,62.91756457,0.920022771,2.251453059,8.015808641,-2.222833841,57.4404549,3.305570013,0.625877975,-0.619434233,-3.078398181,0.406078234,-2.932791292,-0.618201743,-67.5279225,,377.5515411,-912.7479601,38.22331342,0.095804085,-0.924065924,0.370032088,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
5,2/24/23,5:31:59 PM,2,3,Madison Inscoe,inscoma10,,North carolina state,Kaylee Higgins,,Right,East tennessee state,,1,Top,1,1,1,Changeup,2,InPlay,,GroundBall,Out,1,0,,51.86070363,6.709028632,-1.705006986,845.494106,85.60361469,8:45,1.424530844,1.455918348,6,-45.38877026,1.18206541,-5.56569168,1.829752782,-0.067090309,47.64095833,-5.944230401,-3.261519287,0.491166274,35.7043129,25.6680994,-10.52834782,1218.281102,,,,71.60606427,,-7.65843565,1.591366085,5.872142242,-1.099405911,-1.787463214,50,-0.557353912,1.657781572,-77.62466211,14.45933788,3.474052877,12.46609661,-32.82447563,North Carolina State,East Tennessee State,,Softball,,3867564a-e0dd-49c1-bff3-89126ce80773,f6087979-107e-44c8-beec-7d838a2a7630,51.94800913,1.41900207,1.451918767,6.80498462,-1.633927804,47.69000938,1.834486721,-0.064091777,-5.841666286,-3.196266074,0.491053294,-6.011885935,-0.902777541,54.28256592,,493.5895499,686.4616811,58.37882799,0.044750948,0.811905933,0.582070536,-5.880167246,31.63917326,15.46558464,-0.133039871,3.863801409,2.045712374,-9.542743738,70.967348,2.364509738,4.08802999,0.091038818,0.609867579,0.578485326,-0.541679116,,,1,0,1,15.89896433,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
6,2/24/23,5:32:32 PM,3,1,Madison Inscoe,inscoma10,,North carolina state,Sara Muir,,Right,East tennessee state,,1,Top,2,0,0,Riseball,3,BallCalled,,,,0,0,,62.5132022,8.831866329,-1.195725265,1132.42899,72.54447618,8:30,0.877066901,1.600037896,6,-32.28832711,0.017693622,-4.347793488,3.71643458,0.495013146,56.90490026,-0.134206948,-2.411589555,0.409084718,,,,,,,,,,,,4.647494991,-3.183831981,-1.827984026,50,-1.465548821,1.329534018,-93.06848827,19.0164799,3.963039604,17.5827159,-34.88898575,North Carolina State,East Tennessee State,,Softball,,3867564a-e0dd-49c1-bff3-89126ce80773,35bd050f-ed58-40bf-bb74-dc15bfa91488,62.60434722,0.872303591,1.601023448,8.914321008,-1.213748314,56.96519367,3.720329595,0.494368562,-0.048072526,-2.425473534,0.409008717,-4.232977938,-1.457531093,-60.81106856,,552.2754358,-988.6289801,48.76910081,0.146290419,-0.873016312,0.46523288,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
7,2/24/23,5:32:50 PM,3,2,Madison Inscoe,inscoma10,,North carolina state,Sara Muir,,Right,East tennessee state,,1,Top,2,1,0,Screwball,1,BallCalled,,,,0,0,,63.12040637,9.549654465,-1.373729692,1011.79088,74.98192062,8:30,0.938598184,1.989134932,6,-31.38738435,0.411260824,-3.517536393,4.311017451,0.842693592,57.38259479,0.857807727,-2.356988056,0.405859607,,,,,,,,,,,,3.61822986,-2.959550577,-2.265744227,50,-1.562624631,1.748200949,-93.7558332,20.24013501,3.134414519,17.70793736,-34.7378608,North Carolina State,East Tennessee State,,Softball,,3867564a-e0dd-49c1-bff3-89126ce80773,e8d77a9e-3c4e-4710-abc1-1f060071f22b,63.21683553,0.934144025,1.990228917,9.625653945,-1.393395143,57.44836411,4.31470069,0.841961095,0.938521516,-2.372705735,0.405779148,-3.392810815,-0.988600075,-63.24450983,,455.4920621,-903.4643135,45.01839967,0.116653399,-0.892935815,0.434807561,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
8,2/24/23,5:33:09 PM,3,3,Madison Inscoe,inscoma10,,North carolina state,Sara Muir,,Right,East tennessee state,,1,Top,2,2,0,Changeup,2,BallCalled,,,,0,0,,50.96678421,5.789947842,-0.589632792,800.1952506,79.43479414,8:45,1.340768043,1.147209798,6,-47.18970194,0.793593724,-5.35073301,1.01659978,0.335113152,47.0406665,-7.36271009,-2.087541487,0.498558998,,,,,,,,,,,,6.033397419,-1.194169823,-1.227673264,50,-0.447775644,0.16806178,-76.4365243,13.20641362,3.464214459,12.00919548,-32.85970977,North Carolina State,East Tennessee State,,Softball,,3867564a-e0dd-49c1-bff3-89126ce80773,2d677ba9-5799-4b61-b7ef-ed0eb709db6a,51.04678036,1.33500092,1.143357427,5.891505358,-0.520394117,47.08241911,1.021512109,0.338020735,-7.256494817,-2.023939036,0.498454703,-5.78566712,-1.336048149,52.60599902,,485.9526963,635.7376944,60.72926525,0.111349784,0.794478215,0.596997145,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
9,2/24/23,5:33:29 PM,3,4,Madison Inscoe,inscoma10,,North carolina state,Sara Muir,,Right,East tennessee state,,1,Top,2,3,0,Curveball,2,BallCalled,Walk,,,0,0,,62.75952044,7.969219831,-2.233582131,1064.209609,75.32705204,8:30,0.995949897,1.914046364,6,-31.35808777,0.586473157,-3.892495769,3.367982664,0.201810611,57.27691683,-0.74981424,-3.320637355,0.406789734,,,,,,,,,,,,3.742151268,-2.20293975,-2.382235259,50,-1.138334129,3.098433794,-93.59172411,17.55856656,3.227130448,17.77624058,-34.07380548,North Carolina State,East Tennessee State,,Softball,,3867564a-e0dd-49c1-bff3-89126ce80773,2a6d9146-790d-4e2b-876c-3ce1974d68b2,62.85125697,0.991536461,1.915083665,8.045945941,-2.252494765,57.33872184,3.371637618,0.201118586,-0.669352798,-3.335498537,0.40671198,-3.772083994,-0.842790539,-63.54476965,,474.1036636,-952.7684968,44.54983863,0.112845286,-0.895282742,0.430969551,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
10,2/24/23,5:33:58 PM,4,1,Madison Inscoe,inscoma10,,North carolina state,Cameron Young,,Left,East tennessee state,,1,Top,2,0,0,Screwball,1,StrikeCalled,,,,0,0,,61.4684079,6.654477354,-0.925531931,1028.554167,69.54934417,8:15,0.998145221,1.569797911,6,-33.22681618,-0.162227879,-4.354821549,2.381207231,0.632047892,56.29591888,-2.612452291,-2.143702039,0.413859646,,,,,,,,,,,,4.75292302,-2.595729968,-1.736348467,50,-0.850358851,0.879257619,-91.99551562,15.36509461,3.959961748,17.18169714,-34.33671692,North Carolina State,East Tennessee State,,Softball,,3867564a-e0dd-49c1-bff3-89126ce80773,3f49534a-accf-432a-911a-ecf44fec555a,61.55154232,0.993265744,1.570651273,6.739647643,-0.941107397,56.34921272,2.385210669,0.631489891,-2.524567652,-2.15564747,0.413785745,-4.255650076,-1.674721705,-60.15499513,,511.8655504,-892.1419911,49.76554147,0.173881087,-0.867374826,0.466289909,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
