PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,2/24/23,3:00:17 PM,1,1,Wynne Gore,gore-wy10,,North carolina state,Sarah Schneider,,Right,Penn,,1,Top,0,0,0,Dropball,2,BallCalled,,,,0,0,,65.0367195,3.556615569,-1.304499706,1085.507612,356.6877832,6:00,1.44636462,1.4410598,6,-33.29261406,-4.01444426,0.159912053,0.884217796,0.644091041,60.01605888,-5.740412795,-1.259740645,0.389442626,,,,,,,,,,,,-0.660137169,-5.98071281,-1.738687241,50,0.306142139,2.251071277,-97.81405039,11.00996679,-0.621163572,19.5608485,-37.80166928,North Carolina State,Penn,,Softball,,fe10c953-406b-4e75-be9f-1a72d6cbc76a,4f8cde1c-c7a1-46e2-9726-7233dfdb54a0,65.10830018,1.441181319,1.443353414,3.647124201,-1.345058084,60.05717281,0.888260619,0.642455233,-5.651974109,-1.295549592,0.389384622,0.415184219,-5.456879003,-56.28215352,,602.5691074,-902.9048933,55.51035302,0.554176241,-0.831781264,-0.032072159,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
2,2/24/23,3:00:36 PM,1,2,Wynne Gore,gore-wy10,,North carolina state,Sarah Schneider,,Right,Penn,,1,Top,0,1,0,Dropball,2,InPlay,,LineDrive,Double,0,0,,64.65140975,5.814925391,-2.096576384,1152.231995,354.5517845,5:45,1.509038461,1.595817008,6,-34.6453605,-4.807314331,0.749405629,2.248140826,0.355614961,59.31135965,-3.854038658,-1.886993565,0.393148582,65.85374833,12.4454718,6.386727743,1225.360976,18.3422828,108.4599496,4.508573195,126.7172922,,10.15468025,1.588272648,-1.634111598,-7.726914478,-2.079203045,50,-0.161358065,3.656344737,-96.87445203,14.95372808,-1.508756698,19.13983094,-39.30822206,North Carolina State,Penn,,Softball,,fe10c953-406b-4e75-be9f-1a72d6cbc76a,3cff432b-dcec-41c7-bfcd-d9f24ca36605,64.72480917,1.503587982,1.598289802,5.910865096,-2.141024124,59.35290456,2.252481226,0.353789475,-3.758814933,-1.926893981,0.39309332,1.029528959,-6.293011831,-51.41522963,,718.614642,-900.6839433,62.36718347,0.620854346,-0.781686281,-0.059215187,7.153349618,63.90718407,14.19216623,-0.346808939,0.001784131,2.11587597,22.34104516,124.7323127,10.34652616,14.10035646,0.223844873,0.615813289,0.208963669,-0.759676364,,,1,0,1,36.84402165,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
4,2/24/23,3:01:48 PM,2,2,Wynne Gore,gore-wy10,,North carolina state,Brianna Brown,,Left,Penn,,1,Top,0,0,1,Dropball,1,StrikeCalled,,,,0,0,,66.44698581,5.607783563,-0.031468562,1085.836405,7.955705632,6:15,1.488075245,1.670501701,6,-32.78223899,-4.59876841,-0.667429471,2.250079207,1.595339139,60.98034585,-3.547844679,-0.218330346,0.382092716,,,,,,,,,,,,0.768131611,-7.401330807,-1.67098219,50,-0.115464951,-0.046001021,-99.66165971,14.73355614,0.750830957,20.2133509,-39.40867998,North Carolina State,Penn,,Softball,,fe10c953-406b-4e75-be9f-1a72d6cbc76a,725609c0-3bb5-458e-99c0-60d40bc7f8a2,66.52301678,1.48269574,1.67227595,5.701583075,-0.063041304,61.02487269,2.254270908,1.594076347,-3.455852528,-0.245905706,0.382035911,-0.468576188,-6.018438599,-51.6478281,,673.7542832,-851.5256104,62.04933633,0.614521341,-0.784211697,0.085880935,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
5,2/24/23,3:02:11 PM,2,3,Wynne Gore,gore-wy10,,North carolina state,Brianna Brown,,Left,Penn,,1,Top,0,0,2,Riseball,3,InPlay,,FlyBall,Out,1,0,,65.80412184,6.574492272,-1.669766914,1244.392339,0.24176763,6:00,1.515414067,1.629411718,6,-32.86736031,-4.027935817,0.328667308,2.879288795,0.619504379,60.28019306,-2.58852506,-1.577866797,0.386513633,49.8515364,45.25259449,-32.77374418,2687.801647,-47.8525668,99.04610972,8.572420099,116.6728272,,-25.61683493,2.608748009,-0.980031344,-7.06252181,-2.011660305,50,-0.311835258,2.919042311,-98.45136977,16.25854679,-0.936102723,19.53376936,-38.92000311,North Carolina State,Penn,,Softball,,fe10c953-406b-4e75-be9f-1a72d6cbc76a,6f6da913-8b71-44fe-93d8-3be9eaa3cbfb,65.88474994,1.510395411,1.632072097,6.662930169,-1.717819227,60.32936377,2.883339684,0.617543241,-2.499246719,-1.620815717,0.386454379,0.631634814,-5.411352301,-60.5552841,,611.7227731,-1083.654715,49.15835256,0.491579149,-0.87083043,0.0020743,-18.99751961,29.50806792,35.40542131,-0.674911099,3.135885904,2.933915595,-50.44357981,105.2045335,22.04862849,-9.475267308,-0.481328317,-0.891239479,0.076574892,-0.447021786,,,1,0,1,20.91328474,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
6,2/24/23,3:02:41 PM,3,1,Wynne Gore,gore-wy10,,North carolina state,Bella Fiorentino,,Right,Penn,,1,Top,1,0,0,Changeup,2,StrikeCalled,,,,0,0,,55.23084231,6.579555714,-3.208661256,861.9490153,355.5387078,5:45,1.585545324,1.892924622,6,-45.86467659,-4.753377578,0.555350653,1.874198882,-0.05560924,50.73296076,-6.195935197,-3.053555347,0.461479191,,,,,,,,,,,,-1.822611517,-7.970412266,-2.627242578,50,-0.373277578,4.699110948,-82.58524386,15.2684017,-1.221432614,14.03506958,-37.51546294,North Carolina State,Penn,,Softball,,fe10c953-406b-4e75-be9f-1a72d6cbc76a,6b05bad2-61ec-4aa0-af11-f9f7a022a2ec,55.28765077,1.578323968,1.895302615,6.705645491,-3.25107047,50.75193881,1.879776003,-0.057343809,-6.075264051,-3.091226633,0.461430129,0.823063462,-6.780592411,-39.48588622,,665.2360819,-548.1031475,77.17812424,0.769442831,-0.63588813,-0.060033453,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
7,2/24/23,3:03:00 PM,3,2,Wynne Gore,gore-wy10,,North carolina state,Bella Fiorentino,,Right,Penn,,1,Top,1,0,1,Riseball,3,BallCalled,,,,0,0,,65.35754927,6.991797634,-2.624627545,1197.794711,359.8687977,6:00,1.59253542,2.026938896,6,-34.01240636,-4.678524128,0.366446082,3.126663916,0.426319678,59.7874054,-2.482011035,-2.522266192,0.389812978,,,,,,,,,,,,-1.370157673,-7.98752978,-2.626523563,50,-0.343036228,4.530527202,-97.64945217,17.02181652,-1.28672286,19.30165386,-39.67518421,North Carolina State,Penn,,Softball,,fe10c953-406b-4e75-be9f-1a72d6cbc76a,4002e1e5-b6f6-4054-9e78-fef9faa9154f,65.43662889,1.586990357,2.029499897,7.087351978,-2.669886421,59.83285348,3.130908141,0.424514219,-2.388301739,-2.56188381,0.389756363,0.65206395,-6.129927824,-53.6476282,,709.9923258,-964.688067,59.27495917,0.592748038,-0.805386815,-0.001357343,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
8,2/24/23,3:03:24 PM,3,3,Wynne Gore,gore-wy10,,North carolina state,Bella Fiorentino,,Right,Penn,,1,Top,1,1,1,Changeup,2,BallCalled,,,,0,0,,52.44176175,9.163875862,-4.857065279,769.5061135,10.36658513,6:15,1.485908242,2.016299333,6,-50.56782355,-4.229594747,-0.98614005,3.032831489,-1.089588068,47.8143765,-4.854455576,-5.131146166,0.489938127,,,,,,,,,,,,-0.617371865,-8.309961453,-3.111147326,50,-1.122981222,6.491467302,-77.75783725,18.53920106,-0.367051641,12.37721111,-37.11464562,North Carolina State,Penn,,Softball,,fe10c953-406b-4e75-be9f-1a72d6cbc76a,f6f9a9f8-ee27-43d9-a9bb-d75f6f6cf512,52.50248312,1.47786866,2.0183243,9.302200783,-4.893107535,47.83278273,3.039052646,-1.091059511,-4.719828763,-5.162863482,0.489888157,-0.757535996,-6.466875353,-37.45179681,,610.8841321,-467.931871,79.38652096,0.780906616,-0.608093767,0.142852469,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
9,2/24/23,3:03:44 PM,3,4,Wynne Gore,gore-wy10,,North carolina state,Bella Fiorentino,,Right,Penn,,1,Top,1,2,1,Dropball,1,InPlay,,GroundBall,Out,1,0,,66.05217338,4.728429671,-0.865715791,1156.834944,352.7467951,5:45,1.540551288,1.699063615,6,-33.39211326,-4.921942449,0.804664987,1.701469784,1.228428505,60.73074878,-4.6027851,-0.640377894,0.384031244,63.84305672,-11.20472151,-46.33092061,2870.837362,,,,9.677895999,,-46.3601343,0.082126679,-1.255113164,-7.474659431,-1.903524174,50,0.132285941,1.620045203,-99.21855409,13.21987311,-1.214562719,20.19843876,-39.40721624,North Carolina State,Penn,,Softball,,fe10c953-406b-4e75-be9f-1a72d6cbc76a,7042b26d-3e61-4358-9fad-cdd816cb18ce,66.12452579,1.535286412,1.701373903,4.821382384,-0.907217026,60.77269693,1.70573465,1.226696464,-4.510292737,-0.677940696,0.383975783,1.065521365,-6.362817426,-51.00784119,,727.8967688,-899.1292349,62.92140229,0.624178983,-0.777232085,-0.079441075,-45.2999948,43.24286736,-12.4056755,-1.368418798,1.569561278,1.680606471,-7.003814531,6.678941007,0.078659471,-0.149490638,-0.012205909,-0.468618374,-0.308247401,0.827877019,,,1,0,1,32.31875006,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
10,2/24/23,3:04:21 PM,4,1,Wynne Gore,gore-wy10,,North carolina state,Dana Anderson,,Right,Penn,,1,Top,2,0,0,Riseball,3,BallCalled,,,,0,0,,65.33006784,8.559994187,-3.704506857,1229.118549,8.466868535,6:15,1.729507509,2.176372038,6,-33.32631104,-3.717758083,-0.114704472,4.319591635,-0.137068295,59.56164072,-0.678765145,-3.736458677,0.391633752,,,,,,,,,,,,-1.178712053,-7.400641786,-3.016924325,50,-0.564579882,6.270634973,-97.11078509,19.56047832,-1.096571359,18.86159742,-39.05896418,North Carolina State,Penn,,Softball,,fe10c953-406b-4e75-be9f-1a72d6cbc76a,9cab9621-319f-413c-af1d-ac0e56354718,65.41701204,1.72425178,2.179085058,8.649779928,-3.752558407,59.61521564,4.323791352,-0.13904152,-0.58756638,-3.778877139,0.391572031,0.188688247,-5.111710816,-60.2637631,,609.6525471,-1067.265749,49.60079299,0.490602023,-0.868317991,0.07303096,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
11,2/24/23,3:04:42 PM,4,2,Wynne Gore,gore-wy10,,North carolina state,Dana Anderson,,Right,Penn,,1,Top,2,1,0,Dropball,1,BallCalled,,,,0,0,,66.48233489,3.995724936,-0.287437815,1208.777515,0.138582813,6:00,1.543804642,1.679682558,6,-32.56130785,-4.522131903,-0.092599674,1.315954534,1.493452222,61.24215234,-5.10357113,-0.313371516,0.381113335,,,,,,,,,,,,0.003579268,-6.737023102,-1.743977498,50,0.311097276,0.487514428,-99.96874397,11.90830303,0.003516836,20.47893982,-38.79355951,North Carolina State,Penn,,Softball,,fe10c953-406b-4e75-be9f-1a72d6cbc76a,476ca11a-75f4-41b9-91d0-4e2d461e5362,66.55495834,1.538606609,1.681977949,4.086871789,-0.328327608,61.28451186,1.320045009,1.491797103,-5.013941484,-0.349604904,0.381056962,0.164736475,-5.936967563,-56.81038074,,661.6988378,-1011.581795,54.74116037,0.547410002,-0.836863511,0.001324038,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
