PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,2/24/24,4:42:24 PM,1,1,Blake Neleman,nelembl10,,Georgia tech,Brooklynn Maxwell,maxwebr10,Right,North carolina greensboro,,1,Top,0,0,0,Curveball,1,BallCalled,,,,,,,65.05721075792005,7.254964100738149,-2.820504991,1220.8837378717237,50.15697084758668,7:45,1.9461276207230775,1.2481704050661344,4.432753097719727,-33.56636668,-1.153528287,-3.097572927,4.339672029322943,-0.807228135,59.339739552763625,-1.111953244,-3.680394405,0.4096021926202371,,,,,,,,,,,,2.4549184314419805,-3.858643659,-1.788631749,50.00000000000002,0.2507444114895719,4.386561858205881,-96.779305,16.32112660974327,2.2680383699464066,18.74749821,-35.73895495,Georgia Tech,North Carolina Greensboro,,,,7804c1f7-6087-4906-8c5a-3e304b871ea6,1018e04c-7359-4436-8998-d57ce67bf9a7,65.15472994843996,1.9408946788752277,1.2502681324215659,7.339876548092484,-2.855690096,59.407899199706854,4.344014535770062,-0.808753825,-1.021157546,-3.711799456,0.4095148198051991,-2.851815258,-2.632213543,-67.91083177,,459.11221401711634,-1131.270558,37.604908622786034,0.2409295729363582,-0.926599744,0.28873146024898777,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.567248278280275,Sara beth Allen,allensa10,Georgia tech,2022-11
2,2/24/24,4:42:39 PM,1,2,Blake Neleman,nelembl10,,Georgia tech,Brooklynn Maxwell,maxwebr10,Right,North carolina greensboro,,1,Top,0,1,0,Screwball,1,BallCalled,,,,,,,65.36731884,1.2157831515209485,1.8174204230945794,905.5058038884944,104.5577314094967,9:30,1.845726221952457,0.6236103725092946,5.999999999999997,-27.26215596,1.3937765669433162,-2.096863595,0.8100653618810799,1.4953425825386844,60.73619037959374,-5.58383512,0.8316660038516174,0.3863677629578147,,,,,,,,,,,,3.2523580673882364,1.0952177133857308,-0.188700798,49.99999999999998,1.294295210679164,-3.456104379,-98.37048293,6.202179414494099,3.1085508844254814,19.179783219070554,-31.12725833,Georgia Tech,North Carolina Greensboro,,,,7804c1f7-6087-4906-8c5a-3e304b871ea6,837fbe5d-2a2e-4fb5-b4e3-fa819acf352b,65.45068592907101,1.8425868573843271,0.625019179,1.273969584542103,1.7908800277657628,60.801735514093075,0.8130651735369453,1.4941829795715642,-5.519334804,0.8068571030402636,0.38628622073358415,-1.915177489,0.2538617920767085,-79.90543506,,158.71101155219998,-891.4884047,17.52733233411102,-0.044055894,-0.984519813,0.1696461496807321,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Sara beth Allen,allensa10,Georgia tech,2022-11
3,2/24/24,4:42:59 PM,1,3,Blake Neleman,nelembl10,,Georgia tech,Brooklynn Maxwell,maxwebr10,Right,North carolina greensboro,,1,Top,0,2,0,Screwball,1,StrikeCalled,,,,,,,65.44382576937305,3.8669917701359604,0.2696650220664918,1215.1232435438367,72.83227611059313,8:30,1.884471708297904,0.47667739245227797,4.792422506749689,-30.66580762,0.325556579,-2.771089319,2.5537156403487704,0.3123466118171283,60.08585403669507,-2.961311181,-0.341360296,0.40020324323035716,,,,,,,,,,,,3.460863867615441,-1.000144834,-0.397515177,49.999999999999986,0.8518138003630975,-0.850656551,-98.09580261,10.503062330362395,3.2873287751651743,19.160940838934092,-33.12404503,Georgia Tech,North Carolina Greensboro,,,,7804c1f7-6087-4906-8c5a-3e304b871ea6,053d273a-ce41-4e77-81e4-ffa8eb5b58cf,65.53677613,1.880236604476616,0.4785451671129886,3.9385252695738964,0.23730646357039176,60.15498590131247,2.5573372899041513,0.31092182251278394,-2.884155556,-0.371370901,0.4001141732980553,-2.535166939,-1.010459843,-75.74723758,,299.1633560577798,-1177.720588,24.620001110775167,0.072670826,-0.969219044,0.23523051793594324,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.20757886925031,Sara beth Allen,allensa10,Georgia tech,2022-11
4,2/24/24,4:43:14 PM,1,4,Blake Neleman,nelembl10,,Georgia tech,Brooklynn Maxwell,maxwebr10,Right,North carolina greensboro,,1,Top,0,2,1,Screwball,1,BallCalled,,,,,,,65.61978186634425,1.989095595112308,0.8622747996921499,1022.4413164924173,67.16829002262037,8:15,1.957233114845493,0.6896170055659075,5.999999999999997,-28.54396307,0.015681138351258284,-2.622058529,1.3970209351756164,0.7508725693855135,60.76410162259895,-4.939808387,0.10602926037783551,0.38493802545415545,,,,,,,,,,,,3.581315875579558,-0.72328281,-0.465881698,50.000000000000036,1.2193058493523803,-1.90743259,-98.76132607,7.724705007514316,3.448526258,19.402362286086355,-32.87051419,Georgia Tech,North Carolina Greensboro,,,,7804c1f7-6087-4906-8c5a-3e304b871ea6,464dbb09-a25d-4606-9145-213034a588d5,65.69959107,1.9536591808052841,0.6910369134924262,2.0551212026482024,0.8356046808101554,60.82453385,1.4003431453681527,0.7497073197379462,-4.868124041,0.08104164,0.3848621667382662,-2.434459037,-1.182706389,-76.20715411,,243.7624688913792,-992.9582592,23.84121855791486,0.092510061,-0.971164059,0.21973224333645472,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Sara beth Allen,allensa10,Georgia tech,2022-11
5,2/24/24,4:43:31 PM,1,5,Blake Neleman,nelembl10,,Georgia tech,Brooklynn Maxwell,maxwebr10,Right,North carolina greensboro,,1,Top,0,3,1,Curveball,2,InPlay,,Popup,Out,1,0,,63.52416839924448,4.5376368810280665,-0.174647238,1087.439153035482,36.94137165530159,7:15,2.170585892900783,1.4683493351273624,5.999999999999997,-32.13420558,-1.464285427,-2.008298972,2.7632547217197994,0.21683100202532848,59.24502239343116,-3.861591057,-1.900860324,0.39409469980332545,,,,,,,,,,,,1.781613739005596,-3.11346407,-1.512383526,50.00000000000001,0.9358855484203835,2.0071583677813507,-96.46002703,12.73916523330145,1.6367484694832586,18.490988756088274,-35.03435395,Georgia Tech,North Carolina Greensboro,,,,7804c1f7-6087-4906-8c5a-3e304b871ea6,ee6870e1-2f57-4bd7-8a2b-c995f4b382c7,63.60038162169899,2.166414734699919,1.4703204726208587,4.6151140807070865,-0.211958764,59.30111760421339,2.7670513002847668,0.2152458942155419,-3.779880103,-1.934685855,0.39402356670409827,-1.776603221,-2.74971644,-72.99578799,,318.0128745599454,-1039.899862,29.244199426905222,0.2337345281870993,-0.956283263,0.1757569069630392,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Sara beth Allen,allensa10,Georgia tech,2022-11
6,2/24/24,4:43:58 PM,2,1,Blake Neleman,nelembl10,,Georgia tech,Jessie Shipley,shiplje10,Right,North carolina greensboro,,1,Top,1,0,0,Riseball,1,StrikeCalled,,,,,,,65.97521486097249,3.1227309070932305,0.7514935155454728,995.2726562500001,108.11958931960481,9:30,1.8701227357977268,0.4355582948289566,5.999999999999997,-26.37210855,1.5915850876882622,-1.572015988,1.8654705910543983,0.5515419937939512,61.323870561688935,-3.913513058,-0.106154149,0.3831553270029623,,,,,,,,,,,,2.173162737911726,0.6534324803079186,-0.248681149,49.99999999999999,0.8922178391488194,-1.547669058,-99.2054614,9.458846182660105,2.1120702553267816,19.534935184307848,-31.53898656,Georgia Tech,North Carolina Greensboro,,,,7804c1f7-6087-4906-8c5a-3e304b871ea6,3f9cce72-cb08-4d11-9453-e5ac58f5d50d,66.06514077025977,1.867110247086998,0.43719531210603363,3.177908255451765,0.7209107801033262,61.39428799846565,1.8682779966541359,0.5502555376932959,-3.852443106,-0.133833402,0.38307112294224843,-1.367276569,0.48309286906679016,-81.51110463,,146.91987250904683,-984.3689407,14.761771217810127,-0.045909314,-0.989044494,0.14029726958413866,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Sara beth Allen,allensa10,Georgia tech,2022-11
7,2/24/24,4:44:14 PM,2,2,Blake Neleman,nelembl10,,Georgia tech,Jessie Shipley,shiplje10,Right,North carolina greensboro,,1,Top,1,0,1,Screwball,2,BallCalled,,,,,,,64.59223536,6.3287337043843195,2.379403757728963,1181.8604765392483,87.52766706419935,9:00,2.025642300531319,0.5552719560810695,5.999999999999997,-28.09913833,0.615676669,-3.580702601,4.1196849606493835,1.1185651962825947,60.40900023,-0.770727997,1.196133131140055,0.39338383632080787,,,,,,,,,,,,5.236971115525757,-1.533583042,0.022685525693374963,49.99999999999999,0.2893018713148664,-4.567521781,-96.58807831,15.02315349603963,4.828320099452254,18.416038235474076,-33.58796417,Georgia Tech,North Carolina Greensboro,,,,7804c1f7-6087-4906-8c5a-3e304b871ea6,48312ff3-5523-4a0e-b5e7-73103c84a292,64.68287138801787,2.0219871727280068,0.5565198633283643,6.395367277726443,2.3560281985427665,60.47966349182327,4.122906037209043,1.1176673576468712,-0.699723382,1.1766402262220188,0.3932991966367113,-3.427422138,-0.566500194,-69.39602042,,415.9045647687919,-1106.262889,35.19066531327398,0.015180183406446746,-0.936035099,0.351579087,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Sara beth Allen,allensa10,Georgia tech,2022-11
8,2/24/24,4:44:38 PM,2,3,Blake Neleman,nelembl10,,Georgia tech,Jessie Shipley,shiplje10,Right,North carolina greensboro,,1,Top,1,1,1,Riseball,1,BallCalled,,,,,,,64.77560658790098,5.717657840315151,-0.536826839,996.4361942175664,71.49815743431573,8:30,1.9873014274380494,0.39741748810880156,5.999999999999997,-28.66670699,0.20072536181102762,-2.989168821,3.453747223,-0.356540008,60.26339801614358,-1.964312456,-1.389053792,0.39165159313429176,,,,,,,,,,,,3.395797804111761,-1.807011772,-0.488521976,49.99999999999999,0.39120890221259397,0.457049406,-97.07258586,14.05902225287916,3.1587585671229172,18.755808643889523,-33.85492526,Georgia Tech,North Carolina Greensboro,,,,7804c1f7-6087-4906-8c5a-3e304b871ea6,6b205b58-f3ad-44e8-8af2-25258f258ef6,64.86346943396838,1.983646470247731,0.3987430621567926,5.784598781,-0.561752379,60.330118967318015,3.4570851076285214,-0.357547564,-1.891775923,-1.410645764,0.3915704748689441,-2.823906459,-1.012658818,-71.21970465,,320.7927705681092,-943.3859695,32.19401025672355,0.10216291177831217,-0.946760038,0.30530012954137264,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Sara beth Allen,allensa10,Georgia tech,2022-11
9,2/24/24,4:44:54 PM,2,4,Blake Neleman,nelembl10,,Georgia tech,Jessie Shipley,shiplje10,Right,North carolina greensboro,,1,Top,1,2,1,Screwball,1,InPlay,,FlyBall,Out,1,0,,64.73750966436481,3.3449180178382623,-0.380524446,1105.2138923196228,58.69058593458607,8:00,1.9555737832065911,0.4631197003812852,5.999999999999997,-28.80390507,0.075789457,-2.086638899,2.0284286516946217,-0.135736986,60.367646545655084,-4.146844323,-1.224809978,0.39059621346977297,68.86529879731724,47.84738293501588,-14.51054946,2301.049206542969,-32.71590442,105.02223382746672,87.43790913541262,209.80911051547395,,-18.65138362,5.000078247,2.4406317315586588,-1.171702469,-0.527410054,49.99999999999999,0.9011950974514472,0.32061173825401607,-97.33764378,10.042350314256101,2.2825580425769165,18.865859145105016,-33.26986378,Georgia Tech,North Carolina Greensboro,,,,7804c1f7-6087-4906-8c5a-3e304b871ea6,30e7eaca-4601-468f-8bd2-8cd6595649d9,64.81951716009661,1.9519563333596548,0.46488362385989856,3.4118012181878052,-0.413760596,60.42986295085347,2.0317203462209688,-0.137125192,-4.074968728,-1.25484121,0.39051867591737754,-1.86375185,-1.134017999,-77.93695773,,230.9762242737982,-1080.808832,20.898780397070954,0.10860249728963454,-0.977918247,0.17855363281365805,-11.57980893,44.74181279194991,51.05396744333327,0.1132369886930655,1.1511820995673923,1.5182901803093125,-67.09887378,198.79035186008727,-15.36937028,-3.284290838,0.8448961493025351,0.9828423122381247,0.10176230411349939,0.15383570045970518,,,1,0,1,36.95283180758229,high,high,,,37.00000137600001,Sara beth Allen,allensa10,Georgia tech,2022-11
10,2/24/24,4:45:30 PM,3,1,Blake Neleman,nelembl10,,Georgia tech,Grace Loftin,loftigr10,Right,North carolina greensboro,,1,Top,2,0,0,Screwball,1,StrikeCalled,,,,,,,66.62521006909915,3.1264877434721954,1.0910548436952994,1170.9807225277548,79.20492533535547,8:45,1.820946613866598,0.4261836048459658,5.999999999999997,-27.8302281,0.36515741992588246,-3.123883681,1.9774857631036598,0.8284499176354755,61.06610791450055,-3.73943069,0.33165640947249087,0.3794452435574678,,,,,,,,,,,,4.199800819819115,-0.698877413,-0.145896636,50.000000000000014,0.8359875162720288,-2.405168955,-100.1713911,9.651342688376085,4.161927977632009,19.90588512130754,-32.86662468,Georgia Tech,North Carolina Greensboro,,,,7804c1f7-6087-4906-8c5a-3e304b871ea6,c36fbf47-4367-4b41-a227-5e703d69dd02,66.71049206737746,1.8174942413337178,0.42747917574036487,3.189807419539824,1.0668574156147415,61.13019171995495,1.9806754270541875,0.8273967992725553,-3.669587992,0.3088483067139114,0.3793675304659043,-2.948013985,-0.810740619,-74.23158012,,318.21382635564976,-1126.914288,27.174984202022795,0.050897896,-0.962367925,0.2669407815423358,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Sara beth Allen,allensa10,Georgia tech,2022-11
