PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,02/25/2024,3:15:13 PM,1,1,Rylee Wyman,,,Nc state 2024 roster,Kayt Houston,houstka10,Left,Appalachian state,,1,Top,0,0,0,,,BallCalled,,,,,,,57.54203953980505,4.8172079291332635,-0.5202610794530744,661.5560422624859,47.97887472938342,7:30,1.337778391648259,1.3166920666126471,6.0000000000000036,-42.510911059735925,-4.97081297929175,-7.273018133916791,0.7941044495053703,0.38749207982110434,53.15043020481191,-7.039101547927752,-2.556308372793119,0.4409803358823636,,,,,,,,,,,,8.302333695417836,-7.576555851100245,-1.3622963051935648,49.999999999999986,-0.1812668714414642,-0.16535740014477276,-86.44573657204877,12.84018969104169,6.09329430589736,15.429257873802062,-37.7346770335937,NC State 2024 Roster,Appalachian State,,Softball,,ef75297c-5c35-4d50-bd2e-7af3c2c95500,bb5c96f9-01e1-4776-a723-1ccbb9fb858c,57.58982291830289,1.3308368042381815,1.314531689230846,4.9398256203922735,-0.4816199786449677,53.16374081015753,0.7994167850908886,0.38909590065005256,-6.92488094832889,-2.521432939382307,0.44093779700496044,-7.515844731682915,-6.772900462262655,-3.176023744524459,,660.5399160358172,-36.65264488955274,99.84640360577865,0.6683763812048538,-0.055403688498109206,0.7417569981795309,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
2,02/25/2024,3:15:28 PM,1,1,Rylee Wyman,,,Nc state 2024 roster,Kayt Houston,houstka10,Left,Appalachian state,,1,Top,0,0,0,Dropball,,StrikeCalled,,,,,,,65.39294175412242,6.526716444409027,-0.7829014020893618,1086.6752490997317,20.165851922592314,6:45,1.462895004590824,1.3491968169684534,6.0000000000000036,-35.25800976961603,-6.080452401645207,-2.463592813759418,2.5961246074231674,0.6576491044380061,59.96642022593978,-3.3059631208474003,-1.472026394029481,0.3887729036620718,,,,,,,,,,,,2.5980682179764942,-9.441019726360787,-1.5022318505956715,50.00000000000001,-0.37676681869488654,0.9718272981425633,-97.87721942672124,16.4323188572349,2.452849255430796,19.301119871979505,-41.087363734597545,NC State 2024 Roster,Appalachian State,,Softball,,ef75297c-5c35-4d50-bd2e-7af3c2c95500,05b02cdd-fcee-46d4-9855-70ec5f23d94b,65.46104717062218,1.4565859247885626,1.3508785204927516,6.638947724758517,-0.8135587241541253,60.00185696100116,2.601077776122092,0.6564345351314815,-3.1975553225536397,-1.4984509036641018,0.3887256710830431,-2.269828334642725,-7.534178130809331,-48.080209918323675,,725.9964290202482,-808.5742279196214,66.80895967969346,0.6271348042916344,-0.744080836100292,0.23031640539567305,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
3,02/25/2024,3:15:46 PM,1,2,Rylee Wyman,,,Nc state 2024 roster,Kayt Houston,houstka10,Left,Appalachian state,,1,Top,0,1,1,Dropball,,BallCalled,,,,,,,66.03260440907718,5.0747992421062795,0.11765742331787035,1119.655180754485,15.64143227172965,6:30,1.42325130415112,1.302953982923313,6.0000000000000036,-35.8810776130799,-7.399165657275503,-2.386903857320866,1.5931210222722187,1.177116131024569,60.78021360640231,-4.9437854404881225,-0.5505082458811721,0.3841104231276744,,,,,,,,,,,,2.830049520630659,-10.472475834282909,-1.2524346190184332,50.00000000000002,-0.0893363151280444,-0.561972477483524,-99.11877094921698,14.190295362497475,2.7372688500324274,19.940640526432304,-42.30319456206102,NC State 2024 Roster,Appalachian State,,Softball,,ef75297c-5c35-4d50-bd2e-7af3c2c95500,868ad2f5-453d-428b-92ad-fa9ee5eec5e0,66.08964395467343,1.4165154269884166,1.3044496489631245,5.193709651928885,0.0907405097736688,60.804872599591654,1.598272446134364,1.1760494095488434,-4.832335137659584,-0.5735763059790562,0.3840710390100303,-2.217052046389132,-8.887333326654586,-41.60181636772531,,837.2524349642732,-743.3949716918684,74.77770382843106,0.7200852476711251,-0.6639499235746207,0.20161283459063245,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
4,02/25/2024,3:16:06 PM,1,3,Rylee Wyman,,,Nc state 2024 roster,Kayt Houston,houstka10,Left,Appalachian state,,1,Top,0,2,1,Dropball,,BallCalled,,,,,,,66.28834602619364,4.890278584323708,0.5341556606673662,1028.8820296577787,1.4207281915410221,6:00,1.4294147984006604,1.225693771762301,6.0000000000000036,-34.97648434674386,-6.727548532645592,-0.18432037127586798,1.559325960092419,1.5420787608406696,61.02367305010479,-4.876807673636971,0.48256173059288665,0.3825362255055637,,,,,,,,,,,,0.4074716910454912,-9.62117535391517,-1.1026544738074238,49.99999999999998,-0.0320069780376472,-0.9556813739328285,-99.52636891083151,13.789670550510456,0.39736332686356185,20.104175509630956,-41.55654739133249,NC State 2024 Roster,Appalachian State,,Softball,,ef75297c-5c35-4d50-bd2e-7af3c2c95500,f3670e8d-d075-4576-b363-ef7df2d0e17b,66.35072087609534,1.4231203079912778,1.2279973481717152,5.001012713794915,0.4929650737223619,61.05415323208298,1.564176117478487,1.5404187065287585,-4.7717513377077045,0.446581912433968,0.38249087219001293,0.07511587554300894,-8.162255466305455,-46.96135874265617,,702.203174979185,-752.0032792494075,68.24914370530391,0.6822816292238928,-0.7308935889370474,0.01692158604601705,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
5,02/25/2024,3:16:24 PM,1,4,Rylee Wyman,,,Nc state 2024 roster,Kayt Houston,houstka10,Left,Appalachian state,,1,Top,0,3,1,Dropball,,Foul,,,,,,,66.79301453716525,5.7056524565786715,-2.8091317140279926,1042.2988319396973,357.52522467434477,6:00,1.3352555644506177,1.4931525903727174,6.0000000000000036,-34.345302884587454,-6.399191236251699,0.4916593597126454,2.032658448630297,-0.21187595749829233,61.35436800216167,-3.86995908067246,-2.671855228079954,0.3804803367587921,,,,,,,,,,,,-1.5786432327669608,-9.521718698157326,-2.135946475580504,49.99999999999997,-0.30823162177804037,4.982262051253325,-100.01849398370099,15.213794877933676,-1.5560921656572666,20.177137509551194,-41.55974963668533,NC State 2024 Roster,Appalachian State,,Softball,,ef75297c-5c35-4d50-bd2e-7af3c2c95500,bc184d3a-0fd5-486d-b6be-defcafeada63,66.8609495492937,1.3291445781775193,1.4957423506355605,5.81298246708422,-2.855590915754494,61.38992546076944,2.0373467607511957,-0.21374068244506672,-3.7673803924946463,-2.712453721942552,0.38043503115244287,0.7852928335977786,-7.791390211350099,-46.3390677311933,,719.5919427327209,-754.0386535297814,69.03892824993142,0.6897453759915461,-0.7234380682616046,-0.02981069754632667,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
6,02/25/2024,3:16:48 PM,1,5,Rylee Wyman,,,Nc state 2024 roster,Kayt Houston,houstka10,Left,Appalachian state,,1,Top,0,3,2,Dropball,,InPlay,,GroundBall,Out,1,0,,66.40799954083548,4.757274610761003,0.11457924857772465,968.6798777860752,23.757131636436814,6:45,1.4493044504097476,0.7974887747157279,6.0000000000000036,-33.916081248954654,-5.78009715472588,-3.0578996544647445,1.5842662210291991,0.6138229065876658,61.13204727387942,-4.715418129889039,-0.7414317827468551,0.3817706851198339,67.41334718962844,-4.491928508847447,-9.587034569582686,481.4342371622722,,,,19.82835157577987,,-10.157445303810238,0.16836399707452682,3.6126278541249826,-8.467929037742573,-0.7409734729205724,50.0,0.028938666936827798,-0.6614267414406497,-99.73197857939813,13.423857450918518,3.5371718886461623,20.20397623838447,-40.465111316355944,NC State 2024 Roster,Appalachian State,,Softball,,ef75297c-5c35-4d50-bd2e-7af3c2c95500,f25aacb4-4922-4253-995e-244aad109d4b,66.4750027788541,1.4431970196991186,0.7986894504633345,4.864856524842652,0.09298538829535154,61.167375547624886,1.5889443223841395,0.6129910009333492,-4.613052251603679,-0.7595690632109654,0.3817215184854495,-2.9213606576585875,-7.198598303116499,-46.62968853983255,,665.2030591076443,-704.1630463049573,68.67109293402179,0.6285199667076027,-0.7269306015877268,0.2766487880421303,-11.192911498415135,66.26765907910095,-5.279722689126777,-0.6508968240223647,3.4881656469694975,1.7537312817595958,-3.496803367823623,19.517579061438674,-0.08247496499198848,-0.26084986158853274,-0.010283134506249542,-0.2283550083732328,-0.13289950767293102,0.964464468506307,,,1.0,0,1.0,37.49911107384797,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
7,02/25/2024,3:17:21 PM,2,1,Rylee Wyman,,,Nc state 2024 roster,Grace Barrett,barregr10,Right,Appalachian state,,1,Top,1,0,0,Dropball,,BallCalled,,,,,,,65.95950249855046,7.997803038802234,-2.086064405739133,1013.5058557846966,13.633469379724737,6:30,1.5197641438986365,1.4435515243301509,6.0000000000000036,-35.63285448165589,-6.75684755767486,-1.5511488985046218,3.5531949495049218,0.018173720505639226,60.27694932896975,-1.9088529202909783,-2.5192353672525054,0.38675869937015595,,,,,,,,,,,,1.0748649865672195,-10.737006523572061,-1.9015615196980882,49.99999999999998,-0.6643158232529099,3.349797667361967,-98.32198885636056,19.14294641212495,1.0253154047786652,19.299942619621685,-42.41609703140629,NC State 2024 Roster,Appalachian State,,Softball,,ef75297c-5c35-4d50-bd2e-7af3c2c95500,01369d3d-ecb5-4cb5-9ebf-506b1f1817e7,66.02932600858429,1.5132570886062544,1.4453161151903844,8.112660790111244,-2.1181674060028177,60.31288039531499,3.5582584507513433,0.01689368567115469,-1.7979687446657464,-2.547054952410754,0.3867149239230008,-1.3481126711648452,-8.195080819353256,-42.47683179846621,,747.511704719645,-684.4124275734629,73.75504546452686,0.7167688467675276,-0.6752920307930175,0.1738479032113727,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
8,02/25/2024,3:17:37 PM,2,2,Rylee Wyman,,,Nc state 2024 roster,Grace Barrett,barregr10,Right,Appalachian state,,1,Top,1,1,0,Dropball,,InPlay,,GroundBall,Single,0,0,,66.75504637744002,5.318480022991472,-2.099315549434128,1121.4250821200283,2.7818529348844216,6:00,1.386787702578283,1.2690076804216026,6.0000000000000036,-35.63298985472272,-7.708498190430088,-0.38509291346627894,1.7321385853697115,-0.06743934874348871,61.40167907284645,-4.623479979366791,-2.2069584106105897,0.3803331325520466,73.62991152295454,-2.0729965161669646,-2.369559814522774,410.26796361019734,,,,26.16830556776742,,-1.8906840408095278,0.24129435018128503,-0.3048805507472672,-10.92077053279928,-1.741696342085328,50.00000000000003,-0.17993439958766672,3.610673581013909,-100.0939169910944,14.728650612585367,-0.30076895632458145,20.309303978287584,-42.947543491595496,NC State 2024 Roster,Appalachian State,,Softball,,ef75297c-5c35-4d50-bd2e-7af3c2c95500,9a39ba7b-3903-4ade-9d5f-5fea24c3a55c,66.81263302086278,1.3802949630314567,1.271125699499736,5.434716500771273,-2.137897076842929,61.427448325861455,1.737290975288098,-0.0690281216603436,-4.51263930896483,-2.241105540888057,0.3802959105421346,-0.1416499374738082,-9.1610119832944,-39.78661501660484,,861.7400804721517,-717.6337844024358,76.8433035975129,0.7675274831621347,-0.6399302065241538,0.0372946828482681,-3.04222407366838,73.51880762404824,-2.6633942820945213,0.04053683632039726,0.8823623072866269,1.707436098838813,-0.8633623533189667,26.15405937392738,0.14777873305521513,1.051018167223249,-0.0018743155935226352,0.4071029810598859,0.521761726365851,-0.7496878441804167,,,1.0,0,1.0,42.426248868593646,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
9,02/25/2024,3:18:12 PM,3,1,Rylee Wyman,,,Nc state 2024 roster,Peyton Darnell,darnepe10,Right,Appalachian state,,1,Top,1,0,0,Riseball,,BallCalled,,,,,,,66.64425449421081,9.08986460531534,-2.249219160662355,1065.4128802264179,42.469901006246864,7:30,1.42532509476482,1.3416088508041362,6.0000000000000036,-31.11441449814676,-2.6300316481197896,-3.004486137172053,4.529917275453055,-0.3063522924634905,60.65290278212842,0.46524097229676487,-3.0882515256655525,0.38412708415175595,,,,,,,,,,,,2.703736731391146,-6.355035271337116,-1.8221980936043167,50.00000000000002,-0.9669109305339002,3.4402372546238906,-99.08009982535037,20.537736446790113,2.6147800288588816,19.830864804028195,-38.319995349601086,NC State 2024 Roster,Appalachian State,,Softball,,ef75297c-5c35-4d50-bd2e-7af3c2c95500,cb714178-32b3-491f-a979-daebd7216425,66.7418054021236,1.4202119812761733,1.34315918405719,9.178992956223865,-2.277414631384412,60.71785844236684,4.534108418615666,-0.307459910840377,0.5567490630012192,-3.1121000484432226,0.3840572459884548,-2.8259250072800697,-3.944215411347139,-60.54577496416358,,523.8933947052395,-927.7070207433873,49.17280468712782,0.3627144117719376,-0.8707488317076044,0.33201615559002445,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
10,02/25/2024,3:18:31 PM,3,2,Rylee Wyman,,,Nc state 2024 roster,Peyton Darnell,darnepe10,Right,Appalachian state,,1,Top,1,1,0,Dropball,,Foul,,,,,,,66.41569013781731,6.002898368029586,-1.341883256597837,1087.5838160021553,18.890873098474167,6:45,1.5973965047776544,1.1708332528872234,6.0000000000000036,-33.61648132054168,-5.36823379393849,-2.090243288650442,2.5388283002202603,0.16312223502757536,60.95310656954565,-3.37624988448041,-1.9264262931860594,0.38253156521488973,60.42441870842541,57.0414560791704,44.269196108649446,,75.99526540280328,79.52810595220988,64.17480920669978,157.52601208563104,,43.8708258634216,4.194404967019998,1.9605153422956856,-8.428763065745091,-1.4544801621396026,49.99999999999999,-0.10568061698530555,2.015479711161282,-99.49944263504625,15.535823454552363,1.911872604447882,20.01584244129818,-40.39368492734371,NC State 2024 Roster,Appalachian State,,Softball,,ef75297c-5c35-4d50-bd2e-7af3c2c95500,967e3058-390e-42d9-a1bf-24482689a0f0,66.48907066545328,1.5915302104678237,1.1726758121458731,6.107562012610063,-1.375486138808201,60.99466259594657,2.5435005073217862,0.1617830241120417,-3.2743120247713478,-1.9554446172987094,0.382479775833225,-1.8778563006648086,-6.7630166795775155,-52.46059410265737,,662.6723422175289,-862.3827014091506,60.93069172851829,0.5764877853371567,-0.7929344743094647,0.19727329471733654,22.9462293122811,23.539179797368664,50.69997979355093,-0.10991952509216546,1.7013082073991257,2.819422013421605,109.1710153334088,113.56114606094371,,,,,,,,,1.0,0,,27.203717963096953,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
