PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,2/26/23,1:15:23 PM,1,1,Madison Inscoe,inscoma10,,North carolina state,Hannah Shifflett,shiffha10,,James madison,,1,Top,0,0,0,Screwball,1,InPlay,,FlyBall,HomeRun,0,1,,60.22056507,8.325204287,-2.248488712,1133.742792,70.79505953,8:15,0.71782241,2.056502289,6,-34.56215406,0.21045298,-4.309852954,3.048689009,0.300214914,54.90192137,-1.28414665,-3.452224588,0.424414437,79.30207761,45.09181387,-29.96402787,2302.949973,-60.23069171,92.04490085,93.28087451,243.9284583,,-36.31996774,5.397167076,4.21962846,-2.789408924,-2.5239374,50,-1.530753102,2.937822088,-89.73664543,17.83747593,3.343060563,16.42018425,-34.38399841,North Carolina State,James Madison,,Softball,,a4aaf39e-7be4-4745-9d32-efa2046cb941,b8762e78-3023-439f-afb6-bd58b1ef168d,60.3068631,0.712784112,2.057802197,8.412726011,-2.272218633,54.95714192,3.05287985,0.299328081,-1.192569775,-3.471124699,0.42433762,-4.158969771,-1.38107652,-62.61646346,,521.4589326,-1006.704177,45.99446508,0.151297908,-0.887947588,0.434347815,-27.96210795,48.50209013,56.1648225,-0.566072081,3.901939997,3.227517759,-144.477365,196.5385046,-15.66250912,-29.51728997,0.933004791,0.948803866,0.240042434,0.205306731,,,1,0,1,46.12343456,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
2,2/26/23,1:16:11 PM,2,1,Madison Inscoe,inscoma10,,North carolina state,Kylee Gleason,gleasky10,Left,James madison,,1,Top,0,0,0,Riseball,3,StrikeSwinging,,,,0,0,,61.45832537,8.913904327,-2.010302745,1250.544702,82.02642457,8:45,1.048300882,1.8265145,6,-32.31041592,1.172226457,-4.281144283,3.940251748,0.220748755,55.91903944,-0.055217392,-3.206555825,0.416467758,,,,,,,,,,,,4.271601396,-1.887020141,-2.240123116,50,-1.314209974,2.617407347,-91.45497672,18.82650533,3.514642372,17.07035241,-33.72667595,North Carolina State,James Madison,,Softball,,a4aaf39e-7be4-4745-9d32-efa2046cb941,808bc7b7-af0d-4f67-9a09-765856ddff3a,61.55159234,1.043736386,1.827908186,8.99213791,-2.035530014,55.98204034,3.944065925,0.2198096,0.02815844,-3.22657759,0.416385743,-4.120896195,-0.328952341,-65.12439782,,526.0410367,-1134.523195,42.06495264,0.058350979,-0.907223223,0.41658275,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
3,2/26/23,1:16:32 PM,2,2,Madison Inscoe,inscoma10,,North carolina state,Kylee Gleason,gleasky10,Left,James madison,,1,Top,0,0,1,Dropball,1,Foul,,,,0,0,,62.68628383,6.839328238,-2.375590568,1180.473975,27.83977987,7:00,1.337137843,1.834839033,6,-36.76392712,-4.842066373,-3.215531979,2.544977693,0.09068023,57.33296451,-3.414487623,-3.274443794,0.406645173,,,,,,,,,,,,2.879642936,-8.186995946,-2.342136634,50,-0.589455403,3.434432365,-93.76685286,16.4643482,2.485466895,18.21035379,-39.24037963,North Carolina State,James Madison,,Softball,,a4aaf39e-7be4-4745-9d32-efa2046cb941,a19f4661-fd97-4988-ba41-af62e88f85c2,62.75482228,1.330827953,1.836060714,6.950414027,-2.397778263,57.36835765,2.550044922,0.089804012,-3.304829798,-3.293198766,0.406593422,-3.07506448,-6.52340106,-44.90414735,,836.1164204,-833.3235495,70.82887364,0.626309241,-0.705922847,0.330771324,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
4,2/26/23,1:16:56 PM,2,3,Madison Inscoe,inscoma10,,North carolina state,Kylee Gleason,gleasky10,Left,James madison,,1,Top,0,0,2,Dropball,1,Foul,,,,0,0,,63.43097841,5.72152892,-1.6461206,1099.356445,21.55079995,6:45,1.298004278,1.949725109,6,-35.67385442,-4.673754645,-2.352187559,1.891847834,0.731110946,58.2027561,-4.239707915,-2.304286858,0.400731118,,,,,,,,,,,,2.144193376,-7.55999557,-2.299885834,50,-0.360460384,2.395105094,-95.11294064,14.66374589,1.905641719,18.63800222,-38.89295988,North Carolina State,James Madison,,Softball,,a4aaf39e-7be4-4745-9d32-efa2046cb941,f532269e-eb9d-492a-a9fc-2f3fcff6cf34,63.49995057,1.291933565,1.951116806,5.827277309,-1.670937934,58.23889091,1.896473585,0.730155656,-4.13754351,-2.325260739,0.400677775,-2.195243785,-6.281579265,-46.81066611,,752.4120672,-801.5364465,68.44113849,0.636565727,-0.729096054,0.251402107,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
5,2/26/23,1:17:17 PM,2,4,Madison Inscoe,inscoma10,,North carolina state,Kylee Gleason,gleasky10,Left,James madison,,1,Top,0,0,2,Changeup,1,StrikeSwinging,Strikeout,,,1,0,,51.39559029,6.431968102,0.014644322,722.3609924,52.61178042,7:45,1.597204096,1.564884409,6,-48.75450562,-1.474774652,-4.353178641,1.545743609,1.211214307,47.35459983,-7.156340781,-1.204357617,0.49489039,,,,,,,,,,,,5.089144015,-4.071213242,-1.518161001,50,-0.354401751,-0.526762987,-76.98403097,14.35788057,2.965459003,12.14123522,-34.54635737,North Carolina State,James Madison,,Softball,,a4aaf39e-7be4-4745-9d32-efa2046cb941,319eea94-5966-473d-89c5-0f5d218d5fcb,51.46344858,1.590864543,1.561572759,6.544825413,0.07472029,47.38432812,1.551089818,1.213774937,-7.041284433,-1.148592673,0.49481024,-4.730431075,-3.614610053,47.45221962,,488.4639712,532.1732352,67.62048011,0.410600001,0.736713694,0.537271414,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
6,2/26/23,1:17:48 PM,3,1,Madison Inscoe,inscoma10,,North carolina state,Jasmine Hall,hall-ja10,,James madison,,1,Top,1,0,0,Riseball,3,StrikeSwinging,,,,0,0,,61.72531124,8.307607651,-1.824476157,1224.511772,77.63956907,8:30,0.902475015,1.769517755,6,-32.38733499,0.690946726,-4.445802729,3.402037953,0.265566833,56.25821182,-0.697015015,-3.067006892,0.413945336,,,,,,,,,,,,4.531772236,-2.221831149,-2.139270583,50,-1.319814876,2.311501167,-92.00791368,17.9534072,3.774272325,17.26632098,-34.02449471,North Carolina State,James Madison,,Softball,,a4aaf39e-7be4-4745-9d32-efa2046cb941,c63a9c27-b38f-4b99-9349-c59c1c00e68d,61.81613065,0.897710321,1.770770635,8.389101154,-1.846957809,56.31796843,3.405922633,0.264747617,-0.612238315,-3.084427257,0.413866177,-4.302950013,-0.815505992,-63.77414337,,541.1248747,-1098.459353,44.19107166,0.094595751,-0.897059038,0.431667378,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
7,2/26/23,1:18:06 PM,3,2,Madison Inscoe,inscoma10,,North carolina state,Jasmine Hall,hall-ja10,,James madison,,1,Top,1,0,1,Dropball,2,Foul,,,,0,0,,63.84799628,5.554933302,-3.099857154,1088.722376,21.73756862,6:45,1.514230761,1.596227635,6,-35.42095705,-4.759666424,-2.495824467,2.028276236,-0.538793217,58.59277304,-4.32786025,-3.796737279,0.398535248,,,,,,,,,,,,1.770550309,-7.615379605,-2.275403021,50,-0.104590192,4.820966346,-95.68221864,14.43929261,1.591031094,18.98109182,-39.01729244,North Carolina State,James Madison,,Softball,,a4aaf39e-7be4-4745-9d32-efa2046cb941,6186d6c1-52f5-49b9-b769-e0da6ef6c64a,63.91728277,1.50812445,1.597464128,5.660851576,-3.121767843,58.62913663,2.032965349,-0.53964569,-4.22589411,-3.815105078,0.398482085,-2.357119139,-6.373728339,-43.51653014,,789.5150569,-749.654845,72.51757421,0.673608445,-0.688563826,0.268573119,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
8,2/26/23,1:18:28 PM,3,3,Madison Inscoe,inscoma10,,North carolina state,Jasmine Hall,hall-ja10,,James madison,,1,Top,1,0,2,Riseball,3,BallCalled,,,,0,0,,60.98987289,9.595264878,-1.632868809,1231.29054,83.80576467,8:45,0.904745597,1.723070488,6,-32.91381819,1.220628468,-4.831064926,4.179816455,0.306119919,55.3571066,0.470338475,-2.983758633,0.420501894,,,,,,,,,,,,5.046582333,-2.105963962,-2.045502832,50,-1.621899607,1.920915319,-90.61557017,19.83674846,4.073172079,16.85349933,-33.8738046,North Carolina State,James Madison,,Softball,,a4aaf39e-7be4-4745-9d32-efa2046cb941,c819106f-6f66-4b9e-8cf3-bd80f5375612,61.08476353,0.900125614,1.724122672,9.675370966,-1.652241068,55.42096116,4.183701632,0.305433746,0.555995878,-2.998436108,0.420418626,-4.707433645,-0.331237967,-61.30036083,,591.2878373,-1080.025503,48.02179651,0.051815197,-0.877149193,0.477414369,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
9,2/26/23,1:18:45 PM,3,4,Madison Inscoe,inscoma10,,North carolina state,Jasmine Hall,hall-ja10,,James madison,,1,Top,1,1,2,Changeup,2,InPlay,,GroundBall,Single,0,0,,52.52889889,6.840129422,-3.207189119,750.54429,50.51991358,7:45,1.787755533,1.823938693,6,-47.80742723,-2.242945176,-4.643160565,2.078833132,-0.556887323,48.25801329,-6.471557582,-4.50297105,0.485830461,68.06188124,-0.730656459,24.56243646,1422.792333,,,,32.62657378,,24.96737403,0.315142727,4.226970144,-5.180485513,-2.506209564,50,-0.24954765,3.850575352,-78.5381714,15.10149048,2.556172768,12.8931467,-35.30684105,North Carolina State,James Madison,,Softball,,a4aaf39e-7be4-4745-9d32-efa2046cb941,b7ca3110-1daa-456c-ba43-e85d3be6720c,52.59637323,1.781092894,1.820698631,6.956484565,-3.149588471,48.2863645,2.084207867,-0.554473851,-6.356147604,-4.450709572,0.485751439,-5.00591393,-4.430910518,42.78118291,,550.8642052,509.7699076,73.39529626,0.466654632,0.679200301,0.566498373,28.28997548,61.89784867,-0.86792615,0.556155949,2.302741709,2.150631839,13.77174576,29.57756473,-0.085867103,-1.655300851,-0.043110644,-0.285638745,0.039704371,-0.957514527,,,1,0,1,40.5088273,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
10,2/26/23,1:19:15 PM,4,1,Madison Inscoe,inscoma10,,North carolina state,Hallie Hall,hall-ha10,,James madison,,1,Top,1,0,0,Changeup,2,StrikeCalled,,,,0,0,,48.4759195,7.58169566,-2.575462341,599.5326034,81.22772424,8:45,1.39937964,1.41310307,6,-52.20381281,1.263189345,-3.582853604,1.790111194,-0.486027637,44.60859036,-6.931491553,-3.575473924,0.52627706,,,,,,,,,,,,3.258224408,-1.268476134,-1.962086095,50,-0.853821833,2.861096158,-72.33789401,15.36004891,1.678744351,10.61027808,-32.8276102,North Carolina State,James Madison,,Softball,,a4aaf39e-7be4-4745-9d32-efa2046cb941,a31c88bf-1676-4ab0-93f5-24b7f48874e0,48.55877007,1.393018797,1.409578102,7.692287312,-2.512650205,44.64986449,1.795614679,-0.483352121,-6.813287915,-3.517420725,0.526158953,-3.977482892,-1.033513499,62.19043572,,279.7025155,530.2884548,46.65342867,0.071150041,0.884503114,0.461076905,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
