PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance
1,3/6/22,12:02:58 PM,1,1,Maddie Mcpherson,,Left,Nc state,Campbell,,Left,Syracuse,,1,Top,0,0,0,Dropball,1,BallCalled,,,,0,0,,68.2196607,3.284504955,-0.19128607,,,,1.215411804,0.706896873,6,,,,1.138075141,0.58809892,63.09324996,-3.81091264,-0.19128607,,,,,,,,,,,,,,,,,,,,,,,,NC State,Syracuse,,Softball,,3b25f9bd-2775-4f76-b80d-a1923def1e79,467cacf3-9d6f-11ec-bd69-1d4704873023,68.31353453,1.212345147,0.706896873,3.338421438,-0.19128607,63.16135068,1.140650758,0.58809892,-3.754318664,-0.19128607,0.370156374,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
2,3/6/22,12:03:17 PM,1,2,Maddie Mcpherson,,Left,Nc state,Campbell,,Left,Syracuse,,1,Top,0,1,0,Fastball,2,StrikeCalled,,,,0,0,,68.98736336,3.98601882,-2.285149034,,,,1.331163287,0.613127769,6,,,,1.733630613,-0.806808608,63.69443766,-2.968791297,-2.285149034,,,,,,,,,,,,,,,,,,,,,,,,NC State,Syracuse,,Softball,,3b25f9bd-2775-4f76-b80d-a1923def1e79,523903f8-9d6f-11ec-b66e-ef19c86891eb,69.08431363,1.328129435,0.613127769,4.038924227,-2.285149034,63.76495092,1.736151327,-0.806808608,-2.913245592,-2.285149034,0.366620737,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
3,3/6/22,12:04:02 PM,1,3,Maddie Mcpherson,,Left,Nc state,Campbell,,Left,Syracuse,,1,Top,0,1,1,Dropball,4,InPlay,,Popup,Single,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Syracuse,,Softball,,3b25f9bd-2775-4f76-b80d-a1923def1e79,78edfc0b-c9a8-4587-ba24-65e9b1f04dd8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3/6/22,12:04:29 PM,2,1,Maddie Mcpherson,,Left,Nc state,Galipeau,,Left,Syracuse,,1,Top,0,0,0,Riseball,4,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Syracuse,,Softball,,3b25f9bd-2775-4f76-b80d-a1923def1e79,daa1d311-e897-482c-868d-13d6f60adea1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3/6/22,12:04:37 PM,2,2,Maddie Mcpherson,,Left,Nc state,Jasso,,Left,Syracuse,,1,Top,0,1,0,Fastball,2,InPlay,,LineDrive,Double,0,0,,68.91187671,5.001520644,-0.97423088,,,,1.269183891,0.516239515,6,,,,2.296917773,-0.088861308,63.48971164,-1.979475716,-0.97423088,,71.75670066,20.25855743,-12.95318636,1817.034039,,,,205.7765982,,-20.0150551,2.825597923,,,,,,,,,,,,NC State,Syracuse,,Softball,,3b25f9bd-2775-4f76-b80d-a1923def1e79,81d88278-9d6f-11ec-b87b-3109fec9ea32,69.01074829,1.266157055,0.516239515,5.054274932,-0.97423088,63.56240953,2.299495749,-0.088861308,-1.923256664,-0.97423088,0.367290841,,,,,,,,,,,-15.08961364,65.60480461,24.8462726,0.038922127,0.957285373,2.302987195,-70.43054843,193.3482511,-31.27722365,22.25841261,0.645616369,0.7910691,-0.148767591,0.593361511,,,,0,0.985483712,39.970824,low,high,,,37
6,3/6/22,12:05:28 PM,3,1,Maddie Mcpherson,,Left,Nc state,Jasso,,Left,Syracuse,,1,Top,0,0,0,Fastball,1,StrikeCalled,,,,0,0,,68.66396634,5.014300331,-0.604277373,,,,1.441313969,1.163187201,6,,,,2.462140794,0.787889045,63.26269594,-2.016140237,-0.604277373,,,,,,,,,,,,,,,,,,,,,,,,NC State,Syracuse,,Softball,,3b25f9bd-2775-4f76-b80d-a1923def1e79,a01c6bab-9d6f-11ec-909d-ff76246b2fb4,68.76284189,1.43825001,1.163187201,5.067594518,-0.604277373,63.3345725,2.464673505,0.787889045,-1.95990744,-0.604277373,0.368588561,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
7,3/6/22,12:06:14 PM,3,2,Maddie Mcpherson,,Left,Nc state,Jasso,,Left,Syracuse,,1,Top,0,0,1,Riseball,4,InPlay,,FlyBall,Sacrifice,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Syracuse,,Softball,,3b25f9bd-2775-4f76-b80d-a1923def1e79,9e8e3e14-58c6-4c0a-92ae-9cb18f7c97bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3/6/22,12:06:28 PM,4,1,Maddie Mcpherson,,Left,Nc state,Casares-maher,,Right,Syracuse,,1,Top,1,0,0,Fastball,2,BallCalled,,,,0,0,,70.00816788,3.743451251,-2.690749269,1390.871685,333.7044716,5:00,0.997638276,-0.152647658,6,-30.00587004,-4.676995432,2.709727603,0.827889059,-1.599146546,64.42284271,-4.638513996,-1.933036642,0.362225874,,,,,,,,,,,,-4.145342592,-6.828957314,-0.485324185,50,-0.152976446,5.37485346,-105.1905552,11.66507659,-4.508907721,22.70084236,-39.60193707,NC State,Syracuse,,Softball,,3b25f9bd-2775-4f76-b80d-a1923def1e79,c39f2570-9d6f-11ec-babd-ddb0ded69c4e,70.08360623,0.992387734,-0.154042601,3.835814761,-2.665695956,64.46828477,0.831985091,-1.598180596,-4.549022278,-1.912082602,0.362171342,2.550938552,-6.020464215,57.79712462,7.290227046,741.2215775,1176.908925,53.29187339,0.47777284,0.846166428,-0.236083651,,,,,,,,,,,,,,,,,0.75023075,0,,,medium,high,83.43879566,35.49854027,37
9,3/6/22,12:06:53 PM,4,2,Maddie Mcpherson,,Left,Nc state,Casares-maher,,Right,Syracuse,,1,Top,1,1,0,Fastball,1,StrikeSwinging,,,,0,0,,68.58240785,4.410885662,-0.86321127,,,,1.291718194,0.414057584,6,,,,1.933733937,-0.122077167,63.27029676,-2.627745743,-0.86321127,,,,,,,,,,,,,,,,,,,,,,,,NC State,Syracuse,,Softball,,3b25f9bd-2775-4f76-b80d-a1923def1e79,d2daa426-9d6f-11ec-9ec7-5dbbb0a0753f,68.67968927,1.288647186,0.414057584,4.464311747,-0.86321127,63.34122947,1.936328699,-0.122077167,-2.571283718,-0.86321127,0.368726398,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
10,3/6/22,12:07:20 PM,4,3,Maddie Mcpherson,,Left,Nc state,Casares-maher,,Right,Syracuse,,1,Top,1,1,1,Riseball,3,StrikeSwinging,,,,0,0,,60.50911539,6.246051308,-0.845044475,1903.346737,212.0852663,1:00,0.91907274,0.913166605,6,-25.05575468,9.200707184,4.202374425,2.726043774,0.73851467,55.0491571,-0.763928307,0.334904624,0.421252775,,,,,,,,,,,,-5.231367553,8.324980219,-1.146551068,50,-0.75215291,1.912429883,-90.78950462,13.3559696,-4.208826843,17.75676344,-25.47629802,NC State,Syracuse,,Softball,,3b25f9bd-2775-4f76-b80d-a1923def1e79,e2e45e85-9d6f-11ec-91a9-772869be948f,60.63263575,0.917258473,0.911955312,6.276664456,-0.8232042,55.14391207,2.727900573,0.739287821,-0.722032907,0.351709835,0.421124711,4.063387386,7.762685964,55.69803622,39.0071777,1072.639344,1572.31474,56.35543555,-0.477476242,0.826078984,-0.29934921,,,,,,,,,,,,,,,,,0.987088071,0,,,medium,high,125.1064599,-0.436466246,37
