PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,3/8/24,7:48:02 PM,1,1,Carly Maxton,,,Nc state 2024 roster,Ella Edgmon,edgmoel10,,Georgia tech,,1,Top,0,0,0,Curveball,,StrikeCalled,,,,,,,63.912030160372200,5.698922875988060,-1.917317061,1074.9411218816600,61.61897213782210,8:00,1.3970245635948100,0.8939913736711980,6.0000000000000000,-30.42632073,0.088353219,-2.692205188,2.414500081546900,-0.521546449,58.617464034961900,-2.793456414,-2.669945821,0.39758124504599000,,,,,,,,,,,,2.449799004844890,-1.967907578,-1.302325462,50.000000000000000,-0.204519767,2.8164772879135700,-95.79796351,13.978219383062700,2.2117254329435700,18.726279557845000,-33.95071421,NC State 2024 Roster,Georgia Tech,,Softball,,9030943a-683f-4032-b1a3-a6a80096891a,9b86dbc7-8f4c-4f0e-8ff0-fb0ad8aa5e91,64.00897108343180,1.3927263948400200,0.8958650325202310,5.774909187541000,-1.951380215,58.684288381159200,2.418137429,-0.522890027,-2.713413952,-2.699109857,0.3974989382956380,-2.476664916,-1.232954135,-73.39041508,,307.2704885175120,-1030.088958,28.584866860395300,0.1358732789666040,-0.958274772,0.2514913783920160,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state 2024 roster,2022-11
2,3/8/24,7:48:20 PM,1,2,Carly Maxton,,,Nc state 2024 roster,Ella Edgmon,edgmoel10,,Georgia tech,,1,Top,0,0,1,Changeup,,StrikeCalled,,,,,,,53.147011108590900,6.750505208799970,0.019662540700609200,929.8587332060840,42.52325582793850,7:30,1.516207712918040,0.9746792767650330,6.0000000000000000,-50.93706522,-6.659667451,-7.854850388,1.4833354924405100,0.3323197269638080,48.985746200062300,-7.43736233,-2.17931768,0.4789195513068700,,,,,,,,,,,,9.180281166,-10.24752104,-0.891918986,50.00000000000000,-0.530312689,-0.972720925,-79.55939025,15.548024957766500,5.712161618278000,12.984992724268200,-38.55027002,NC State 2024 Roster,Georgia Tech,,Softball,,9030943a-683f-4032-b1a3-a6a80096891a,919ee7eb-b192-4969-92dd-0b2338769e05,53.178039772316000,1.5073995819606200,0.973475508,6.907836339761670,0.041606018383903500,48.97648990085440,1.489960273731940,0.3332087296862990,-7.29585971,-2.160145203,0.4789040283253020,-7.99327217,-8.812959126,-16.91856973,,889.6138108260130,-270.6003165,95.67193155875300,0.7051050633953110,-0.291012287,0.6466364499412070,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state 2024 roster,2022-11
3,3/8/24,7:48:40 PM,1,3,Carly Maxton,,,Nc state 2024 roster,Ella Edgmon,edgmoel10,,Georgia tech,,1,Top,0,0,2,Riseball,,BallCalled,,,,,,,63.39996993475360,8.531840858651110,-2.823450483,1144.015020197090,43.81971512867610,7:30,1.296509367835350,1.136848680251020,6.0000000000000000,-31.99061747,-0.567336927,-1.506112264,3.9752953485140900,-0.743574983,57.738718888953000,-0.349284967,-3.243903303,0.4034570268335500,,,,,,,,,,,,0.7411728039306610,-3.762460487,-1.762957455,50.00000000000000,-0.97537421,4.438977344843720,-94.37214988,18.748125318115700,0.6497756180931990,18.093049316964000,-35.47254499,NC State 2024 Roster,Georgia Tech,,Softball,,9030943a-683f-4032-b1a3-a6a80096891a,8aaba3ba-6b83-4b9f-b611-6c9963e9e96d,63.50282723533830,1.2917755877915000,1.1394527783798700,8.612827184160010,-2.869971405,57.807704842940700,3.9791322407304800,-0.745399153,-0.264552607,-3.283623193,0.40337326291840600,-1.21169445,-1.932583691,-73.87282367,,317.7734232587960,-1098.995186,27.777032438267400,0.2004174064127140,-0.960647514,0.1923258077181970,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state 2024 roster,2022-11
4,3/8/24,7:49:24 PM,1,4,Carly Maxton,,,Nc state 2024 roster,Ella Edgmon,edgmoel10,,Georgia tech,,1,Top,0,2,2,Changeup,,BallCalled,,,,,,,53.247175739471200,3.935278733250040,-0.329865423,,,,1.7942797878134400,1.709214380154110,6.0000000000000000,,,,0.7512954558412940,1.504350408467370,49.34813959506380,-7.738238522,-0.329865423,,,,,,,,,,,,,,,,,,,,,,,,NC State 2024 Roster,Georgia Tech,,Softball,,9030943a-683f-4032-b1a3-a6a80096891a,ca4e50d5-9dfe-441b-b5b3-6ecde86ec197,53.32940637,1.7889877166565500,1.7092143801541200,4.028166994265990,-0.329865423,49.396235546233500,0.7557782945986870,1.5043504084673700,-7.640645148,-0.329865423,0.4755233488446760,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,high,high,,,37,Amanda Hasler,,Nc state 2024 roster,2022-11
5,3/8/24,7:49:50 PM,1,5,Carly Maxton,,,Nc state 2024 roster,Ella Edgmon,edgmoel10,,Georgia tech,,1,Top,0,3,2,Fastball,,BallCalled,Walk,,Walk,0,0,,64.27320029,3.8064285053803700,1.3771303303520400,1155.5135544997000,68.47439034099640,8:15,1.658490166038070,0.43489715589958000,6.0000000000000000,-29.91862851,0.054480059,-2.454465129,1.5334074341716500,1.085784848353920,59.220598730859700,-4.551736181,0.6903095847445820,0.3940373737249510,,,,,,,,,,,,3.361553131965980,-1.306457009,-0.097874272,50.00000000000000,0.49465298550604800,-2.681895455,-96.61268912,10.809647337025800,3.089560698864660,18.921016979718200,-33.37479759,NC State 2024 Roster,Georgia Tech,,Softball,,9030943a-683f-4032-b1a3-a6a80096891a,e796c399-c67c-43d8-8035-c8a36358dcb3,64.36519608898170,1.6543340039537000,0.4369050189715270,3.880858771756350,1.3404579234516200,59.284559194770200,1.537028009538300,1.084302311770180,-4.473162915,0.6583774237282580,0.3939554400449540,-2.222892996,-1.222997469,-77.89054286,,242.40356334856300,-1129.801791,20.977993932188500,0.076971839,-0.977748627,0.19514855612654600,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state 2024 roster,2022-11
6,3/8/24,7:50:25 PM,2,1,Carly Maxton,,,Nc state 2024 roster,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,63.434206490876700,4.515027063630230,-2.08997459,1068.562338124150,64.98213424651730,8:15,1.4591164961468800,1.443015054842010,6.0000000000000000,-30.08754951,0.7803724400533230,-1.994454992,1.7635505308087900,-0.021736559,58.345523567718300,-3.887227025,-2.647480574,0.39987588947818300,,,,,,,,,,,,1.5724893572520800,-0.727284673,-1.89753126,50.000000000000000,0.13176103823821800,3.1882581788098400,-95.24698678,11.864891410316800,1.403425120943660,18.50820135030360,-32.82314115,NC State 2024 Roster,Georgia Tech,,Softball,,9030943a-683f-4032-b1a3-a6a80096891a,61f7ebc7-1ac8-4e5f-9763-006c8a1e5bb5,63.53104809325650,1.4550220208783100,1.4451857004434200,4.586591547794530,-2.128973482,58.412800233677700,1.7670139412803200,-0.023293141,-3.811324671,-2.681166569,0.39979009265272700,-1.748145979,-0.52363608,-78.94356333,,204.9243961196800,-1048.728498,19.17757989,0.081102147,-0.981438762,0.17378261943565900,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state 2024 roster,2022-11
7,3/8/24,7:50:46 PM,2,2,Carly Maxton,,,Nc state 2024 roster,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,0,1,Changeup,,BallCalled,,,,,,,55.44462586693970,4.041983945282140,-0.851879357,882.8043434836650,62.75839222623450,8:00,1.474468020715720,1.1027690047630100,6.0000000000000000,-42.63522798,-2.258384843,-8.363727173,0.43624199249080100,-0.123303826,51.35623725,-7.838247757,-3.192647295,0.4573384365334860,,,,,,,,,,,,9.451832536020000,-4.132773385,-1.212821222,50.00000000000000,0.13138053841646900,0.1865601189349280,-83.39013376,11.263031739967100,6.449854237657420,14.441433057061000,-34.99422079,NC State 2024 Roster,Georgia Tech,,Softball,,9030943a-683f-4032-b1a3-a6a80096891a,0c26779f-7402-4ddf-8807-f64819839c30,55.500607947371700,1.4676472686276900,1.1024515711280600,4.162871736,-0.846234467,51.37767969673590,0.44158833903955800,-0.123018148,-7.723370737,-3.186441569,0.45728013980478400,-8.398567918,-4.16302542,-37.88791813,,696.7211913240200,-542.1467425,78.92135969502200,0.3612575473062020,-0.614118798,0.7016773376170930,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state 2024 roster,2022-11
8,3/8/24,7:51:23 PM,2,3,Carly Maxton,,,Nc state 2024 roster,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,1,1,Riseball,,BallCalled,,,,,,,62.77094886718260,8.718471555514610,-0.460307787,1269.4149362664500,87.85714882365980,9:00,1.2672729677420800,1.2862101803143200,6.0000000000000000,-30.67127468,1.3541234965634700,-2.810186524,4.168265408969650,0.7661493483159810,57.10165875134130,0.19827798421058500,-1.247008917,0.40730410907938000,,,,,,,,,,,,3.115275526599880,-1.599941886,-1.362622754,50.00000000000000,-1.032290855,0.35344783598530600,-93.51203491,18.682750631580600,2.6798582852100600,17.84554969941560,-33.55037007,NC State 2024 Roster,Georgia Tech,,Softball,,9030943a-683f-4032-b1a3-a6a80096891a,623f04d4-bbd8-4825-8713-72aef23ef07f,62.88068497427430,1.2631202897218000,1.2882917394723900,8.789662704662030,-0.497660603,57.17921619823980,4.171798388,0.7646902598196730,0.27630385,-1.278703863,0.4072075167778180,-2.574280894,0.013201436075053700,-72.95449574,,372.1049941210160,-1213.652402,29.31310980280700,0.010960491330832400,-0.956072256,0.29292611399622400,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state 2024 roster,2022-11
9,3/8/24,7:51:44 PM,2,4,Carly Maxton,,,Nc state 2024 roster,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,2,1,Curveball,,InPlay,,GroundBall,Out,1,0,,63.535295237565700,5.223526749004070,-4.420284853,1117.5494061638300,55.94633849066710,7:45,1.3791015552761300,1.6737983752704200,6.0000000000000000,-30.18856983,0.8050689920330070,-1.937328415,2.126162082554770,-1.238306709,58.323031653487500,-3.186475143,-4.959273879,0.40068935640611000,45.53807739253050,15.80717258025480,-16.7611862,309.18714068012800,,,,72.07016886967520,,-17.26902362,1.1901354915638400,0.6491141323264770,-0.973541441,-2.659412172,50.00000000000000,-0.113842959,7.0721773354112800,-95.09307906,13.06236825601950,0.576999397,18.552097345321400,-33.03943334,NC State 2024 Roster,Georgia Tech,,Softball,,9030943a-683f-4032-b1a3-a6a80096891a,4108eca3-1c5f-48a3-ba64-1c26ce1abb26,63.63555841464620,1.374910527,1.6761034413170600,5.295705102952780,-4.461131792,58.391760793740300,2.129587885790320,-1.23990425,-3.110802732,-4.993981184,0.4006036477023250,-1.677909623,-0.520738932,-77.69610701,,238.1461573019570,-1091.880526,21.309675973917900,0.1193276028611350,-0.9770311,0.17655353920766600,-12.63580037,41.95448530213800,12.404604172143600,1.1939611568545800,2.233725575638770,2.1579762917530900,-21.39465296,68.82134890996290,-1.98099729,-1.925649467,-0.038520448,-0.142155248,-0.166722218,0.9757026120715780,,,1,0,1,21.14200321998840,high,high,,,37,Amanda Hasler,,Nc state 2024 roster,2022-11
10,3/8/24,7:52:20 PM,3,1,Carly Maxton,,,Nc state 2024 roster,Mallorie Black,blackma10,,Georgia tech,,1,Top,1,0,0,Changeup,,BallCalled,,,,,,,55.06731454392490,9.088815086243970,-3.277066296,1022.0547739664700,48.09526713331040,7:30,1.2930813948246500,1.2723740250842100,6.0000000000000000,-47.02720957,-5.14528499,-7.934010081,3.075872870936090,-1.426225686,50.23748620975080,-3.971432026,-5.486907027,0.46578429119428000,,,,,,,,,,,,8.059176150840880,-9.382979413,-1.937717112,50.00000000000000,-1.25830924,3.7052694170087700,-81.85171962,18.932627629589200,5.301714681152260,13.85410745,-38.34662589,NC State 2024 Roster,Georgia Tech,,Softball,,9030943a-683f-4032-b1a3-a6a80096891a,bc0a007f-df6d-4cbd-be0b-e6142357c6b1,55.12143215171700,1.284679152694270,1.2720234756386500,9.235174414818740,-3.270816058,50.25079574736130,3.0822595313318300,-1.425941376,-3.833879885,-5.480843013,0.46574544583612900,-7.973124441,-7.218630323,-28.32627713,,899.6737629819650,-484.9567828,88.02598313693500,0.5879202918390680,-0.47449197,0.6551389937763300,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state 2024 roster,2022-11
