PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,3/10/24,12:01:03 PM,1,1,Aisha Weixlmann,,Right,Nc state fall 2023,Ella Edgmon,edgmoel10,,Georgia tech,,1,Top,0,0,0,Curveball,,BallCalled,,,,,,,66.98328255172066,6.434393570404177,-5.771955813,1406.5760080437908,89.26801217402556,9:00,1.3653619613755408,2.1626066338571706,6.0000000000000036,-25.63588787,2.5184425137540956,-2.36401553,3.2624274707281864,-1.631222288,61.22294888720259,-0.685664808,-6.426991525,0.38189513309893425,,,,,,,,,,,,0.6223923976459128,0.5432070523645807,-3.453138935,50.00000000000003,-0.363372103,9.737519093116479,-99.86057226,15.185947677608807,0.6090934166560626,20.700492121582066,-31.64244952,NC State Fall 2023,Georgia Tech,,Softball,,24a9eeaf-7f19-48b9-a3f8-01dea82b76bf,c79392ba-e248-4876-93c0-0da5b2f1cc85,67.09789142121335,1.3622565364324757,2.1643991910448985,6.4883929807187135,-5.80429272,61.30923809916258,3.2652054162712028,-1.632521924,-0.624672168,-6.454810845,0.3818046644461239,-2.157652981,1.3537749059001325,-76.86525732,,319.63293118215927,-1369.777667,22.724184783067063,0.002903071,-0.973838355,0.22722330334208546,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state fall 2023,2022-11
2,3/10/24,12:01:17 PM,1,2,Aisha Weixlmann,,Right,Nc state fall 2023,Ella Edgmon,edgmoel10,,Georgia tech,,1,Top,0,1,0,Screwball,,BallCalled,,,,,,,67.42065816341078,6.208905577958773,-1.836917563,1656.9067164829798,124.29271587553887,10:15,0.9793727783608727,1.953904833909861,6.0000000000000036,-22.62852128,4.880754585445132,-3.994616431,2.9668361122580182,0.47981818859554654,61.63001421239368,-0.104525469,-2.954338089,0.37749491134219715,,,,,,,,,,,,3.9875419056621237,3.401306889871175,-2.331061146,49.999999999999986,-0.660937639,2.6299921309094487,-101.0122704,14.448200591260457,3.993794006123972,21.146457072314753,-28.76740976,NC State Fall 2023,Georgia Tech,,Softball,,24a9eeaf-7f19-48b9-a3f8-01dea82b76bf,12c097ef-0f4e-4c0c-a38d-b0adbff2ff80,67.54122395575683,0.9770412849731873,1.9547849890636473,6.248835472692411,-1.852741954,61.72297439771224,2.968976965511732,0.4792448849859347,-0.057141543,-2.966680293,0.3773956265279724,-3.894003434,3.816930518276551,-66.06126881,,672.3056546,-1514.379402,40.57595082973931,-0.228613436,-0.91397988,0.33522630456199376,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state fall 2023,2022-11
3,3/10/24,12:01:34 PM,1,3,Aisha Weixlmann,,Right,Nc state fall 2023,Ella Edgmon,edgmoel10,,Georgia tech,,1,Top,0,2,0,Curveball,,BallCalled,,,,,,,67.05364251,6.082381338545355,-3.447019057,1608.5371260209515,127.0312292,10:15,1.1231116215978498,1.930906238372611,6.0000000000000036,-23.18306695,4.689394239129694,-2.842679147,2.989756259154535,-0.449328749,61.31215609986794,-0.379434205,-4.240066096,0.37997863835672047,,,,,,,,,,,,2.046479885555333,3.2198538804756915,-2.685656637,49.99999999999997,-0.495438658,5.614099808,-100.358527,14.22793853124021,2.022993697936958,20.89166316932486,-28.99114798,NC State Fall 2023,Georgia Tech,,Softball,,24a9eeaf-7f19-48b9-a3f8-01dea82b76bf,a21ef003-7939-406d-b284-bfb0fea8c598,67.17490964614265,1.120741152158198,1.9323437977082896,6.122624684629099,-3.472485799,61.40472511955773,2.9919229846152646,-0.450313217,-0.331716039,-4.261203588,0.37987837144947617,-2.681257449,3.611569683244498,-71.59275988,,507.9260432441278,-1526.238127,31.576892757246313,-0.19017191,-0.948836121,0.25208066231970416,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state fall 2023,2022-11
4,3/10/24,12:01:51 PM,1,4,Aisha Weixlmann,,Right,Nc state fall 2023,Ella Edgmon,edgmoel10,,Georgia tech,,1,Top,0,3,0,Screwball,,BallCalled,Walk,,Walk,0,0,,67.10124702778013,6.486881437268517,-1.794689441,1445.9882368607955,123.40927883200624,10:00,1.0807000806292066,1.3442681613939664,6.0000000000000036,-22.71685348,5.090164908939542,-4.494909945,3.2355704469062374,-0.145257634,61.29694377775651,0.15096264932424683,-3.052156554,0.37953229314157466,,,,,,,,,,,,4.585333162336181,3.535137412448907,-1.706866474,50.000000000000036,-0.624269959,2.466513389800436,-100.4890039,14.879137714047584,4.543433729402962,20.980490730760405,-28.67121522,NC State Fall 2023,Georgia Tech,,Softball,,24a9eeaf-7f19-48b9-a3f8-01dea82b76bf,56ec4cdf-c9c3-4059-b0c8-d93485c81d62,67.22326464,1.0783384272174916,1.344815905998677,6.5270359846561785,-1.804457289,61.38927149675864,3.2376819586036953,-0.145568951,0.19786026441320326,-3.0588266,0.37943112648116617,-4.432351408,4.008255472,-62.14136181,,675.6982920208422,-1278.402831,46.72916935256447,-0.257298252,-0.884103203,0.39007580850972234,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state fall 2023,2022-11
5,3/10/24,12:02:16 PM,2,1,Aisha Weixlmann,,Right,Nc state fall 2023,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,0,0,Curveball,,BallCalled,,,,,,,67.18214029316538,6.585843100681949,-4.196387508,1638.5500432794747,102.60046458024064,9:30,1.2145457900732926,1.6517490564590205,6.0000000000000036,-24.39863546,3.494286646007456,-4.707174396,3.3005920255613357,-1.351336536,61.37544930027593,-0.20700934,-5.506660561,0.3801180821563416,,,,,,,,,,,,3.929298339967859,1.607683892269465,-2.558779199,49.999999999999964,-0.532994636,6.6529886911858584,-100.3915059,15.317080556681685,3.8816236668413904,21.098347982713396,-30.58587193,NC State Fall 2023,Georgia Tech,,Softball,,24a9eeaf-7f19-48b9-a3f8-01dea82b76bf,cf54a314-0eff-4741-ac52-624d7a14f476,67.29943667694275,1.2114981569240482,1.652581630698706,6.637853812922425,-4.211229879,61.46245500990756,3.3031923731659942,-1.35185038,-0.14946939,-5.517682047,0.38002356299189677,-4.612120223,2.3231409558918075,-66.64049806,,649.6836018708782,-1504.246476,39.64990904828085,-0.086496734,-0.918035114,0.3869494071534969,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state fall 2023,2022-11
6,3/10/24,12:03:04 PM,2,2,Aisha Weixlmann,,Right,Nc state fall 2023,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,1,0,Riseball,,StrikeSwinging,,,,,,,67.40208137420284,6.621640178799812,-2.003538515,1510.2909179687501,95.00602751434077,9:15,1.0852522328862388,1.6530990823143956,6.0000000000000036,-25.50496525,2.0463727497020017,-3.280250641,3.0931173526261553,0.1349472033919708,61.611310168129066,-0.488008166,-2.920629335,0.37778339903718305,,,,,,,,,,,,3.099706582498766,-0.037553343,-2.075179294,50.000000000000036,-0.679001329,3.0281180548475475,-100.8670546,15.607828985542499,3.0996187926785304,20.89638440571625,-32.21160187,NC State Fall 2023,Georgia Tech,,Softball,,24a9eeaf-7f19-48b9-a3f8-01dea82b76bf,a81d4ab8-7b6d-44a1-bac4-f34a34f3b8c9,67.51557235839458,1.081869477378445,1.6546135639368167,6.6796875060597705,-2.030476411,61.69466064074191,3.0959804797635315,0.13392043498650674,-0.42486862,-2.942817774,0.37769338436797345,-3.109740474,0.8965112954840522,-72.76038596,,447.60256861814804,-1442.439114,29.636844351825037,-0.025861271,-0.955073686,0.29523795314333623,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state fall 2023,2022-11
7,3/10/24,12:03:38 PM,2,3,Aisha Weixlmann,,Right,Nc state fall 2023,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,1,2,Dropball,,BallCalled,,,,,,,69.27758334407976,4.355852463595725,-0.585024836,1459.0067816840278,83.54235918782594,8:45,1.3651542851755165,0.36655109776900696,6.0000000000000036,-25.10833365,0.7315995700043807,-5.078033163,1.9833442456102521,-0.419958505,63.65960858277338,-2.662874828,-2.006192667,0.3658619256640851,,,,,,,,,,,,5.718458019478505,-0.727200643,-0.448647408,50.00000000000002,0.1244623881916683,0.26278287581088816,-104.1102129,11.887566662211507,6.096770774857372,22.136543369970823,-32.94935923,NC State Fall 2023,Georgia Tech,,Softball,,24a9eeaf-7f19-48b9-a3f8-01dea82b76bf,4ca6fa07-9107-44ff-ac6a-45cf2a91ab42,69.37951187357356,1.3614294962515987,0.36721747478623185,4.421487685144934,-0.597221399,63.733729078953715,1.9864989509932265,-0.42037902,-2.594229284,-2.015133655,0.36578399467077477,-5.000170629,-0.397463879,-66.14234316,,590.1183565777068,-1334.339205,40.44658078,0.045489714,-0.914553121,0.4018995839485101,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state fall 2023,2022-11
8,3/10/24,12:04:02 PM,2,4,Aisha Weixlmann,,Right,Nc state fall 2023,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,2,2,Curveball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,68.37983439254513,5.1944926882575135,-0.809656201,1564.7437269422742,135.24885793536222,10:30,1.0350084114139588,1.4206297235272465,6.0000000000000036,-21.40969333,5.197954221841101,-3.301422343,2.4860786402899087,0.642643701,62.64082300025723,-0.787629882,-1.733982461,0.37125709495333314,,,,,,,,,,,,3.559627402940348,4.167203371,-1.571448087,49.999999999999964,-0.360292274,0.9381594017574514,-102.6509729,12.656609694019616,3.685810451331155,21.67260949738056,-27.85912558,NC State Fall 2023,Georgia Tech,,Softball,,24a9eeaf-7f19-48b9-a3f8-01dea82b76bf,7b31e3d9-563d-4937-8d8b-f4959e04a11a,68.49927026,1.033038996807142,1.4215765570463688,5.229055487,-0.826987494,62.73543864599215,2.488005845124073,0.6419807489947296,-0.745107187,-1.748237465,0.3711604404345918,-3.19155099,4.212474912170105,-66.60374345,,621.3408291936192,-1436.091399,39.708791829305184,-0.28200046,-0.917780576,0.2795613624928557,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state fall 2023,2022-11
9,3/10/24,12:04:28 PM,3,1,Aisha Weixlmann,,Right,Nc state fall 2023,Mallorie Black,blackma10,,Georgia tech,,1,Top,1,0,0,Changeup,,InPlay,,Popup,Out,1,0,,55.942994605846295,5.097449420645477,0.5278959030034803,1107.869349888393,94.54892567220992,9:15,1.1515438936159024,0.7423431433664612,6.0000000000000036,-37.45410362,2.246079654316958,-6.918602387,1.2046344136967493,0.4936500025393223,51.51965971913955,-5.358068988,-1.408898744,0.4534900662688858,,,,,,,,,,,,8.270858708,0.7770339838960968,-0.553536915,49.999999999999986,-0.38182157,-1.653542093,-83.97516543,12.254034292202414,5.739330858196014,14.360827855007154,-31.63484861,NC State Fall 2023,Georgia Tech,,Softball,,24a9eeaf-7f19-48b9-a3f8-01dea82b76bf,66621973-b8ca-4494-b968-cca18fced9dd,56.02957905,1.1464408818122527,0.7431939778926804,5.187794913138058,0.5123738757361996,51.574218845799315,1.2090521249508592,0.4931003802793919,-5.262017295,-1.420760242,0.4533932563990793,-6.819719563,0.5847909623220551,-57.14514252,,601.0332471901813,-930.6629531,54.25127496,-0.043026875,-0.840047568,0.5408038197526489,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state fall 2023,2022-11
10,3/10/24,12:05:04 PM,4,1,Aisha Weixlmann,,Right,Nc state fall 2023,Madison Dobbins,dobbima10,,Georgia tech,,1,Top,2,0,0,Curveball,,StrikeCalled,,,,,,,66.54344747938389,5.169500920210243,-4.544771835,1373.9221777343753,103.94155491234739,9:30,1.4087779021339495,1.6309294894874675,6.0000000000000036,-25.7421529,2.5122392257428103,-0.813276179,2.492992216447521,-1.265291927,61.01664058612329,-2.001621469,-4.771034902,0.3825731673692248,,,,,,,,,,,,-0.705437702,1.0440532350657172,-2.656164845,50.000000000000014,-0.02771031,7.792973189443244,-99.58137714,12.916667970416043,-0.687849116,20.30430667,-31.15602759,NC State Fall 2023,Georgia Tech,,Softball,,24a9eeaf-7f19-48b9-a3f8-01dea82b76bf,bb7d4eba-de23-4c02-bd2e-396557a06ca0,66.65484661432937,1.4057899892089398,1.6333220661588552,5.221402669091887,-4.587817887,61.09943071108711,2.495615010531069,-1.267016835,-1.943339995,-4.808582334,0.3824839591186306,-0.539836623,1.390556993193698,-84.66198642,,127.81760080204295,-1367.963746,9.303117954818713,-0.022414189,-0.995663196,0.090290667,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37,Amanda Hasler,,Nc state fall 2023,2022-11
