PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,03/12/2024,6:01:49 PM,1,1,Rylee Wyman,,,Nc state 2024 roster,Rachel Warrens,warrera10,,George mason,,1,Top,0,0,0,Dropball,,BallCalled,,,,,,,64.65796284931507,4.4427461647969055,1.7156510719364888,1135.9153544108074,41.44059892921618,7:30,1.3245303571123548,0.6343348203823197,6.0000000000000036,-32.13139524128077,-2.4620172749673515,-3.0163316732113503,1.412848205933268,1.4487911933023658,59.529165725549035,-4.529723976227053,0.8718441572707583,0.39203581374003094,,,,,,,,,,,,4.1382390766614146,-4.472351042825754,-0.2148323112947002,50.00000000000003,-0.00679806191669401,-3.3520658929675315,-97.09273424789986,12.275500408358694,3.8422869307242324,19.074008379647115,-36.32655398294842,NC State 2024 Roster,George Mason,,Softball,,24db3732-d15d-4a77-b3a6-cd6543b12c2f,f0f8118a-ff59-413b-9e80-ea1799b3c658,64.74066028160864,1.3192645216340817,0.6362447385616079,4.534677830695731,1.6817048737855813,59.58026004753155,1.4169326794721306,1.447498599129545,-4.439453977414656,0.84340333587008,0.39196636247977046,-2.801553387066116,-3.827716346366743,-67.91884563628052,,427.01271008051896,-1052.5986119200047,37.591948063947775,0.28180513870466206,-0.9266523318244796,0.24879975828746476,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
2,03/12/2024,6:02:11 PM,1,2,Rylee Wyman,,,Nc state 2024 roster,Rachel Warrens,warrera10,,George mason,,1,Top,0,1,0,Riseball,,BallCalled,,,,,,,64.17938446380066,7.786445700569728,-1.169504894205552,1101.1580726360448,66.83290424520465,8:15,1.1244699593127863,1.452285067087392,6.0000000000000036,-30.74361438732504,-0.2485129874352232,-3.532240761255157,3.429250578579546,0.4315140524479696,58.556355769771685,-0.7706259673629064,-2.1576027077990902,0.3974537174116044,,,,,,,,,,,,3.7029261323513722,-3.1198789937880735,-1.6824318153383881,50.00000000000001,-0.9602853041519526,1.4434561116093279,-95.81283933112925,17.565189002910675,3.345163158226062,18.690094324686676,-34.99249745536542,NC State 2024 Roster,George Mason,,Softball,,24db3732-d15d-4a77-b3a6-cd6543b12c2f,e1c52ea4-472e-4d17-b381-4a49d59127c4,64.27987674416032,1.1199767628913602,1.4538072925464698,7.865390373733711,-1.1972825534730254,58.626268578631226,3.4331111305919952,0.4304195278365033,-0.6864435899314996,-2.1811273133360567,0.3973705958159548,-3.3565388727673833,-1.5806403536679128,-67.52267064943837,,420.9923696012871,-1017.5040666596974,38.23178343446006,0.15040918725673177,-0.9240308834352098,0.3514882684339761,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
3,03/12/2024,6:02:27 PM,1,3,Rylee Wyman,,,Nc state 2024 roster,Rachel Warrens,warrera10,,George mason,,1,Top,0,2,0,Dropball,,BallCalled,,,,,,,65.61866182162056,4.140839872334066,1.1226164258792313,855.621466274919,356.8724342658417,6:00,1.3980586588464778,0.3215000734072021,6.0000000000000036,-32.679017152052296,-3.894648467140712,0.2084210121879602,1.2514417838315717,1.0361545283333908,60.466336310828346,-4.986678311074431,1.1809450240261596,0.386144520793941,,,,,,,,,,,,0.16176811593817633,-6.045797684639814,-0.06883349985355586,49.999999999999964,0.13064256493705,-1.9013226312070952,-98.61524847740975,12.021522027813617,0.15482351840124392,19.789303546151974,-37.960305200399056,NC State 2024 Roster,George Mason,,Softball,,24db3732-d15d-4a77-b3a6-cd6543b12c2f,11870874-9936-4315-ae0f-94cdb9969b02,65.6948118908642,1.3928623417495614,0.3239783429028116,4.232699747990394,1.0780365793052031,60.512467957080595,1.2556530742378118,1.034328857106109,-4.89542625511872,1.141405635204364,0.3860820168613075,0.48913008416537035,-5.243942344988101,-62.166284545371425,,399.49571940646746,-756.6315244069277,46.690707883444546,0.4662116379000514,-0.8843063834069529,-0.025474083933802048,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
4,03/12/2024,6:02:46 PM,1,4,Rylee Wyman,,,Nc state 2024 roster,Rachel Warrens,warrera10,,George mason,,1,Top,0,3,0,Dropball,,BallCalled,Walk,,Walk,0,0,,64.43462875856989,4.668754408857806,-0.17229342359325875,793.8728268271998,8.823535084337077,6:15,1.2690547269359185,0.8063412530684554,6.0000000000000036,-35.07131703793196,-5.19040364773727,-1.0254459645884844,1.2524052400496462,0.6138848984044908,59.35094511608855,-5.12559042243958,-0.4593692083725907,0.39343089135230797,,,,,,,,,,,,1.135504398310289,-7.748929559264337,-0.8352006587114628,50.00000000000003,-0.14258172497653215,0.14071286762655047,-96.78303430703653,13.0451206317456,1.0468707198584908,19.045127719303288,-39.31812360095865,NC State 2024 Roster,George Mason,,Softball,,24db3732-d15d-4a77-b3a6-cd6543b12c2f,c8a40854-b8fc-4147-9177-01d47ba45d5b,64.5023265747409,1.2630925699463738,0.8082350784748702,4.7735467833557506,-0.20616704253979007,59.386894300994314,1.2570673262620242,0.6125230847849727,-5.024727397245396,-0.48883464969797247,0.3933772237463052,-0.8120658443273038,-6.64114122365797,-50.00301706890951,,510.25958788649154,-608.1687415056094,64.27472646038285,0.6351406443950633,-0.7660782948526187,0.09859212946847075,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
5,03/12/2024,6:03:25 PM,2,1,Rylee Wyman,,,Nc state 2024 roster,Marlaina Bozek,bozekma10,,George mason,,1,Top,0,0,0,Dropball,,StrikeCalled,,,,,,,65.7365541186055,6.1701094607063975,-1.5612690382717394,956.7364267202524,8.834913973534698,6:15,1.4108946431258726,0.6733665446781352,6.0000000000000036,-34.604548477747535,-5.7520987309552325,-0.9001567028049346,2.3754163380591793,-0.37150697503490687,60.321124112768516,-3.4817197331596668,-1.8129603513702357,0.38660090743272046,,,,,,,,,,,,0.4933977493491825,-8.932186159574961,-1.01870384698891,49.99999999999998,-0.34066107616342944,2.5486098055033923,-98.43550388893657,15.810358825314301,0.47107211221181605,19.54480897188829,-40.70206538341761,NC State 2024 Roster,George Mason,,Softball,,24db3732-d15d-4a77-b3a6-cd6543b12c2f,47b07d3d-b50a-4fd2-9ab8-7ac2079d74f0,65.80722014357126,1.4048919011699483,0.6754503501138927,6.276488928767898,-1.5990610881606122,60.35974945602632,2.3802290159972923,-0.3730526268565542,-3.3779896216207663,-1.8461274787496,0.3865506624041826,-0.6618484964292837,-7.164210163379753,-49.26144779553716,,624.3742007370839,-724.9147864869116,65.2608370810626,0.6448651554880701,-0.7576953968105523,0.1002328134367524,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
6,03/12/2024,6:03:42 PM,2,2,Rylee Wyman,,,Nc state 2024 roster,Marlaina Bozek,bozekma10,,George mason,,1,Top,0,0,1,Riseball,,Foul,,,,,,,64.51738452711774,7.066491910903931,-0.05513301918850638,1123.4099031336166,76.1894031558507,8:30,1.0419456395017768,0.9119460931317184,6.0000000000000036,-29.899049647285363,0.16118587477670587,-4.242551476292683,2.9613671425408903,0.5241599493342907,58.96484436125224,-1.2673240010990852,-1.242659505217079,0.39460965944665716,,,,,,,,,,,,4.935049061647488,-2.3711061582018402,-0.8821168177300865,49.999999999999986,-0.8679482903625293,-0.5272396975622329,-96.4904846188509,16.331250592295014,4.522677862153076,18.920981748075008,-34.34702683436282,NC State 2024 Roster,George Mason,,Softball,,24db3732-d15d-4a77-b3a6-cd6543b12c2f,13b9fbc7-1b80-4c44-9481-d6fa7784e1f6,64.61783132399798,1.0375623640772313,0.9131383488847961,7.143269697331725,-0.07681636618608331,59.034759980615604,2.9650778152971315,0.5233368289484662,-1.1861897875654999,-1.2603645820541443,0.3945257430854903,-4.105139425349038,-1.1419860790616139,-65.80450793669324,,460.4309632812987,-1024.7210052060693,40.9851259096953,0.09783685009282427,-0.9121523696272692,0.39800251927251906,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
7,03/12/2024,6:04:03 PM,2,3,Rylee Wyman,,,Nc state 2024 roster,Marlaina Bozek,bozekma10,,George mason,,1,Top,0,0,2,Riseball,,BallCalled,,,,,,,64.37868042206944,10.135536609830009,-2.4888305731804903,1120.6613595145088,58.34816653047029,8:00,1.1337668362948432,1.321356189617921,6.0000000000000036,-31.89857258304614,-1.15098046866499,-3.7030627508077125,4.8426880977107905,-0.5338843749017995,58.39319918698466,1.3183764623856151,-3.5227586444007692,0.399095727106761,,,,,,,,,,,,3.4250178321432805,-5.048244264631665,-1.8494647946881289,50.000000000000036,-1.5106443796721802,3.6124980826937967,-95.42200332140085,21.683652200664003,3.068708171383187,18.546812746021633,-36.697117548048915,NC State 2024 Roster,George Mason,,Softball,,24db3732-d15d-4a77-b3a6-cd6543b12c2f,bb5f8e8d-8050-4079-bbac-e0d9c6279aa6,64.48270167245705,1.1287390448826227,1.322868724706703,10.221745042217243,-2.516159505921763,58.463762528483365,4.846859142379013,-0.5349465131347473,1.4091150211844443,-3.5455414175525823,0.3990148154480967,-3.5298994081551625,-2.5338546605476684,-62.378578054843125,,519.5692350284306,-992.9399240240463,46.3627330965991,0.24329132510300774,-0.8860303030829992,0.39466394964358115,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
8,03/12/2024,6:04:22 PM,2,4,Rylee Wyman,,,Nc state 2024 roster,Marlaina Bozek,bozekma10,,George mason,,1,Top,0,1,2,Riseball,,InPlay,,Popup,Out,1,0,,66.0107606567079,7.100883410951699,-0.9669242650062848,1250.9459838867188,52.29586346650673,7:45,1.340588740458695,1.4567991108765967,6.0000000000000036,-29.852294731127298,-1.1311997979973007,-2.7086609574624574,3.2862242801438417,0.6305155779788859,60.34362913619532,-1.2169875135075994,-1.7246986219406863,0.3857198761778272,36.401820267461204,29.191095555200572,31.813061107150425,2633.7279510498042,,,,77.66078224691941,,36.544315463717375,1.834289622606875,2.816110799072829,-3.8858095181426626,-1.6491685602248929,50.00000000000003,-0.577085197093712,1.2606590700655753,-98.69536735683316,16.76089822279776,2.7010772539366172,19.743832519839373,-35.90113010642597,NC State 2024 Roster,George Mason,,Softball,,24db3732-d15d-4a77-b3a6-cd6543b12c2f,12509d12-7a9a-48f3-8ea6-3d1d1bc4b2b7,66.1101324997877,1.3359166480056972,1.458757134068079,7.181643269844339,-1.0019446048758531,60.410629719760124,3.2899568191641104,0.6291701250575776,-1.1344781534126835,-1.7540436920492741,0.3856425366777533,-2.487234571886425,-2.413879528591092,-70.42308662034863,,419.1568999672059,-1178.6319814989718,33.50719418474613,0.20492469272038705,-0.9421925460257958,0.26510201154816504,16.752132937126277,27.004677134503382,17.75404105274707,-0.4373046380571476,1.1064659965536359,3.5039545496694107,46.24267419678601,62.39240484492751,8.038285534042357,-0.6290678459228913,0.051262774035533365,0.4898777050023551,-0.11551417678574218,-0.8641043392456365,,,1.0,0,1.0,11.594057174189256,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
9,03/12/2024,6:04:49 PM,3,1,Rylee Wyman,,,Nc state 2024 roster,Maddy Myers,myersma10,,George mason,,1,Top,1,0,0,Dropball,,InPlay,,GroundBall,FieldersChoice,1,0,,65.32825566914272,5.871157875739681,-1.66647135615193,925.8397300026634,5.018371546342751,6:15,1.3202529875789917,0.4369949424144784,6.0000000000000036,-33.70631425650421,-4.517831049930795,-0.32649058820700905,2.1720187319170803,-0.6254604611517708,59.970619132628286,-3.532912135106599,-1.757764329608942,0.38884568686961263,38.91593013256234,-27.00777803474179,-13.890400069788877,,,,,5.19878502624705,,-4.146491494372871,0.08155197692937736,-0.21511618560743787,-7.385678451935332,-0.8119513380608405,50.00000000000001,-0.3537389714035624,2.7991322501314904,-97.87635309766539,15.070361937183778,-0.20301985202556114,19.34808549917829,-39.14441930590843,NC State 2024 Roster,George Mason,,Softball,,24db3732-d15d-4a77-b3a6-cd6543b12c2f,969aa9c2-ccd8-4672-919d-8a9c094586ef,65.40584424460276,1.3145151830516326,0.43949200601615596,5.97070031927142,-1.7106906867561187,60.015292357918334,2.1764594858568485,-0.6272262685830042,-3.4365471828859087,-1.795856219038363,0.38878735766809425,-0.047811609210829095,-5.905250304496483,-56.78204395794001,,507.19854307231327,-774.5507365929798,54.782542446180635,0.5457254457651174,-0.8365926752687007,0.04792111780021783,-8.323535120255597,33.65802735346566,-17.672169528886414,0.6242872654540083,1.1811710826775499,2.1851109283994914,-0.3759073725774444,5.185176891521876,,,,,,,,,1.0,0,,14.645589696355053,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
10,03/12/2024,6:05:24 PM,4,1,Rylee Wyman,,,Nc state 2024 roster,Elyssa Derosa,derosel11,,George mason,,1,Top,2,0,0,Dropball,,StrikeCalled,,,,,,,66.6028912790876,5.008882989662066,-1.009582838453318,988.2269701276506,9.455877346529755,6:15,1.4024955934889412,0.6751388115406212,6.0000000000000036,-32.958636846977726,-4.961653923072564,-0.9696921920903366,1.7751239192164427,-0.03273148497499458,61.25537285814597,-4.194932834707494,-1.2809152913560164,0.3808264800779495,,,,,,,,,,,,0.7695681101942168,-7.600324091869635,-0.8945501203352741,50.00000000000001,-0.06605845532750707,1.6147828574472762,-99.96728582726656,13.755166006700806,0.7572263318358511,20.26634812464752,-39.65248516124447,NC State 2024 Roster,George Mason,,Softball,,24db3732-d15d-4a77-b3a6-cd6543b12c2f,4ebab3de-8f86-46ed-9477-cac697868c62,66.67676418048072,1.3969613027961678,0.677263278275548,5.10776518228376,-1.0482632607963402,61.29853252425806,1.7795808221551954,-0.034297151295053584,-4.097876035453662,-1.3148539110498385,0.3807719784789555,-0.7256127963340397,-6.322263924900302,-55.32361622262845,,562.2424413166664,-812.6967341326969,56.894059594835866,0.5612100643144664,-0.8223786222184563,0.09347013121968915,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
