PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance
1,3/15/22,,1,1,Aisha Weixlmann,,Right,Nc state,Jade Sinness,,Left,Troy,,1,Top,0,0,0,Curveball,2,StrikeSwinging,,,,,,,67.68622757,5.736451161,-4.139382733,,,,0.755542246,1.838846945,6,,,,2.160511275,-0.736383487,62.25790278,-1.530020588,-4.139382733,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,b888a83d-a481-11ec-a8d2-d32c4a301c95,67.78664909,0.752327069,1.838846945,5.791831471,-4.139382733,62.32995509,2.163161939,-0.736383487,-1.471744267,-4.139382733,0.375352579,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
2,3/15/22,,1,2,Aisha Weixlmann,,Right,Nc state,Jade Sinness,,Left,Troy,,1,Top,0,0,1,Riseball,4,StrikeSwinging,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,1e1a0059-1b1d-458b-9c4c-b7724dcca037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3/15/22,,1,3,Aisha Weixlmann,,Right,Nc state,Jade Sinness,,Left,Troy,,1,Top,0,0,2,Riseball,4,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,93664406-80bd-4ae9-916a-8d5d8af5af5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3/15/22,,1,4,Aisha Weixlmann,,Right,Nc state,Jade Sinness,,Left,Troy,,1,Top,0,1,2,Screwball,1,StrikeSwinging,Strikeout,,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,7e6ed423-0f25-4786-bd3b-254296a1da0c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3/15/22,,2,1,Aisha Weixlmann,,Right,Nc state,Kelly Horne,,Right,Troy,,1,Top,1,0,0,Riseball,3,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,7bab24c7-d39e-4dce-bb00-ddbca6ffa86f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3/15/22,,2,3,Aisha Weixlmann,,Right,Nc state,Kelly Horne,,Right,Troy,,1,Top,1,1,1,Curveball,2,BallCalled,,,,0,0,,68.61583159,5.569817011,-3.252245773,1571.928582,96.00426541,9:15,0.981315296,1.987273871,6,-23.96342366,2.643391891,-6.169609968,2.460012997,-0.548827641,62.76692526,-1.121378854,-4.973905492,0.37125129,,,,,,,,,,,,5.975890324,0.976290662,-2.66470663,50,-0.526463854,4.889126754,-102.8675499,13.76155745,6.189208302,22.37345115,-31.16290883,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,f3a375b5-a481-11ec-b883-3fecf581e107,68.71734527,0.977989612,1.987213331,5.627485716,-3.251508738,62.84145203,2.462818735,-0.548678742,-1.060199725,-4.970459922,0.371171904,-6.172607234,1.389657682,-59.26767516,18.7541836,803.2994183,-1351.173383,51.10279357,-0.0534548,-0.859564104,0.508224493,,,,,,,,,,,,,,,,,0.856608083,0,,,medium,high,73.12123476,-15.68123165,37
7,3/15/22,,2,2,Aisha Weixlmann,,Right,Nc state,Kelly Horne,,Right,Troy,,1,Top,1,1,0,Curveball,2,StrikeSwinging,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,8d972e2f-6687-44c5-8f44-27f335c693e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3/15/22,,2,4,Aisha Weixlmann,,Right,Nc state,Kelly Horne,,Right,Troy,,1,Top,1,2,1,Changeup,2,BallCalled,,,,0,0,,66.58747247,3.937573482,-2.94258617,,,,0.695439239,2.068920242,6,,,,0.914098475,0.239829483,61.51330993,-3.530584649,-2.94258617,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,003f5466-a482-11ec-a5d7-d52a870720e2,66.68074369,0.692218729,2.068920242,3.99414408,-2.94258617,61.58045868,0.916802154,0.239829483,-3.470796188,-2.94258617,0.380021312,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
9,3/15/22,,2,5,Aisha Weixlmann,,Right,Nc state,Kelly Horne,,Right,Troy,,1,Top,1,3,1,Screwball,1,StrikeCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,6fc4dacb-7a62-4a4c-8632-fb01bd18da58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3/15/22,,2,6,Aisha Weixlmann,,Right,Nc state,Kelly Horne,,Right,Troy,,1,Top,1,3,2,Curveball,2,Foul,,,,0,0,,68.23398471,7.26984519,-3.34805519,,,,0.83003289,1.511416172,6,,,,3.223549753,-0.570251091,62.5451017,0.101237305,-3.34805519,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,20e114dc-a482-11ec-ba2d-01930cbf6fc1,68.33846104,0.826883389,1.511416172,7.324007617,-3.34805519,62.62127156,3.226191074,-0.570251091,0.159267483,-3.34805519,0.373147447,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
11,3/15/22,,2,7,Aisha Weixlmann,,Right,Nc state,Kelly Horne,,Right,Troy,,1,Top,1,3,2,Screwball,1,StrikeCalled,Strikeout,,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,420924ab-e578-46aa-beb3-192769b33432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3/15/22,,3,1,Aisha Weixlmann,,Right,Nc state,Libby Baker,,Right,Troy,,1,Top,2,0,0,Curveball,2,BallCalled,,,,0,0,,68.64614522,4.662210092,-3.952086494,,,,0.793204384,1.853721559,6,,,,1.59167938,-0.604607227,63.28393663,-2.384121139,-3.952086494,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,3b097d5e-a482-11ec-91dd-e774c69d45ad,68.74471743,0.790108898,1.853721559,4.715858175,-3.952086494,63.35553294,1.59426831,-0.604607227,-2.327570585,-3.952086494,0.369380099,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
