PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,3/16/24,5:02:59 PM,1,1,Chandler Dennis,dennich10,Right,Georgia tech,Carlli Kloss,klossca10,Left,Notre dame,,1,Top,0,0,0,Curveball,4,BallCalled,,,,,,,66.20100278409792,0.9668435021892277,1.5267393080300773,1053.547998046875,116.22453111784621,9:45,1.565500864,0.5726684130692267,1.6034596494429398,-31.40354484,4.359172433817413,-6.587624837,-0.376513192,1.0892807094672063,60.93127402,-6.852309856,-0.120135685,0.4304143845214411,,,,,,,,,,,,6.688790509865292,3.733333037163334,-0.320473845,50,1.3111513994965598,-3.152699129,-98.74517802,4.1499551244847765,6.441735358083467,19.328316413729254,-28.57860981,Georgia Tech,Notre Dame,,,,ed54c9a9-01c6-4ac8-91bd-9fbc874e52bb,2aa0f699-2f3e-4992-9d87-c88532914366,66.32151764103567,1.5604900836467348,0.573234011,1.0353063159454752,1.5186402094856652,61.01737980826994,-0.372461099,1.0890219342126777,-6.77784429,-0.12475941,0.4302831076303199,-6.529652688,2.8435666134497017,-62.10284519,,492.9402733795741,-931.1139947,46.78859190975768,-0.206754096,-0.88378887,0.41972607392305283,,,,,,,,,,,,,,,,,1,1,,,high,medium,,,41.39654172655706,Reese Hunter,huntere10,Georgia tech,2022-11
2,3/16/24,5:03:17 PM,1,2,Chandler Dennis,dennich10,Right,Georgia tech,Carlli Kloss,klossca10,Left,Notre dame,,1,Top,0,1,0,Dropball,1,InPlay,,LineDrive,Single,0,0,,67.99269694655965,5.343974924184595,1.9380460223450522,1237.771693638393,47.52408300048303,7:30,1.203969281357788,0.33494821153773263,1.1213582021391901,-38.09712987,-3.019993786,-4.449171872,1.9325706769354043,1.2406083551099407,61.952715311602894,-4.376319137,1.2745147469087235,0.4264316016444111,51.14254833272884,17.12441567399141,-26.13366328,2023.6594726562494,,,,106.10932121712095,,-31.41050665,1.6154112023529243,4.975014434045232,-4.642651741,0.42586419683302523,50,0.7062591790131527,-4.550483681,-100.8342338,11.76503221068161,4.994387722247845,20.20663903217772,-36.83478036,Georgia Tech,Notre Dame,,,,ed54c9a9-01c6-4ac8-91bd-9fbc874e52bb,c1173c53-4dbf-44c4-8849-c81718ca00e7,68.10350761584569,1.1958961979707974,0.3374413688017324,5.453444049975982,1.9033109236180543,62.019679186931924,1.938251417103243,1.2391406375837135,-4.266527488,1.246390740102665,0.4263392745884329,-4.203703348,-4.805046125,-66.08242074,,501.81995721985487,-1131.483759,40.54220659585211,0.27377351401249705,-0.914129612,0.2990236020639918,-21.52793315,43.87870642065171,15.058800324364894,-1.286187943,3.954000162077259,2.145857836487298,-55.30058573,90.55955646338128,-13.54245076,4.353177165,0.18163055847149812,0.5218067401209954,-0.036913499,0.8522647004150123,,,1,1,1,23.717178591923965,high,high,,,41.87864317386081,Reese Hunter,huntere10,Georgia tech,2022-11
3,3/16/24,5:04:01 PM,2,1,Chandler Dennis,dennich10,Right,Georgia tech,Emily Tran,tran-em10,Left,Notre dame,,1,Top,0,0,0,Curveball,1,BallCalled,,,,1,,,68.08420802770398,5.979656152277731,0.8134809128607228,1363.0169605928306,67.01797944234828,8:15,2.006261680436826,0.6826651857739031,5.999999999999997,-28.16275748,-1.350656385,-5.214865335,3.386926408510045,0.7533363523219107,62.52949765155736,-1.870365649,-0.644311375,0.37268073773569277,,,,,,,,,,,,6.375419507,-3.670567297,-0.445860997,50,0.36242957835471185,-2.256063366,-101.9547253,15.046209294332103,6.549138831206914,20.522202589010426,-35.94463359,Georgia Tech,Notre Dame,,,,ed54c9a9-01c6-4ac8-91bd-9fbc874e52bb,d3466920-8432-4fe0-aafb-41dba4034cd8,68.17315542220113,2.001882416613652,0.6833586601920374,6.058114172,0.8006627725667319,62.59085913131454,3.390587013940753,0.7528808480619918,-1.790039844,-0.654098317,0.37261465707048874,-5.133106216,-2.538305604,-60.80484662,,664.8603308774219,-1189.863847,48.77858090542377,0.19045219095324856,-0.872963347,0.4490689907751421,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
4,3/16/24,5:06:55 PM,2,2,Chandler Dennis,dennich10,Right,Georgia tech,Emily Tran,tran-em10,Left,Notre dame,,1,Top,1,0,0,Dropball,1,StrikeCalled,,,,,,,66.69977061107504,1.2985621634122562,1.5795423294035995,1249.8399902343751,57.90298614132564,8:00,1.7570347013682694,0.5513272136513109,5.999999999999997,-28.6183764,-1.836294913,-4.545673574,2.009297892961678,0.6733841037189121,62.68392046912904,-4.157092817,-0.295554091,0.37873024727809645,,,,,,,,,,,,6.491299572346852,-2.755751832,-0.142046296,50.00000000000003,1.1656485060932091,-3.543080666,-100.4036601,6.797932781025007,6.457350103664003,20.11860148584849,-34.91538885,Georgia Tech,Notre Dame,,,,ed54c9a9-01c6-4ac8-91bd-9fbc874e52bb,519b7ca0-edfa-40eb-b261-cafe6b422aff,66.76856783838238,1.7527882270616775,0.5521504740434212,1.3770931680837473,1.5640686774800008,62.738288245121424,2.012964318006933,0.6727283327674087,-4.077501538,-0.309624498,0.37866641546798596,-4.432309443,-3.046647833,-63.6851085,,554.0592779973783,-1120.320632,44.33041687948222,0.2355516332606342,-0.896371248,0.37554495621578504,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
5,3/16/24,5:07:12 PM,2,3,Chandler Dennis,dennich10,Right,Georgia tech,Emily Tran,tran-em10,Left,Notre dame,,1,Top,1,0,1,Dropball,2,Foul,,,,,,,67.93697111295701,3.7564657730697415,0.9239190850514853,,,,1.5610656865842505,0.5388833631637058,4.501022385674833,,,,2.249032544385971,0.5421612831131872,62.5914266,-3.483977178,0.15611448778330603,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Notre Dame,,,,ed54c9a9-01c6-4ac8-91bd-9fbc874e52bb,ed3367f3-93db-4116-a0a5-ac51371808d8,68.04326422012346,1.5572290401259918,0.538883363,3.8161589183878997,0.9239190850514778,62.66891819371795,2.252039240389424,0.5421612831131871,-3.420312973,0.15611448778330167,0.38763466726773504,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,38.49897899032517,Reese Hunter,huntere10,Georgia tech,2022-11
6,3/16/24,5:07:55 PM,2,4,Chandler Dennis,dennich10,Right,Georgia tech,Emily Tran,tran-em10,Left,Notre dame,,1,Top,1,1,2,Dropball,1,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,68.82910571925773,3.7226558342945113,0.5721395545801669,1411.3437124399038,74.79920224860993,8:30,1.5454075876036342,0.5358511676103703,4.577276346783181,-29.59816646,-0.379452128,-5.008309873,2.118970870211868,0.8567834344215636,62.30670166514558,-4.013550362,0.3037075495187637,0.38276913772296006,,,,,,,,,,,,5.599968821839833,-1.506491252,-0.383677089,49.99999999999997,0.5832682278997561,-1.673762057,-103.1357071,10.38821683926359,5.880199103079547,21.169470794941024,-33.75592777,Georgia Tech,Notre Dame,,,,ed54c9a9-01c6-4ac8-91bd-9fbc874e52bb,61974d38-5f34-4dc6-9644-a0a54d7f37bb,68.92712432727795,1.540662456267422,0.5369803078621918,3.797218523630846,0.5539072393701712,62.37250765364078,2.122760313096265,0.8560100629059695,-3.933554461,0.2876036467958905,0.38268243196244495,-4.873165186,-1.687024677,-67.76945834,,533.9596805033311,-1306.437191,37.83342610286136,0.099200233,-0.925669048,0.3650974211486301,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.42272502921682,Reese Hunter,huntere10,Georgia tech,2022-11
7,3/16/24,5:08:23 PM,3,1,Chandler Dennis,dennich10,Right,Georgia tech,Karina Gaskins,gaskika10,Right,Notre dame,,1,Top,2,0,0,Curveball,4,BallCalled,,,,,,,64.81438691654829,3.3688219537330024,0.43409929727476115,1250.5054446489385,105.32026439498213,9:30,1.5327129360127292,0.21684025179029265,3.088143076716074,-29.99585679,3.568349328978904,-7.085220467,1.5717730002791475,-0.608218929,60.41182102035837,-4.510718024,-1.960736324,0.42336907773155447,,,,,,,,,,,,7.3212463059977395,2.322434971616818,-0.103675766,49.999999999999986,0.778778008,-1.432113919,-96.8665201,8.745095218,6.777853192751019,18.746179977728158,-30.02398898,Georgia Tech,Notre Dame,,,,ed54c9a9-01c6-4ac8-91bd-9fbc874e52bb,376642bf-0984-4f9a-be18-357bce3b33d7,64.92585364349829,1.5278889447248183,0.21720046147650884,3.4391272203543855,0.4285277340904339,60.49216490205289,1.5753460114240412,-0.608266369,-4.438332305,-1.961554715,0.4232511482996556,-7.057712178,2.1306087601198964,-59.58831311,,633.0179565910639,-1078.448948,50.62096764950709,-0.133747774,-0.862410438,0.4882210253272361,,,,,,,,,,,,,,,,,1,1,,,high,high,,,39.91185829928393,Reese Hunter,huntere10,Georgia tech,2022-11
8,3/16/24,5:08:41 PM,3,2,Chandler Dennis,dennich10,Right,Georgia tech,Karina Gaskins,gaskika10,Right,Notre dame,,1,Top,2,1,0,Curveball,4,Foul,,,,,,,64.04003982482477,0.3953047379607619,1.5889434301715915,1280.2705862862726,118.6418853080211,10:00,1.8377807582018553,0.2294261836938426,6.042463291833688,-23.90823513,4.232844764066339,-5.112029444,1.7353287844248182,-0.924570002,61.100428615895076,-3.89047373,-2.679086153,0.39362138535833496,,,,,,,,,,,,7.226719508279572,4.284341806,0.18998965435294227,50.00000000000006,1.483603784522527,-3.514542864,-96.39117402,4.519114571867027,6.639308446,18.266452683712206,-28.2379529,Georgia Tech,Notre Dame,,,,ed54c9a9-01c6-4ac8-91bd-9fbc874e52bb,168bd22a-1f2c-44d8-b745-053032425d32,64.12448698009129,1.8349427625741086,0.2298489313957445,0.44771131973899786,1.5809123459377423,61.17594996556088,1.7377199243157833,-0.924781631,-3.838414381,-2.683539441,0.39353414664292125,-5.065984646,3.158916093560974,-62.29039543,,595.3135964455404,-1133.443645,46.499045031752864,-0.222885531,-0.885315696,0.40809087070850075,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.957538084166316,Reese Hunter,huntere10,Georgia tech,2022-11
9,3/16/24,5:09:01 PM,3,3,Chandler Dennis,dennich10,Right,Georgia tech,Karina Gaskins,gaskika10,Right,Notre dame,,1,Top,2,1,1,Curveball,4,BallCalled,,,,,,,63.15909361,3.3543189451450326,1.7950059483691172,,,,1.6193829316886026,0.14221875341172183,5.350658167551484,,,,1.1715517926026302,1.2777152373795104,58.30897675761017,-5.108412978,1.795005948369068,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Notre Dame,,,,ed54c9a9-01c6-4ac8-91bd-9fbc874e52bb,48414ab5-9078-42cc-9d69-73507a19c2ce,63.251148174926506,1.615467690440007,0.14221875341172513,3.419243839957553,1.795005948369102,58.37809705463285,1.1752908234478097,1.2777152373795204,-5.033839745,1.7950059483691028,0.4080050648879134,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,37.64934320844852,Reese Hunter,huntere10,Georgia tech,2022-11
10,3/16/24,5:09:19 PM,3,4,Chandler Dennis,dennich10,Right,Georgia tech,Karina Gaskins,gaskika10,Right,Notre dame,,1,Top,2,2,1,Dropball,1,Foul,,,,,,,67.32308827,5.980385748082937,2.885160129143102,,,,1.395704120908556,0.15132446205358466,4.788968420609456,,,,2.8978890117761487,2.005692404762394,61.616708680710694,-1.648662513,2.885160129142945,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Notre Dame,,,,ed54c9a9-01c6-4ac8-91bd-9fbc874e52bb,d3f4af21-434f-4b93-a6ed-70ab00ae12e1,67.43260764312275,1.391902130695767,0.1513244620535945,6.040037295226066,2.885160129142972,61.70081282456611,2.901373217833604,2.0056924047623688,-1.579982599,2.885160129142974,0.39070976138269864,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,38.21103295539054,Reese Hunter,huntere10,Georgia tech,2022-11
