PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance
1,3/19/22,1:02:25 PM,1,1,Aisha Weixlmann,,Right,Nc state,Sarah Coon,,Right,Virginia,,1,Top,0,0,0,Curveball,2,InPlay,,FlyBall,Out,1,0,,70.00371573,5.269088067,-1.423587672,1770.302865,70.21474938,8:15,1.185018302,1.547035467,6,-25.87782622,-0.473813623,-5.25371679,2.311149902,0.224929844,64.19175962,-1.960037072,-2.893096919,0.362762747,67.75917991,50.78188575,16.44206259,,30.74789473,105.6151834,75.21845421,201.7668513,,16.32750506,4.278096279,5.615215135,-2.484042105,-1.817749416,50,-0.27212937,1.776048218,-105.0540305,13.80277452,6.08974032,22.69749313,-34.86801073,NC State,Virginia,,Softball,,a1be13c5-efbc-4b65-97dd-f2b1c60dc46f,5a2906dc-a7a6-11ec-a9c9-1b07783a7019,70.0930554,1.180687008,1.54798368,5.344368567,-1.440787832,64.25350604,2.314625564,0.224336204,-1.884150057,-2.905635155,0.362698601,-5.143953759,-1.725284162,-65.8613042,11.72897345,723.9597942,-1615.504395,40.89468579,0.138426754,-0.912558199,0.384805881,12.12635072,41.09040851,52.49606089,-0.193105254,0.9592674,2.563307621,56.72219736,193.6296843,,,,,,,,,0.85567691,0,,33.97616425,medium,high,79.44392389,-14.47756711,37
2,3/19/22,1:02:55 PM,,,Aisha Weixlmann,,Right,Nc state,Lauren Vanassche,,Left,Virginia,,1,Top,1,0,0,Screwball,1,BallCalled,,,,,,,67.92022134,8.501644431,-2.57309503,,,,1.099159916,2.278279469,6,,,,4.239575896,0.679193093,62.08063546,1.24919715,-2.57309503,,,,,,,,,,,,,,,,,,,,,,,,NC State,Virginia,,Softball,,a1be13c5-efbc-4b65-97dd-f2b1c60dc46f,6c68fbfd-a7a6-11ec-83be-95c45ac4900f,68.02607938,1.09609762,2.278279469,8.55554847,-2.57309503,62.15977355,4.242307644,0.679193093,1.308826756,-2.57309503,0.375744623,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
3,3/19/22,1:03:12 PM,2,1,Aisha Weixlmann,,Right,Nc state,Lauren Vanassche,,Left,Virginia,,1,Top,1,1,0,Dropball,1,Foul,,,,0,0,,68.64511979,6.372504963,-2.842504666,1568.436923,57.63694304,8:00,1.286727513,2.284450019,6,-27.8393698,-1.274926355,-4.369390851,2.945696206,0.153557287,62.84382778,-1.386561941,-4.06177942,0.370955559,,,,,,,,,,,,4.067437133,-3.820458001,-2.886364471,50,-0.444462511,4.420686412,-102.7088948,15.81106426,4.218366653,21.62473646,-36.13627251,NC State,Virginia,,Softball,,a1be13c5-efbc-4b65-97dd-f2b1c60dc46f,76554219-a7a6-11ec-a842-5fabb5802618,68.7331261,1.282168333,2.285720859,6.452104988,-2.865637766,62.90367014,2.949428242,0.152690563,-1.3053681,-4.080163735,0.370892537,-4.222212399,-2.579165458,-64.5764061,82.08465007,673.3410654,-1416.547278,42.93070735,0.229800469,-0.903158589,0.362624196,,,,,,,,,,,,,,,,,0.979047716,0,,,medium,high,16.12381493,-49.92695593,37
4,3/19/22,1:03:35 PM,2,2,Aisha Weixlmann,,Right,Nc state,Lauren Vanassche,,Left,Virginia,,1,Top,1,1,1,Riseball,4,BallCalled,,,,0,0,,70.34153093,7.199068382,-2.346906595,,,,0.958966239,2.296112998,6,,,,3.435137333,0.837759572,64.49271738,0.463104347,-2.346906595,,,,,,,,,,,,,,,,,,,,,,,,NC State,Virginia,,Softball,,a1be13c5-efbc-4b65-97dd-f2b1c60dc46f,841f5b38-a7a6-11ec-81d0-c734b2a3a91e,70.44812268,0.956021379,2.296112998,7.249901489,-2.346906595,64.57150798,3.437607044,0.837759572,0.517575929,-2.346906595,0.361586845,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
5,3/19/22,1:03:55 PM,2,3,Aisha Weixlmann,,Right,Nc state,Lauren Vanassche,,Left,Virginia,,1,Top,1,2,1,Dropball,2,InPlay,,GroundBall,Out,1,0,,69.52659698,4.775947486,-3.191942394,,,,1.487311658,2.090468642,6,,,,2.410334499,0.106071205,64.07529628,-2.089196243,-3.191942394,,67.87611931,-10.16969352,1.313642187,,-2.762347236,-109.9653102,4.281608665,14.0630533,,0.333236382,0.115239575,,,,,,,,,,,,NC State,Virginia,,Softball,,a1be13c5-efbc-4b65-97dd-f2b1c60dc46f,8fc83073-a7a6-11ec-b884-437568258f3b,69.62596074,1.484325531,2.090468642,4.827908109,-3.191942394,64.14862405,2.412868315,0.106071205,-2.033849001,-3.191942394,0.364451995,,,,,,,,,,,1.531637893,66.79216803,-11.98448778,-0.182158236,2.915090119,2.338193257,0.08179127,14.06281545,,,,,,,,,,0,,37.15423219,low,high,,,37
6,3/19/22,1:04:25 PM,3,1,Aisha Weixlmann,,Right,Nc state,Tori Gilbert,,Right,Virginia,,1,Top,2,0,0,Screwball,1,BallCalled,,,,0,0,,70.47041667,6.691523124,-1.755437412,,,,0.938103571,2.068993733,6,,,,3.105537186,0.978444527,64.68159385,-0.010861464,-1.755437412,,,,,,,,,,,,,,,,,,,,,,,,NC State,Virginia,,Softball,,a1be13c5-efbc-4b65-97dd-f2b1c60dc46f,a1fceb33-a7a6-11ec-92cc-f9d93abdbb27,70.57479701,0.935245964,2.068993733,6.741652413,-1.755437412,64.76024982,3.108031018,0.978444527,0.043737311,-1.755437412,0.360395825,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
7,3/19/22,1:04:57 PM,3,2,Aisha Weixlmann,,Right,Nc state,Tori Gilbert,,Right,Virginia,,1,Top,2,1,0,Screwball,1,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Virginia,,Softball,,a1be13c5-efbc-4b65-97dd-f2b1c60dc46f,f4ba2dcd-df6c-4627-83e5-3b296129fd7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3/19/22,1:04:59 PM,3,3,Aisha Weixlmann,,Right,Nc state,Tori Gilbert,,Right,Virginia,,1,Top,2,2,0,Changeup,2,Foul,,,,0,0,,60.25677482,6.977135674,-2.930740206,,,,1.081259869,2.371232121,6,,,,2.686027172,0.549517614,55.31565497,-2.213194914,-2.930740206,,,,,,,,,,,,,,,,,,,,,,,,NC State,Virginia,,Softball,,a1be13c5-efbc-4b65-97dd-f2b1c60dc46f,b65dc954-a7a6-11ec-bed2-0727b01b0c3b,60.35036903,1.077241531,2.371232121,7.046451647,-2.930740206,55.37895289,2.689380965,0.549517614,-2.139214168,-2.930740206,0.422087329,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
9,3/19/22,1:05:21 PM,3,4,Aisha Weixlmann,,Right,Nc state,Tori Gilbert,,Right,Virginia,,1,Top,2,2,1,Dropball,1,BallCalled,,,,0,0,,69.8566919,3.201781539,-1.333043931,,,,1.330825464,1.975869635,6,,,,1.299895445,1.14783819,64.59364631,-3.566617095,-1.333043931,,,,,,,,,,,,,,,,,,,,,,,,NC State,Virginia,,Softball,,a1be13c5-efbc-4b65-97dd-f2b1c60dc46f,c36db2cf-a7a6-11ec-966d-abac3892948a,69.95273939,1.327874239,1.975869635,3.253287678,-1.333043931,64.66408389,1.302352378,1.14783819,-3.51253598,-1.333043931,0.361550868,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
10,3/19/22,1:05:42 PM,3,5,Aisha Weixlmann,,Right,Nc state,Tori Gilbert,,Right,Virginia,,1,Top,2,3,1,Fastball,1,InPlay,,GroundBall,Single,0,0,,70.9647545,5.473848764,-1.443625775,1636.555991,38.81633944,7:15,1.124615062,1.752738136,6,-27.60015042,-2.892411603,-3.095343305,2.235579365,0.598044594,65.11389254,-2.231055386,-2.309181515,0.357756904,73.38744099,4.924561846,-10.09542727,,,,,75.04597637,,-10.46149609,0.751955105,3.095548498,-5.354385904,-2.049461128,50,-0.397027072,2.182879278,-106.4201871,14.65121235,3.451414939,22.98666069,-38.14397947,NC State,Virginia,,Softball,,a1be13c5-efbc-4b65-97dd-f2b1c60dc46f,cff570b0-a7a6-11ec-8546-cb35d205d16c,71.04982967,1.12004446,1.754501519,5.555114716,-1.4758896,65.17094573,2.239333308,0.596779056,-2.148668185,-2.336481889,0.357699945,-2.891086258,-4.127916333,-66.07004719,65.75715085,663.8189756,-1495.880971,40.56194712,0.316042159,-0.914042037,0.254252845,-12.81646285,71.98448697,6.299873953,-0.596121789,0.762952557,2.219572777,-13.62645196,73.79849847,,,,,,,,,0.735734694,0,,41.35046223,medium,high,30.81856423,-37.92196059,37
