PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,3/19/23,12:01:57,1,1,Madison Inscoe,inscoma10,NA,North carolina state,Maddy Carpe,carpema10,Right,Boston college,NA,1,Top,0,0,0,Dropball,NA,Foul,NA,NA,NA,0,0,NA,61.16083812,4.850697444,-1.558666391,1070.446677,209.2316962,7:00:00,2.070494134,1.770772728,13.80003129,-22.08363293,-2.187640278,-1.598206239,2.588851954,0.881589296,57.20972997,-2.975757844,-2.12579412,0.321036438,73.06613884,20.79623714,-44.02685923,817.1084595,NA,NA,NA,188.7380687,NA,-49.07862798,2.379620978,2.455401836,-5.846709937,-2.269739779,50,-0.621302089,1.950976109,-93.32865034,16.05556958,2.108862783,17.47908036,-37.19559384,North Carolina State,Boston College,NA,Softball,NA,7454eab9-eb8b-4231-9a3d-35268d0e42e4,a889bded-b663-4c0a-89e6-181e2df38958,61.20370679,2.06759426,1.771604717,4.914950975,-1.577489484,57.2345752,2.590976097,0.881031334,-2.917128535,-2.141043466,0.321007636,-1.505273484,-2.965647568,-56.43930135,NA,591.7644169,-892.0039029,55.28200795,0.48241958,-0.833300642,0.269965533,-47.47222868,49.11283649,25.94180874,-0.929996439,1.546275037,2.613706042,-142.6122193,123.6277214,-14.68419651,-9.234363196,0.108381004,0.383299824,0.011570621,0.923551496,NA,NA,1,1,1,41.04257859,medium,high,NA,NA,29.19996871,Amanda Hasler,hasleam10,North carolina state
2,3/19/23,12:02:21,1,2,Madison Inscoe,inscoma10,NA,North carolina state,Maddy Carpe,carpema10,Right,Boston college,NA,1,Top,0,0,1,Riseball,NA,Foul,NA,NA,NA,0,0,NA,59.83254646,7.54779627,-1.957468286,999.0146141,260.7221385,8:45:00,0.723739664,1.869733063,6,-34.05278351,1.03300779,-4.534427646,2.603596679,0.27571239,54.65537513,-1.935828555,-3.224601213,0.426321426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.585522204,-1.548012493,-2.268819825,50,-1.339388788,2.440490642,-89.34922462,16.45118739,3.600572604,16.31323136,-33.38955594,North Carolina State,Boston College,NA,Softball,NA,7454eab9-eb8b-4231-9a3d-35268d0e42e4,d0f5c5cd-4477-448f-a51d-479ec016d99f,59.92114622,0.718919468,1.870566031,7.630637846,-1.972479957,54.71247349,2.607505551,0.275193642,-1.84963178,-3.23570439,0.426238593,-4.438641232,-0.550669878,-59.93998467,NA,500.4132623,-864.6483482,50.09068489,0.080757454,-0.865501201,0.494354028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
3,3/19/23,12:02:39,1,3,Madison Inscoe,inscoma10,NA,North carolina state,Maddy Carpe,carpema10,Right,Boston college,NA,1,Top,0,0,2,Dropball,NA,BallCalled,NA,NA,NA,0,0,NA,61.30384348,3.504027668,-4.693182885,NA,NA,NA,0.969440543,1.345069018,6,NA,NA,NA,0.511604896,-1.576151188,56.78581077,-5.311340744,-4.693182885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina State,Boston College,NA,Softball,NA,7454eab9-eb8b-4231-9a3d-35268d0e42e4,d2cef509-bf46-4206-9364-71c44fe615ec,61.38901507,0.965646612,1.345069018,3.570941521,-4.693182885,56.84409988,0.514882858,-1.576151188,-5.240544347,-4.693182885,0.413451523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,low,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
4,3/19/23,12:02:56,1,4,Madison Inscoe,inscoma10,NA,North carolina state,Maddy Carpe,carpema10,Right,Boston college,NA,1,Top,0,1,2,Dropball,NA,BallCalled,NA,NA,NA,0,0,NA,63.62482633,6.341140235,-4.431893448,977.2345537,210.0937844,7:00:00,1.289495955,1.727112035,6,-33.94091718,-2.921474922,-2.577361598,2.427245314,-1.24558182,58.32170285,-3.102812294,-5.148605132,0.400856117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.399060598,-5.728558641,-2.708984358,50,-0.497974451,6.994513067,-95.02798985,15.47368703,1.242561216,18.45972291,-37.26180976,North Carolina State,Boston College,NA,Softball,NA,7454eab9-eb8b-4231-9a3d-35268d0e42e4,573bc576-7fa0-4ac1-a06f-c9d7f4eb303d,63.70262569,1.284185819,1.728391849,6.434484556,-4.45501142,58.36841297,2.431547658,-1.246494824,-3.009038168,-5.168193319,0.400795078,-2.430347057,-4.433904913,-52.54936211,NA,594.2345377,-775.8045419,60.80776978,0.526112364,-0.793877518,0.304900422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
5,3/19/23,12:03:11,1,5,Madison Inscoe,inscoma10,NA,North carolina state,Maddy Carpe,carpema10,Right,Boston college,NA,1,Top,0,2,2,Dropball,NA,Foul,NA,NA,NA,0,0,NA,63.64878288,3.782609424,-2.212204426,NA,NA,NA,1.424246295,1.719916775,6,NA,NA,NA,1.337409193,0.345352235,58.87185917,-4.380870595,-2.212204426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina State,Boston College,NA,Softball,NA,7454eab9-eb8b-4231-9a3d-35268d0e42e4,49808edc-6366-45a6-ac1e-cab9bb5f494e,63.73769576,1.420710346,1.719916775,3.844512231,-2.212204426,58.93425434,1.340412903,0.345352235,-4.31546587,-2.212204426,0.397259194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,low,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
6,3/19/23,12:03:30,1,6,Madison Inscoe,inscoma10,NA,North carolina state,Maddy Carpe,carpema10,Right,Boston college,NA,1,Top,0,2,2,Changeup,NA,StrikeCalled,Strikeout,NA,NA,1,0,NA,50.25159465,7.849434954,-3.635088917,563.4011807,254.1390184,8:30:00,1.332068549,1.829504472,6,-49.38735253,0.571633631,-3.911729505,2.13193668,-0.757065521,46.099454,-5.87517262,-4.724704728,0.508719436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.246686868,-2.206209332,-2.616382426,50,-0.956219165,4.314011661,-74.88368024,15.9414638,1.790377345,11.47202952,-33.3906582,North Carolina State,Boston College,NA,Softball,NA,7454eab9-eb8b-4231-9a3d-35268d0e42e4,2352994f-ffd6-41c5-97fb-0733aa99d3e6,50.33408776,1.325818207,1.82641204,7.957531902,-3.580336703,46.14127582,2.137141473,-0.754782395,-5.761981123,-4.674848758,0.508610213,-4.25688884,-1.636718024,54.82516585,NA,324.5604008,460.5230034,57.60733415,0.157443269,0.817398009,0.554140877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
7,3/19/23,12:03:55,2,1,Madison Inscoe,inscoma10,NA,North carolina state,Hannah Slike,slikeha10,Right,Boston college,NA,1,Top,1,0,0,Dropball,NA,Foul,NA,NA,NA,0,0,NA,64.24097229,4.281365844,-0.706490865,1069.665955,205.1184722,6:45:00,1.1751989,1.300988129,6,-34.46971072,-4.389528812,-2.766060131,0.966811838,0.631697313,59.14366764,-5.351189454,-1.481235597,0.394740559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.970456553,-6.702328444,-1.433747313,50,-0.141375121,0.787239356,-96.58178503,12.26214966,2.720786828,19.28580836,-38.31304089,North Carolina State,Boston College,NA,Softball,NA,7454eab9-eb8b-4231-9a3d-35268d0e42e4,b2a31a02-ee3d-4f01-b953-bfd1726df575,64.30832816,1.169424133,1.302070572,4.382839441,-0.725946111,59.18002888,0.971313193,0.630947872,-5.252807811,-1.49752666,0.394686278,-2.643028766,-5.951756914,-47.19648214,NA,726.8234123,-784.8012371,67.94863473,0.615228675,-0.733688152,0.288436082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
8,3/19/23,12:04:14,2,2,Madison Inscoe,inscoma10,NA,North carolina state,Hannah Slike,slikeha10,Right,Boston college,NA,1,Top,1,0,1,Dropball,NA,InPlay,NA,GroundBall,Out,1,0,NA,64.66051562,5.444185839,-3.986510199,828.6214076,207.4353159,7:00:00,1.303244755,1.604209351,6,-31.639345,-1.780591324,-1.688560147,2.066161882,-1.016314436,59.44683648,-3.365142857,-4.456428788,0.39328498,58.94101415,1.359907743,17.75910494,736.8354048,NA,NA,NA,39.5207755,NA,19.43976583,0.450299494,0.550106824,-4.029291805,-2.493310722,50,-0.254867655,6.494258385,-96.74296927,13.88532909,0.507504081,18.82602299,-35.89129494,North Carolina State,Boston College,NA,Softball,NA,7454eab9-eb8b-4231-9a3d-35268d0e42e4,cd5750e4-67b9-4096-87e3-d9a4dba9a220,64.74288869,1.29861968,1.605538639,5.525057774,-4.010344571,59.49972759,2.06990665,-1.017261062,-3.283069176,-4.476904774,0.393218887,-1.537376255,-3.142305667,-60.37024058,NA,409.6649611,-720.2694335,49.43934073,0.438789751,-0.869238264,0.227790244,17.9728676,56.11650796,1.398825824,1.108679352,1.99253327,2.083135873,13.15313419,37.26777103,0.979659551,1.175575686,-0.001068045,0.42228788,0.207080259,-0.882491197,NA,NA,1,0,1,30.9845499,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
9,3/19/23,12:04:41,3,1,Madison Inscoe,inscoma10,NA,North carolina state,Abigail Knight,knighab10,Left,Boston college,NA,1,Top,2,0,0,Changeup,NA,StrikeCalled,NA,NA,NA,0,0,NA,50.15165745,7.317898249,-1.680502185,876.4183721,264.4063675,8:45:00,1.314472483,1.453855703,6,-48.70497933,1.196651201,-5.116744594,1.82731888,-0.016508787,46.05618567,-6.248196128,-3.111248387,0.508427334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.361167931,-1.292120118,-1.784271013,50,-0.841052966,1.619134212,-74.95733784,15.15123556,2.959921058,11.55801617,-32.88743398,North Carolina State,Boston College,NA,Softball,NA,7454eab9-eb8b-4231-9a3d-35268d0e42e4,19eeffc4-a73e-4f1d-9787-13f2d62f541d,50.23928045,1.308574773,1.449340838,7.419859283,-1.600490923,46.10305505,1.832379024,-0.01313258,-6.139042319,-3.037894481,0.508307997,-5.618829292,-1.009369983,60.64133726,NA,429.6860716,763.8579991,49.02750619,0.047788236,0.871567762,0.487940489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
10,3/19/23,12:04:55,3,2,Madison Inscoe,inscoma10,NA,North carolina state,Abigail Knight,knighab10,Left,Boston college,NA,1,Top,2,0,1,Dropball,NA,Foul,NA,NA,NA,0,0,NA,63.47531914,5.404337526,-1.346552209,917.7486649,206.8107981,7:00:00,1.157621282,1.513874091,6,-34.11309071,-3.236397911,-2.292696739,1.682126675,0.48639072,58.33718144,-4.118701684,-1.987859761,0.399932696,55.14131036,47.07862214,-48.92915822,1001.773214,-81.64123046,73.72048215,37.72013442,149.5441215,NA,-49.40704372,3.263749864,2.192228417,-5.734045582,-1.796573966,50,-0.412996241,1.907327409,-95.20771371,13.92905595,1.955925312,18.42519655,-37.29001506,North Carolina State,Boston College,NA,Softball,NA,7454eab9-eb8b-4231-9a3d-35268d0e42e4,24a60336-9249-4dba-9ade-53e4b7101e46,63.5497595,1.152168239,1.515074325,5.499167048,-1.367904113,58.38004311,1.686330164,0.485574853,-4.025904777,-2.005740666,0.399872128,-2.157674359,-4.74038607,-51.81953911,NA,567.2974889,-721.4126218,61.81403587,0.551690783,-0.786067743,0.278809582,-28.30954941,24.67063458,40.37936737,-0.583512301,1.640534451,1.839934149,-113.5565238,97.30549913,2.657436083,-4.926819632,-0.176628783,-0.850946951,0.330147667,0.408523933,NA,NA,1,0,1,24.72296507,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
