PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,3/22/23,17:02:02,1,1,Rylee Wyman,wymanry10,NA,North carolina state,Laura Thompson,NA,Left,Radford,NA,1,Top,0,0,0,Dropball,NA,StrikeCalled,NA,NA,NA,0,0,NA,65.27541488,5.70204417,-3.055230299,1188.61717,200.03917066,06:45:00,1.676632347,1.506482038,6,-33.23436419,-3.926810046,-1.885046503,2.465130171,-0.549845186,59.90544962,-3.565898126,-3.581325508,0.389638004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.092763417,-6.663038577,-2.1815498,50,0.045293689,4.938951026,-97.7601897,14.69309388,1.027212182,19.52631384,-38.43739469,North Carolina State,Radford,NA,Softball,NA,5e862844-cc41-4274-bc58-6a3f8f5c3654,d8bc2184-a971-4764-930d-64790aeb09ad,65.3510301,1.671145846,1.508353954,5.797316279,-3.088511428,59.94968264,2.469464015,-0.551176748,-3.471751869,-3.609965371,0.38958115,-1.674744431,-5.396951775,-55.50220552,NA,673.202462,-979.5964582,56.63745058,0.532085387,-0.824147996,0.194075299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Haley Haislip,haislha10,North carolina state
2,3/22/23,17:02:19,1,2,Rylee Wyman,wymanry10,NA,North carolina state,Laura Thompson,NA,Left,Radford,NA,1,Top,0,0,1,Dropball,NA,InPlay,NA,GroundBall,Out,1,0,NA,65.05392446,4.465220315,-3.825339832,1290.86907,207.36022815,07:00:00,1.858497732,1.787475957,6,-34.77871711,-5.23290437,-3.710201397,1.745212355,-0.900956998,59.78159195,-5.239856044,-4.860300999,0.391218598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.882022328,-7.806562203,-2.61987793,50,0.495792064,5.983175391,-97.64157763,12.75579487,2.688051136,20.22294108,-39.45520012,North Carolina State,Radford,NA,Softball,NA,5e862844-cc41-4274-bc58-6a3f8f5c3654,75595721-ddc3-42ff-a731-a696dcbfffbc,65.11885524,1.852299909,1.788447658,4.574090726,-3.8428388509999998,59.81499027,1.750084293,-0.901628367,-5.13422566,-4.874685841,0.391169404,-3.598920111,-6.888443653,-42.49862367,NA,951.7494533,-872.0756473,73.72935608,0.654815936,-0.675572502,0.338847879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Haley Haislip,haislha10,North carolina state
3,3/22/23,17:02:48,2,1,Rylee Wyman,wymanry10,NA,North carolina state,Lexie Roberts,NA,Left,Radford,NA,1,Top,1,0,0,Dropball,NA,InPlay,NA,GroundBall,Out,1,0,NA,64.90934984,5.204220854,-2.601724249,1439.784264,211.75272965,07:00:00,1.788850661,1.447381889,6,-34.42273888,-4.782243992,-3.987785293,2.164613262,-0.501836326,59.55752779,-4.410419968,-3.71650181,0.391844944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.683159451,-7.536428472,-1.998459218,50,0.261385618,3.840230919,-97.40453852,13.93772633,3.424011909,19.90836292,-39.18021404,North Carolina State,Radford,NA,Softball,NA,5e862844-cc41-4274-bc58-6a3f8f5c3654,79a8a37a-4b58-4445-9551-c19887c735f6,64.97677131,1.78266206,1.44874561,5.312940166,-2.626388286,59.59313501,2.169493137,-0.502787305,-4.304618183,-3.736839568,0.391794735,-3.831368451,-6.412775352,-50.53442536,NA,915.147726,-1111.522995,63.56144796,0.540480252,-0.772006628,0.334494939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Haley Haislip,haislha10,North carolina state
4,3/22/23,17:03:14,3,1,Rylee Wyman,wymanry10,NA,North carolina state,Kari Shedrick,NA,Left,Radford,NA,1,Top,2,0,0,Dropball,NA,InPlay,NA,GroundBall,Error,0,0,NA,65.44219025,5.459769306,-2.973686217,1359.99527,219.04885184,07:15:00,1.673985006,1.727976711,6,-33.47375768,-4.261604173,-4.776843259,2.290161107,-0.518550487,59.98551648,-3.887268239,-4.307931141,0.389003321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46056267,-7.0336232,-2.355826639,50,0.097156006,4.391501798,-98.14205966,14.34538244,4.207631728,20.28110685,-38.80883948,North Carolina State,Radford,NA,Softball,NA,5e862844-cc41-4274-bc58-6a3f8f5c3654,2a7d7934-7c49-40b7-b4f4-3c9f1fdfdca1,65.51273966,1.668127645,1.728690749,5.564188845,-2.986858628,60.02525917,2.294929312,-0.519028184,-3.783939728,-4.3180292,0.388950735,-4.692709864,-5.86306019,-46.87356922,NA,929.707077,-992.588477,68.36105225,0.530898156,-0.729847007,0.430662855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Haley Haislip,haislha10,North carolina state
5,3/22/23,17:03:45,4,1,Rylee Wyman,wymanry10,NA,North carolina state,Cori Mcmillian,NA,Left,Radford,NA,1,Top,2,0,0,Dropball,NA,BallCalled,NA,NA,NA,0,0,NA,65.13943021,7.763174293,-4.390939147,1471.666717,208.92584532,07:00:00,1.584558471,2.593142493,6,-35.69113792,-5.837885101,-3.899207104,3.475589852,-0.464119266,59.34944367,-2.164530148,-5.47634357,0.393248751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.903191879,-9.753603739,-3.552622434,50,-0.547598851,6.883565516,-97.07708503,18.49686387,2.679743969,19.82879237,-41.17695462,North Carolina State,Radford,NA,Softball,NA,5e862844-cc41-4274-bc58-6a3f8f5c3654,d416c535-93fe-4d9c-ba43-f10247dc1dc4,65.21086998,1.57777911,2.594379384,7.880338231,-4.413106511,59.38598346,3.480826931,-0.464971611,-2.050668117,-5.494526036,0.393202013,-3.758095398,-7.5344876,-42.37862489,NA,1087.130276,-991.9428855,73.87068441,0.646550533,-0.674026853,0.35729569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Haley Haislip,haislha10,North carolina state
6,3/22/23,17:04:01,4,2,Rylee Wyman,wymanry10,NA,North carolina state,Cori Mcmillian,NA,Left,Radford,NA,1,Top,2,1,0,Dropball,NA,InPlay,NA,GroundBall,Out,1,0,NA,65.88937005,6.028050643,-3.655934567,1526.339179,208.74196907,07:00:00,1.722003239,1.897669559,6,-34.21471079,-5.304900375,-3.756470378,2.636012755,-0.68896084,60.31112874,-3.515945259,-4.703752895,0.386985011,49.58411614,6.295284176,-16.84394473,1145.444807,NA,NA,NA,47.99578083,NA,-17.37223224,0.685587293,3.014973068,-8.464785224,-2.690968935,50,0.00637268,5.743964771,-98.64134104,15.52651491,2.873719207,20.45389857,-40.24225296,North Carolina State,Radford,NA,Softball,NA,5e862844-cc41-4274-bc58-6a3f8f5c3654,1e90d154-cbf5-4135-82a8-1c47eb115642,65.95974056,1.715542405,1.899218396,6.139621032,-3.683398259,60.34771799,2.640839969,-0.689991367,-3.409631975,-4.726113742,0.386936738,-3.581906167,-6.935735456,-48.95387563,NA,1002.295606,-1151.136311,65.66663685,0.575761241,-0.754181199,0.315768449,-14.28115087,47.17066982,5.437022351,0.665637139,1.597849378,2.673540717,-14.33049842,45.80646016,-0.607727282,-3.2836747,-0.067211452,-0.302862721,-0.197653833,0.932312788,NA,NA,1,0,1,24.0056776,medium,high,NA,NA,37,Haley Haislip,haislha10,North carolina state
7,3/22/23,17:06:25,1,1,Ellen Palya,NA,Right,Radford,Rebecca Murray,murrare10,Right,North carolina state,NA,1,Bottom,0,0,0,Changeup,NA,BallCalled,NA,NA,NA,0,0,NA,49.79901615,5.989921069,0.397736574,981.9007394,262.84604611,08:45:00,1.447147697,1.197390731,6,-48.72635787,1.508687286,-4.736120973,1.120338146,1.049730768,46.00196133,-7.582736014,-0.927990652,0.510123019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67452812,-0.401211508,-1.059874384,50,-0.403267053,-1.053622364,-74.63398961,13.34081092,3.111827206,11.30563226,-32.39406804,North Carolina State,Radford,NA,Softball,NA,5e862844-cc41-4274-bc58-6a3f8f5c3654,05d84ac9-4d58-4b71-99f5-e8583516be51,49.86377274,1.440538011,1.199699465,6.107032537,0.355256589,46.03090545,1.125832417,1.048117628,-7.461465076,-0.963436054,0.510041405,-4.46658533,-0.704874959,-66.67130746,NA,388.8379776,-901.6285761,39.60053822,0.049316876,-0.918248189,0.392922522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Cassi Barbato,NA,Radford
8,3/22/23,17:06:42,1,2,Ellen Palya,NA,Right,Radford,Rebecca Murray,murrare10,Right,North carolina state,NA,1,Bottom,0,1,0,Fastball,NA,BallCalled,NA,NA,NA,0,0,NA,59.67680021,5.972716477,0.25472286,1122.095008,251.19372307999998,08:15:00,0.983169381,1.069751642,6,-34.66558982,0.263703953,-3.201095554,1.817235246,0.961189404,54.83717995,-3.696932725,-0.640672986,0.425369576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.829094627,-1.811160971,-0.979947619,50,-0.723573809,-0.831936511,-89.40360562,14.05872416,3.019604423,15.97317595,-33.602321860000004,North Carolina State,Radford,NA,Softball,NA,5e862844-cc41-4274-bc58-6a3f8f5c3654,9451881d-2072-4244-9f61-e9a73c9f6586,59.75533231,0.97826369,1.071737551,6.058346174,0.218838986,54.88630469,1.821303747,0.959792219,-3.6083803,-0.67065327,0.425294388,-2.974261548,-1.25697064,-71.90103743,NA,348.5891467,-1066.575273,31.06592083,0.100147023,-0.95052136,0.29407434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Cassi Barbato,NA,Radford
9,3/22/23,17:06:59,1,3,Ellen Palya,NA,Right,Radford,Rebecca Murray,murrare10,Right,North carolina state,NA,1,Bottom,0,2,0,Fastball,NA,InPlay,NA,GroundBall,Single,0,0,NA,59.40030315,7.756150601,-1.948313051,1171.826583,265.1703265,08:45:00,1.152518841,2.169458876,6,-33.96831278,1.616590917,-3.166927183,3.171199105,0.695089016,54.28339694,-1.694288034,-2.832944919,0.429343033,69.1131471,-1.916466238,-27.3976731,1294.159846,NA,NA,NA,32.63238317,NA,-28.62443723,0.323349971,3.003968379,-0.896027167,-2.580048395,50,-0.958509178,2.589128683,-88.62450821,16.64358542,2.325395762,15.81469444,-32.86767133,North Carolina State,Radford,NA,Softball,NA,5e862844-cc41-4274-bc58-6a3f8f5c3654,b27ce41d-aba0-4da2-aa5a-3183ad6a11f0,59.4889584,1.147965214,2.171582766,7.834189088,-1.986349739,54.34157209,3.17495001,0.69363523,-1.611623273,-2.864298134,0.429259359,-2.926054289,0.09443825,-72.08061592,NA,360.5458794,-1114.981708,30.76785291,0.02590466,-0.951490369,0.306586082,-31.78557412,61.32668444,-2.311310138,-0.716959637,0.906741795,3.157115873,-15.63307451,28.64401181,1.120537114,-3.094192708,-0.041185324,-0.736500178,-0.154011456,0.658671359,NA,NA,1,0,1,40.04838843,medium,high,NA,NA,37,Cassi Barbato,NA,Radford
10,3/22/23,17:07:45,2,1,Ellen Palya,NA,Right,Radford,Katlyn Pavlick,pavlika10,Right,North carolina state,NA,1,Bottom,0,0,0,Fastball,NA,StrikeCalled,NA,NA,NA,0,0,NA,60.37504791,6.289542672,-2.284479086,1027.590946,241.72140050000002,08:00:00,1.262121712,1.442760736,6,-33.68578777,0.522116078,-2.142131282,2.379955103,-0.155269859,55.4553668,-3.093997091,-2.882344951,0.42095411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69788141,-1.6140495,-1.939937358,50,-0.508825632,3.309059443,-90.31496247,14.58314377,1.367136937,16.23430998,-33.47368493,North Carolina State,Radford,NA,Softball,NA,5e862844-cc41-4274-bc58-6a3f8f5c3654,640c9b04-38e4-4fe6-a18e-53ee45cee1cb,60.45675239,1.257664776,1.444890472,6.368212519,-2.323327183,55.50870351,2.383755839,-0.156824333,-3.010872904,-2.915787627,0.42087932,-1.896355553,-0.923538975,-75.29787196,NA,260.7962713,-993.9459026,25.37938587,0.120237203,-0.96725833,0.22350467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Cassi Barbato,NA,Radford
