PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,3/29/23,17:02:09,1,1,Aisha Weixlmann,weixlai10,Right,North carolina state,Alyxx Estrada,estraal10,Right,North carolina a&t,NA,1,Top,0,0,0,Fastball,NA,BallCalled,NA,NA,NA,NA,NA,NA,71.76328626,3.538044116,0.526463413,1379.033447,232.9310582,7:45:00,1.315639651,1.270291129,6,-25.87210887,-1.85866734,-3.745676397,1.359809754,1.285118783,66.09372193,-3.693612897,-0.521920105,0.352694531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.563592565,-3.441630866,-1.113439276,50,0.253513731,-1.604382165,-107.926164,10.9051095,5.235237732,23.57760304,-36.12220129,North Carolina State,North Carolina A&T,NA,Softball,NA,3439adeb-61d6-4536-866e-c2b204eae110,7d7caca8-0a5c-4a4a-9ded-42834756e90c,71.8477852,1.311574164,1.271220416,3.610565266,0.509358762,66.15318555,1.363078124,1.284497134,-3.619137001,-0.535826647,0.352635825,-3.636803853,-3.015517883,-65.74398212,NA,566.527081,-1257.290863,41.08146051,0.247629001,-0.911718904,0.327793407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
2,3/29/23,17:02:23,1,2,Aisha Weixlmann,weixlai10,Right,North carolina state,Alyxx Estrada,estraal10,Right,North carolina a&t,NA,1,Top,0,1,0,Fastball,NA,BallCalled,NA,NA,NA,0,0,NA,69.91967671,3.607434418,-0.859783076,1442.81038,342.7545986,11:30:00,0.99014132,1.279838573,6,-21.70298814,3.561583369,-0.592139711,1.42516049,0.696488392,64.423599,-2.455021007,-1.02533801,0.361765786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.389249773,2.889631933,-1.469007686,50,-0.046664934,1.48255214,-105.0880751,10.09044367,0.424371502,21.97012611,-29.02368823,North Carolina State,North Carolina A&T,NA,Softball,NA,3439adeb-61d6-4536-866e-c2b204eae110,c3bf407d-c41b-4b1b-b583-4cc532c5b0d3,70.02746099,0.987845556,1.281897318,3.647510841,-0.896732133,64.50577015,1.427210815,0.69497151,-2.41003978,-1.05812929,0.361683044,-0.359617612,2.593981805,-79.18557756,NA,270.7124295,-1417.186146,18.76285569,-0.179193479,-0.982240054,0.055625286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
3,3/29/23,17:02:37,1,3,Aisha Weixlmann,weixlai10,Right,North carolina state,Alyxx Estrada,estraal10,Right,North carolina a&t,NA,1,Top,0,2,0,Fastball,NA,StrikeCalled,NA,NA,NA,0,0,NA,69.6455321,4.342915664,-2.072194444,1255.573617,261.3774811,8:45:00,1.117068017,1.588020711,6,-24.66623851,0.911717329,-3.772953997,1.765645438,-0.013882286,64.06149379,-2.544681865,-3.126068669,0.364002561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.662473653,-0.498004367,-2.02072416,50,-0.117103618,3.185920303,-104.5774838,11.85633726,3.944521553,22.14915055,-32.71040538,North Carolina State,North Carolina A&T,NA,Softball,NA,3439adeb-61d6-4536-866e-c2b204eae110,697e5068-e9db-449c-8086-a0be359c6d6b,69.73921841,1.113625583,1.588823437,4.403202314,-2.086796988,64.12949395,1.768539573,-0.014414995,-2.481822038,-3.13735025,0.36393198,-3.680009477,-0.220130855,-68.8867468,NA,452.2734266,-1171.287264,36.02125918,0.054004491,-0.932870242,0.356141301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
4,3/29/23,17:02:50,1,4,Aisha Weixlmann,weixlai10,Right,North carolina state,Alyxx Estrada,estraal10,Right,North carolina a&t,NA,1,Top,0,2,1,Changeup,NA,Foul,NA,NA,NA,0,0,NA,59.30393109,7.721902451,-3.61750429,1290.675312,239.3246679,8:00:00,1.025019414,1.324477796,6,-37.41806455,-1.475300824,-5.939839628,2.741387263,-1.420136652,54.09165456,-2.695925563,-5.273206744,0.431496479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.577077978,-4.641634843,-2.087330789,50,-1.113058329,4.801124063,-88.47296993,17.01125439,4.275676573,16.47151077,-35.73256705,North Carolina State,North Carolina A&T,NA,Softball,NA,3439adeb-61d6-4536-866e-c2b204eae110,8694de13-445d-44c4-a6c3-03aa61d549fb,59.38005088,1.018729266,1.325333736,7.830500568,-3.633123049,54.13348253,2.746299519,-1.420660391,-2.588155566,-5.284285768,0.431431028,-5.839528843,-3.326605805,-52.78458928,NA,780.6176297,-1027.851583,60.48133273,0.308559232,-0.796367277,0.520183008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
5,3/29/23,17:03:13,1,5,Aisha Weixlmann,weixlai10,Right,North carolina state,Alyxx Estrada,estraal10,Right,North carolina a&t,NA,1,Top,0,2,2,Fastball,NA,StrikeSwinging,Strikeout,NA,StrikeoutSwinging,1,0,NA,71.13154755,6.271052604,-1.352928958,1520.725267,234.2456147,7:45:00,1.148197166,1.098077665,6,-25.38575017,-0.767643267,-2.320362427,2.944049046,0.064326364,65.23706766,-0.801255505,-2.001314176,0.357107399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.233964287,-3.113970573,-1.381892635,50,-0.534715383,2.139236851,-106.4656071,15.80768733,2.499505314,22.56962953,-35.65816347,North Carolina State,North Carolina A&T,NA,Softball,NA,3439adeb-61d6-4536-866e-c2b204eae110,2d049fbc-5f61-4846-945f-ece710170361,71.22530978,1.144494841,1.099965423,6.336727674,-1.387468177,65.30386111,2.947137248,0.062975288,-0.733031192,-2.030670216,0.357043801,-2.101675715,-1.866735015,-74.35899939,NA,410.0011813,-1464.412636,26.96089755,0.157535701,-0.962969885,0.218795573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
6,3/29/23,17:03:38,2,1,Aisha Weixlmann,weixlai10,Right,North carolina state,Katriel Williams,willika11,Left,North carolina a&t,NA,1,Top,1,0,0,Fastball,NA,BallCalled,NA,NA,NA,0,0,NA,70.5564379,3.314231129,-2.460010302,1204.951571,214.1291427,7:15:00,1.268659029,1.407415709,6,-26.19214767,-1.3384349,-1.970817955,1.148470478,-0.285538966,65.10581773,-3.994903395,-3.010136372,0.358812166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.428045496,-2.742364025,-1.946219332,50,0.253360226,4.237591467,-106.0160527,10.35834104,1.582727685,22.54495044,-35.21345938,North Carolina State,North Carolina A&T,NA,Softball,NA,3439adeb-61d6-4536-866e-c2b204eae110,abf2b8d1-982d-4545-a1c7-22953606252a,70.64297615,1.264789533,1.408981705,3.382223625,-2.488182834,65.16581352,1.151655545,-0.286662272,-3.92576265,-3.03421129,0.358749615,-1.792740232,-2.471046043,-71.41913846,NA,383.9490203,-1142.143353,31.86426987,0.263764481,-0.947874902,0.178777706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
7,3/29/23,17:03:52,2,2,Aisha Weixlmann,weixlai10,Right,North carolina state,Katriel Williams,willika11,Left,North carolina a&t,NA,1,Top,1,1,0,Fastball,NA,StrikeSwinging,NA,NA,NA,0,0,NA,68.70980423,5.004239481,-4.076502796,1251.283292,209.3702795,7:00:00,1.273740592,1.928032102,6,-26.46568759,-0.098224722,-0.852439533,2.191960753,-0.67898217,63.25032778,-2.360923162,-4.313533668,0.369577645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.427641144,-1.868043789,-2.845989009,50,-0.132488753,7.193810311,-102.8090823,13.1624067,-0.446700746,20.86277507,-34.1253505,North Carolina State,North Carolina A&T,NA,Softball,NA,3439adeb-61d6-4536-866e-c2b204eae110,8016bbec-215a-4899-bc55-a91dc29518f6,68.80250261,1.270159431,1.930343071,5.066155257,-4.117624006,63.31463291,2.194885882,-0.68062656,-2.296587765,-4.349072725,0.36951034,-0.591873348,-1.201887338,-78.95399681,NA,239.7422216,-1228.101602,19.15970772,0.166970786,-0.981473668,0.093969126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
8,3/29/23,17:04:07,2,3,Aisha Weixlmann,weixlai10,Right,North carolina state,Katriel Williams,willika11,Left,North carolina a&t,NA,1,Top,1,1,1,Fastball,NA,StrikeSwinging,NA,NA,NA,0,0,NA,69.70093963,7.072213214,-1.71460449,1855.409784,254.2004402,8:30:00,1.046543615,1.399004731,6,-25.61081182,0.172201776,-4.365476054,3.328901545,-0.029951758,63.71601469,-0.058839494,-2.934782297,0.365458747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.479218696,-2.366328854,-1.744595666,50,-0.822544948,2.430280163,-104.1997786,16.97468152,4.785974923,22.10182764,-34.70243485,North Carolina State,North Carolina A&T,NA,Softball,NA,3439adeb-61d6-4536-866e-c2b204eae110,529a553a-fd63-4336-88de-3fce05204680,69.79578389,1.042490326,1.400559496,7.142408975,-1.74282309,63.78288034,3.332170598,-0.030989786,0.013134523,-2.957033233,0.365392102,-4.186097312,-1.037759519,-69.91740757,NA,637.1001348,-1742.598314,34.33743535,0.093491515,-0.939198623,0.3304017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
9,3/29/23,17:04:21,2,4,Aisha Weixlmann,weixlai10,Right,North carolina state,Katriel Williams,willika11,Left,North carolina a&t,NA,1,Top,1,1,2,Changeup,NA,InPlay,NA,GroundBall,Out,1,0,NA,59.18896644,5.419508352,-0.120464676,1141.712834,266.4315674,9:00:00,1.131256348,1.333805174,6,-34.21872572,1.278679093,-4.909163193,1.65554275,0.849893966,54.39126706,-4.13608116,-1.494575067,0.428814857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.689905643,-0.468878605,-1.312155959,50,-0.443496032,-0.473512029,-88.80400014,13.02698122,4.415806265,16.05171965,-32.5379356,North Carolina State,North Carolina A&T,NA,Softball,NA,3439adeb-61d6-4536-866e-c2b204eae110,81601856-e68c-450e-b46d-167084811faf,59.26964963,1.126467778,1.334852698,5.503445928,-0.139622486,54.44279749,1.659533515,0.84920693,-4.048757556,-1.509256051,0.428735081,-4.787202538,-0.309053618,-63.7384597,NA,505.172898,-1023.869396,44.2469317,0.027539574,-0.896783644,0.441611445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
10,3/29/23,17:04:53,3,1,Aisha Weixlmann,weixlai10,Right,North carolina state,Dezianna Patmon,patmode10,Right,North carolina a&t,NA,1,Top,2,0,0,Fastball,NA,BallCalled,NA,NA,NA,0,0,NA,71.17822355,2.99697043,1.483754157,1751.044238,314.1286804,10:30:00,1.114569035,1.110390971,6,-21.27304233,3.089252325,-2.474580335,1.205397073,1.825862042,65.62456807,-2.946013413,0.791949237,0.355247163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.413133444,2.551782504,-0.748908516,50,0.220927669,-3.174413481,-107.0247884,9.063021977,3.858941954,22.81231967,-29.28896445,North Carolina State,North Carolina A&T,NA,Softball,NA,3439adeb-61d6-4536-866e-c2b204eae110,08b543ee-5dfa-4095-b891-a5a1cbe3a2de,71.27899757,1.112087556,1.112134762,3.040431841,1.452255055,65.70096171,1.207521499,1.824648945,-2.898750361,0.765448033,0.355171757,-2.275160001,2.128213171,-76.89366522,NA,397.0650052,-1705.43112,22.67589799,-0.157885969,-0.973950905,0.162762575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
