PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance
1,3/30/22,5:01:57 PM,1,1,Maddie Mcpherson,,Left,Nc state,Kourtney Gremillion,,Left,Charlotte,,1,Top,0,0,0,Dropball,1,StrikeCalled,,,,0,0,,68.22594498,5.303275165,2.088458367,,,,1.470892107,0.11811985,6,,,,2.642710996,1.415723975,62.8186529,-1.828091368,2.088458367,,,,,,,,,,,,,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,a398af54-b06c-11ec-af6c-abe0b5ed27f1,68.32423667,1.467876231,0.11811985,5.356857864,2.088458367,62.89108686,2.64532694,1.415723975,-1.770545509,2.088458367,0.371364323,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
2,3/30/22,5:02:19 PM,1,2,Maddie Mcpherson,,Left,Nc state,Kourtney Gremillion,,Left,Charlotte,,1,Top,0,0,1,Dropball,1,InPlay,,GroundBall,Out,1,0,,69.62597267,4.560089938,-0.449080632,,,,1.344836603,0.104818612,6,,,,2.141809547,-0.174086975,64.20232805,-2.271228641,-0.449080632,,70.23035519,1.169143749,-18.51571561,,,,,43.49306119,,-18.01369829,0.434805415,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,b10a5297-b06c-11ec-a889-453c22bc7223,69.72445955,1.341908189,0.104818612,4.6116581,-0.449080632,64.27517183,2.144321003,-0.174086975,-2.216292714,-0.449080632,0.363245989,,,,,,,,,,,-22.29804281,66.58112831,1.432979592,0.144016641,0.878910761,2.099706833,-13.44998406,41.36114481,,,,,,,,,,0,,38.79541823,low,high,,,37
3,3/30/22,5:02:57 PM,2,1,Maddie Mcpherson,,Left,Nc state,Stacy Payton,,Right,Charlotte,,1,Top,1,0,0,Dropball,2,StrikeCalled,,,,0,0,,70.42083062,4.999255358,0.297506552,,,,1.587227236,-0.183508402,6,,,,2.702153169,0.001258609,64.86991206,-1.684546365,0.297506552,,,,,,,,,,,,,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,c7920e1e-b06c-11ec-a6fd-397ea685dfee,70.52160521,1.584327287,-0.183508402,5.049757904,0.297506552,64.94470749,2.704611962,0.001258609,-1.630714869,0.297506552,0.359371164,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
4,3/30/22,5:03:38 PM,2,2,Maddie Mcpherson,,Left,Nc state,Stacy Payton,,Right,Charlotte,,1,Top,1,0,1,Riseball,3,InPlay,,LineDrive,Single,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,dac9b1f4-3edc-4ce4-b292-89f15d75fedb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3/30/22,5:03:52 PM,3,1,Maddie Mcpherson,,Left,Nc state,Bailey Vannoy,,Right,Charlotte,,1,Top,1,0,0,Changeup,2,InPlay,,LineDrive,Out,1,0,,61.33742726,5.039901686,-1.949598384,,,,1.634789143,0.341116123,6,,,,2.137726124,-0.8701423,56.59463993,-3.776568513,-1.949598384,,64.89030535,25.02638127,-21.1309734,,-38.60201834,103.004292,22.32142856,169.2014082,,-20.74941211,2.380213601,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,e90bb035-b06c-11ec-af77-a345b01b9e3f,61.42583056,1.631086533,0.341116123,5.105976958,-1.949598384,56.65618121,2.141009819,-0.8701423,-3.705341194,-1.949598384,0.412861003,,,,,,,,,,,-21.19672767,54.84431,27.45090389,0.760433611,1.454169885,2.124456777,-59.94491905,158.2268095,,,,,,,,,,0,,35.98528521,low,high,,,37
6,3/30/22,5:04:30 PM,4,1,Maddie Mcpherson,,Left,Nc state,Ella Chancey,,Right,Charlotte,,1,Top,2,0,0,Fastball,2,StrikeCalled,,,,0,0,,70.95403837,4.427229922,-1.577729244,,,,1.188470232,-0.007718872,6,,,,1.978652655,-0.987809554,65.4331277,-2.150487545,-1.577729244,,,,,,,,,,,,,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,fe7bf5e8-b06c-11ec-9ba8-ef7aa930e726,71.0548471,1.185581448,-0.007718872,4.477338769,-1.577729244,65.50713852,1.981042228,-0.987809554,-2.097916972,-1.577729244,0.35650669,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
7,3/30/22,5:05:13 PM,4,2,Maddie Mcpherson,,Left,Nc state,Ella Chancey,,Right,Charlotte,,1,Top,2,0,1,Riseball,3,Foul,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,961b322c-39a9-47e8-8946-5a7cbea0ed2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3/30/22,5:05:23 PM,4,3,Maddie Mcpherson,,Left,Nc state,Ella Chancey,,Right,Charlotte,,1,Top,2,1,2,Dropball,1,BallCalled,,,,1,0,,70.11731059,3.689270221,0.175294403,,,,1.326098507,-0.046634438,6,,,,1.612663838,0.062231846,64.7686197,-3.03332748,0.175294403,,,,,,,,,,,,,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,1e20ec26-b06d-11ec-94ed-b5dee963302f,70.21522443,1.323147931,-0.046634438,3.740578492,0.175294403,64.84002334,1.615111482,0.062231846,-2.9797544,0.175294403,0.360289675,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
9,3/30/22,5:05:43 PM,1,1,Maddie Mcpherson,,Left,Nc state,Ella Chancey,,Right,Charlotte,,1,Top,2,2,2,Changeup,2,BallCalled,,,,0,0,,61.95777018,6.866917156,-0.259054188,,,,1.809616902,0.298084508,6,,,,3.496088888,0.137198761,56.88033196,-1.811466016,-0.259054188,,,,,,,,,,,,,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,2a3be4cc-b06d-11ec-a5df-9f1e227452ab,62.0518478,1.805961105,0.298084508,6.931562769,-0.259054188,56.94674199,3.499310153,0.137198761,-1.740930365,-0.259054188,0.409858529,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
10,3/30/22,5:06:30 PM,1,2,Lindsey Walljasper,,Right,Charlotte,Kaylee Lambrecht,,Right,Nc state,,1,Bottom,0,1,0,Fastball,3,Foul,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,ff0e4d4d-97bc-4113-9de8-394d71d7c77e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
