PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance
1,4/1/22,6:02:07 PM,1,1,Aisha Weixlmann,,Right,Nc state,Carmyn Greenwood,,Left,Louisville,,1,Top,0,0,0,Fastball,2,StrikeSwinging,,,,0,0,,67.43493141,3.896013832,-2.387889928,1397.799083,16.21427798,6:30,2.045024602,1.062721461,15.51624501,-16.89123504,-2.557968528,-0.87784557,2.41421832,-0.097447855,63.36047226,-2.473368761,-2.718964204,0.272485948,,,,,,,,,,,,1.020148295,-6.839405155,-1.952683335,50,-0.43221594,3.871635121,-103.3794188,15.50058221,1.074822722,21.47896004,-39.38000984,NC State,Louisville,,Softball,,80cca9f6-a408-468e-ae0d-4ca8406aedab,5f897f54-b207-11ec-8043-edbfa34fe5cd,67.47560397,2.042876571,1.063564208,3.947334565,-2.408486326,63.38635141,2.415829028,-0.098041449,-2.426659184,-2.735993889,0.272464155,-0.782438861,-3.111988862,-58.09235675,75.04003369,738.808907,-1186.593307,52.8551575,0.507527977,-0.848901191,0.147587668,,,,,,,,,,,,,,,,,0.98142593,1,,,medium,high,22.46396968,-41.30197011,27.48375499
2,4/1/22,6:02:23 PM,1,2,Aisha Weixlmann,,Right,Nc state,Carmyn Greenwood,,Left,Louisville,,1,Top,0,0,1,Riseball,4,BallCalled,,,,0,0,,67.92371848,9.418272497,-1.338075931,1511.48298,76.40337205,8:30,1.094378646,1.189610797,6,-27.52274623,-0.030660185,-5.410655991,4.704868624,-0.092435474,61.69567637,1.793842023,-2.85165353,0.37737695,,,,,,,,,,,,5.829333408,-3.511046881,-1.43935197,50,-1.33685243,1.532649262,-100.990837,20.95979428,5.84181874,20.98991373,-35.69261647,NC State,Louisville,,Softball,,80cca9f6-a408-468e-ae0d-4ca8406aedab,69937c17-b207-11ec-b437-1f2ca174a237,68.022578,1.090098732,1.190163629,9.492929502,-1.348451957,61.76594096,4.708500138,-0.09275965,1.872756185,-2.858366565,0.377305392,-5.343809646,-1.346874614,-59.01015752,1.483304535,778.2415744,-1295.731782,51.48860984,0.121041952,-0.857258599,0.500456332,,,,,,,,,,,,,,,,,0.984733233,0,,,medium,high,91.33497408,-15.598358,37
3,4/1/22,6:02:42 PM,1,3,Aisha Weixlmann,,Right,Nc state,Carmyn Greenwood,,Left,Louisville,,1,Top,0,1,1,Fastball,2,BallCalled,,,,0,0,,69.15285874,7.880398678,-1.984317119,1482.227906,39.26102631,7:15,1.320750049,1.015599027,6,-29.57294017,-3.28526631,-3.187741276,3.784481827,-0.482891892,63.11328497,-0.342248505,-2.874992246,0.369018043,,,,,,,,,,,,3.010067804,-6.687110849,-1.434183496,50,-0.774919497,3.075861757,-103.160582,18.91021242,3.154362814,21.56574436,-39.18172355,NC State,Louisville,,Softball,,80cca9f6-a408-468e-ae0d-4ca8406aedab,74619f9c-b207-11ec-8cc2-01107b72960e,69.24072225,1.315729034,1.017204961,7.968132128,-2.01351803,63.17045929,3.788524224,-0.484024741,-0.253600376,-2.899393204,0.368959843,-3.002720179,-4.604448804,-60.37432086,51.41588293,732.7119497,-1288.461394,49.43315038,0.382746483,-0.869273469,0.31283984,,,,,,,,,,,,,,,,,0.971874773,0,,,medium,high,43.72570536,-86.87879153,37
4,4/1/22,6:02:59 PM,1,4,Aisha Weixlmann,,Right,Nc state,Carmyn Greenwood,,Left,Louisville,,1,Top,0,2,1,Dropball,2,BallCalled,,,,0,0,,68.54655342,6.937944516,-2.893966489,,,,1.57340805,1.144594526,6,,,,3.779497738,-0.654222689,62.87889467,-0.158024317,-2.893966489,,,,,,,,,,,,,,,,,,,,,,,,NC State,Louisville,,Softball,,80cca9f6-a408-468e-ae0d-4ca8406aedab,7ee214a6-b207-11ec-9a0f-8f0936f2ec39,68.64910238,1.570408955,1.144594526,6.990875307,-2.893966489,62.9556241,3.78214974,-0.654222689,-0.100039758,-2.893966489,0.371014008,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
5,4/1/22,6:03:20 PM,1,5,Aisha Weixlmann,,Right,Nc state,Carmyn Greenwood,,Left,Louisville,,1,Top,0,3,1,Curveball,2,StrikeSwinging,,,,0,0,,68.34252046,5.298172255,-4.042767056,,,,1.292992128,1.890474204,6,,,,2.467338813,-0.624446444,62.91859288,-1.821694962,-4.042767056,,,,,,,,,,,,,,,,,,,,,,,,NC State,Louisville,,Softball,,80cca9f6-a408-468e-ae0d-4ca8406aedab,8b13862e-b207-11ec-901b-b3f6b65d61aa,68.44234094,1.289860068,1.890474204,5.352319293,-4.042767056,62.9909724,2.469952952,-0.624446444,-1.764465201,-4.042767056,0.371425793,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
6,4/1/22,6:03:36 PM,1,6,Aisha Weixlmann,,Right,Nc state,Carmyn Greenwood,,Left,Louisville,,1,Top,0,3,2,Curveball,2,Foul,,,,0,0,,68.30612661,6.125462653,-3.358174581,,,,1.330616934,1.368475581,6,,,,3.016627658,-0.719497866,62.77138283,-1.010966743,-3.358174581,,,,,,,,,,,,,,,,,,,,,,,,NC State,Louisville,,Softball,,80cca9f6-a408-468e-ae0d-4ca8406aedab,94bb2299-b207-11ec-bc9b-114f9ee9e863,68.40641794,1.327605968,1.368475581,6.178824853,-3.358174581,62.84611398,3.019287511,-0.719497866,-0.952839141,-3.358174581,0.371876567,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
7,4/1/22,6:03:57 PM,1,7,Aisha Weixlmann,,Right,Nc state,Carmyn Greenwood,,Left,Louisville,,1,Top,0,3,2,Screwball,1,StrikeSwinging,Strikeout,,,1,0,,69.07693258,5.040927785,-0.055228094,,,,1.023863389,1.234415428,6,,,,2.085925407,1.200116212,63.6348993,-1.90696717,-0.055228094,,,,,,,,,,,,,,,,,,,,,,,,NC State,Louisville,,Softball,,80cca9f6-a408-468e-ae0d-4ca8406aedab,a11b8f4a-b207-11ec-a31c-2b5de1617a8a,69.17514748,1.020906754,1.234415428,5.092918149,-0.055228094,63.70797742,2.088384764,1.200116212,-1.850967048,-0.055228094,0.36638554,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
8,4/1/22,6:04:23 PM,2,1,Aisha Weixlmann,,Right,Nc state,Ally Alexander,,Left,Louisville,,1,Top,1,0,0,Changeup,1,StrikeCalled,,,,0,0,,58.49259524,6.034763754,-1.019314311,,,,1.394620405,1.631767223,6,,,,2.250198347,0.998659023,53.87451989,-3.680696147,-1.019314311,,,,,,,,,,,,,,,,,,,,,,,,NC State,Louisville,,Softball,,80cca9f6-a408-468e-ae0d-4ca8406aedab,b0aee2ab-b207-11ec-b958-f13198808729,58.58032236,1.390490834,1.631767223,6.107621827,-1.019314311,53.93286609,2.253742491,0.998659023,-3.602610279,-1.019314311,0.433481701,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
9,4/1/22,6:04:38 PM,2,2,Aisha Weixlmann,,Right,Nc state,Ally Alexander,,Left,Louisville,,1,Top,1,0,1,Screwball,1,BallCalled,,,,0,0,,68.8094532,8.02281174,-2.44037371,1464.603142,41.46870072,7:30,1.173331802,1.850963108,6,-28.54093788,-1.984420888,-2.320348982,3.814832019,0.141098408,62.84133567,0.098538123,-3.087973307,0.370900211,,,,,,,,,,,,1.845190743,-5.181389496,-2.381804466,50,-0.945969556,4.009236086,-102.5468374,18.908885,1.913901883,21.05369549,-37.54838346,NC State,Louisville,,Softball,,80cca9f6-a408-468e-ae0d-4ca8406aedab,b9ae14cc-b207-11ec-a5e7-93f9123a0801,68.90185637,1.168845966,1.853063554,8.100480241,-2.478293687,62.90409875,3.818530934,0.139581326,0.178862915,-3.120391901,0.370836574,-2.080637259,-3.222011028,-68.34854667,13.34512616,540.3790398,-1361.26884,36.89593613,0.276467737,-0.929445528,0.244328879,,,,,,,,,,,,,,,,,0.687305789,0,,,medium,high,77.98938646,4.540485369,37
10,4/1/22,6:04:53 PM,2,3,Aisha Weixlmann,,Right,Nc state,Ally Alexander,,Left,Louisville,,1,Top,1,1,1,Dropball,1,StrikeSwinging,,,,0,0,,69.68066174,6.480830275,-3.702692454,1997.444382,330.2038948,5:00,0.776653939,2.074390094,6,-35.23120998,-9.272259737,6.226070735,1.891324265,0.290479271,63.37676215,-3.364874441,-1.958807805,0.366703526,,,,,,,,,,,,-8.696947663,-13.33745663,-2.97736028,50,-1.052243465,7.725206494,-104.2969076,17.3937573,-9.23355343,23.43895134,-46.33443357,NC State,Louisville,,Softball,,80cca9f6-a408-468e-ae0d-4ca8406aedab,c29e5d80-b207-11ec-9daf-1395a671608b,69.74575367,0.769650393,2.077889181,6.603464073,-3.765182708,63.40479143,1.896687084,0.287875076,-3.248012883,-2.015471638,0.366669126,6.620527011,-10.93142144,-19.78666765,42.18152283,1879.514396,-676.1728293,94.09595645,0.81656399,-0.338518977,-0.467576895,,,,,,,,,,,,,,,,,0.665254608,0,,,medium,high,52.03662945,53.02667963,37
