PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,4/3/24,6:02:37 PM,1,1,Blake Neleman,nelembl10,,Georgia tech,Jade Sinness,sinneja10,Left,Troy,,1,Top,0,0,0,Curveball,1,StrikeCalled,,,,,,,65.17570980718698,3.6985185121885333,0.22110181451668712,1174.5415318806965,75.20527256604213,8:30,1.743707709121077,1.4181978442366092,-0.114272236,-38.06621743,1.0880123571634854,-4.28309402,1.9253455769560501,0.5910611016707571,60.33612904557063,-4.172863662,-2.146024352,0.45777566702493344,,,,,,,,,,,,4.139803367908084,-0.63528008,-1.382000748,50.000000000000036,1.217569788194943,-0.641883986,-96.73902992,8.514418203795408,3.8194823202089903,18.80323728819646,-32.76017429,Georgia Tech,Troy,,,,e2bc0fd7-1a00-40b0-aa85-d49b4a4baeda,b9a844ce-4bdd-4838-99c4-b70b01de7d7a,65.30052136650018,1.7361265629340346,1.4211506451423825,3.797500793300659,0.18149283048792342,60.425123946045154,1.9304365765000504,0.5893891675761038,-4.074745721,-2.177850463,0.4576366530058224,-4.003231863,-0.811516007,-73.63803238,,330.8737529623412,-1126.973988,28.170460046018153,0.071935181,-0.959501182,0.27236521729266894,,,,,,,,,,,,,,,,,1,1,,,high,high,,,43.114273612177456,Reese Hunter,huntere10,Georgia tech,2022-11
2,4/3/24,6:02:51 PM,1,2,Blake Neleman,nelembl10,,Georgia tech,Jade Sinness,sinneja10,Left,Troy,,1,Top,0,0,1,Changeup,,BallCalled,,,,,,,55.25631438646866,4.589452559052226,1.6340096647276017,655.8577560033552,34.32411431057846,7:15,1.8132110215145958,1.0151034334591054,4.734584444653124,-51.14567913,-6.653830039,-5.720960185,0.7863306849859947,0.775284737,50.77316815,-9.248432379,-1.361166018,0.47563124585493255,,,,,,,,,,,,6.819598805266652,-8.919003767,-0.637002018,50,0.4887106546599399,-2.963917728,-82.72785398,11.967326181505523,4.600100602593986,13.77767641016824,-38.19028541,Georgia Tech,Troy,,,,e2bc0fd7-1a00-40b0-aa85-d49b4a4baeda,dc50f531-727a-4114-8dfc-828de73d5c65,55.289409918380656,1.8053999588430119,1.0125622278256068,4.724479629735639,1.6784562170057271,50.767210107999254,0.7927100808857026,0.7772332882419255,-9.118474555,-1.320529864,0.4756037197367135,-6.017311585,-8.815469175,10.36671131467358,,645.1516557353636,118.0200712238199,98.36761856210529,0.8123798453621154,0.17994766417493754,0.5546691130822136,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.26541693134688,Reese Hunter,huntere10,Georgia tech,2022-11
3,4/3/24,6:03:04 PM,1,3,Blake Neleman,nelembl10,,Georgia tech,Jade Sinness,sinneja10,Left,Troy,,1,Top,0,1,1,Riseball,1,InPlay,,Popup,Out,1,0,,65.70572833953395,5.753648685,-0.002666921,1404.429321289062,101.38516665942888,9:30,1.3196225209800705,0.9472212578800873,-1.048174737,-38.47990922,3.4694001303579327,-5.945970265,2.829650135107735,0.8818209731573675,60.12868832332538,-2.896866558,0.17911798514402757,0.46074074075578386,66.46966178495536,36.43674177806793,-0.993101124,1856.887662760417,-9.771155565,109.56516105484987,58.20340078103156,227.83538085776945,,-7.97947277,4.185691723129558,5.359490571912799,0.2708677985218715,-0.045072487,50.00000000000002,0.8109227495017594,-2.932180759,-98.15976493,12.195337065452197,5.092253217100509,19.327846630580066,-31.91668792,Georgia Tech,Troy,,,,e2bc0fd7-1a00-40b0-aa85-d49b4a4baeda,bc3201f8-f2a3-4d5d-a72f-c4a70e13019d,65.85405639,1.3127905643422981,0.9496511853034455,5.840329459694317,-0.034778423,60.231646690494244,2.8348086917147564,0.8804459438934343,-2.800399482,0.15389309408259325,0.46059728606272815,-5.706740948,1.4686959487002362,-69.33441719,,495.6411612844174,-1314.062996,35.29128549,-0.069666251,-0.935656196,0.34596834634765594,-0.926841946,53.46768057831539,39.47865290746735,-0.883701329,3.1728295070698604,2.9771098547885426,-31.62772274,225.62944826632287,-27.26684053,22.415858847908517,0.8713696627743506,0.9096155428595902,-0.161902226,0.38260584609065285,,,1,1,1,35.821773489774856,high,high,,,44.04817611344554,Reese Hunter,huntere10,Georgia tech,2022-11
4,4/3/24,6:03:32 PM,2,1,Blake Neleman,nelembl10,,Georgia tech,D\aun Riggs,riggsda12,,Troy,,1,Top,1,0,0,Curveball,1,Foul,,,,,,,65.23494586996445,2.582539848641682,-1.699754181,1083.0696716308594,31.596013722957704,7:00,2.1219303976946184,1.4710802450408655,5.999999999999997,-30.63662133,-1.630603759,-2.226498238,1.8231262873467229,0.1874380975026137,60.637648249577296,-4.75772393,-1.917762751,0.3854613890795843,53.82755696228611,30.575312148703507,-56.45621003,,-90.4413226,62.61283547613211,18.488948627501056,142.11818779904024,,-55.565203,2.4225492003008546,1.877910285031255,-3.249664459,-1.483915167,50,0.8978996524830839,2.0299856862727177,-98.63582577,10.941858763910306,1.8033888396561493,19.376609718775235,-35.29475704,Georgia Tech,Troy,,,,e2bc0fd7-1a00-40b0-aa85-d49b4a4baeda,6738fdd9-d57a-4d83-8f36-8aee19a3a1bf,65.30870074098493,2.1178703567255686,1.4728534375823337,2.657744842653224,-1.733106263,60.69079076954454,1.8267882740285544,0.18599870843095304,-4.678330219,-1.948749482,0.3853932990776182,-2.019039191,-2.877001473,-71.35167296,,346.3208371202553,-1026.20748,31.97585955839517,0.2723586646203079,-0.947499045,0.16753004881532094,-38.62557922,25.608188208957163,27.380489683448566,-0.709380941,3.7255089556656786,2.321665076366409,-117.2148503,80.36328869016346,,,,,,,,,1,0,,22.992278639700483,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
5,4/3/24,6:03:48 PM,2,2,Blake Neleman,nelembl10,,Georgia tech,D\aun Riggs,riggsda12,,Troy,,1,Top,1,0,1,Changeup,,BallCalled,,,,,,,55.187296826233464,4.815400401507113,-0.419341015,639.5288970947266,25.011825041026764,6:45,1.8248682963463985,0.8139046296460931,4.430255652062863,-52.12146623,-7.410685782,-4.247973366,0.971802376,-0.141321721,51.013430892221294,-8.898612509,-1.922415044,0.48048235400854045,,,,,,,,,,,,4.415845176666808,-9.745440954,-0.867493138,50.00000000000001,0.49373505721831157,0.1750498264660234,-82.59397893,12.216636511620797,2.9653420935060284,13.856830563520512,-38.71833842,Georgia Tech,Troy,,,,e2bc0fd7-1a00-40b0-aa85-d49b4a4baeda,6afa0a9c-e596-4991-980a-b20ac02a6c9e,55.21874956150493,1.8161694919996847,0.8116733204036211,4.9598058389002775,-0.381881294,51.00630512072327,0.9783722814608442,-0.139693578,-8.764733914,-1.888511896,0.48045670744552116,-4.501736665,-9.638369293,12.146787366529493,,625.2109560766286,134.5677176032405,97.76117372,0.8859318415596972,0.21041694630932123,0.413339426,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.56974572393714,Reese Hunter,huntere10,Georgia tech,2022-11
6,4/3/24,6:04:05 PM,2,3,Blake Neleman,nelembl10,,Georgia tech,D\aun Riggs,riggsda12,,Troy,,1,Top,1,1,1,Riseball,1,StrikeCalled,,,,,,,65.93466993708388,3.559988948152104,-0.491886859,1301.8607928936297,122.56020846739256,10:00,1.776425546903195,1.0357304468484192,4.624494381777842,-26.78746116,3.6289651079723093,-3.722314401,2.176517399921661,0.9603167115995574,60.928827880918426,-3.248895002,-0.250285144,0.3990375343929824,,,,,,,,,,,,3.9665727415284877,2.9815520718427733,-1.107268723,50.000000000000014,0.8542954547936464,0.37361071380485367,-98.83682103,9.491787697205325,3.823052715747152,19.517337759636252,-29.30037715,Georgia Tech,Troy,,,,e2bc0fd7-1a00-40b0-aa85-d49b4a4baeda,2b00419a-c398-41d9-b270-86de1e8e9a50,66.04096112479695,1.7733880365782189,1.0369720368485118,3.6109522382006105,-0.513419873,61.011248242570325,2.1793523312705965,0.9594064774241644,-3.188951789,-0.269184373,0.398933871,-3.569555719,2.4266717621872145,-70.19884289,,441.0143412152199,-1224.886882,33.87569113553092,-0.182314084,-0.940873932,0.2855132567205983,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.37550699422216,Reese Hunter,huntere10,Georgia tech,2022-11
7,4/3/24,6:04:19 PM,2,4,Blake Neleman,nelembl10,,Georgia tech,D\aun Riggs,riggsda12,,Troy,,1,Top,1,1,2,Riseball,1,BallCalled,,,,,,,63.745676981101354,6.260458081026415,3.2693687156169364,1347.7115026403358,86.22497294394297,8:45,1.8783952927142464,0.634573708,4.659928589822178,-30.34389502,0.7055844034985306,-5.842308703,3.864389516,0.8960187892236042,60.17614433,-1.279233282,-0.166787849,0.41434166082471807,,,,,,,,,,,,7.804586659717568,-1.800907434,0.0773746,49.999999999999964,0.35168637255254825,-6.164991806,-94.98578707,14.390685480308209,6.963484479058478,17.72176899857191,-33.78087279,Georgia Tech,Troy,,,,e2bc0fd7-1a00-40b0-aa85-d49b4a4baeda,366ed7c8-6dc3-419f-853f-89c870cbe818,63.84019832245414,1.8735188442830948,0.6354691376310028,6.341729834034693,3.2539782428907142,60.24936668101339,3.8682495480446897,0.8955477842394044,-1.198229194,-0.176443019,0.4142494625321061,-5.755035336,-0.637135749,-61.65261895,,639.9151921511547,-1186.100688,47.48161538263053,0.031261417,-0.880085007,0.4737859260639909,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.34007278617783,Reese Hunter,huntere10,Georgia tech,2022-11
8,12/31/69,6:59:59 PM,2,5,Blake Neleman,nelembl10,,Georgia tech,D\aun Riggs,riggsda12,,Troy,,1,Top,1,2,2,Curveball,1,Foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Troy,,,,e2bc0fd7-1a00-40b0-aa85-d49b4a4baeda,aa7ef377-ae2f-4d40-8e03-ecb14000e6b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reese Hunter,huntere10,Georgia tech,2022-11
9,4/3/24,6:04:51 PM,2,6,Blake Neleman,nelembl10,,Georgia tech,D\aun Riggs,riggsda12,,Troy,,1,Top,1,2,2,Riseball,4,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,65.57871386386113,5.101638719044275,-1.114603322,1312.3705516142004,73.69557596560374,8:30,1.899705960306324,0.5833101619631711,5.000998145087962,-29.77663281,0.3062969789886978,-4.596289875,3.191003714106651,-0.856800633,60.674888948230844,-2.208519971,-3.094135688,0.3978907249878613,,,,,,,,,,,,4.8988203363733955,-1.673740415,-0.778269302,50.00000000000003,0.582763498,1.2873136270366106,-98.17301022,12.731189141399282,4.656459627002309,19.313431034317283,-33.76498457,Georgia Tech,Troy,,,,e2bc0fd7-1a00-40b0-aa85-d49b4a4baeda,6286eff9-1bbc-4148-b883-8edf17ebf811,65.66986397483966,1.895523136192745,0.5844550097052195,5.175108285084777,-1.135314157,60.744449036539365,3.1946962325683352,-0.857645435,-2.130200834,-3.111728892,0.39780667221285126,-4.452394514,-1.02865623,-66.73487716,,518.3684432772859,-1205.657755,39.49863418069682,0.11088878887848024,-0.918686992,0.3791014200911346,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.99900323091204,Reese Hunter,huntere10,Georgia tech,2022-11
10,4/3/24,6:05:16 PM,3,1,Blake Neleman,nelembl10,,Georgia tech,Taylor Mckinney,mckinta10,Right,Troy,,1,Top,2,0,0,Curveball,1,StrikeSwinging,,,,,,,64.66603847655315,3.7951549699314393,-0.444664379,1226.5133588237147,50.69310570903865,7:45,2.193724848,1.5840765627315048,5.999999999999997,-29.91847415,-0.747417358,-2.664202722,2.561868084096376,0.6038755758177512,60.06170680400214,-3.855235578,-2.008275469,0.39123615743288764,,,,,,,,,,,,3.1275858748409453,-2.44114332,-1.65684521,49.999999999999964,1.0263456183373074,0.33926410699887116,-97.18377503,10.947166397129395,2.9154747466507103,18.820679472785713,-34.44963593,Georgia Tech,Troy,,,,e2bc0fd7-1a00-40b0-aa85-d49b4a4baeda,e7e378b5-3aee-4992-bc83-286e327237fb,64.74428574287614,2.1897430830395215,1.5858037637943343,3.8687935379350176,-0.477224707,60.12041647772971,2.565466969284866,0.6024937467529137,-3.776882959,-2.038041639,0.39116296891957325,-2.443781752,-2.007867395,-73.09928537,,356.56474769754016,-1173.5402,29.071411667256758,0.1841598293291298,-0.956809961,0.2249441150467756,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
