PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,04/06/2024,4:02:21 PM,1,1,Carly Maxton,,,Nc state 2024 roster,Emma Ritter,ritteem10,Right,Virginia tech,,1,Top,0,0,0,Riseball,,BallCalled,,,,,,,63.92470389137067,7.086416426278684,-0.8280897826734164,1307.596613703547,70.46979728395166,8:15,1.4372861755550628,1.7589799386551892,6.0000000000000036,-30.42347112182745,0.20901996078810114,-3.0604841085554315,3.3260306344460315,0.9896216558539591,58.42260363061182,-1.3932843492479932,-1.6845075793818134,0.3983480360331877,,,,,,,,,,,,3.275524636331206,-2.3262021925815253,-1.916342760227441,49.99999999999997,-0.4825574939243343,0.9386041715344156,-95.59312066885889,16.289613636315828,2.9457698152137457,18.59228332125707,-34.26606749573731,NC State 2024 Roster,Virginia Tech,,Softball,,a577b954-20f7-4926-8d88-b6a8d32b6fcf,f1ed9ae3-7b29-48af-8b56-22440d1577b5,64.02586877719281,1.4329037439678605,1.7609420527991857,7.16292269846015,-0.8636228696795984,58.49276288171098,3.329713456896391,0.9882313432561423,-1.312126401034529,-1.714676481352993,0.39826266053734516,-2.835843192438872,-1.1126280769757964,-72.43311899957806,,394.65730797163286,-1246.6172281151769,30.181885134577747,0.10089916292625131,-0.9533652925150545,0.28445382393011753,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
2,04/06/2024,4:02:39 PM,1,2,Carly Maxton,,,Nc state 2024 roster,Emma Ritter,ritteem10,Right,Virginia tech,,1,Top,0,1,0,Changeup,,StrikeCalled,,,,,,,54.819842977847536,8.160080517960393,-1.6268513885780693,1034.7566056685012,48.47329629826317,7:30,1.4141891699871991,0.9644999019266656,6.0000000000000036,-46.80921071389712,-4.892077903783964,-7.634172613448123,2.6178114192316646,-0.6823028636327086,50.17621409276945,-4.868978800983784,-3.760053330436725,0.4659800318860583,,,,,,,,,,,,8.323055586575922,-8.705096460554245,-1.2576163618608505,49.99999999999998,-0.9172788012311842,1.3778731704227316,-81.76571533302635,17.519822657627497,5.470364694282895,13.708600392125312,-37.89551231597963,NC State 2024 Roster,Virginia Tech,,Softball,,a577b954-20f7-4926-8d88-b6a8d32b6fcf,4565f61e-3869-472f-b722-9835b3dca355,54.87223167819572,1.4060622886394412,0.964552096513553,8.3038341506344,-1.6278105784063734,50.18906789877676,2.6241039611452046,-0.6823119021426898,-4.7331984213090275,-3.760286456789592,0.46594025475982614,-7.627753225474853,-6.920751344022156,-33.51833727825777,,862.6860308303919,-571.3965743550639,83.37091313111806,0.5527233425663429,-0.552203843130738,0.6241536847715732,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
3,04/06/2024,4:03:00 PM,1,3,Carly Maxton,,,Nc state 2024 roster,Emma Ritter,ritteem10,Right,Virginia tech,,1,Top,0,1,1,Changeup,,BallCalled,,,,,,,55.54568570853316,5.112776462062401,-0.5594350422019788,1059.9866923670613,48.787831919396375,7:45,1.2172383890396037,1.17302633098634,6.0000000000000036,-44.5278420411551,-4.206939169669049,-7.126977297593454,0.6904624890965039,0.2316654080306059,51.316281510524504,-7.301479109269421,-2.554497531591831,0.4570215160109435,,,,,,,,,,,,8.117635253634031,-6.792249703309011,-1.22896789460203,49.99999999999999,-0.389515225750799,-0.08419150853155359,-83.40692965107073,13.077243514343648,5.546822482916886,14.352950542832977,-36.81522921365496,NC State 2024 Roster,Virginia Tech,,Softball,,a577b954-20f7-4926-8d88-b6a8d32b6fcf,c149c1bd-ea54-4067-a1a0-cb5f886872dc,55.595395195838194,1.2096798256166277,1.1736789666591285,5.247141042330307,-0.5712703123891226,51.32989270664075,0.6962836298412183,0.23122446107894534,-7.17583547985273,-2.56412163789787,0.45697614191833413,-7.051888691772184,-6.1601055484439105,-42.5604739128619,,780.7478868455321,-716.941089059275,73.65638573273408,0.48528453608507305,-0.6763680093551651,0.5540985787363352,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
4,04/06/2024,4:03:21 PM,1,4,Carly Maxton,,,Nc state 2024 roster,Emma Ritter,ritteem10,Right,Virginia tech,,1,Top,0,2,1,Curveball,,InPlay,,LineDrive,Single,0,0,,62.83996104755155,5.501812107893228,-2.7484436112121378,1122.3190380859376,73.5003160775641,8:30,1.2447345259479998,1.8289957881005146,6.0000000000000036,-30.7343050199129,0.8636423117177578,-3.4541223840906774,2.1149105822462024,-0.16706900293856566,57.65980453248105,-3.073925355762033,-3.712826458176581,0.4045767840187222,68.71470802436592,12.905219100134184,-13.871028502006913,952.8380043723367,-20.574131944422803,108.05880386717703,10.50963811664496,156.87221707931212,,-9.638624511277602,1.9318295711335496,3.031316122431574,-1.0051571288344587,-2.41864750749002,50.000000000000036,-0.31522560185606735,4.0292413465451355,-94.1828085344831,13.461034391341679,2.643022138711285,18.207573366528155,-33.05045192646652,NC State 2024 Roster,Virginia Tech,,Softball,,a577b954-20f7-4926-8d88-b6a8d32b6fcf,55f7d654-5ce7-4592-862f-74d7bc2f0ad2,62.938148825818246,1.2403928668157718,1.8307175106770663,5.577282051886104,-2.779314141704485,57.72703506833598,2.1185028829046346,-0.1682566021876023,-2.994588417264353,-3.738649283392465,0.4044900791260395,-3.2584337095689406,-0.5028375886272872,-71.59318969950802,,354.3854903680532,-1064.8995011111324,31.576180955857346,0.08967952898811496,-0.9488384897464347,0.3027591492526273,-16.057363928529877,65.0257791293952,15.346667754132135,0.2161645805379534,1.178632406585495,2.048037477873566,-26.265647611603942,154.65771318276327,2.43718674242924,36.22938950259038,0.4901249974041153,0.7520632744447834,0.3380198588521587,-0.5658121651687573,,,1.0,0,1.0,39.33086498794321,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
5,04/06/2024,4:04:03 PM,2,1,Carly Maxton,,,Nc state 2024 roster,Addy Greene,greenad10,Left,Virginia tech,,1,Top,0,0,0,Changeup,,BallCalled,,,,,,,56.21569589436232,6.191746705537967,-0.4487606333872655,1033.5106122921677,51.78273757056919,7:45,1.2867786491287063,1.792128754333356,6.0000000000000036,-43.48615496177906,-3.9995865715737224,-7.382219109978233,1.5234515668273572,0.898236956239091,51.72831251675534,-5.936002206388546,-2.5147022433290687,0.4522683730660776,,,,,,,,,,,,8.45796824759294,-6.932327083511507,-1.8203545937050656,50.0,-0.557155715848996,-0.2811285782645107,-84.24124390826385,14.682342638492907,5.901194982498627,14.54332445183258,-37.01079200506734,NC State 2024 Roster,Virginia Tech,,Softball,,a577b954-20f7-4926-8d88-b6a8d32b6fcf,dda69319-4666-470c-8e5b-b22a56b99453,56.271246702253826,1.2792680616253644,1.7924463271233402,6.323367685375874,-0.4544687814968161,51.74719606684189,1.5291307091909523,0.8980525855451905,-5.812199711390392,-2.518735819970885,0.45221946746173697,-7.345699497710472,-5.893184922653701,-40.40718163061559,,786.9739524217447,-669.9374477742149,76.1457060103483,0.4710717058567257,-0.6482153543526724,0.5982543792758009,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
6,04/06/2024,4:04:27 PM,2,2,Carly Maxton,,,Nc state 2024 roster,Addy Greene,greenad10,Left,Virginia tech,,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,63.44672859341533,5.027863574248854,-0.32823254189864476,1200.7058288574217,51.49502470607956,7:45,1.2324464567031985,1.7492471978436681,6.0000000000000036,-31.30316449811842,-0.45397134629287805,-2.1610386156055883,1.7544766919840056,1.3653107937344275,58.31006641423405,-3.716600950911108,-0.9331285977396839,0.39975456078507343,,,,,,,,,,,,2.405709067933626,-2.3454443193029095,-1.802154013489692,49.99999999999999,-0.2237075274337455,0.23383564624887987,-95.2445505837525,12.896150045643218,2.1482954118246913,18.424737233410294,-34.268528647084764,NC State 2024 Roster,Virginia Tech,,Softball,,a577b954-20f7-4926-8d88-b6a8d32b6fcf,95af1c7d-cff0-4b94-a35b-00f305868851,63.53866551114704,1.2279547378281932,1.7515563991384608,5.107494752103629,-0.3702213308492547,58.37209234729638,1.7582489471515792,1.3636423709928036,-3.633513509010971,-0.9695125191020582,0.39967440321668996,-1.8958346813488343,-1.792628001866113,-76.34648901437534,,283.42631659102227,-1166.7750470916978,23.60497548851975,0.14696046830193862,-0.971740970227477,0.18472170294211968,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
7,04/06/2024,4:05:03 PM,2,3,Carly Maxton,,,Nc state 2024 roster,Addy Greene,greenad10,Left,Virginia tech,,1,Top,0,2,0,Changeup,,BallCalled,,,,,,,55.74985698335694,5.5312553879946815,1.8812206951636077,1049.580062866211,56.87818516379754,8:00,1.2310123915285642,1.536246087634641,6.0000000000000036,-43.35482539270077,-3.305733586597256,-7.424735111782177,1.0658456580226667,2.0862633423065917,51.40726871235493,-6.55460488950854,-0.19626285958811698,0.45547847556966325,,,,,,,,,,,,9.346602786930859,-5.851896272039893,-1.0351252595300526,49.999999999999936,-0.4614562339902367,-3.6852950717820283,-83.57027237074561,13.58852918592601,6.429015728794098,14.134180343607873,-36.19924826340843,NC State 2024 Roster,Virginia Tech,,Softball,,a577b954-20f7-4926-8d88-b6a8d32b6fcf,1a664971-4806-4782-953a-20198b225d33,55.80675136638964,1.2237032492991424,1.53678059594889,5.659638062691102,1.871649655584605,51.428119301300086,1.0714387436940003,2.0859279727794835,-6.4328627660203335,-0.2036102606795318,0.4554242540223363,-7.363768382309109,-5.152649003818289,-45.4085261621419,,736.8546224072537,-747.4380066622937,70.20470838546977,0.3836131818858632,-0.7121305302057447,0.5879719675565227,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
8,04/06/2024,4:05:23 PM,2,4,Carly Maxton,,,Nc state 2024 roster,Addy Greene,greenad10,Left,Virginia tech,,1,Top,0,3,0,Curveball,,BallCalled,Walk,,Walk,0,0,,63.594247411132976,6.846068279858392,-3.441176057141666,1133.890347388483,24.266311797041535,6:45,1.6054210129473598,1.767478584835472,6.0000000000000036,-32.91316263541954,-1.8931510169202994,-1.2716981998973915,3.1424497410659953,-0.47819939977730497,58.19473677823324,-2.316250042811455,-3.7957621885248347,0.40085979543178674,,,,,,,,,,,,0.24472580300656563,-4.69228434633545,-2.5365048471401566,49.99999999999999,-0.2866410538022616,5.5284424770462,-94.98114290192198,16.159629683631742,0.21733623837311547,18.32085763218366,-36.34117629140196,NC State 2024 Roster,Virginia Tech,,Softball,,a577b954-20f7-4926-8d88-b6a8d32b6fcf,31871abe-34f7-4c57-b8bd-153aa7e642ab,63.684769203602265,1.6004713262725916,1.7701011716651673,6.933565041921581,-3.48891793055771,58.25405044471634,3.146616464541122,-0.4801499104691325,-2.225293762044128,-3.837777433894478,0.40078742350545143,-0.9694719043523531,-3.278003516913706,-69.69526246829099,,393.4749065707681,-1063.43068311945,34.701319001171406,0.3163528663989853,-0.9378602486287038,0.14261492896345637,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
9,04/06/2024,4:05:58 PM,3,1,Carly Maxton,,,Nc state 2024 roster,Michelle Chatfield,chatfmi10,,Virginia tech,,1,Top,0,0,0,Riseball,,BallCalled,,,,,,,64.02069595406437,5.529236429051007,1.3014124126391255,1189.530883789063,111.70278615241635,9:45,1.0794851044857732,1.157678006573622,6.0000000000000036,-27.801126534505602,2.5599134894668154,-3.4089417987828456,2.2082249259656255,1.6819759288001426,58.69247640012945,-2.2335912987074176,0.34733121959023,0.39657911986610894,,,,,,,,,,,,4.449860752573799,0.9929231140361243,-0.828322444671978,50.00000000000003,-0.45676758479613655,-2.676811011410372,-96.00416894646013,13.339448251373982,4.037598461397507,18.711801999878528,-31.273116936545865,NC State 2024 Roster,Virginia Tech,,Softball,,a577b954-20f7-4926-8d88-b6a8d32b6fcf,38f1b3c7-d275-4298-a1df-08b6d1dc72a0,64.12732657928287,1.0759887190176463,1.1591463198166496,5.590134410958588,1.2749731002749998,58.77000534913197,2.2112015444156166,1.6809812346902282,-2.166590455568975,0.32529333370835517,0.39648443579741244,-3.241357802473974,1.341125467273611,-71.00950479072921,,387.08677642501584,-1124.7877804301036,32.541128750857816,-0.12033447073998539,-0.9455725746668044,0.3023443751580607,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
10,04/06/2024,4:06:22 PM,3,2,Carly Maxton,,,Nc state 2024 roster,Michelle Chatfield,chatfmi10,,Virginia tech,,1,Top,0,1,0,Changeup,,Foul,,,,,,,57.26338196845018,6.252383220964759,-1.4691256962043309,1047.418059250404,57.39719444946303,8:00,1.2435799627697979,1.4409573825512105,6.0000000000000036,-40.77741913680604,-2.6733680306655145,-7.155652276556741,1.7452500868255825,-0.06794212615662973,52.618489381384926,-5.1209749411436425,-3.469798722857764,0.4442803424321623,48.207004480973836,-5.114310018033782,-78.13159095759347,2818.31786047894,,,,13.017000322046922,,-69.98712370231587,0.19325934180549498,7.818667885255936,-5.419526305107387,-1.703069760029353,50.000000000000036,-0.587449538234326,1.2719895075066212,-85.78790802656361,14.691402555886649,5.6532873761490245,15.15810984079286,-36.092637777109516,NC State 2024 Roster,Virginia Tech,,Softball,,a577b954-20f7-4926-8d88-b6a8d32b6fcf,a9dde237-7dd9-4f4d-acf9-e58db42a8658,57.32984068532346,1.2367530618872913,1.441473084686383,6.371939247939946,-1.4784507815805692,52.649493854843776,1.7506121901220726,-0.0682601142493903,-5.005219618272614,-3.4766304939078236,0.4442186779354472,-7.096114840436323,-4.481905666947745,-45.89932779198197,,728.9204501086962,-752.1699065086415,69.59212166251515,0.37497072760060546,-0.7181181380879952,0.5862621369248602,-46.98864330950788,9.875004899560086,-4.2973200013655415,0.19237351372744987,1.8480150896847334,1.8281117040171602,-12.230978306529899,4.4548251424006216,0.7243787981917713,-0.3033241297739748,-0.04237347374843048,-0.5904072321242005,-0.5197716001288811,0.6174599452230912,,,1.0,0,1.0,18.70366090354362,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
