PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,4/10/2024,4:01:58 PM,1,1,Chandler Dennis,dennich10,Right,Georgia tech,Kendall Smiley,smileke10,Left,Alabama state,,1,Top,0,0,0,Curveball,1,StrikeCalled,,,,,,,65.06215215718146,3.9699453349096037,3.492764817655603,1187.1882847377235,120.74083231379791,10:00,1.6214901955223022,0.33408102373560955,6.025371921830714,-23.31804523,3.7433223693571236,-4.885475552,2.215657254549973,1.3243040525747984,62.252979984125226,-2.946003795,0.7754510235926179,0.3891099228876168,,,,,,,,,,,,7.017436229767438,2.8383014223304985,0.5109221209092477,50.00000000000002,0.4577672671200607,-6.692881344,-97.54689734,10.59780544,6.603457363677886,18.68822628522222,-29.50318778,Georgia Tech,Alabama State,,,,070ec94b-b3cc-4cbe-bc14-f6031b6d43db,a7adf037-c23b-4281-9d46-b8a6602b677e,65.16029329,1.6185037874200523,0.3346189519411712,4.020978324551793,3.483219501580383,62.330974774439575,2.218014902795889,1.3241283893709672,-2.894332879,0.771744533,0.38901486223491477,-4.845621225,2.7354322691080473,-60.77756991,,579.5869162170028,-1036.096052,48.82013440227356,-0.249546836,-0.872731028,0.41960329959606896,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.97462945416929,Reese Hunter,huntere10,Georgia tech,2022-11
2,4/10/2024,4:02:15 PM,1,2,Chandler Dennis,dennich10,Right,Georgia tech,Kendall Smiley,smileke10,Left,Alabama state,,1,Top,0,0,1,Curveball,1,Foul,,,,,,,66.02020212363992,4.964946208,3.168379238892685,1453.6245095389227,121.88102281464265,10:00,1.5472819695189814,0.4505184429665181,5.020269186991901,-23.2825891,5.181327209384424,-6.31920562,2.6541946616001324,0.9952085834483729,62.28120918973191,-2.229095661,-0.711306937,0.3951980614754689,,,,,,,,,,,,8.076962772466679,3.633800585612874,0.26584734065948973,49.99999999999996,0.29626228274588035,-6.29010321,-98.68996818,11.915469206817862,7.773930683270089,19.23357642,-28.6765822,Georgia Tech,Alabama State,,,,070ec94b-b3cc-4cbe-bc14-f6031b6d43db,752736eb-2c33-4763-a0d6-c351651afd61,66.13136563360605,1.5442479810668848,0.45059924411138097,5.01311047,3.166889797,62.36704505547155,2.6565031426036962,0.9954165393656808,-2.179858928,-0.706826492,0.3950908814017722,-6.333610383,4.108010354013928,-55.54103752,,822.4837329463019,-1198.559437,56.58158125079954,-0.298839647,-0.824531665,0.48046061156880804,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.979732189008104,Reese Hunter,huntere10,Georgia tech,2022-11
3,4/10/2024,4:02:37 PM,1,3,Chandler Dennis,dennich10,Right,Georgia tech,Kendall Smiley,smileke10,Left,Alabama state,,1,Top,0,0,2,Fastball,1,Foul,,,,,,,65.87662824346052,5.7536834605713505,2.6816678083071817,1328.202958327073,87.58509714869147,9:00,1.5498222192700728,0.6879018103274073,5.275211605820066,-28.22579843,0.798365598,-4.907954098,2.7999321278014255,1.098963625560539,61.31559985898848,-2.96641221,0.083186088,0.3934948368974793,,,,,,,,,,,,6.285597810121506,-1.416796674,-0.072100281,50.000000000000014,0.059754331177589014,-5.257819314,-98.43722615,13.91944420344696,6.020697795966582,19.09115388108958,-33.53113683,Georgia Tech,Alabama State,,,,070ec94b-b3cc-4cbe-bc14-f6031b6d43db,775cdf5b-7728-4e9d-85af-1b90b7dc29fc,65.97400103,1.5453943112328956,0.689077137,5.825779140255638,2.661902225618728,61.38431038320664,2.803301017239668,1.0983273959800313,-2.893804479,0.06969535,0.39340431816605537,-4.793734751,-0.434910297,-66.81576973,,522.8987722631493,-1220.942248,39.36889079977371,0.016588289997474612,-0.919243735,0.3933392745651143,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.72478977017994,Reese Hunter,huntere10,Georgia tech,2022-11
4,4/10/2024,4:02:57 PM,1,4,Chandler Dennis,dennich10,Right,Georgia tech,Kendall Smiley,smileke10,Left,Alabama state,,1,Top,0,0,2,Curveball,5,BallCalled,,,,,,,67.93815752,6.337715101540988,3.234164224092389,1375.8233589504077,88.30357945365962,9:00,1.5227210228327526,0.4574605070376025,5.404899546041598,-26.26004439,0.5998957245180385,-5.495510473,3.3611080191302665,1.7250677240910142,63.472853723819746,-1.531971236,0.6960526009735339,0.38068394118511323,,,,,,,,,,,,7.288784495350936,-1.757556026,0.29160626112128735,50.00000000000003,-0.100666428,-6.504984578,-101.3757814,15.20686431218441,7.408138738432039,20.177325613223797,-33.96038569,Georgia Tech,Alabama State,,,,070ec94b-b3cc-4cbe-bc14-f6031b6d43db,f4c6350a-2105-4d2e-b24d-933d16f16d23,68.03732134767851,1.5185527669575152,0.45810347730023504,6.406669943406219,3.223060870069712,63.54627074190672,3.364361140184651,1.724782942146305,-1.462041554,0.6901287316297635,0.3805984634514409,-5.43729317,-0.536237857,-62.67085473,,631.6425802411081,-1222.259206,45.91015090214615,0.013591148459646757,-0.888383816,0.45890029,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.59510183,Reese Hunter,huntere10,Georgia tech,2022-11
5,4/10/2024,4:03:14 PM,1,5,Chandler Dennis,dennich10,Right,Georgia tech,Kendall Smiley,smileke10,Left,Alabama state,,1,Top,0,1,2,Dropball,1,Foul,,,,,,,67.44074989,5.730076360284863,3.591764279152103,1284.1216939290364,68.43407350304662,8:15,1.5967712673344443,0.4395937308299386,5.529765261748565,-27.98820355,-1.140731356,-4.68677408,2.937555994479037,1.2217297994374008,63.32350443746715,-2.627349164,0.6736927319859528,0.3817811350408862,59.54893554666728,24.759367803006057,-50.2256711,,-83.5845137,71.50964318939292,17.716653139573072,150.99512897798655,,-49.66190521,2.226019134905284,6.548299657721073,-3.675279076,0.3891611487797895,50,0.068361569,-6.99361892,-100.7266064,14.39295644581605,6.573368832,19.856291263611322,-35.86339891,Georgia Tech,Alabama State,,,,070ec94b-b3cc-4cbe-bc14-f6031b6d43db,b8d36acc-f0b2-4337-963f-f0ee1c7ee1e9,67.52997055689744,1.5919716462291533,0.44067701993398806,5.8098567674711825,3.573210066363648,63.38705418967016,2.9411399132601406,1.2211312325784922,-2.550169831,0.6610222425697428,0.3817042821962583,-4.580791338,-2.332300853,-64.77062238,,547.3480937287774,-1161.62756,42.62431639590579,0.15667486231405459,-0.904608625,0.396404115,-41.56034563,34.59523931197352,24.939583249440627,-1.359615097,3.291856499513915,3.099080576995205,-115.0942438,97.73865158080048,,,,,,,,,1,1,,27.246674635208787,high,high,,,37.470236114251435,Reese Hunter,huntere10,Georgia tech,2022-11
6,4/10/2024,4:03:35 PM,1,6,Chandler Dennis,dennich10,Right,Georgia tech,Kendall Smiley,smileke10,Left,Alabama state,,1,Top,0,1,2,Curveball,1,BallCalled,,,,,,,65.83656493501523,1.3194205872686313,4.893809328908427,1469.98557,136.99694532890015,10:30,1.5878969904594826,0.4482264218824685,5.067324460981824,-21.75866342,6.943659687342127,-6.148785349,0.711848988,2.186854719159046,62.205493741585784,-4.844660706,1.3920916070503773,0.39484108330650014,27.999208493239202,-68.27049259,0.7633410722800285,,,,,42.25308378816497,,-1.059316001,0.072939675,8.601307318200298,7.001506288823272,0.636225794,50.00000000000001,1.1167944623808956,-9.26077122,-98.50610831,5.3771448639475246,8.272206787227509,18.741669712472984,-25.44043274,Georgia Tech,Alabama State,,,,070ec94b-b3cc-4cbe-bc14-f6031b6d43db,6c7c848f-e5a8-46ac-ba6d-31923d808390,65.94348609399432,1.5854823855127436,0.44816207860159574,1.3577540730464464,4.894730426570204,62.28945944301511,0.713711334,2.1871070764290654,-4.804650261,1.3975368871427298,0.39473379076792187,-6.171826376,5.982855009944904,-51.51484459,,914.7894337299198,-1150.659754,62.23118459,-0.455107444,-0.782769421,0.42443992260593955,0.1381003872815725,10.365092969107508,-26.00964153,-0.684966331,41.14083702563554,2.1377082146596784,-0.781153833,42.24586238081616,,,,,,,,,1,1,,-0.674953176,high,high,,,37.93267691501818,Reese Hunter,huntere10,Georgia tech,2022-11
7,4/10/2024,4:03:54 PM,1,7,Chandler Dennis,dennich10,Right,Georgia tech,Kendall Smiley,smileke10,Left,Alabama state,,1,Top,0,2,2,Curveball,1,Foul,,,,,,,67.80371125420469,2.5518186975959876,4.067667228775793,1189.4543849400113,93.37960632346599,9:00,1.6012697812441947,0.6156928850993972,6.105468483235285,-25.20158754,0.7256483126918525,-3.221468428,1.244347743292122,1.769986786305735,63.63851758112616,-4.845779116,1.9491425994374212,0.37226583647242395,,,,,,,,,,,,5.179198778784071,-0.318498337,0.34908600922372224,49.99999999999997,0.7467431754492565,-7.738989545,-101.7566242,8.668796250277877,5.3017257059322525,20.383737657035343,-32.5000828,Georgia Tech,Alabama State,,,,070ec94b-b3cc-4cbe-bc14-f6031b6d43db,2108a47c-5f97-4fc5-8b5c-f24781486493,67.89175055577141,1.5977815049347857,0.6170055695239709,2.6132724834775924,4.044181685007487,63.70523269762477,1.2472152802552763,1.7691297335619272,-4.783068558,1.9305467812298742,0.372186451,-3.078467968,-0.329547499,-75.24316487,,302.97460844944794,-1150.220901,25.47172991965792,-0.015015855,-0.967015562,0.25427431372151277,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.894532892764715,Reese Hunter,huntere10,Georgia tech,2022-11
8,4/10/2024,4:04:14 PM,1,8,Chandler Dennis,dennich10,Right,Georgia tech,Kendall Smiley,smileke10,Left,Alabama state,,1,Top,0,2,2,Curveball,1,BallCalled,,,,,,,66.08053277192832,2.329778908728642,3.557773223134441,1489.8057861328127,133.0477646783953,10:30,1.6061094076029716,0.5307406589005345,5.390497829363774,-22.36629767,5.854848673893841,-5.593573283,1.3663286986715335,1.6003997872780165,62.09815353910404,-4.089393798,0.8041538318217243,0.3895318076847232,,,,,,,,,,,,7.588625224682684,5.613577632741606,0.2891561688498113,49.99999999999999,0.8931453668893483,-6.942615415,-99.08105459,7.322850153222733,7.371945794,19.190718390403582,-26.72075748,Georgia Tech,Alabama State,,,,070ec94b-b3cc-4cbe-bc14-f6031b6d43db,78e31a59-0150-4e9f-8bd3-1cee07bd0eba,66.18508691711125,1.6036231276138406,0.5309962527838105,2.3707169092590537,3.553316953,62.18093841123285,1.368369526,1.6003949682442236,-4.045036352,0.8041527486164812,0.3894291697125087,-5.577734437,4.864482916112171,-56.7471959,,816.9113892956539,-1245.863982,54.83341499271289,-0.374297177,-0.836259326,0.4007143163725833,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.609503546636226,Reese Hunter,huntere10,Georgia tech,2022-11
9,4/10/2024,4:04:34 PM,1,9,Chandler Dennis,dennich10,Right,Georgia tech,Kendall Smiley,smileke10,Left,Alabama state,,1,Top,0,3,2,Fastball,1,InPlay,,GroundBall,Error,0,0,,67.82279558459224,3.887359811426669,2.2392752455441145,1273.190918,86.96608210952743,9:00,1.5824211672905326,0.45532609033341775,5.620148232,-25.18597089,0.7583507774103602,-4.626801879,2.054297508026878,0.8716342016262971,64.28763638023806,-3.459858944,-0.456030264,0.377307951,,,,,,,,,,,,6.1112507105843905,-0.784659854,0.081184044,50.000000000000014,0.47492133540919496,-4.663103625,-101.7350907,10.886799864899864,6.251047014849982,20.426769076054068,-32.97665872,Georgia Tech,Alabama State,,,,070ec94b-b3cc-4cbe-bc14-f6031b6d43db,ba5910d2-4151-4489-a26e-5518d27c8be2,67.91534019399387,1.5785356376050028,0.45622266067074385,3.9532273329971463,2.2236183147978643,64.35823047537026,2.057305627895404,0.8711655161792522,-3.3950894,-0.465928882,0.3772259793463894,-4.541491946,-0.338504504,-67.71806865,,482.7486184641049,-1178.120913,37.91643591318437,0.020068075493980167,-0.925329341,0.37863291402337124,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.37985314,Reese Hunter,huntere10,Georgia tech,2022-11
10,4/10/2024,4:05:11 PM,2,1,Chandler Dennis,dennich10,Right,Georgia tech,Jaeda Gardner,gardnja10,Left,Alabama state,,1,Top,0,0,0,Curveball,1,BallCalled,,,,,,,67.06560241,2.959717720372615,0.2919168303948561,1187.4237923457706,128.09091138231437,10:15,1.6264497866226144,0.5113818698788397,5.606320815845181,-24.02316913,4.096933496778508,-3.994260667,1.3868935576384436,0.7484853932548929,61.853503340668794,-4.442639951,-0.58284226,0.3811733976509924,,,,,,,,,,,,4.488474386242824,3.670992206375965,-0.411851152,49.999999999999986,0.7543923977010648,-1.07082021,-100.7865881,8.688386878,4.502008342485865,20.177245136528825,-28.49198835,Georgia Tech,Alabama State,,,,070ec94b-b3cc-4cbe-bc14-f6031b6d43db,3f9edb43-10bf-43db-a60c-9630d5f68343,67.16968203593248,1.6237465962517272,0.5122372803745376,3.004451166006276,0.27726744283415694,61.93125771642516,1.3892813891589304,0.7479546319352881,-4.391141332,-0.594086722,0.38107633617907705,-3.900578969,3.0406605644037383,-66.59609716,,471.65707380860385,-1089.731557,39.721039518404744,-0.245043478,-0.917727575,0.31261764533128555,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.39368056015482,Reese Hunter,huntere10,Georgia tech,2022-11
