PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,4/12/24,6:02:27 PM,1,1,Sophia Voyles,voyleso10,,Georgia tech,Daisy Hess,hess-da10,Right,Louisville,,1,Top,0,0,0,Riseball,1,BallCalled,,,,,,,65.93887807627085,4.786194889069408,-1.217637081,1386.842319488525,119.03031045199043,10:00,1.7575614193441076,0.6265266784226696,5.1916785692591825,-26.48700742,4.026007837767214,-4.011988927,2.968858000922042,-0.263655627,59.881990381589496,-1.867106783,-2.067609781,0.39345218565945894,,,,,,,,,,,,4.149520192176582,2.794481425317707,-0.851235065,50,0.5192007329702922,1.5489789639811777,-98.80177816,11.753244163415639,3.9935046706078388,19.611873421724717,-29.48463633,Georgia Tech,Louisville,,,,e80b41a7-3e36-4812-bf56-4237d151153c,4e78b723-5755-4c5c-9c6f-a969a8fb6683,66.04667498085229,1.7546175457757687,0.6276043667930237,4.835041860230298,-1.236190789,59.96504736749051,2.971550536471509,-0.264453683,-1.808983799,-2.084458737,0.3933491309504961,-3.875159923,2.8238047981581977,-67.93675818,,520.9392481,-1285.283595,37.56297603495719,-0.182282696,-0.926769811,0.32843680627376487,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.80832280674082,Reese Hunter,huntere10,Georgia tech,2022-11
2,4/12/24,6:02:48 PM,1,2,Sophia Voyles,voyleso10,,Georgia tech,Daisy Hess,hess-da10,Right,Louisville,,1,Top,0,1,0,Riseball,1,Foul,,,,,,,64.28246728656862,4.904877548502782,-0.939465754,1608.7171427408853,122.73993758421248,10:00,1.8190796237445974,0.7731585879251782,5.564579482040511,-26.39935197,4.376512383580458,-4.117087939,2.643661553134776,-0.119236461,59.07224704456987,-2.59992272,-2.006389892,0.39931401878052153,,,,,,,,,,,,4.300306899,3.249771755986611,-0.942188382,49.99999999999999,0.5001007942874862,1.020010118432258,-96.38433857,11.916520395164277,3.939285379643935,18.639495131241553,-29.1971043,Georgia Tech,Louisville,,,,e80b41a7-3e36-4812-bf56-4237d151153c,80ab0adc-808d-4884-873d-3d8910002aaf,64.38807735697118,1.8161459922667005,0.7744572309706798,4.953622423996673,-0.961909928,59.15287160506226,2.6463057770738505,-0.120113178,-2.542391695,-2.025052465,0.3992088958904976,-3.970442701,3.192434012897146,-68.21673611,,596.9894602081681,-1493.845517,37.109659886574896,-0.20069897,-0.928594268,0.3121419692500582,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.43542189395949,Reese Hunter,huntere10,Georgia tech,2022-11
3,4/12/24,6:03:10 PM,1,3,Sophia Voyles,voyleso10,,Georgia tech,Daisy Hess,hess-da10,Right,Louisville,,1,Top,0,1,1,Curveball,4,StrikeCalled,,,,,,,64.84887034,3.555722563465482,-1.287336829,1540.681682880108,123.51380001447436,10:00,1.8282446604728868,0.7767484295501389,5.314073545471644,-24.60989987,5.775676543225696,-5.758224453,2.3650560823120257,-0.941676183,59.911896414661896,-2.687415044,-3.751852395,0.39807617380679805,,,,,,,,,,,,6.151386771522909,5.019161820835753,-1.002807791,50.00000000000001,0.8470597787139632,1.3965996070339333,-97.34605666,9.419774515,5.746113411145585,19.058054729947642,-27.48556646,Georgia Tech,Louisville,,,,e80b41a7-3e36-4812-bf56-4237d151153c,6399dc2a-111a-4e7e-b3c8-058e09438471,64.95577842115313,1.8254667329115266,0.7770656721397543,3.6005599761969322,-1.292779882,59.99588388153027,2.367414354257614,-0.941796639,-2.637050482,-3.754283302,0.3979696127268886,-5.723607683,4.6102218,-59.35799443,,785.2427945471528,-1325.554149,50.96723114662086,-0.281409357,-0.860368604,0.4249407477136471,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.68592783052836,Reese Hunter,huntere10,Georgia tech,2022-11
4,4/12/24,6:03:29 PM,1,4,Sophia Voyles,voyleso10,,Georgia tech,Daisy Hess,hess-da10,Right,Louisville,,1,Top,0,1,2,Curveball,4,BallCalled,,,,,,,63.571330286217545,6.317069815669374,-3.160109193,1589.6979874320652,109.14467376879428,9:45,1.660417117564164,0.811400591,5.999999999999997,-26.39706071,4.593277560183278,-6.621648976,3.4058284477520986,-1.704970266,58.246916058659814,-1.037275012,-5.005268198,0.4006680208668427,,,,,,,,,,,,6.579411681053663,3.047743047649412,-1.463136283,50.00000000000002,-0.044008516,4.298168567,-95.10459574,14.341819399418624,5.849120524185082,18.573523405666553,-29.46459511,Georgia Tech,Louisville,,,,e80b41a7-3e36-4812-bf56-4237d151153c,dc0f3610-b708-4e34-9036-76ba0eb3b397,63.67919951209744,1.6572812055737294,0.8114860144346452,6.370589844804326,-3.161731044,58.324787516932275,3.408514340442419,-1.704930505,-0.978518014,-5.004302998,0.4005700645813414,-6.610073126,3.3278364590862597,-56.56402211,,875.9313048896136,-1326.606211,55.100485237737395,-0.180704565,-0.834502039,0.5205306979509143,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
5,4/12/24,6:03:49 PM,1,5,Sophia Voyles,voyleso10,,Georgia tech,Daisy Hess,hess-da10,Right,Louisville,,1,Top,0,2,2,Riseball,2,InPlay,,Popup,Out,1,0,,65.04883594000151,6.547726220127757,0.2741216803761817,1939.7647705078125,124.90544003737526,10:15,1.5191187948358542,0.6030132598279669,5.190512382285839,-25.12476526,6.7988253216848165,-6.96459911,3.3379465169400024,0.12233009094497027,58.48765659343812,-0.792752448,-1.929605073,0.40017131,58.36903129561468,76.49894689,-44.45215785,2499.6962890624995,,,,55.46248587128944,,-64.84103622,4.782140973164505,7.705931133878456,5.081330428999797,-0.487620058,50.00000000000001,-0.083650545,-1.363961379,-97.21768512,14.364343347246447,7.1700762100298405,19.184168731768207,-27.44606464,Georgia Tech,Louisville,,,,e80b41a7-3e36-4812-bf56-4237d151153c,f29d8109-5fff-4b56-b2e5-48259ce9c7e9,65.16531015084178,1.5167624196747902,0.6028352193958694,6.585508017196253,0.27693175856740715,58.57606315041955,3.3402185351211346,0.12254104309970774,-0.743648613,-1.925029607,0.4000561336200775,-6.977051957,5.596147123370436,-52.96646995,,1168.2859539642272,-1548.481609,60.228228274213926,-0.344640221,-0.79828319,0.49393022381820934,-9.543187498,9.727452212,56.75603985673721,-0.14228218,2.147862512070552,3.218647603669373,-50.20085805,23.578829281850446,2.2753589127071274,-32.02319103,0.062245669,0.991454301,0.087986731,-0.096315651,,,1,1,1,24.03818489728643,high,high,,,37.80948899371416,Reese Hunter,huntere10,Georgia tech,2022-11
6,4/12/24,6:04:24 PM,2,1,Sophia Voyles,voyleso10,,Georgia tech,Riley Frizell,frizeri10,Right,Louisville,,1,Top,1,0,0,Curveball,4,StrikeCalled,,,,,,,66.22607206725434,3.5644226095915332,-2.155688133,1450.9613037109373,120.0174461894505,10:00,1.8503097243319475,0.8709715081063534,6.955784243322132,-23.4371307,4.327406415864587,-5.111684595,2.3668479434675573,0.004139165,59.88907366604404,-2.647915726,-1.856865409,0.37174174581703623,,,,,,,,,,,,5.557748230920179,4.3718471808333845,-1.333796127,50,0.7118787957930411,2.8733017210658045,-99.72082141,9.998393453323683,5.446289965263226,20.04403835900065,-27.88987793,Georgia Tech,Louisville,,,,e80b41a7-3e36-4812-bf56-4237d151153c,7334856e-ef28-4fe4-bbd0-e29d3bd18a27,66.32231849,1.848043533,0.8712026144305435,3.604443980993254,-2.160019991,59.963165103194264,2.369104355406028,0.003921002,-2.597207581,-1.861600231,0.3716541668948377,-5.065406401,3.303043296690525,-60.66561507,,710.8342282861311,-1264.91241,48.990571041978974,-0.245082032,-0.871775427,0.4241961844759124,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.04421713267787,Reese Hunter,huntere10,Georgia tech,2022-11
7,4/12/24,6:04:45 PM,2,2,Sophia Voyles,voyleso10,,Georgia tech,Riley Frizell,frizeri10,Right,Louisville,,1,Top,1,0,1,Curveball,4,BallCalled,,,,,,,63.297691297034596,3.356947034990834,0.14713395791236294,1745.3092922634555,118.51986788395531,10:00,1.8396257766067403,0.6123216969755471,5.537829551630282,-24.83933642,5.863558415415817,-6.859195457,2.543977380334325,-1.453368624,59.25833596048606,-2.268085324,-4.48757387,0.40489773158764736,,,,,,,,,,,,8.215616793141537,4.856704598528031,-0.515172088,49.99999999999998,0.8653572495785621,-1.216900614,-95.08698593,9.154284858732726,7.329966012783719,18.045539687849807,-27.84090205,Georgia Tech,Louisville,,,,e80b41a7-3e36-4812-bf56-4237d151153c,d0b9c576-0840-4cf8-9313-98ffbbf29574,63.39722352526321,1.8365447058790738,0.6123377681784535,3.4078389857906224,0.14671661551996082,59.34047260908477,2.546371009,-1.453193422,-2.216058445,-4.483723703,0.40479439611910445,-6.867470815,4.663409896583208,-55.97373977,,976.6276217394782,-1446.479524,55.95728081370094,-0.267175575,-0.828781197,0.49166954333299984,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.46217182436972,Reese Hunter,huntere10,Georgia tech,2022-11
8,4/12/24,6:05:04 PM,2,3,Sophia Voyles,voyleso10,,Georgia tech,Riley Frizell,frizeri10,Right,Louisville,,1,Top,1,1,1,Changeup,,Foul,,,,,,,52.98004728236171,6.838247002582455,1.3154602412432632,982.2464686802456,73.81548265,8:30,1.7145051667152715,0.5523563610871441,5.438393356053526,-47.24540328,1.2813234851325959,-2.41457065,1.9354438688374882,0.662824281,47.51549856,-7.179376832,-0.250524461,0.48776259517390225,,,,,,,,,,,,2.804461435765988,-1.347855601,-0.248374051,49.999999999999964,-0.177021428,-2.047147869,-79.107503,14.507466617344054,1.7332767262305682,12.413532247705636,-33.00708181,Georgia Tech,Louisville,,,,e80b41a7-3e36-4812-bf56-4237d151153c,1a2cb577-9627-438e-8464-1657a5f6edf6,53.06171631469002,1.7085841793506067,0.555978732,6.937839408,1.252625416938197,47.55691719503207,1.9407386778989664,0.6600464375690537,-7.06705137,-0.309609329,0.48765451347591454,-1.974842193,-0.725190699,-79.20270534,,184.00906504463975,-964.856875,18.733492143970327,0.052216163,-0.9822961,0.17991065874907639,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.561608019946476,Reese Hunter,huntere10,Georgia tech,2022-11
9,4/12/24,6:05:32 PM,2,4,Sophia Voyles,voyleso10,,Georgia tech,Riley Frizell,frizeri10,Right,Louisville,,1,Top,1,1,2,Fastball,1,InPlay,,GroundBall,Out,1,0,,64.88705620721474,4.568710995186964,1.8750439014507283,1214.1162567138672,46.92777913326895,7:30,1.7214351800418528,0.5569730359962235,5.410419694103577,-31.87573009,-2.734267936,-4.242358393,2.203972871873285,0.33791567213477336,61.05763061,-4.28365424,-1.012953651,0.39705213879793433,77.45993803030078,4.636303668691425,-38.62290451,1572.718469956342,,,,63.77644531794572,,-40.04418362,0.5940816624015952,5.526333511,-5.093743446,-0.112685923,49.99999999999996,0.4332273601694942,-3.771136485,-97.23033948,12.353811891403229,5.161964200949125,18.69185571488183,-36.9319458,Georgia Tech,Louisville,,,,e80b41a7-3e36-4812-bf56-4237d151153c,302cd941-5d9c-455f-861c-24eea4128daa,64.96166338947246,1.715783349732605,0.5584536282748658,4.662987170436369,1.8497992815572084,61.10772674662692,2.2081851916751334,0.33698471572361416,-4.193661568,-1.032679416,0.3969840674477551,-4.088090107,-4.094454046,-61.91685821,,571.5480239591496,-1071.172788,47.075230300111805,0.3214860137497629,-0.882265419,0.34388148211868547,-48.19166365,60.319183310163886,6.2611244190618285,-0.119216854,1.7114137802824392,2.243370865488641,-41.03237162,48.82396396168911,7.3225012077228975,-13.62408119,-0.177850741,-0.494871557,-0.287439187,0.8200493007419932,,,1,1,1,43.976555394154126,high,high,,,37.589581681896426,Reese Hunter,huntere10,Georgia tech,2022-11
10,4/12/24,6:06:06 PM,3,1,Sophia Voyles,voyleso10,,Georgia tech,Bailee Richardson,richaba10,Right,Louisville,,1,Top,2,0,0,Riseball,1,BallCalled,,,,,,,65.41420828,4.825021958538308,0.8194163505106828,1565.8272900390625,115.65567575905088,9:45,1.769201364314224,0.26241582370659355,5.586059829606136,-26.20609671,3.788925517903781,-4.295885288,3.1121918593323077,-0.423521439,59.757813302643925,-1.656072096,-1.899713023,0.39196796255001354,,,,,,,,,,,,5.365051196344627,2.177069223812469,-0.04168697,50.00000000000001,0.46603681921381745,-2.029338829,-98.08053722,11.98294715023025,5.094500595192438,19.15358692179922,-30.10676634,Georgia Tech,Louisville,,,,e80b41a7-3e36-4812-bf56-4237d151153c,22f06739-cfa7-4815-8f76-da53a3937c64,65.51637403276848,1.766106650878429,0.2635073473650444,4.877694933646139,0.8002307576089026,59.83832586794701,3.114870317208833,-0.424285648,-1.597598834,-1.916043361,0.39186992221903183,-4.162946056,2.6086599683975322,-67.53627721,,598.3000792007855,-1447.014899,38.20983853116136,-0.165434035,-0.92412165,0.3444281583609959,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.413941546393865,Reese Hunter,huntere10,Georgia tech,2022-11
