PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,4/21/23,18:01:37,1,1,Madison Inscoe,inscoma10,NA,North carolina state,Alex Brown,brownal10,Left,North carolina,NA,1,Top,0,0,0,Dropball,NA,BallCalled,NA,NA,NA,0,0,NA,64.98897053,3.768462825,0.495702836,965.3962097,190.53414991,06:15:00,1.250436617,1.118408587,6,-34.83471945,-5.464009763,-1.322175657,0.691401553,1.316089382,59.87751523,-5.968108689,0.125121415,0.390057599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.727465372,-7.777821828,-0.992777794,50,0.047502345,-1.041288314,-97.79018394,11.58479126,1.62057182,19.90308381,-39.47058883,North Carolina State,North Carolina,NA,Softball,NA,3748810e-3fc5-459b-8d85-b1e27f4cde91,95110c0c-7226-4b5e-ac4a-16885d6b48b9,65.0526122,1.244747569,1.119278941,3.870578699,0.479851275,59.91106357,0.696019612,1.315445993,-5.868016907,0.111149115,0.390006721,-1.222197378,-7.023243716,-34.38585457,NA,796.6960715,-545.2203329,82.52529516,0.811344234,-0.564763283,0.150874016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
2,4/21/23,18:01:57,1,2,Madison Inscoe,inscoma10,NA,North carolina state,Alex Brown,brownal10,Left,North carolina,NA,1,Top,0,1,0,Riseball,NA,InPlay,NA,GroundBall,Out,1,0,NA,63.85781886,4.618389521,-1.51239258,1458.901282,261.52369694,08:45:00,1.333478523,1.670069106,6,-29.41835265,1.030624857,-4.580924746,1.757412698,0.348841296,58.733505890000004,-3.598299672,-2.793221535,0.397153029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.802481823,-0.472003066,-1.967605254,50,-0.010489205,1.866865496,-95.8993996,12.02081724,4.345118977,18.76104247,-32.60110159,North Carolina State,North Carolina,NA,Softball,NA,3748810e-3fc5-459b-8d85-b1e27f4cde91,019930d0-9e61-4846-a1ca-69d059ec1462,63.941988189999996,1.329147951,1.671471706,4.693582005,-1.53760244,58.78978492,1.760877215,0.347931955,-3.521722339,-2.812848034,0.397080467,-4.42065701,-0.356313597,-69.61066304,NA,508.2777023,-1367.496518,34.8397598,0.051353929,-0.937346848,0.34459202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
3,4/21/23,18:02:32,2,1,Madison Inscoe,inscoma10,NA,North carolina state,Bri Stubbs,stubbbr10,Left,North carolina,NA,1,Top,1,0,0,Riseball,NA,BallCalled,NA,NA,NA,0,0,NA,64.19917447,8.031924488,-1.531983437,1303.435178,263.07925635,08:45:00,0.886038483,1.840918442,6,-29.44664021,1.071174153,-4.18153355,3.455078224,0.540797812,58.55709861,-0.155871872,-2.701009485,0.397601703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.331200994,-1.664768588,-2.146869776,50,-1.242883537,1.954696877,-95.7673288,17.78987353,3.909784362,18.64626585,-33.67683974,North Carolina State,North Carolina,NA,Softball,NA,3748810e-3fc5-459b-8d85-b1e27f4cde91,9f3d9381-928a-45bc-83b5-c5f4d97262b3,64.29421886,0.881826227,1.842146176,8.104226677,-1.554135348,58.62232723,3.458481252,0.540002853,-0.080318457,-2.718223106,0.397523713,-4.040597718,-0.294591597,-66.12937426,NA,527.4647718,-1191.941349,40.46728066,0.048761557,-0.914461546,0.401724272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
4,4/21/23,18:02:51,2,2,Madison Inscoe,inscoma10,NA,North carolina state,Bri Stubbs,stubbbr10,Left,North carolina,NA,1,Top,1,1,0,Dropball,NA,StrikeCalled,NA,NA,NA,0,0,NA,67.11205894,5.544653768,-0.313536455,1124.174532,200.96439313,06:45:00,1.159984541,1.721606981,6,-31.86394955,-4.240723652,-1.929477874,1.958983574,1.366094543,61.58866117,-3.354874957,-0.853687328,0.378275941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.140229622,-6.960825795,-1.773495482,50,-0.419940997,0.256733904,-100.6693004,14.63050586,2.134459239,20.62989515,-39.11610794,North Carolina State,North Carolina,NA,Softball,NA,3748810e-3fc5-459b-8d85-b1e27f4cde91,4086143f-bdb5-471c-99d0-1e0231da7f00,67.18868034,1.154791859,1.722990105,5.636562948,-0.338618851,61.63532233,1.963174039,1.365092657,-3.263121253,-0.875439005,0.378219574,-1.771163999,-5.632645823,-52.82857933,NA,679.228187,-895.7775661,60.42017212,0.564205354,-0.7968314,0.216175944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
5,4/21/23,18:03:10,2,3,Madison Inscoe,inscoma10,NA,North carolina state,Bri Stubbs,stubbbr10,Left,North carolina,NA,1,Top,1,1,1,Dropball,NA,BallCalled,NA,NA,NA,0,0,NA,66.71169369,6.608411818,-3.740070846,1067.762947,202.85223164,06:45:00,1.222407354,1.537267883,6,-33.00458968,-4.786973858,-2.472734564,2.603249534,-0.994855337,61.03201167,-2.584714341,-4.429285736,0.382324105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.516266556,-8.025800999,-2.362435331,50,-0.615706731,6.144260545,-99.69450672,16.54926868,1.48045991,20.48328339,-40.01032124,North Carolina State,North Carolina,NA,Softball,NA,3748810e-3fc5-459b-8d85-b1e27f4cde91,feeeace8-de88-4019-8f58-3eea63b93fb9,66.78944652,1.216658263,1.538187329,6.70770891,-3.756369725,61.07692441,2.607660761,-0.995479761,-2.488179214,-4.442756197,0.382269366,-2.369271386,-6.271835942,-40.01985,NA,817.7160359,-686.6281346,76.58217007,0.705711976,-0.64305297,0.297411306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
6,4/21/23,18:03:29,2,4,Madison Inscoe,inscoma10,NA,North carolina state,Bri Stubbs,stubbbr10,Left,North carolina,NA,1,Top,1,2,1,Riseball,NA,StrikeCalled,NA,NA,NA,0,0,NA,62.68259894,5.141512817,-0.496363189,1184.175212,294.7192969,09:45:00,0.859713614,1.548006474,6,-28.08656602,3.544724229,-4.247016,1.721002785,0.885816209,57.53222904,-2.705737482,-1.685089661,0.404790187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.780331466,2.273803808,-1.618267071,50,-0.590203965,0.210154954,-94.09058953,12.46733622,4.163417843,18.06134374,-30.19368579,North Carolina State,North Carolina,NA,Softball,NA,3748810e-3fc5-459b-8d85-b1e27f4cde91,532e4ae1-ccc6-4617-9a39-06edec44bc19,62.77938862,0.856359672,1.548818938,5.200088006,-0.51121325,57.60235436,1.723935595,0.885292066,-2.641280502,-1.696272418,0.404700179,-4.152375836,2.213247251,-63.94970224,NA,520.0423687,-1063.87352,43.91599854,-0.183644862,-0.898408875,0.39891861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
7,4/21/23,18:03:49,2,5,Madison Inscoe,inscoma10,NA,North carolina state,Bri Stubbs,stubbbr10,Left,North carolina,NA,1,Top,1,2,2,Riseball,NA,BallCalled,NA,NA,NA,0,0,NA,64.41346664,8.335871628,0.307419172,1461.874023,272.80299349,09:00:00,1.147354918,1.528721568,6,-28.74226856,1.602066287,-4.775734879,3.966041875,1.32166702,58.66537984,0.34801068,-1.029573647,0.396470002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6885559,-1.160302893,-1.411320385,50,-1.044252891,-1.210028994,-96.05031584,18.2546384,5.164480387,18.78218652,-33.22745605,North Carolina State,North Carolina,NA,Softball,NA,3748810e-3fc5-459b-8d85-b1e27f4cde91,14c08f7e-7f80-463a-a485-c84f29585a63,64.5111023,1.143257986,1.529846967,8.40604368,0.287096639,58.73346755,3.96940252,1.320952541,0.422085682,-1.044844679,0.396388876,-4.646354527,0.249912607,-65.00400843,NA,617.7219527,-1324.951037,42.25548459,-0.020663757,-0.906337356,0.422049294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
8,4/21/23,18:04:10,2,6,Madison Inscoe,inscoma10,NA,North carolina state,Bri Stubbs,stubbbr10,Left,North carolina,NA,1,Top,1,3,2,Riseball,NA,InPlay,NA,GroundBall,Out,1,0,NA,65.15530019,6.836810408,0.095654922,1152.16991,265.84167751,08:45:00,1.005431271,1.466037637,6,-28.48154178,0.939710031,-3.948856179,2.89821869,1.196372465,59.62029189,-1.100172519,-1.009241112,0.390393067,51.20130805,-34.19748783,-6.623336839,1280.327157,10.76331339,-109.4721475,24.83694556,8.583862578,NA,-11.67664797,0.050961161,4.646324467,-1.352048512,-1.404883569,50,-0.837740336,-0.746434839,-97.46724337,15.89589292,4.350267403,19.12956855,-33.43994753,North Carolina State,North Carolina,NA,Softball,NA,3748810e-3fc5-459b-8d85-b1e27f4cde91,c3929cd0-921d-4d28-8ab2-9e8696a50a2d,65.24818985,1.001492483,1.466953291,6.905354456,0.078999036,59.68590904,2.901514399,1.19576745,-1.027383726,-1.02227646,0.390316357,-3.842974993,-0.344001728,-65.61375793,NA,475.7145189,-1049.376575,41.28857341,0.029939468,-0.910782834,0.411798807,-4.884592514,42.06622717,-28.77754739,-1.311993027,5.283707919,2.598325857,-1.737272298,8.406222797,0.001225226,-0.019432505,0.008187432,-0.987903079,-0.111122252,0.108163538,NA,NA,1,0,1,23.91803077,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
9,4/21/23,18:04:52,3,1,Madison Inscoe,inscoma10,NA,North carolina state,Abby Settlemyre,settlab10,Left,North carolina,NA,1,Top,2,0,0,Riseball,NA,StrikeCalled,NA,NA,NA,0,0,NA,65.10599663,6.433146497,-0.486331312,NA,NA,NA,0.470372303,1.667822689,1.561155022,NA,NA,NA,1.996945096,1.328102973,59.26561982,-2.484128647,-0.486331312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina State,North Carolina,NA,Softball,NA,3748810e-3fc5-459b-8d85-b1e27f4cde91,e6d2198e-5a7f-40cd-9c9b-c17c9438e712,65.22676052,0.465729487,1.667822689,6.50643336,-0.486331312,59.35183386,2.001085767,1.328102973,-2.401570812,-0.486331312,0.440362286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,low,high,NA,NA,41.43884498,Amanda Hasler,hasleam10,North carolina state
10,4/21/23,18:05:13,3,2,Madison Inscoe,inscoma10,NA,North carolina state,Abby Settlemyre,settlab10,Left,North carolina,NA,1,Top,2,0,1,Changeup,NA,StrikeCalled,NA,NA,NA,0,0,NA,55.00242756,8.632986331,-1.525681817,909.409586,255.49030972,08:30:00,1.055685917,1.700657054,6,-41.69686563,0.069466169,-5.626407121,2.985292449,0.284046673,50.09896219,-2.973872482,-3.099460034,0.465141072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.009947461,-3.114371388,-1.990868389,50,-1.334019247,1.485997719,-81.95980988,17.61304033,3.964550794,13.87920281,-34.22849077,North Carolina State,North Carolina,NA,Softball,NA,3748810e-3fc5-459b-8d85-b1e27f4cde91,ca23712f-a86e-4407-ab61-d2984fdc0f21,55.09494417,1.05048657,1.696745278,8.722746078,-1.456002626,50.15431961,2.989715694,0.286988238,-2.877042293,-3.035360908,0.465037076,-6.063806873,-1.81340967,55.5980143,NA,513.8124073,750.3483226,56.49955919,0.141556109,0.825093923,0.546975216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
