PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,4/23/23,14:32:59,1,1,Madison Inscoe,inscoma10,NA,North carolina state,Alex Brown,brownal10,Left,North carolina,NA,1,Top,0,0,0,Dropball,NA,BallCalled,NA,LineDrive,NA,0,0,NA,65.9673913,7.471672311,-3.062165095,1044.963737,196.37190464,06:30:00,1.262996492,1.982740224,6,-33.18375851,-4.303389446,-1.354491458,3.171094138,-0.033693204,60.27355241,-1.759887627,-3.440088691,0.386787911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.480926546,-7.729195396,-2.664664129,50,-0.775651622,5.063150391,-98.42188815,17.87544688,0.458737088,19.63197281,-39.54662782,North Carolina State,North Carolina,NA,Softball,NA,1b6759f7-a85a-4627-8757-8dc824ca4367,f2ffe212-7375-477d-aa05-a816b8548ad6,66.04756087,1.257701095,1.984228843,7.565528978,-3.089266292,60.32252007,3.175468204,-0.034804904,-1.664746551,-3.464010575,0.386730989,-1.183138968,-5.733217348,-48.47605706,NA,692.7409038,-782.3421575,66.29329606,0.636052559,-0.748678763,0.186861588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
4,4/23/23,14:34:05,1,4,Madison Inscoe,inscoma10,NA,North carolina state,Alex Brown,brownal10,Left,North carolina,NA,1,Top,0,1,2,Riseball,NA,StrikeSwinging,Strikeout,NA,StrikeoutSwinging,1,0,NA,62.13077741,8.946482453,-0.304055847,1275.99131,265.26638660000003,08:45:00,0.951494367,1.300642268,6,-31.66908521,1.055139751,-4.843269397,3.914263388,0.708201925,56.50240621,0.152779702,-1.659686366,0.411724023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.546446957,-2.0288936889999998,-1.321314495,50,-1.411017769,-0.187465483,-92.49953988,18.99768517,4.669295567,17.4391377,-33.88208076,North Carolina State,North Carolina,NA,Softball,NA,1b6759f7-a85a-4627-8757-8dc824ca4367,39a959df-9b93-4123-b5ba-0a8869b541ea,62.22523495,0.946891453,1.301674417,9.025199167,-0.322733044,56.56596228,3.918052178,0.707545032,0.23568161,-1.673638496,0.411642011,-4.7243409,-0.423518271,-62.10413757,NA,596.9929298,-1127.720384,46.7865984,0.038609792,-0.883799424,0.466270161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
5,4/23/23,14:34:33,2,1,Madison Inscoe,inscoma10,NA,North carolina state,Bri Stubbs,stubbbr10,Left,North carolina,NA,1,Top,1,0,0,Dropball,NA,InPlay,NA,GroundBall,Out,1,0,NA,65.38426818,5.935398931,-3.328235192,953.7250997,208.50150612,07:00:00,1.184561707,1.713429907,6,-32.72491879,-3.471353668,-2.603469005,2.163135579,-0.572842103,59.96616907,-3.186478092,-4.054300299,0.389278952,63.07570719,-19.03169679,12.82026308,1339.307576,-23.49923825,-107.4606244,10.53530136,7.371595145,NA,15.52594487,0.06117564,1.83056011,-6.220678238,-2.443472663,50,-0.495574142,5.305404594,-97.86037449,15.03777564,1.723944208,19.59343126,-38.03242165,North Carolina State,North Carolina,NA,Softball,NA,1b6759f7-a85a-4627-8757-8dc824ca4367,cb9ba376-c277-4da7-8726-d6b62a56320a,65.46209527,1.17936075,1.71435943,6.027508422,-3.345114063,60.01330991,2.167318978,-0.573493392,-3.094767116,-4.068398961,0.389220067,-2.496220448,-4.926764164,-47.33554775,NA,646.342909,-701.3076428,67.77035743,0.595568998,-0.735335206,0.323387853,13.23103091,58.1414162,-20.56843167,0.660966166,1.929599179,2.059045089,1.973189542,7.102600792,-0.010824833,-0.059824496,-0.004437507,-0.994451748,-0.103941087,-0.016185506,NA,NA,1,0,1,33.74629572,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
6,4/23/23,14:35:04,3,1,Madison Inscoe,inscoma10,NA,North carolina state,Abby Settlemyre,settlab10,Left,North carolina,NA,1,Top,2,0,0,Dropball,NA,BallCalled,NA,NA,NA,0,0,NA,65.25286023,7.711689049,-0.790397891,1015.802352,210.36821017,07:00:00,1.252836633,2.008892856,6,-33.51288076,-4.040592342,-2.78653222,3.279002712,1.285776981,59.57393542,-1.620724487,-1.570075552,0.390731524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.970319963,-7.508417905,-2.160424598,50,-0.842226903,0.932807237,-97.43306289,18.1424203,2.776382061,19.25170655,-39.19222845,North Carolina State,North Carolina,NA,Softball,NA,1b6759f7-a85a-4627-8757-8dc824ca4367,9434b659-0f31-444f-9002-22a553d96054,65.3330126,1.24721771,2.009797593,7.809245519,-0.80669119,59.62144033,3.28340657,1.285157056,-1.524005839,-1.583500403,0.390672863,-2.683377851,-5.514210672,-45.98134438,NA,705.8734838,-730.4772713,69.48925469,0.599549331,-0.719113585,0.351306493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
7,4/23/23,14:35:25,3,2,Madison Inscoe,inscoma10,NA,North carolina state,Abby Settlemyre,settlab10,Left,North carolina,NA,1,Top,2,1,0,Dropball,NA,StrikeCalled,NA,NA,NA,0,0,NA,66.10340986,6.301524051,-3.892388932,1165.427445,202.18120558,06:45:00,1.147825878,1.972870418,6,-33.21826392,-4.506794959,-2.319525593,2.318116559,-0.641502936,60.53635565,-2.951956465,-4.538647788,0.385655233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.283328606,-7.581813981,-2.834274512,50,-0.622048148,6.377362125,-98.82445196,15.90227383,1.231459025,20.10296058,-39.44942178,North Carolina State,North Carolina,NA,Softball,NA,1b6759f7-a85a-4627-8757-8dc824ca4367,1233ba0a-4e65-4068-960b-21d7b2baef35,66.17974492,1.142169672,1.974273946,6.400026923,-3.917506105,60.58064904,2.322558697,-0.642494939,-2.855133369,-4.559983152,0.385600697,-2.160212647,-5.997775686,-47.84078703,NA,782.2268113,-863.9110748,67.11930585,0.621521065,-0.74128259,0.253400253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
9,4/23/23,14:36:11,3,4,Madison Inscoe,inscoma10,NA,North carolina state,Abby Settlemyre,settlab10,Left,North carolina,NA,1,Top,2,1,2,Riseball,NA,BallCalled,NA,NA,NA,0,0,NA,62.91993134,10.55687653,-1.579343961,1268.544879,262.40791104,08:45:00,0.873320449,2.277953879,6,-31.17768069,1.055547755,-3.942571846,4.909224484,0.968311951,57.01075457,1.9508218960000001,-2.681524834,0.408623581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.035321036,-2.616390834,-2.597041492,50,-1.86149657,2.012687964,-93.18125274,21.77304428,3.448822333,17.64528439,-34.41017084,North Carolina State,North Carolina,NA,Softball,NA,1b6759f7-a85a-4627-8757-8dc824ca4367,0323241b-697a-473a-9eee-4db7f2f3ac4f,63.02016773,0.868872507,2.279420481,10.63197214,-1.605649987,57.07946221,4.912868347,0.967340403,2.030948342,-2.702399987,0.40854034,-3.775630989,-0.377467119,-65.14792151,NA,533.1402565,-1151.07236,42.0277016,0.055526801,-0.907395851,0.41659278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
10,4/23/23,14:36:32,3,5,Madison Inscoe,inscoma10,NA,North carolina state,Abby Settlemyre,settlab10,Left,North carolina,NA,1,Top,2,2,2,Changeup,NA,InPlay,NA,GroundBall,Out,1,0,NA,54.21313365,7.170547302,-1.443207398,875.8713235,249.42485597,08:15:00,1.024838666,1.90350928,6,-43.34975775,-0.638776562,-5.907701755,1.890417369,0.514712519,49.64127747,-4.92025931,-3.096310776,0.470371822,29.57388112,-20.81893068,51.29028072,2854.889262,NA,NA,NA,7.944634139,NA,23.77465478,0.104274439,6.364382557,-3.41376199,-2.172241144,50,-1.042570615,1.319579173,-81.08865723,15.51276086,4.105706038,13.6757436,-34.37629043,North Carolina State,North Carolina,NA,Softball,NA,1b6759f7-a85a-4627-8757-8dc824ca4367,2e7d34f2-4462-448a-a820-119da83a2369,54.2952047,1.01919505,1.899743135,7.268653219,-1.376137774,49.68580673,1.895050391,0.517495204,-4.818859175,-3.035275797,0.470278239,-6.329258638,-2.621225798,47.57727809,NA,590.8585731,646.5575937,67.45951799,0.237076718,0.738187878,0.631564159,21.57046816,17.28721209,-10.51102497,-0.436621438,4.666869598,1.993277383,3.202803918,7.270437309,-0.037457052,-0.052912578,0.008711902,-0.877368449,0.294635881,-0.378700808,NA,NA,1,0,1,7.306593621,medium,high,NA,NA,37,Amanda Hasler,hasleam10,North carolina state
11,4/23/23,14:39:02,1,1,Makenna raye Dark,dark-ma10,Right,North carolina,Hannah Goodwin,goodwha10,Right,North carolina state,NA,1,Bottom,0,0,0,Dropball,NA,BallCalled,NA,NA,NA,0,0,NA,66.05138493,3.984223743,-2.428293293,1428.384264,214.46463649,07:15:00,1.358422402,1.503167408,6,-31.28432201,-2.822655242,-3.205936908,1.232006499,-0.272980232,60.84822546,-4.749609608,-3.324001832,0.383973884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.857836495,-4.753032259,-2.022506593,50,0.140349753,3.727246504,-99.24040203,11.61449261,2.766350744,20.22658356,-36.77492663,North Carolina State,North Carolina,NA,Softball,NA,1b6759f7-a85a-4627-8757-8dc824ca4367,1f5ad0f7-313b-4080-9a6a-73773a5cc0de,66.12481229,1.35339945,1.505011955,4.07408049,-2.462033102,60.89357717,1.236181243,-0.274325061,-4.659148844,-3.352776786,0.383916936,-2.992303102,-4.247210056,-64.12515052,NA,623.3567028,-1285.187934,43.6406868,0.359806824,-0.899749435,0.246961543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Isabela Emerling,emerlis10,North carolina
12,4/23/23,14:39:20,1,2,Makenna raye Dark,dark-ma10,Right,North carolina,Hannah Goodwin,goodwha10,Right,North carolina state,NA,1,Bottom,0,1,0,Dropball,NA,StrikeSwinging,NA,NA,NA,0,0,NA,66.52226926,5.662884686,-3.796795241,1385.053246,203.01104102,06:45:00,1.363267525,2.00256465,6,-30.99929251,-2.766113015,-1.730505278,2.316164661,-0.503087441,61.07996385,-2.971494642,-4.278740651,0.382429528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.658338147,-5.271429297,-2.84801405,50,-0.238167627,6.34407161,-99.52919006,14.56738248,0.64234868,20.03662654,-37.3174484,North Carolina State,North Carolina,NA,Softball,NA,1b6759f7-a85a-4627-8757-8dc824ca4367,023ad8e8-d281-4caf-a81f-301c093d3cb1,66.60443269,1.358295597,2.005049561,5.748520928,-3.840662693,61.13107999,2.320049335,-0.504817447,-2.886208579,-4.316151477,0.382369654,-1.452703089,-4.122330755,-65.94553517,NA,564.5544307,-1264.773018,40.76048574,0.375171552,-0.913158409,0.159336205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,medium,high,NA,NA,37,Isabela Emerling,emerlis10,North carolina
13,4/23/23,14:39:42,1,3,Makenna raye Dark,dark-ma10,Right,North carolina,Hannah Goodwin,goodwha10,Right,North carolina state,NA,1,Bottom,0,1,1,Dropball,NA,InPlay,NA,LineDrive,Single,0,0,NA,66.57291237,5.962030317,-3.77922083,1524.055957,200.80088318,06:45:00,1.421243592,1.661615439,6,-32.04119768,-3.799991734,-1.88149044,2.475361452,-0.845656381,61.04685016,-2.964087181,-4.303433568,0.382483884,60.14634055,12.88676698,32.53587525,1557.133297,NA,NA,NA,105.4256742,NA,37.8731757,1.404199891,0.827509229,-6.608360076,-2.50157153,50,-0.258967426,6.294037698,-99.57793291,15.25247339,0.807232263,20.22949346,-38.62048096,North Carolina State,North Carolina,NA,Softball,NA,1b6759f7-a85a-4627-8757-8dc824ca4367,898dd95e-1f97-4d0c-81b8-ba7f9193c8b0,66.65189797,1.415825126,1.664265819,6.055349796,-3.826038333,61.09388261,2.479562354,-0.84750659800000006,-2.872026189,-4.343389656,0.382428351,-1.585046158,-5.223145155,-62.43571896,NA,705.2469349,-1351.063774,46.27434653,0.43258194,-0.886492236,0.164330094,31.53359418,49.42950197,13.41413636,0.974301047,0.1304159,2.414529347,64.72247712,83.220032,10.10288666,-0.949615216,0.054629338,0.311835657,-0.034277577,-0.949517546,NA,NA,1,0,1,30.43208889,medium,high,NA,NA,37,Isabela Emerling,emerlis10,North carolina
