PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,4/23/24,6:02:03 PM,1,1,Jaidyn Studebaker,studeja10,,Georgia tech,Stella Henry,henryst10,Left,Kennesaw state,,1,Top,0,0,0,Fastball,1,InPlay,,Bunt,Out,1,0,,66.13281186614772,4.939742855946991,-0.349806548,824.2756286621096,323.0833939169237,4:45,1.8316631189675376,0.5145688448259095,4.677892955909902,-34.91594544,-4.808430199,4.593948609213522,2.3538663875009633,0.3603241934156559,61.25090943610673,-4.472497956,0.45004951223101153,0.39787166563095244,,,,,,,,,,,,-5.155066924,-7.0732701,-0.620550146,50.000000000000014,0.5562031403146855,1.1850930883448498,-98.95906839,13.010519379619295,-4.98376997,19.48165047032093,-39.01228304,Georgia Tech,Kennesaw State,,,,06aaf89a-9629-4fc7-8809-5ad88769d6f9,281c6e3d-812c-4a01-b24a-19ff72166cd8,66.20336482432675,1.8260131186599007,0.5181915338212743,5.032781639846596,-0.410532703,61.292667765155784,2.3583017613368358,0.3576545178358266,-4.379962581,0.3944074198171404,0.3978109398006514,4.997261805461448,-6.219833404,-44.65197561,,586.3804447588828,-579.2998239,71.13887932,0.5687628841859889,-0.70279868,-0.427297082,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.32210842,Reese Hunter,huntere10,Georgia tech,2022-11
2,4/23/24,6:02:34 PM,2,1,Jaidyn Studebaker,studeja10,,Georgia tech,Madison Miller,millema13,Left,Kennesaw state,,1,Top,1,0,0,Fastball,1,StrikeCalled,,,,,,,64.65137392594328,5.310688041657062,0.42095402165797857,956.5014801025391,348.3249945982473,5:30,2.3954145457919283,0.2202027200469516,5.999999999999997,-37.39133525,-7.717354246,1.8393313597138385,2.587220215475164,0.6349170031178152,59.63482191,-5.115032075,0.9351960641131782,0.3920662236658601,,,,,,,,,,,,-2.00100929,-10.8814675,-0.143097953,49.99999999999997,0.8127429475327066,-0.441303451,-96.94503773,14.520243893923906,-1.857349196,18.639573983233696,-42.27429501,Georgia Tech,Kennesaw State,,,,06aaf89a-9629-4fc7-8809-5ad88769d6f9,a6cd7196-4a32-4543-bd86-513c57db7ee5,64.69937736900407,2.3889089703715345,0.2226110615166801,5.426637675954082,0.37737025902860183,59.65159535587756,2.5922229538724384,0.6331390564781223,-5.007497771,0.8968553422302539,0.39203356740774964,2.1139221087364164,-9.195864584,-34.12473514,,791.8093538253071,-536.5939141,82.78182211912765,0.8106916398277104,-0.560996428,-0.16751738,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
3,4/23/24,6:02:51 PM,2,2,Jaidyn Studebaker,studeja10,,Georgia tech,Madison Miller,millema13,Left,Kennesaw state,,1,Top,1,0,1,Dropball,1,BallCalled,,,,,,,65.35082353473807,2.4578387933098402,1.151070540099996,,,,1.8990339026868273,0.5388518997902234,5.999999999999997,,,,1.1143432123677655,1.2538162460863302,60.48111491131681,-5.283980348,1.1510705400999381,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Kennesaw State,,,,06aaf89a-9629-4fc7-8809-5ad88769d6f9,45a5af6f-8394-429b-a5be-52e7fd545885,65.43676733118848,1.895991342437054,0.5388518997902288,2.5139451418773255,1.1510705400999797,60.552472147207524,1.1178199130714341,1.2538162460863427,-5.214956194,1.1510705400999799,0.3865847811681846,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,high,low,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
4,4/23/24,6:03:09 PM,2,3,Jaidyn Studebaker,studeja10,,Georgia tech,Madison Miller,millema13,Left,Kennesaw state,,1,Top,1,1,1,Fastball,1,Foul,,,,,,,65.43305345938111,3.6569212863151463,1.8137131891339031,897.6876780192057,356.7973089893851,6:00,1.9408499997102997,0.4970517999644885,5.999999999999997,-33.2832738,-5.113238884,0.27826629957492316,1.8212309903333244,1.2869494140049766,61.210098827392216,-5.074563264,1.6124387784202279,0.3868316657491119,,,,,,,,,,,,0.4008509323847299,-7.388872366,-0.087459059,50,0.7685939468873697,-3.082432815,-98.31502802,11.376226544440195,0.38223260679771776,19.328792898147814,-39.21973095,Georgia Tech,Kennesaw State,,,,06aaf89a-9629-4fc7-8809-5ad88769d6f9,ca528266-c24a-4fec-90c6-4b00160d963e,65.49159199812533,1.9358867535275368,0.4991731865981705,3.748625149422048,1.7740917755542092,61.246275892489074,1.8254857424448514,1.285259068858701,-4.98262496,1.5759060713396875,0.3867793757513059,0.5438756092884315,-6.453662697,-54.66708662,,519.1564380408807,-732.3385557,57.83263497460791,0.5774230857124498,-0.815805512,-0.032310167,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
5,4/23/24,6:03:34 PM,2,4,Jaidyn Studebaker,studeja10,,Georgia tech,Madison Miller,millema13,Left,Kennesaw state,,1,Top,1,1,2,Riseball,2,BallCalled,,,,,,,65.27442991598001,4.8469024135718755,1.4137210201794683,1024.6701904296874,188.54091351278532,12:15,2.010418595,0.5192241842251795,5.999999999999997,-22.29370434,6.866358426927476,1.0930644271740013,3.0252983208034006,1.773307704,60.02753772973282,-2.195237705,3.2885817289535098,0.38840882704998186,,,,,,,,,,,,-0.956586843,6.567950022339074,-0.210889667,49.99999999999999,0.6877605722645285,-2.231823612,-97.96229601,11.580570640739714,-0.904806257,19.31658364767854,-25.96162641,Georgia Tech,Kennesaw State,,,,06aaf89a-9629-4fc7-8809-5ad88769d6f9,9c22f36e-bf78-4b6d-ab3d-1462c2f09a44,65.38420402,2.009309374845508,0.5210699571979223,4.866788414604896,1.3789779150539998,60.11695946670106,3.0267791211571664,1.7717558213695142,-2.162620938,3.2553013970320386,0.38830018720157944,1.3298800980546668,5.898891954631262,-55.96806776,,573.4616425387363,-849.1706211,55.96548508,-0.553448314,-0.828725798,-0.083117479,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
6,4/23/24,6:03:54 PM,2,5,Jaidyn Studebaker,studeja10,,Georgia tech,Madison Miller,millema13,Left,Kennesaw state,,1,Top,1,2,2,Fastball,1,BallCalled,,,,,,,64.84888368175945,1.917707701037621,1.2822237235199903,,,,1.8135273862384456,0.5802596887732259,5.242775873716254,,,,0.19402968063258658,1.3607762659355838,60.95030882872634,-7.919936661,1.5743165192209339,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Kennesaw State,,,,06aaf89a-9629-4fc7-8809-5ad88769d6f9,2de17773-967a-402f-ac5e-abdb87f61ac4,64.93673689511026,1.8101994244231778,0.5802596887732281,1.9773680970467145,1.2822237235199943,61.013124437254426,0.19709568113789222,1.3607762659355833,-7.85517166,1.5743165192209347,0.39807359525222147,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,37.757225502283745,Reese Hunter,huntere10,Georgia tech,2022-11
7,4/23/24,6:04:16 PM,2,6,Jaidyn Studebaker,studeja10,,Georgia tech,Madison Miller,millema13,Left,Kennesaw state,,1,Top,1,3,2,Fastball,1,InPlay,,GroundBall,Out,1,0,,64.87683177253409,4.660556578620099,0.8125339690956511,,,,1.795990494200462,0.4679961260295805,4.274652076409242,,,,2.334248433428421,0.7650959439136317,60.834309377172204,-4.26990188,0.8587369284180819,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Kennesaw State,,,,06aaf89a-9629-4fc7-8809-5ad88769d6f9,305c896b-b528-4b40-821e-cfd28e65cae6,64.98109782905732,1.7918562791721515,0.46799612602958285,4.726047278,0.8125339690956351,60.909222451423624,2.337542152479393,0.7650959439136316,-4.20114603,0.8587369284180866,0.409951883,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,38.72534929959076,Reese Hunter,huntere10,Georgia tech,2022-11
8,4/23/24,6:04:44 PM,3,1,Jaidyn Studebaker,studeja10,,Georgia tech,Ava Guzowski,guzowav10,Right,Kennesaw state,,1,Top,2,0,0,Riseball,1,InPlay,,FlyBall,HomeRun,0,1,,62.60299908368641,2.182220234003941,0.761782027,1012.9808959960939,193.52653383599966,12:30,1.903598280472941,0.3879687210451423,5.999999999999997,-25.178698,6.059829930423895,0.9332647580492427,1.2005146034220247,0.46258992540657445,58.12515305874824,-4.991880577,0.8004595660523748,0.4034309084286069,,,,,,,,,,,,-0.87517759,6.263041522,-0.224898035,49.99999999999997,1.1538625195389753,-1.112572829,-94.19784331,7.227370378202978,-0.767209057,17.555638834619327,-26.68366428,Georgia Tech,Kennesaw State,,,,06aaf89a-9629-4fc7-8809-5ad88769d6f9,58b6262b-73fa-4a40-9b5b-4d0d31c66cae,62.70088063204695,1.9017951152899684,0.39009916598461297,2.215002185052876,0.7217611239293003,58.20508244165585,1.2024696503395667,0.460845481,-4.948717163,0.7625454189418609,0.40332532002388904,1.1988871921698296,5.010662815032026,-63.33485059,,454.6010149320926,-905.2448359,44.877550675333325,-0.43632724,-0.893644529,-0.104966637,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
9,4/23/24,6:05:27 PM,4,1,Jaidyn Studebaker,studeja10,,Georgia tech,Kiera Cooper,coopeki10,Right,Kennesaw state,,1,Top,2,0,0,Changeup,,StrikeSwinging,,,,,,,52.39064575541638,2.6227189006436715,-1.488790165,838.0898912217881,43.86672356271129,7:30,1.8657052324904813,0.2725311730620905,6.314490436731767,-49.82053009,-5.532750144,-6.412085826,-0.669897543,-1.178451534,49.12194108047548,-11.28919298,-3.29788375,0.4789756965867603,,,,,,,,,,,,7.0662510566472365,-7.541294658,-0.550431603,49.99999999999997,0.7261293875940329,1.2550523718898718,-78.94686215,9.808415029365447,4.321880655631132,12.941509829701074,-36.78647777,Georgia Tech,Kennesaw State,,,,06aaf89a-9629-4fc7-8809-5ad88769d6f9,5eb1c471-c77f-4b37-afe4-9ac98ece9b5d,52.41147907537699,1.8591090645415014,0.2688468920159691,2.747001514225143,-1.418920717,49.109229569915804,-0.663293688,-1.174872792,-11.16204317,-3.22626242,0.478952547,-6.841365949,-7.561564039,28.760255541078145,,734.7036636,403.2433415666336,87.66406458979978,0.6320173228416008,0.48114569306972016,0.6074972639186077,,,,,,,,,,,,,,,,,1,1,,,high,medium,,,36.685510939268234,Reese Hunter,huntere10,Georgia tech,2022-11
10,4/23/24,6:05:51 PM,4,2,Jaidyn Studebaker,studeja10,,Georgia tech,Kiera Cooper,coopeki10,Right,Kennesaw state,,1,Top,2,0,1,Changeup,,StrikeSwinging,,,,,,,51.759022754942634,3.915507612690597,0.7452154509659633,982.4951172,48.46416276765976,7:30,1.806107256008569,0.13950002212601953,5.999999999999997,-50.94885357,-4.735034719,-6.987215816,-0.003920462,0.020071441893623466,48.31619294990872,-10.2276121,-1.210464561,0.48927998597623423,,,,,,,,,,,,8.428474268949696,-6.940094493,0.099339674,49.999999999999964,0.4076762469900659,-1.835822127,-77.80881391,11.332621667210722,5.024202504100279,12.278166825345323,-36.31103085,Georgia Tech,Kennesaw State,,,,06aaf89a-9629-4fc7-8809-5ad88769d6f9,7dae9824-8465-4969-b715-d57eb0ecc003,51.787401249896995,1.7994906147371492,0.13474322594097188,4.038400137969156,0.8346122029978041,48.309879862555945,0.002732503,0.024676094029486707,-10.09931362,-1.119091713,0.48925217007556004,-7.541239507,-6.733903989,36.64984620883021,,788.2543234379493,586.4740206340432,80.2298464,0.5319947837128114,0.5969230893613898,0.6005533910399752,,,,,,,,,,,,,,,,,1,0,,,high,medium,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
