PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,04/24/2024,4:02:01 PM,1,1,Madison Inscoe,,,Nc state 2024 roster,Tyler Suttles,suttlty10,Left,North carolina central,,1,Top,0,0,0,Curveball,,StrikeCalled,,,,,,,62.332680478383914,6.635768545166427,-1.3107847367428644,1281.082240054482,52.23085049093987,7:45,1.2353394450592803,1.9631922053548314,6.0000000000000036,-33.38343187867953,-1.2186689807816222,-3.318856277857237,2.594115257199755,0.8724207417622857,57.07987545042445,-2.6747860744805343,-2.23902926354967,0.4081893783740611,,,,,,,,,,,,3.403369285528347,-3.827460666889758,-2.2275335473543567,49.999999999999964,-0.610558934910329,1.665563034971338,-93.2845210319237,15.572049487184994,2.9149236211439153,17.69511870059958,-35.45219972808315,NC State 2024 Roster,North Carolina Central,,Softball,,6823ad99-fd01-4a0e-a85b-012c837925c8,01c62154-0c1f-47d2-b987-7a318b157c3b,62.42340462760673,1.2300832832645607,1.9653529351902659,6.726807968727598,-1.3493583303201908,57.1375676061314,2.5983052797773927,0.8709316502007209,-2.582455003786449,-2.2714434801599452,0.4081117128583653,-3.075027301048152,-2.6647658169018618,-68.58304760365964,,467.79004272155186,-1192.6207199749545,36.51522346462765,0.2236489926670465,-0.9309478210581035,0.288647332477168,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
2,04/24/2024,4:02:16 PM,1,2,Madison Inscoe,,,Nc state 2024 roster,Tyler Suttles,suttlty10,Left,North carolina central,,1,Top,0,0,1,Riseball,,InPlay,,Popup,Out,1,0,,62.793562933861985,8.590037419155387,-2.8582499618397668,1184.174008882963,57.86146797918458,8:00,0.9426809493573612,1.8397226018115074,6.0000000000000036,-33.24883538630834,-1.18308896886888,-4.272210208183985,3.553784382324677,-0.292874542936309,57.190965025976794,-0.6438953869296912,-4.05029054244007,0.40756060599442634,50.32445578663066,62.889928405224445,13.621392552302668,2306.7342435396636,,,,98.11382031982386,,10.859804388023099,4.13115306018532,3.9505116943354515,-4.528521191807228,-2.446177512703896,50.000000000000014,-1.3550557447645801,4.062419387410981,-93.47100827838231,18.840414421348378,3.3941430606584055,17.87592676661179,-36.06479842247513,NC State 2024 Roster,North Carolina Central,,Softball,,6823ad99-fd01-4a0e-a85b-012c837925c8,4d869c1d-e328-445f-9d94-5d34e642ed13,62.890417077510726,0.9373013910709463,1.8412796573291181,8.682045494626319,-2.885956962167636,57.25323168208883,3.5580721489946847,-0.29392503553198324,-0.5501274532383034,-4.072885453159127,0.40748152245779573,-4.096493092114574,-2.6501085121939756,-61.68145540805835,,561.7403603200761,-1042.4566422165572,47.4373154710572,0.2523514132234292,-0.8803238665911198,0.4016822801097881,5.4008182620967,22.287892952390717,44.79544441193902,0.20094843127849848,2.928103013012414,3.63829237609859,18.485282226706794,96.35671268131598,-6.737119761785492,-9.7186802605034,0.29470096380879784,0.9440678255254502,-0.29047267283551936,0.15608192446096233,,,1.0,0,1.0,20.40461566500432,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
3,04/24/2024,4:02:48 PM,2,1,Madison Inscoe,,,Nc state 2024 roster,Ivory Jones,jonesiv10,Right,North carolina central,,1,Top,1,0,0,Curveball,,Foul,,,,,,,62.28753552301771,6.811869801720046,-3.321034566230838,1191.649653682002,34.20806862389595,7:15,1.270840390893552,1.9766774977240467,6.0000000000000036,-34.13417453861623,-1.8023856227310446,-2.1988972508313505,2.6840082867625488,-0.2713931850356714,57.01882747076887,-2.693156540356005,-3.934229350531966,0.40924783427332256,,,,,,,,,,,,1.3666873570721223,-4.582233540093599,-2.709103816143694,49.99999999999999,-0.625202693881286,5.089993112233111,-93.05581178367663,15.944360109479886,1.1645113678655437,17.640762781617962,-36.078426852711026,NC State 2024 Roster,North Carolina Central,,Softball,,6823ad99-fd01-4a0e-a85b-012c837925c8,eb0911d8-0db8-469d-9057-db58f34d11cd,62.37712733036059,1.2653940831721513,1.9792833730316814,6.9054710100754155,-3.3671218431089764,57.074268867958786,2.68826225196286,-0.2731832385493041,-2.599437742481282,-3.973167260187553,0.4091738458060525,-1.907007702104043,-3.2709880722226123,-68.23741964857349,,441.81764152473005,-1106.7186041437817,37.07613560408347,0.30662016466949465,-0.9287281716771391,0.2084419769415233,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
4,04/24/2024,4:03:18 PM,2,2,Madison Inscoe,,,Nc state 2024 roster,Ivory Jones,jonesiv10,Right,North carolina central,,1,Top,1,0,1,Riseball,,Foul,,,,,,,61.55075425285439,8.1090490772801,-2.198081936994766,1097.7750372635692,60.93091227768251,8:00,1.0076385558672931,2.2527258490595408,6.0000000000000036,-34.00690508645313,-0.7535641975535086,-4.1040212284933,-0.1682968983189052,0.34405628443595854,40.70452366836076,-56.11971890545397,-8.291366615477099,1.0029186047283591,,,,,,,,,,,,31.35645501562978,25.90940308848228,-2.7660296409488727,50.0,40.64497889965871,-1.177104340432353,-39.725768839654805,-11.474634222999706,4.468938257020245,5.079830769777884,-28.481427999122207,NC State 2024 Roster,North Carolina Central,,Softball,,6823ad99-fd01-4a0e-a85b-012c837925c8,bf69a368-ffd4-4b9f-bcfb-8b32d1f41a4b,61.645695151168084,1.0023920545232778,2.254350954273121,8.19976441981287,-2.2273201680533075,40.37428318290691,-0.15159747407635493,0.32383634045678705,-55.955873143714584,-8.792537530009545,1.0036937163124158,-3.918822151055021,-2.242473123052129,-63.58753251922437,,488.32334158867513,-983.1837806324415,44.48300653710635,0.21612686647465582,-0.8956149914678603,0.38879681666118476,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
5,04/24/2024,4:03:42 PM,2,3,Madison Inscoe,,,Nc state 2024 roster,Ivory Jones,jonesiv10,Right,North carolina central,,1,Top,1,0,2,Riseball,,BallCalled,,,,,,,63.01465873989713,9.16578375925597,-1.3664929013352938,1087.7083943684895,57.96793745689945,8:00,1.0286289429418758,1.589351051609756,6.0000000000000036,-32.87745158617665,-1.022068582047016,-3.3415588944415466,4.031911664793473,0.4620714574263086,57.30275964882916,0.04393922923919819,-2.30092211618803,0.406221530379123,,,,,,,,,,,,3.4111135221250803,-4.519661070302921,-1.8661035596692017,50.0,-1.3977075680469242,1.7611631428431842,-93.72090140286365,19.794786624992728,2.9498820251547286,17.82084860408172,-36.082587623389095,NC State 2024 Roster,North Carolina Central,,Softball,,6823ad99-fd01-4a0e-a85b-012c837925c8,caa98711-cf51-44bd-9fd6-459d747b30ab,63.114317353550334,1.02356567163163,1.5911253266348018,9.253117563861267,-1.398510882172587,57.369332071956066,4.036102430994935,0.4608172115038312,0.13574412881004838,-2.328031187463164,0.4061396191144637,-3.1391463776305537,-2.431932887162244,-65.52616100002099,,450.6133382226351,-989.978368751323,41.427770582229975,0.2197303044242488,-0.9101505273627061,0.35120451429190774,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
6,04/24/2024,4:04:02 PM,2,4,Madison Inscoe,,,Nc state 2024 roster,Ivory Jones,jonesiv10,Right,North carolina central,,1,Top,1,1,2,Dropball,,InPlay,,GroundBall,Out,1,0,,64.22487576351463,5.162476752310622,-4.072392200733908,974.1911146375869,8.80325697926849,6:15,1.2848471350724993,1.9505928994716897,6.0000000000000036,-35.522592935679604,-5.2390232109716734,-1.0607209240113753,1.5476102731688637,-0.671212333048971,59.07915731602615,-4.73255406110269,-4.367797905169435,0.3960728340693123,75.01584501943302,1.5359561920682048,15.675132223719206,1241.1830676850816,,,,49.99742870494391,,18.099827033961724,0.47451094743233724,-0.2381133352100346,-7.9974171197516295,-2.8655682924478945,49.999999999999986,-0.24695668757691644,6.692082627229324,-96.1633997061296,13.881540733497863,-0.21661394490852,18.871008358008275,-39.44937530373128,NC State 2024 Roster,North Carolina Central,,Softball,,6823ad99-fd01-4a0e-a85b-012c837925c8,b76e39a5-9845-4027-901d-969e2b64ea65,64.29297545342743,1.2789251545761158,1.9528411855426244,5.268566057793324,-4.11333172897435,59.11592124617465,1.5524621952671083,-0.6729101169629192,-4.6281605869105125,-4.404132735918958,0.39602244811998116,-0.8014074430202436,-6.714941930068142,-50.56999718131546,,618.7429324587764,-752.4662858700967,63.51350604228798,0.6276529683071498,-0.772401097242634,0.09720234746959096,20.260692925760605,72.19998772309867,2.0107458646055174,0.6036440386928653,0.6370934134441607,1.5104691170559936,15.532879175955266,47.52338941627716,3.2968518589567077,4.956949916373592,0.03283448895238944,0.34622427135187356,0.027523821851869634,-0.9377479368985734,,,1.0,0,1.0,43.651112733529445,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
7,04/24/2024,4:04:36 PM,3,1,Madison Inscoe,,,Nc state 2024 roster,Imara Harrell,harreim10,Right,North carolina central,,1,Top,2,0,0,Curveball,,InPlay,,LineDrive,Single,0,0,,62.07651285541046,5.87924116664468,-0.7897580205151625,1274.802941894531,52.767790801269655,7:45,1.13771231257068,1.8709802873336143,6.0000000000000036,-32.99223900525613,-0.6671305439373114,-2.6346930695481308,2.052857435256596,1.1609151396100852,56.95014226120918,-3.3309601400625977,-1.5270485742003785,0.4092055523134686,43.75538026646521,20.126266577681033,-32.9820462314467,620.2740930627893,,,,92.58199555729269,,-34.16038523733745,1.64356282914416,2.7924042638389466,-2.9058962038322846,-2.0238898054921313,50.0,-0.5303115966005538,0.911330743575665,-93.0502845548307,14.232708893394669,2.379773150087434,17.599716217560957,-34.65054407226537,NC State 2024 Roster,North Carolina Central,,Softball,,6823ad99-fd01-4a0e-a85b-012c837925c8,286c3034-bc29-42bd-a6bd-aa5710708bdf,62.166230397334225,1.132919808581301,1.8733332936119902,5.9639322978182605,-0.8325825826349355,57.010203130028906,2.0568532847967944,1.1592220912024072,-3.2411973945646184,-1.5647033104308121,0.4091262018294431,-2.3640293033145063,-2.0779699972779557,-73.52894569490103,,361.4460304789103,-1222.488980610455,28.35309039542631,0.1715494643893995,-0.9589630996565397,0.22574444570095564,-22.364895366855112,34.46255577285972,15.055796461666487,-1.5722606379503927,3.744744524214416,2.370079716135573,-51.985845327980996,76.60873179283024,-6.89353136966982,6.463918426131028,0.1773162526619212,0.9333247836144178,0.15795614658912252,0.32242007388780186,,,1.0,0,1.0,18.840489921020755,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
8,04/24/2024,4:05:19 PM,4,1,Madison Inscoe,,,Nc state 2024 roster,Jaylah Barr,barr-ja10,Right,North carolina central,,1,Top,2,0,0,Riseball,,BallCalled,,,,,,,62.30301190583414,9.087275629638311,-2.0311384389850153,1249.2660650956002,62.07258215821364,8:00,1.1147419515671628,1.442676423037476,6.0000000000000036,-33.844669883492955,-1.2310696686311928,-4.9735261602761325,3.989352427680769,-0.23374385481165746,56.67162616898418,-0.3065154644495908,-3.4205905558736727,0.4110275137283743,,,,,,,,,,,,5.072479603573636,-4.758978347242659,-1.8541135225963485,49.999999999999986,-1.303438998165954,2.588718207339853,-92.6668601732391,19.57888669771405,4.28481789717278,17.52936696377701,-36.19404713910146,NC State 2024 Roster,North Carolina Central,,Softball,,6823ad99-fd01-4a0e-a85b-012c837925c8,dfc33bc8-a603-4cf9-8798-f4d9c16efb41,62.39893403505016,1.1092605560296207,1.443988868022439,9.18193697119529,-2.0548772856161994,56.7328587192293,3.993745177401018,-0.23462278109862317,-0.2098090901853656,-3.4396417165604363,0.4109493215840613,-4.822682412191614,-2.723558500548997,-59.21381030109905,,639.419098908924,-1073.2236101344138,51.18358024557341,0.23971966491752375,-0.859083297081543,0.4522282288041465,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
9,04/24/2024,4:05:38 PM,4,2,Madison Inscoe,,,Nc state 2024 roster,Jaylah Barr,barr-ja10,Right,North carolina central,,1,Top,2,1,0,Dropball,,BallCalled,,,,,,,64.10444894764882,8.441293891275786,-1.0912809277106479,958.8413439298931,18.609807594282373,6:30,1.433265891105702,1.4802944901084447,6.0000000000000036,-36.67565888451877,-6.068810531597851,-2.019531896426463,3.658615734624386,0.6341821826525629,58.51416936623969,-1.7522226933313771,-1.6558019574788538,0.39818127079051596,,,,,,,,,,,,1.9741127044332893,-10.08754793775126,-1.707728868221804,49.99999999999998,-0.863161581196655,1.5261594684352102,-95.49259698951862,19.492408124510156,1.7766015449412562,18.181719268572444,-41.25233230543705,NC State 2024 Roster,North Carolina Central,,Softball,,6823ad99-fd01-4a0e-a85b-012c837925c8,876c58ab-550d-4817-9cb5-303a4e640c54,64.17668020443753,1.4265574869859543,1.4820774233265612,8.557490329019503,-1.1231884355194373,58.551094529226205,3.6637136040809652,0.6329296215573021,-1.6407187399840062,-1.682992302329695,0.39813255318662566,-1.8180765209290808,-7.5572138593800275,-45.77810660328521,,668.7333354773778,-687.1480545345265,69.74389868677513,0.6609725513442906,-0.7166441652569877,0.22256780264120568,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
10,04/24/2024,4:05:57 PM,4,3,Madison Inscoe,,,Nc state 2024 roster,Jaylah Barr,barr-ja10,Right,North carolina central,,1,Top,2,2,0,Curveball,,InPlay,,LineDrive,HomeRun,0,2,,61.12365409067987,7.249584735761147,-3.5550615591170303,1245.7792301177976,37.95061147255584,7:15,1.1812981739507464,2.1334387466238693,6.0000000000000036,-35.90180659992543,-2.239664333260265,-2.9878087220704086,2.724717771911067,-0.32624095102854284,55.908362394622344,-2.7405740995928882,-4.387686257088394,0.41758260382985984,76.62084908162635,22.174653283474242,-32.28805062468921,989.7670578729538,-64.5172495757593,89.09278587849131,30.972894300599403,228.62380228077788,,-41.01551835985294,2.9546524117564803,2.1995420159580203,-5.26170172752686,-2.9112938767019845,50.0,-0.8336768954448125,5.254378621856676,-91.21484004492775,16.582947840428425,1.8001245875164291,16.99097353625386,-36.48027269207389,NC State 2024 Roster,North Carolina Central,,Softball,,6823ad99-fd01-4a0e-a85b-012c837925c8,b2a8fde5-a130-48f4-8d70-297eb7215598,61.20928848791754,1.1754232386631231,2.1359131596887106,7.350921839504023,-3.5991495036151284,55.95915123953901,2.7293038099956934,-0.3279515863726602,-2.6397160002268927,-4.424851203161598,0.4175117367054204,-2.708177406980895,-3.7967961134276247,-64.3179671717758,,539.8914285647832,-1122.7124010872822,43.337648879708205,0.3417351975917858,-0.9012129709219195,0.2665187343677559,-37.901815849675636,59.98243709178164,28.919095937063705,0.03501470844163397,2.6103709654217417,2.8941519649299132,-150.0374373158032,172.50394306515622,-42.62688874200152,0.25791704257369646,0.47594241130731874,0.552349980040399,0.11324242659631285,0.8258847694248572,,,1.0,0,1.0,44.94493501327935,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
