PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,4/26/2023,2:02:03 PM,1,1,Wynne Gore,gore-wy10,,North carolina state,Alison Guckin,,,Norfolk state,,1,Top,0,0,0,,,Foul,,GroundBall,,0,0,,66.23632023,6.381001356,-3.224799745,1259.351996,8.035923392,6:15,1.409327794,2.025301121,6,-34.25251413,-5.689125697,-0.803880006,2.540626037,-0.046556377,60.62521862,-3.168544134,-3.449228619,0.384659431,52.13962115,-9.759178531,-66.30002109,2820.201084,,,,12.87304696,,-64.00083876,0.161090077,-0.241410359,-8.989964301,-2.749748457,50,-0.388099566,5.46196968,-99.07927322,16.22973935,-0.232853751,20.20399353,-40.84537137,North Carolina State,Norfolk State,,Softball,,63e644ba-def4-4a75-86cb-c65a253b83de,52bf8211-d56f-44b0-93a9-23829b2eefd5,66.30948826,1.403389052,2.027270725,6.484335044,-3.259906316,60.66527325,2.545220135,-0.047967308,-3.068033529,-3.47985361,0.384609176,-0.581973095,-7.203730259,-45.56084273,,881.7371376,-899.1702117,70.01514592,0.693276403,-0.713994352,0.09787694,-47.05142554,20.65411114,-8.838050753,-0.121228639,1.002401553,2.516518734,-11.57030057,5.643002979,-0.102418708,-0.140823043,-0.016270631,0.268297876,-0.051057623,0.961982,,,1,0,1,20.79681907,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
2,4/26/2023,2:02:28 PM,1,2,Wynne Gore,gore-wy10,,North carolina state,Alison Guckin,,,Norfolk state,,1,Top,0,0,1,,,Foul,,GroundBall,,0,0,,65.36818205,6.821702504,-2.802646203,1262.937652,16.8675015,6:30,1.43884404,1.65126975,6,-33.88712525,-4.555849572,-1.538053995,2.876740572,-0.218864109,59.81224147,-2.620070773,-3.232106427,0.389795659,60.38730791,-2.8522767,-45.68836519,2413.158931,,,,28.95168428,,-44.58706554,0.308819022,0.78174108,-7.802787971,-2.272334696,50,-0.456212324,4.555603815,-97.70583743,16.71534594,0.734241658,19.46461934,-39.50273184,North Carolina State,Norfolk State,,Softball,,63e644ba-def4-4a75-86cb-c65a253b83de,9448bc3a-8638-4b60-8e22-c077f36a6b9a,65.44427405,1.43323126,1.653321764,6.919999774,-2.839630521,59.85654263,2.881274479,-0.220373675,-2.52164152,-3.264560683,0.38974096,-1.304495963,-6.039592645,-54.07658745,,740.9696943,-1022.729399,58.67033051,0.561462342,-0.809801971,0.1702375,-43.1566613,42.13193442,-3.004936487,-0.317244576,2.740988814,2.890660746,-20.32385932,20.6189419,-0.376712126,-0.640033298,-0.00897415,0.087642523,-0.107355186,0.990350267,,,1,0,1,30.37640265,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
3,4/26/2023,2:02:57 PM,1,3,Wynne Gore,gore-wy10,,North carolina state,Alison Guckin,,,Norfolk state,,1,Top,0,0,2,,,BallCalled,,,,0,0,,65.14071093,4.288201607,0.553681872,1432.628254,16.79476018,6:30,1.46802103,1.829573713,6,-32.03937026,-2.854505516,-1.220667505,1.466353567,2.071724211,60.03777827,-4.659050044,0.212110055,0.388821584,,,,,,,,,,,,1.623313928,-4.867260219,-1.69174938,50,0.173131896,-1.126923022,-97.86591458,12.09361542,1.532196582,19.2992345,-36.76810828,North Carolina State,Norfolk State,,Softball,,63e644ba-def4-4a75-86cb-c65a253b83de,7f6e876c-8cc9-4883-a230-baab331ee244,65.21597861,1.463193527,1.832414491,4.373959194,0.502154138,60.08391486,1.470316129,2.069642963,-4.572038081,0.166695755,0.388760138,-0.895685888,-4.230004241,-71.90947762,,444.8585571,-1361.809303,31.05191845,0.297274276,-0.950567113,0.089722732,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
4,4/26/2023,2:03:15 PM,1,4,Wynne Gore,gore-wy10,,North carolina state,Alison Guckin,,,Norfolk state,,1,Top,0,1,2,,,BallCalled,,,,0,0,,64.70447458,3.583195383,-0.87102877,1337.763142,12.22834775,6:30,1.425012418,1.966691964,6,-32.61832495,-3.066693715,-1.158727819,0.935312052,1.329140415,59.73732672,-5.524143142,-1.1952841,0.391257118,,,,,,,,,,,,1.040068179,-4.871988293,-2.15277129,50,0.2852696,1.308534746,-97.30418623,10.90275828,0.969551979,19.20622054,-36.71571905,North Carolina State,Norfolk State,,Softball,,63e644ba-def4-4a75-86cb-c65a253b83de,e73ccfd2-0988-464c-9e36-953f5ac28f3d,64.7770071,1.420007964,1.969392273,3.67125567,-0.919508988,59.78031695,0.939294611,1.327209107,-5.436417984,-1.237681995,0.391197682,-0.852917447,-4.482815703,-68.29927107,,494.6493837,-1242.95302,36.9758568,0.361369197,-0.929127871,0.078317955,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
5,4/26/2023,2:03:34 PM,1,5,Wynne Gore,gore-wy10,,North carolina state,Alison Guckin,,,Norfolk state,,1,Top,0,2,2,,,BallCalled,,,,0,0,,66.00388929,8.058357713,-3.429122305,1254.114073,11.53349609,6:30,1.50151163,1.968280714,6,-35.06581127,-6.083769767,-1.155769246,3.626272126,-0.260223613,60.15009492,-1.690785129,-3.751564493,0.38746815,,,,,,,,,,,,0.099439241,-10.06428337,-2.735733037,50,-0.691874438,5.720470979,-98.33633163,19.16413982,0.094526814,19.83503578,-41.74114438,North Carolina State,Norfolk State,,Softball,,63e644ba-def4-4a75-86cb-c65a253b83de,ae7139dc-7e08-4dec-9396-278ee2aa16cb,66.07901763,1.495375923,1.969978364,8.166175891,-3.459843599,60.19110223,3.631123346,-0.261464638,-1.584724136,-3.778437877,0.38741955,-0.961251745,-7.630982931,-41.1500602,,944.3337775,-825.2489465,75.29887417,0.73778438,-0.658033399,0.150553157,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
6,4/26/2023,2:03:54 PM,1,6,Wynne Gore,gore-wy10,,North carolina state,Alison Guckin,,,Norfolk state,,1,Top,0,3,2,,,InPlay,,GroundBall,Out,1,0,,66.03558941,6.626694657,-1.642726799,1296.086736,9.716116545,6:15,1.528093937,1.888790386,6,-33.57498058,-4.906326359,-0.759081419,2.865812029,0.805044519,60.44599016,-2.737529025,-1.855053185,0.38536758,51.14482239,-29.33175258,-46.70618312,2626.875244,70.10366751,-84.76718536,20.05397833,6.779458568,,-41.53084061,0.063936995,0.293373553,-8.133898371,-2.254041583,50,-0.31781622,2.720327285,-98.8158269,16.50927574,0.281913023,19.87469417,-39.99020019,North Carolina State,Norfolk State,,Softball,,63e644ba-def4-4a75-86cb-c65a253b83de,fdf7ea71-9223-4a32-a626-f54d37b74801,66.11149721,1.522605519,1.891053761,6.723503467,-1.683695999,60.49039063,2.870267174,0.803359451,-2.640424165,-1.891505864,0.385313312,-0.500880058,-6.357466276,-54.82384269,,746.6654823,-1059.401475,57.6092218,0.567828772,-0.817384705,0.097225147,-32.4531953,30.57573256,-25.05409248,-1.074806536,2.248859843,2.717802731,-4.494937587,5.075095523,0.002140561,-0.034279952,-0.010799094,-0.470595866,-0.189049444,0.861858364,,,1,0,1,21.62189514,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
7,4/26/2023,2:04:29 PM,2,1,Wynne Gore,gore-wy10,,North carolina state,Rylie Gilbreath,,,Norfolk state,,1,Top,1,0,0,,,InPlay,,LineDrive,Out,1,0,,64.28482212,6.624074331,-2.887059911,1389.229191,17.82307986,6:30,1.436843266,2.167481572,6,-33.85684244,-3.569908266,-1.3344586,2.752975421,0.261759708,58.89399022,-2.807342262,-3.259492661,0.396094835,69.79893358,16.55739921,-15.00712553,672.3744992,-28.58856464,106.2200262,15.86457437,171.3098368,,-15.17971299,2.161951096,0.522492875,-6.55831117,-2.809765529,50,-0.412811507,4.65200029,-96.09813528,16.10524542,0.475234413,18.68620907,-38.1391743,North Carolina State,Norfolk State,,Softball,,63e644ba-def4-4a75-86cb-c65a253b83de,91207efe-4e19-4c4e-b99f-4939a4eb9377,64.36171837,1.431615849,2.170198506,6.717052808,-2.936696155,58.94014058,2.757246763,0.25975928,-2.712096108,-3.303617473,0.39603818,-1.020192967,-5.031360605,-63.667139,,616.2416105,-1245.071895,44.35852732,0.422295919,-0.896232172,0.135772055,-17.32424788,64.62282521,19.89100363,-0.211363134,0.733187952,2.666835132,-44.85704802,165.3327113,-6.138306452,20.91824749,0.320156368,0.883134421,0.465092484,0.061339842,,,1,0,1,39.76064634,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
8,4/26/2023,2:05:01 PM,3,1,Wynne Gore,gore-wy10,,North carolina state,Gabby Vaughan,,,Norfolk state,,1,Top,2,0,0,,,StrikeCalled,,,,0,0,,65.35613143,6.313805973,-4.211345927,1282.820505,19.3350091,6:45,1.537568404,1.721016748,6,-34.07140262,-4.672264583,-2.057429961,2.646059327,-1.070596859,59.8544137,-3.174022269,-4.784181178,0.390246324,,,,,,,,,,,,0.858229986,-7.783186457,-2.657767308,50,-0.244160306,6.888005207,-97.66925134,15.86720558,0.804284833,19.65574213,-39.46801381,North Carolina State,Norfolk State,,Softball,,63e644ba-def4-4a75-86cb-c65a253b83de,3e4e4d3d-66b7-4225-b1b5-4cee313ce2dc,65.43036614,1.531767551,1.722910712,6.415022969,-4.245286269,59.89629689,2.650605027,-1.071946856,-3.074406342,-4.81339188,0.390193758,-1.842032631,-6.202434086,-51.3498976,,801.2019072,-1001.850264,62.45627538,0.589336679,-0.780974626,0.206787117,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
9,4/26/2023,2:05:16 PM,3,2,Wynne Gore,gore-wy10,,North carolina state,Gabby Vaughan,,,Norfolk state,,1,Top,2,0,1,,,BallCalled,,,,0,0,,51.26602588,9.862179866,-4.70975605,833.6310972,13.02165883,6:30,1.855073413,1.632315054,6,-53.14951153,-4.470033693,-1.324711663,3.632990902,-1.409660115,46.63978802,-4.861747487,-5.078105199,0.502162731,,,,,,,,,,,,-0.174184857,-8.864516308,-2.690134691,50,-0.94235,6.099620044,-75.88236901,19.33735397,-0.098581222,11.82393866,-37.19098887,North Carolina State,Norfolk State,,Softball,,63e644ba-def4-4a75-86cb-c65a253b83de,0b10d07c-3190-43dd-9ff4-c159be512964,51.32452188,1.846618325,1.634619238,10.00903948,-4.751294546,46.65391263,3.639686637,-1.411380907,-4.717893363,-5.114948756,0.502118185,-1.061323561,-6.838504045,-39.21173055,,645.9099361,-527.0115375,77.4815069,0.754890668,-0.632187954,0.174580841,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
10,4/26/2023,2:05:32 PM,3,3,Wynne Gore,gore-wy10,,North carolina state,Gabby Vaughan,,,Norfolk state,,1,Top,2,1,1,,,BallCalled,,,,0,0,,64.73857498,3.812491649,-0.070504929,1220.969531,353.3847557,5:45,1.477115709,1.886906302,6,-33.90065584,-4.341265614,0.505052413,1.023297325,1.885207156,59.69686833,-5.658481958,0.070952916,0.391308478,,,,,,,,,,,,-0.615494374,-6.460511961,-1.90793786,50,0.272879018,0.194219409,-97.37207052,11.48264872,-0.573660801,19.45014829,-38.19545713,North Carolina State,Norfolk State,,Softball,,63e644ba-def4-4a75-86cb-c65a253b83de,9175e18c-0e19-476b-b9ff-03b629aa375a,64.80754856,1.472119934,1.889487172,3.902613702,-0.117728495,59.7373874,1.02745553,1.883237225,-5.56629652,0.027172024,0.391252133,0.802380031,-5.797488451,-59.12650461,,626.5334998,-1047.961053,51.31442547,0.509727817,-0.858302379,-0.059114961,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
