PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,4/26/24,6:02:19 PM,1,1,Sophia Voyles,voyleso10,,Georgia tech,Jade Hylton,hyltoja10,Right,Virginia,,1,Top,0,0,0,Riseball,1,BallCalled,,,,,,,62.84764528,4.728222652,-2.432955731,1899.138794,113.4101685,9:45,1.671026676,0.783701345,5.031788118,-27.5483031,5.661087427,-7.419102618,2.859860044,-1.676291817,57.74045733,-1.852716686,-4.847125388,0.415270973,,,,,,,,,,,,7.568647665,4.432483854,-1.23322182,50,0.450352683,3.046003999,-94.12500558,11.26276987,6.594595939,18.11599935,-28.31200694,Georgia Tech,Virginia,,,,5ffeb2a9-9bce-479e-836f-2387ea03dfa9,689b6bae-72e0-48de-a168-bf60fcabb798,62.95362579,1.667669994,0.783704462,4.781872348,-2.433197714,57.8224672,2.862654131,-1.676198129,-1.792398167,-4.845034575,0.415158348,-7.412824884,4.299587463,-56.32781169,,1052.9595,-1580.507656,55.44405197,-0.220285186,-0.832223354,0.508801265,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.96821326,Reese Hunter,huntere10,Georgia tech,2022-11
2,4/26/24,6:02:37 PM,1,2,Sophia Voyles,voyleso10,,Georgia tech,Jade Hylton,hyltoja10,Right,Virginia,,1,Top,0,1,0,Curveball,1,InPlay,,FlyBall,Out,1,0,,61.28188007,3.634496185,0.104008579,1484.616336,117.7564644,10:00,1.839809853,0.916454079,6,-27.33481229,4.844957998,-5.490183055,2.461484746,-0.434723712,57.14153335,-2.675109566,-3.324783236,0.412746163,58.18129789,63.29289447,35.59707248,2975.175191,84.48797313,70.43992048,24.93213869,119.9122696,,50.13380267,4.585931629,6.810051969,3.920511071,-0.834849084,50,0.729637298,-0.978480311,-92.11613026,9.829020771,5.70375618,16.90144615,-28.89042718,Georgia Tech,Virginia,,,,5ffeb2a9-9bce-479e-836f-2387ea03dfa9,ee39c5ff-9533-49b2-b3a2-5ed393e044b5,61.37547134,1.836597462,0.917158656,3.690196557,0.091324827,57.21707058,2.464160345,-0.435133711,-2.616083691,-3.333586923,0.412645311,-5.410366485,3.591966443,-61.19027004,,715.4402837,-1300.857742,48.1902473,-0.224428904,-0.876224861,0.426452413,15.22050274,21.2620684,51.97426448,-0.059494201,1.862994557,2.201801532,92.03787746,76.86339513,15.16315841,-31.45405421,0.240400299,0.821962884,-0.04152782,-0.568025049,,,1,0,1,26.92929774,high,high,,,37.00000138,Reese Hunter,huntere10,Georgia tech,2022-11
3,4/26/24,6:03:12 PM,2,1,Sophia Voyles,voyleso10,,Georgia tech,Bella Cabral,cabrabe10,Right,Virginia,,1,Top,1,0,0,Riseball,2,BallCalled,,,,,,,65.66141088,2.251135838,0.955252246,1735.344675,124.121664,10:15,1.739514373,0.842170231,3.902565769,-27.4592116,5.448604325,-5.606334996,1.39627696,-0.109468714,59.77176357,-4.294912945,-2.246997372,0.408237855,,,,,,,,,,,,6.350903283,4.408391517,-0.624281173,50,1.140043149,-2.284431639,-98.36491388,6.916142145,6.069362047,19.17855817,-27.96108602,Georgia Tech,Virginia,,,,5ffeb2a9-9bce-479e-836f-2387ea03dfa9,ba40dd47-396a-418e-8e1b-698514450acb,65.77340767,1.735904281,0.843130815,2.305479704,0.940224685,59.85671365,1.399117228,-0.110049873,-4.235488787,-2.258892726,0.408122713,-5.498589428,4.146926168,-65.06620599,,731.5705051,-1573.602789,42.15707206,-0.23648096,-0.906795527,0.348996602,,,,,,,,,,,,,,,,,1,1,,,high,high,,,39.09743561,Reese Hunter,huntere10,Georgia tech,2022-11
4,4/26/24,6:03:31 PM,2,2,Sophia Voyles,voyleso10,,Georgia tech,Bella Cabral,cabrabe10,Right,Virginia,,1,Top,1,1,0,Curveball,1,BallCalled,,,,,,,64.27065278,1.095240062,0.186427603,1489.287479,126.6372658,10:15,1.871009193,0.962707734,5.868466676,-24.14890238,5.990545217,-6.41244738,0.84610867,0.31276782,59.41494425,-5.075640231,-2.250613774,0.394204076,,,,,,,,,,,,7.617510819,6.392286014,-0.857425475,50,1.389730648,-1.255868188,-96.73868043,5.341002359,7.043764648,18.49789599,-26.26322657,Georgia Tech,Virginia,,,,5ffeb2a9-9bce-479e-836f-2387ea03dfa9,92610fe2-62df-4a66-aa51-b7ac8a9b117e,64.36625397,1.868439043,0.962655382,1.138584731,0.187184304,59.48941306,0.848345131,0.312883987,-5.026793417,-2.248007716,0.394106541,-6.414285785,4.89569737,-55.34638617,,846.8293069,-1225.09482,56.86137291,-0.339318486,-0.82260466,0.456272438,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.1315347,Reese Hunter,huntere10,Georgia tech,2022-11
5,4/26/24,6:03:52 PM,2,3,Sophia Voyles,voyleso10,,Georgia tech,Bella Cabral,cabrabe10,Right,Virginia,,1,Top,1,2,0,Curveball,4,InPlay,,FlyBall,Out,1,0,,62.43334911,4.14419267,-0.986046252,1746.955835,120.8818797,10:00,1.728063413,0.911445828,5.114667165,-27.58525263,6.381908965,-6.87130152,2.715565304,-0.769235132,56.91615668,-1.971885102,-3.805471942,0.416132171,61.86704228,53.78692692,-13.89378214,2898.326416,-22.8427986,107.602075,80.28207974,169.5598928,,-10.18051861,4.787193515,7.593122945,5.324410432,-1.061056708,50,0.624521357,0.712350057,-93.63226181,10.22980787,6.559474925,17.68072294,-27.57444848,Georgia Tech,Virginia,,,,5ffeb2a9-9bce-479e-836f-2387ea03dfa9,952a84a9-eae2-4075-b8e9-5cf0fa471e99,62.54029785,1.724904876,0.911538337,4.194172296,-0.987708348,57.00020445,2.718241791,-0.769244983,-1.914676286,-3.805576206,0.416017146,-6.850193159,5.047129487,-55.57619091,,987.5712903,-1441.026591,56.5309821,-0.29015649,-0.824878662,0.485164307,-8.776584455,35.48104387,49.9159094,0.386105957,4.446957444,4.068509539,-29.96972622,166.8903016,11.275,-4.576353473,0.63142061,0.934975937,0.006005773,-0.354660301,,,1,1,1,31.17283116,high,high,,,37.88533421,Reese Hunter,huntere10,Georgia tech,2022-11
6,4/26/24,6:04:25 PM,3,1,Sophia Voyles,voyleso10,,Georgia tech,Abby Weaver,weaveab10,Right,Virginia,,1,Top,2,0,0,Curveball,4,Foul,,,,,,,64.22751257,3.982156685,-2.250132398,1761.66393,116.3188013,10:00,1.869293532,1.107668556,5.440213146,-25.74825721,5.538533692,-6.818262533,2.655980174,-1.033324535,58.85712555,-2.371110387,-4.416776928,0.401078856,55.39521706,30.93102108,39.42316266,2863.202917,79.85738163,75.64918106,27.88046152,161.5138221,,49.13461119,2.94788516,7.070625702,4.725115354,-1.534874145,50,0.775710002,2.844410523,-96.36901465,10.18422854,6.463293064,18.87774213,-27.85479885,Georgia Tech,Virginia,,,,5ffeb2a9-9bce-479e-836f-2387ea03dfa9,38cc5bcc-6376-4705-b71d-4d84e5f494b2,64.33155075,1.866342393,1.107680489,4.030456205,-2.250484261,58.93757695,2.658522379,-1.033262721,-2.316012771,-4.415347415,0.400974054,-6.809195452,4.295666875,-57.29440375,,951.8666648,-1482.366235,54.03225033,-0.239560272,-0.841458016,0.484313208,30.17551056,36.70600367,28.4734601,0.779668388,-0.798084837,2.037117766,122.1446416,105.6759256,30.11756823,-4.971425644,0.400473807,0.599776056,-0.289781165,-0.745852237,,,1,1,1,26.02307676,high,high,,,37.55978823,Reese Hunter,huntere10,Georgia tech,2022-11
7,4/26/24,6:04:54 PM,3,2,Sophia Voyles,voyleso10,,Georgia tech,Abby Weaver,weaveab10,Right,Virginia,,1,Top,2,0,1,Riseball,2,InPlay,,FlyBall,Out,1,0,,65.23521792,2.97220739,2.509891747,1792.726298,113.4323882,9:45,1.80792072,0.615888042,5.848086515,-25.41518847,3.8439988,-7.097669008,2.062708381,0.179770012,60.54975987,-3.173717143,-1.768486624,0.386800719,60.83924355,33.32497945,-2.477004824,1997.598891,0.67925128,109.9979028,44.54495007,200.0149846,,2.817635591,3.656354354,8.052117901,3.741507589,-0.557661007,50,0.768968482,-1.279308981,-98.70857404,9.905266354,7.742347134,19.435471,-28.57648049,Georgia Tech,Virginia,,,,5ffeb2a9-9bce-479e-836f-2387ea03dfa9,659b787c-31d5-4307-bca6-c9f5536b1976,65.33010297,1.804631098,0.615913289,3.027122142,2.509284185,60.62426931,2.065293567,0.179893691,-3.117753311,-1.76572095,0.386712108,-7.092331697,2.747342858,-57.6470234,,959.3481781,-1514.436744,53.5133656,-0.21280479,-0.844767406,0.491001172,-2.197022445,50.78782222,33.42429897,-0.235212791,1.607273008,2.187898083,9.832176425,199.7731773,17.52631179,26.89571494,0.784267114,0.916976124,0.014270181,-0.398686782,,,1,1,1,31.67190804,high,high,,,37.15191486,Reese Hunter,huntere10,Georgia tech,2022-11
8,4/26/24,6:07:10 PM,1,1,Eden Bigham,bighaed10,Right,Virginia,Sara beth Allen,allensa10,,Georgia tech,,1,Bottom,0,0,0,,,BallCalled,,,,,,,68.52911958,3.005852679,0.695901621,795.6358479,46.03321964,7:30,1.780297525,0.846994716,5.188604044,-28.73876003,-1.412712917,-2.617667871,2.065980485,0.525476639,63.35341131,-3.265087731,-1.033311765,0.377605599,,,,,,,,,,,,3.464048981,-2.849537012,-0.67475482,50,0.895375183,-1.653203381,-102.8924249,9.486383942,3.619912167,21.08435397,-35.15180012,Georgia Tech,Virginia,,,,5ffeb2a9-9bce-479e-836f-2387ea03dfa9,1a9cc191-eea0-4d4a-9aca-f8ecb294a08a,68.61444593,1.776043563,0.848140813,3.07903746,0.67582829,63.41789347,2.069510098,0.524606146,-3.189506023,-1.05175038,0.377530839,-2.473494346,-2.634518572,-67.66545624,,302.3526751,-735.9478666,38.00138919,0.263821295,-0.924980779,0.273512125,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.81139733,Leah Boggs,boggsle10,Virginia,2022-11
9,4/26/24,6:07:26 PM,1,2,Eden Bigham,bighaed10,Right,Virginia,Sara beth Allen,allensa10,,Georgia tech,,1,Bottom,0,1,0,,,BallCalled,,,,,,,67.62772877,4.83244564,-1.749324407,967.5626849,93.61905517,9:00,1.774210401,0.190091371,5.145351183,-25.70420375,1.891714254,-4.727126712,3.182757045,-1.504593105,63.06835833,-1.252829663,-3.075136298,0.384282857,,,,,,,,,,,,4.893918905,0.399881751,-0.519900215,50,0.525685498,2.416224229,-101.295825,12.2126557,4.949481821,20.65131735,-31.76962779,Georgia Tech,Virginia,,,,5ffeb2a9-9bce-479e-836f-2387ea03dfa9,62a489b1-3881-498c-9c3b-7b28a31e0ecd,67.73048097,1.770593778,0.190531145,4.891921364,-1.756889662,63.14786455,3.185633775,-1.504824106,-1.190744394,-3.079973026,0.384190851,-4.677156366,0.723028253,-62.57769868,,445.6064536,-858.8436631,46.05453069,-0.029070741,-0.887636198,0.459626883,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.85465019,Leah Boggs,boggsle10,Virginia,2022-11
10,4/26/24,6:07:43 PM,1,3,Eden Bigham,bighaed10,Right,Virginia,Sara beth Allen,allensa10,,Georgia tech,,1,Bottom,0,2,0,,,StrikeSwinging,,,,,,,56.24680981,5.536608522,0.778313969,894.5387421,15.39778064,6:30,1.843851167,0.862828136,5.351060742,-48.68990518,-8.407610083,-2.924452789,1.677637939,-0.336551312,52.35793047,-7.806669034,-2.552153809,0.459610958,,,,,,,,,,,,3.571005447,-11.79479988,-0.669626831,50,0.215880619,-1.486284078,-84.21654931,13.96296953,2.497392794,14.23122256,-40.42277635,Georgia Tech,Virginia,,,,5ffeb2a9-9bce-479e-836f-2387ea03dfa9,f93dfaf3-2c84-4222-b139-51299ea160e6,56.27151888,1.835388839,0.863651466,5.683693422,0.763805315,52.34901987,1.683989489,-0.337272294,-7.673441155,-2.567539021,0.459599049,-2.809611858,-10.45371649,-24.21195522,,815.850249,-366.8622797,91.20345611,0.87929771,-0.410113349,0.242162297,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.64894063,Leah Boggs,boggsle10,Virginia,2022-11
