PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance
1,4/27/22,1:02:20 PM,1,1,Maddie Mcpherson,,Left,Nc state,Alison Guckin,,Right,Norfolk state,,1,Top,0,0,0,Dropball,1,BallCalled,,,,,,,69.61886428,5.990799311,0.113526152,,,,1.345572907,0.965390389,6,,,,3.029061891,1.035895481,64.00200286,-0.861786525,0.113526152,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,cdb9c291-c64b-11ec-a88e-77cb6a40177f,69.72159647,1.342568805,0.965390389,6.042737057,0.113526152,64.07711656,3.031551699,1.035895481,-0.806786199,0.113526152,0.364117017,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
2,4/27/22,1:02:40 PM,1,2,Maddie Mcpherson,,Left,Nc state,Alison Guckin,,Right,Norfolk state,,1,Top,0,1,0,Fastball,2,StrikeCalled,,,,0,0,,69.91719691,5.289418703,-0.645851281,,,,1.22328015,0.46712566,6,,,,2.48896088,0.066005107,64.36918325,-1.496102535,-0.645851281,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,d96ca2e3-c64b-11ec-8c74-f5dca8a92136,70.01758329,1.220389872,0.46712566,5.340426342,-0.645851281,64.44402953,2.491469228,0.066005107,-1.441272706,-0.645851281,0.362147578,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
3,4/27/22,1:03:15 PM,1,3,Maddie Mcpherson,,Left,Nc state,Alison Guckin,,Right,Norfolk state,,1,Top,0,1,1,Riseball,4,StrikeSwinging,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,ffe7cd52-fa21-44a2-b48d-cb2a679d219c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4/27/22,1:03:22 PM,1,4,Maddie Mcpherson,,Left,Nc state,Alison Guckin,,Right,Norfolk state,,1,Top,0,1,2,Fastball,2,StrikeSwinging,Strikeout,,,1,0,,69.26533361,6.450739178,-1.503139797,,,,1.054780439,0.927716728,6,,,,3.002238164,-0.006016946,63.61117626,-0.483008204,-1.503139797,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,f2598db0-c64b-11ec-804d-af274a256c1c,69.36780001,1.051811214,0.927716728,6.502712273,-1.503139797,63.68748921,3.00480304,-0.006016946,-0.426720173,-1.503139797,0.366435614,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
5,4/27/22,1:03:51 PM,2,1,Maddie Mcpherson,,Left,Nc state,Lily Potter,,Left,Norfolk state,,1,Top,1,0,0,Fastball,1,StrikeCalled,,,,0,0,,69.36873292,5.616287824,1.15967837,,,,1.200234557,0.289581375,6,,,,2.636573368,1.00989373,63.82376066,-1.281718163,1.15967837,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,03d013d7-c64c-11ec-9cc6-1f4aaa49ff4a,69.47036123,1.197204732,0.289581375,5.668679922,1.15967837,63.89776486,2.639079158,1.00989373,-1.226453782,1.15967837,0.365260042,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
6,4/27/22,1:04:32 PM,2,2,Maddie Mcpherson,,Left,Nc state,Lily Potter,,Left,Norfolk state,,1,Top,1,0,1,Riseball,3,StrikeSwinging,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,17d80b9e-9a3d-4452-8139-fa907ecb834a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4/27/22,1:04:34 PM,2,3,Maddie Mcpherson,,Left,Nc state,Lily Potter,,Left,Norfolk state,,1,Top,1,0,2,Dropball,1,Foul,,,,0,0,,69.3599051,4.104448661,0.704710004,,,,1.200509045,0.44598659,6,,,,1.699837936,0.883666218,64.02171222,-2.772198341,0.704710004,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,1d7c5feb-c64c-11ec-8962-b970a7c5790f,69.4576709,1.197498138,0.44598659,4.156800391,0.704710004,64.09286794,1.702324553,0.883666218,-2.717311614,0.704710004,0.364431987,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
8,4/27/22,1:05:12 PM,2,4,Maddie Mcpherson,,Left,Nc state,Lily Potter,,Left,Norfolk state,,1,Top,1,0,2,Riseball,3,Foul,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,bfd07aaf-e424-4a76-9c32-ceb93022183f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4/27/22,1:05:25 PM,2,5,Maddie Mcpherson,,Left,Nc state,Lily Potter,,Left,Norfolk state,,1,Top,1,0,2,Fastball,2,BallCalled,,,,0,0,,69.86697065,4.432922145,-2.219880271,,,,1.441942679,0.076240826,6,,,,2.173201258,-1.303097908,64.43602386,-2.354902835,-2.219880271,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,3b79b075-c64c-11ec-baa4-1b44f9929267,69.96549098,1.43903253,0.076240826,4.484151415,-2.219880271,64.50909019,2.175688734,-1.303097908,-2.300270971,-2.219880271,0.362200396,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
10,4/27/22,1:05:47 PM,2,6,Maddie Mcpherson,,Left,Nc state,Lily Potter,,Left,Norfolk state,,1,Top,1,1,2,Fastball,3,BallCalled,,,,0,0,,69.683795,7.416065375,-0.638742166,,,,1.386666856,1.004386898,6,,,,3.958997103,0.60768199,63.86139507,0.55333302,-0.638742166,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,48a74721-c64c-11ec-ad46-5b3889fd1544,69.7893782,1.383703489,1.004386898,7.467490246,-0.638742166,63.9401877,3.961551129,0.60768199,0.609217362,-0.638742166,0.364888236,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
