PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,4/29/2023,2:02:14 PM,2,1,Madison Inscoe,inscoma10,,North carolina state,Taudrea Sinnie,sinnita10,Left,East carolina,,1,Top,0,0,0,,,InPlay,,GroundBall,Single,0,0,,66.54689523,5.126616928,-1.911008428,1166.817102,23.91082814,6:45,1.231615618,1.55222589,6,-32.27529001,-4.168156851,-2.406564117,1.736175082,0.16441382,61.12311367,-3.886825559,-2.584016902,0.381574899,,,,,,,,,,,,2.113945833,-6.741527216,-1.961992336,50,-0.257057942,2.968288286,-99.85788372,13.83947204,2.072071357,20.46129419,-38.78203605,North Carolina State,East Carolina,,Softball,,27e49923-1883-4cbf-8777-1ab46bea577f,b438f074-c50c-4a28-a77d-4753ba0c4958,66.62148121,1.226263139,1.553594268,5.220909723,-1.935717924,61.16747574,1.740457338,0.163435367,-3.793480543,-2.605136988,0.381519396,-2.250369528,-5.607647467,-52.14938116,,715.9646706,-921.3342167,61.36048826,0.560943699,-0.789613227,0.248702871,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
2,4/29/2023,2:02:38 PM,1,1,Madison Inscoe,inscoma10,,North carolina state,Taudrea Sinnie,sinnita10,Left,East carolina,,1,Top,0,0,0,,,InPlay,,GroundBall,Single,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Carolina State,East Carolina,,Softball,,27e49923-1883-4cbf-8777-1ab46bea577f,86a33196-7e63-4476-b973-1e7542a4b5fb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amanda Hasler,hasleam10,North carolina state
3,4/29/2023,2:02:43 PM,3,1,Madison Inscoe,inscoma10,,North carolina state,Taylor Edwards,edwarta13,,East carolina,,1,Top,0,0,0,,,Foul,,,,0,0,,64.00800367,7.450376543,-1.300975473,1107.037104,77.68420705,8:30,0.731917382,2.034548465,6,-30.18392799,0.434027247,-4.63878951,2.871075382,0.839877732,58.4557384,-0.955884959,-2.598284377,0.398253512,,,,,,,,,,,,4.946863478,-2.204157509,-2.283507075,50,-1.269649219,1.500147223,-95.63142994,16.87949958,4.451035456,18.64848357,-34.15728265,North Carolina State,East Carolina,,Softball,,27e49923-1883-4cbf-8777-1ab46bea577f,c574785a-575c-4d49-b48b-5fddaa50cac6,64.09928205,0.727636875,2.035127173,7.526013129,-1.311720623,58.51830831,2.874677606,0.839522882,-0.876334781,-2.605842578,0.398178197,-4.569871735,-0.96216494,-59.34736548,,564.4028412,-952.355282,50.98319099,0.108746988,-0.86027404,0.498099055,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
4,4/29/2023,2:03:05 PM,3,2,Madison Inscoe,inscoma10,,North carolina state,Taylor Edwards,edwarta13,,East carolina,,1,Top,0,0,1,,,InPlay,,FlyBall,Double,0,0,,62.94829283,6.993334529,-0.246874777,1235.631536,93.47112698,9:00,0.820113949,1.353023304,6,-29.82879598,1.726345621,-4.108074169,2.699303379,0.857362151,57.56880146,-1.319877052,-1.396416554,0.404302651,67.91899198,28.59262674,-10.91396405,1650.060229,-29.38544613,106.0023375,38.74646867,210.0280292,,-19.20264561,3.365024776,4.70951415,-0.503309386,-1.368019101,50,-1.072402195,-0.180539352,-94.14592962,15.80503367,4.111385488,17.9313205,-32.6134365,North Carolina State,East Carolina,,Softball,,27e49923-1883-4cbf-8777-1ab46bea577f,4334ac23-b8f7-43f2-9a00-d0d179c5eb4a,63.0416504,0.816043779,1.354237396,7.063420841,-0.268696074,57.63299668,2.70264132,0.856572701,-1.246079828,-1.41342693,0.40422059,-3.969488949,0.355071826,-66.96583038,,483.4779234,-1137.1167,39.1280013,-0.023690261,-0.920271673,0.390562185,-11.29114915,58.55724353,32.50459432,-0.829198668,0.40209204,2.538749365,-69.08037214,198.3423183,-31.95376404,9.651249907,0.57932142,0.757574963,-0.015352243,0.652567608,,,1,0,1,38.10653302,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
5,4/29/2023,2:03:44 PM,4,1,Madison Inscoe,inscoma10,,North carolina state,Bailee Wilson,wilsoba10,Right,East carolina,,1,Top,0,0,0,,,BallCalled,,,,0,0,,66.35297763,7.140783599,-2.322323611,1063.398081,27.44503453,7:00,1.343157196,1.324610569,6,-32.3821879,-3.905004063,-2.462512996,3.106167924,-0.323659735,60.66743049,-1.8785902,-3.010230842,0.38407854,,,,,,,,,,,,2.038247057,-7.150710878,-1.827244522,50,-0.609955346,3.650768044,-99.13955148,17.29295671,1.971777091,19.98341995,-39.09156621,North Carolina State,East Carolina,,Softball,,27e49923-1883-4cbf-8777-1ab46bea577f,141b6dfa-eb79-4b4b-8931-6568956f149e,66.43426933,1.337741615,1.325765677,7.234570218,-2.342966877,60.71672457,3.110397883,-0.3244577,-1.78564095,-3.027526338,0.384020076,-2.331849506,-5.332314831,-49.19154776,,694.9649542,-804.8845831,65.35322626,0.579979424,-0.75689866,0.301211364,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
6,4/29/2023,2:04:03 PM,4,2,Madison Inscoe,inscoma10,,North carolina state,Bailee Wilson,wilsoba10,Right,East carolina,,1,Top,0,1,0,,,StrikeCalled,,,,0,0,,63.37795967,7.104767713,-3.852216776,1299.327222,69.83965164,8:15,0.860563405,1.916161494,6,-31.25564105,0.1052425,-5.11678248,2.701115125,-0.906253537,57.90550929,-1.595048188,-5.277109146,0.403056257,,,,,,,,,,,,4.549431121,-2.521816486,-2.740593872,50,-1.074526926,5.640260841,-94.62309175,16.28725044,3.997017822,18.60002437,-34.38965527,North Carolina State,East Carolina,,Softball,,27e49923-1883-4cbf-8777-1ab46bea577f,5d4eee2f-285f-4901-b2f2-a3a39ff94e12,63.46573945,0.855734385,1.917031027,7.188013211,-3.867968964,57.96300195,2.704991208,-0.9067937,-1.50983483,-5.288555659,0.402983484,-5.015770321,-1.408298797,-60.31780738,,643.412116,-1128.836604,49.51886678,0.170666096,-0.868785464,0.464849331,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
7,4/29/2023,2:04:22 PM,4,3,Madison Inscoe,inscoma10,,North carolina state,Bailee Wilson,wilsoba10,Right,East carolina,,1,Top,0,1,1,,,InPlay,,LineDrive,Sacrifice,1,1,,66.89585527,6.7210644,-2.86566169,1230.617143,26.81759216,7:00,1.160997549,1.492884749,6,-32.65210907,-4.630740833,-2.843532339,2.638582697,-0.525270432,61.18317556,-2.379942547,-3.659615293,0.380992293,61.86656102,24.8814106,26.0413648,2221.442139,57.40867809,93.83093135,25.48496108,172.5205096,,34.67048944,2.782397428,2.272672217,-7.878161539,-2.115290197,50,-0.698287334,4.577044926,-100.0298293,16.74218925,2.234514542,20.58495453,-39.9199385,North Carolina State,East Carolina,,Softball,,27e49923-1883-4cbf-8777-1ab46bea577f,460bbf8e-2341-4570-bafd-f8f439e5031e,66.97359736,1.155286109,1.494110786,6.820222168,-2.887605453,61.228694,2.643018673,-0.526117058,-2.282591673,-3.677926228,0.380938163,-2.704454268,-6.104710986,-47.72597493,,827.8080057,-910.5780896,67.26771285,0.600328913,-0.739936133,0.303479349,24.6396163,50.42626929,26.02982995,0.291376289,0.699722392,2.376701821,98.13932657,141.8872751,29.81148897,1.242093019,0.45564028,0.70670269,-0.065425346,-0.704479121,,,1,0,1,31.85337273,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
8,4/29/2023,2:04:57 PM,5,1,Madison Inscoe,inscoma10,,North carolina state,Jocelyn Alonso,alonsjo10,Right,East carolina,,1,Top,1,0,0,,,StrikeCalled,,,,0,0,,64.23383186,5.670925817,-0.751696544,1197.247006,91.69965333,9:00,0.932779845,1.86300848,6,-28.54378786,1.634286178,-4.790803099,2.087888301,0.996909705,58.89624437,-2.299788267,-2.092285215,0.395382354,,,,,,,,,,,,5.322923177,-0.151182144,-1.985786086,50,-0.642956731,0.565206789,-96.33058235,13.72930405,4.85923722,18.93467539,-32.31206208,North Carolina State,East Carolina,,Softball,,27e49923-1883-4cbf-8777-1ab46bea577f,ef1ce883-706b-4bf7-9499-8da7d34d1caa,64.32556469,0.928858756,1.863608947,5.739276628,-0.762718786,58.96018163,2.091101607,0.996557756,-2.228073224,-2.099866851,0.39530385,-4.720073885,0.292000444,-62.61391036,,550.7147271,-1063.068052,45.99842173,-0.013643222,-0.887927092,0.459781842,,,,,,,,,,,,,,,,,1,0,,,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
9,4/29/2023,2:05:16 PM,5,2,Madison Inscoe,inscoma10,,North carolina state,Jocelyn Alonso,alonsjo10,Right,East carolina,,1,Top,1,0,1,,,InPlay,,Popup,Out,1,0,,66.02599706,7.352805704,-2.157768311,1176.715629,25.99200163,6:45,1.310750201,2.185570029,6,-33.73382304,-4.928425483,-2.788329605,3.094523245,0.612501242,60.29458464,-2.046335758,-2.937202852,0.386285547,40.18211284,51.36403089,-15.89388738,2574.113304,,,,84.78732518,,-13.73356407,3.028473246,2.469572201,-8.451772163,-2.64759054,50,-0.704205751,3.300543351,-98.64167834,17.77150838,2.361978446,19.97009689,-40.25759688,North Carolina State,East Carolina,,Softball,,27e49923-1883-4cbf-8777-1ab46bea577f,13391379-8647-44c2-9320-64321999765c,66.10246728,1.304882585,2.1866546,7.455068623,-2.177315656,60.33868552,3.099180371,0.611735624,-1.944855002,-2.953682493,0.386231877,-2.664645514,-6.438290865,-44.24443505,,842.9634331,-821.0190754,71.63697092,0.643912662,-0.69772089,0.313945925,-6.870654292,24.12938927,31.38739994,-0.563614472,0.106007786,2.763090618,-20.12912506,82.36327358,5.109553421,-4.419454231,0.209349821,0.936793293,0.18832794,-0.294874404,,,1,0,1,13.59129763,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
10,4/29/2023,2:05:44 PM,6,1,Madison Inscoe,inscoma10,,North carolina state,Anna Sawyer,sawyean10,,East carolina,,1,Top,2,0,0,,,Foul,,GroundBall,,0,0,,65.04689939,6.589603339,-4.37500211,1192.937699,69.6060826,8:15,1.14531705,2.288890657,6,-29.36449933,0.357895747,-4.283689403,2.820877062,-0.790455511,59.53504145,-1.580058778,-5.565972361,0.392385928,51.42256866,-12.2330005,49.27006529,1959.049886,,,,12.38075455,,46.60411991,0.153397806,3.399147985,-2.01004137,-3.240799117,50,-0.653414322,6.802073535,-97.13140134,15.56623265,3.150828119,19.42571159,-34.03725028,North Carolina State,East Carolina,,Softball,,27e49923-1883-4cbf-8777-1ab46bea577f,f4613115-f08c-4432-af55-b9a010b1018b,65.13764384,1.140987252,2.289811404,6.664375268,-4.391606509,59.59696937,2.824451545,-0.791058843,-1.502595234,-5.578665042,0.392312211,-4.177506063,-1.026978063,-63.15585077,,538.6891261,-1064.384507,45.15651795,0.157358066,-0.892238134,0.423260618,38.08289048,32.79108607,-10.89581088,0.684360041,1.326829119,2.842467424,8.996154323,8.506014972,-0.197796169,-0.292833869,-0.024569673,-0.70792561,0.307126722,-0.636014549,,,1,0,1,21.76703904,medium,high,,,37,Amanda Hasler,hasleam10,North carolina state
