PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,05/03/2024,4:02:11 PM,1,1,Rylee Wyman,,,Nc state 2024 roster,Kylie Griggs,griggky10,Right,Pittsburgh,,1,Top,0,0,0,Dropball,,BallCalled,,,,,,,65.05656023564646,5.7171533643881665,0.5261268277830697,1038.9622522302577,25.982016985880893,6:45,1.201537570558081,1.1306490877284596,6.0000000000000036,-34.97297284246646,-5.579446128851256,-3.1550780943665875,1.8497215389191728,1.1944842165680452,59.77034424846596,-4.044444920014629,-0.3568487183103167,0.39020907992335463,,,,,,,,,,,,3.873212118917281,-8.568427007849252,-0.9797608404009248,50.000000000000036,-0.4493039168352454,-1.3621535266699385,-97.5321948221691,14.936179577009208,3.6299075655877786,19.20637924023096,-40.204231529578415,NC State 2024 Roster,Pittsburgh,,Softball,,fda5c3fc-46df-46ff-9c6f-b75c1ca796b8,fc11cfd6-b94a-4917-9a6b-2d566f61e8b1,65.12497056755454,1.1951901342796365,1.1320953612665563,5.828166519797383,0.5002852798954612,59.80577272258375,1.8545425631778059,1.1934886259950577,-3.9390445638000307,-0.37850859017988114,0.39015841189858524,-2.9917794367682413,-7.037793684478183,-49.62594647425807,,673.0137365924222,-791.5144167463252,64.77749650169841,0.5823053795402084,-0.7618317364728546,0.28378310425620606,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
2,05/03/2024,4:02:27 PM,1,2,Rylee Wyman,,,Nc state 2024 roster,Kylie Griggs,griggky10,Right,Pittsburgh,,1,Top,0,1,0,Dropball,,InPlay,,FlyBall,Single,0,0,,64.7005528931141,6.211085359697958,-0.4723270110005665,985.0391967773435,9.823103993677229,6:15,1.3406009951768807,1.021236998337888,6.0000000000000036,-36.55829156223189,-6.792106654930205,-1.23607992035296,2.1667610727059654,0.6248867340116363,59.40099431191031,-3.9878798730747413,-0.8181869931594138,0.3926748712982395,57.12454753370906,18.86824652049291,-25.960390241546268,490.03750991821283,-48.42518836131645,98.76740926111303,10.734976950147924,139.6532708507226,,-26.241456315076746,2.0539674514791173,1.2751114246144102,-10.158945624552603,-1.1160594027712747,49.99999999999998,-0.439437145760728,0.6172439126751856,-96.9071675563296,15.919120359920397,1.1800362143944607,18.927258796415817,-41.57552110105707,NC State 2024 Roster,Pittsburgh,,Softball,,fda5c3fc-46df-46ff-9c6f-b75c1ca796b8,e070587e-b53a-4b05-b50a-2a95c2c20c7e,64.76268589866903,1.3339605923432136,1.0231711475304737,6.327740382195452,-0.5070484966551263,59.429782526447504,2.1717504274456862,0.6235274170057479,-3.8774384127027335,-0.8482184472002152,0.39263192654682955,-1.0168188030526482,-8.28593101681132,-43.72259123806565,,711.8825831055711,-680.82700229845,72.2694675942407,0.7120993815243308,-0.6911674220943138,0.12329665635436429,-23.66253505161052,48.60063231793878,18.473681391612605,-0.869430609860142,2.910025511656073,2.4186114396760483,-61.74838467413642,125.26042092153517,-9.391416552686557,17.13619647364422,0.3421709375241486,0.8841808038081543,0.4593697362841781,0.08487491716267345,,,1.0,0,1.0,29.138370991047534,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
3,05/03/2024,4:02:58 PM,2,1,Rylee Wyman,,,Nc state 2024 roster,Kat Rodriguez,rodrika12,Right,Pittsburgh,,1,Top,0,0,0,Riseball,,BallCalled,,,,,,,65.64065506877314,6.7311016102632255,1.73884205369964,1285.9275856996194,78.88179851017539,8:45,1.0506070724205911,0.8600834699663799,6.0000000000000036,-28.89079969899005,0.11879246262889254,-3.380145915892861,2.8446393668487504,1.658637758902828,60.034229153241306,-1.3199373432269308,0.7933257482664786,0.3876522723231276,,,,,,,,,,,,4.570273499502838,-2.2820675902314442,-0.431674638648144,50.0,-0.7729306226974452,-3.4835616443714468,-98.17797097826839,15.892649370705104,4.339879231707171,19.46832803924772,-34.34107476321857,NC State 2024 Roster,Pittsburgh,,Softball,,fda5c3fc-46df-46ff-9c6f-b75c1ca796b8,e026620e-e08b-4fe6-a826-29e7f6d867f0,65.7430302831605,1.0463662299637901,0.8617275474109218,6.804814281378198,1.709330355246853,60.106266178526056,2.8481912329972743,1.6574924766839474,-1.242054531098852,0.7685676586451057,0.3875675613399454,-3.19348138777394,-1.120896793684619,-71.52255014101901,,407.5508113961639,-1219.6360489070419,31.69313855059984,0.061115048500233665,-0.9484484682265285,0.3109830444985158,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
4,05/03/2024,4:03:15 PM,2,2,Rylee Wyman,,,Nc state 2024 roster,Kat Rodriguez,rodrika12,Right,Pittsburgh,,1,Top,0,1,0,Dropball,,StrikeCalled,,,,,,,64.26144546849902,6.008089969596492,-0.7120283863584485,963.9649639129635,16.114988835177638,6:30,1.2651214905368988,1.2938677691325164,6.0000000000000036,-35.96472138181794,-5.80318535768264,-1.9155234608184029,2.0133892809759804,0.6920154283996004,59.013339110514735,-4.0274461266253265,-1.2479799637056868,0.3952740011452236,,,,,,,,,,,,1.9822800952421646,-8.937267345174707,-1.4363015705923454,49.99999999999999,-0.46234282307277147,0.9170759760199719,-96.28909902481064,15.384397961956505,1.8104666586337692,18.737642023840422,-40.33668239786731,NC State 2024 Roster,Pittsburgh,,Softball,,fda5c3fc-46df-46ff-9c6f-b75c1ca796b8,240d6e75-46ba-4e46-b1b4-e5091bf1b211,64.3285429178977,1.2586811380994771,1.2957382139677043,6.120546556705791,-0.7453653167868748,59.04701553680611,2.018256871793302,0.6907130758399932,-3.9206180796306946,-1.276454387119094,0.39522474127463303,-1.7051115052222419,-7.291992477242445,-48.49012166243221,,638.8669698948755,-721.856943188234,66.2749159784358,0.6367074750584047,-0.7488414726797171,0.1839566253213602,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
5,05/03/2024,4:03:31 PM,2,3,Rylee Wyman,,,Nc state 2024 roster,Kat Rodriguez,rodrika12,Right,Pittsburgh,,1,Top,0,1,1,Riseball,,InPlay,,Bunt,Sacrifice,1,0,,66.10944790049125,7.045934776305282,-0.5666750741719135,1349.12788273738,47.44512306303363,7:30,1.0292850724693126,1.3653173022306373,6.0000000000000036,-30.316280709644506,-1.6992115757161947,-2.715832235941187,2.9011878479244038,0.7870549902456984,60.45357296413085,-1.402415100196959,-1.3265784560472313,0.38502071730611687,25.85579699815107,-69.54623530010485,135.38092265598414,,,,,0.9273108079396607,,-6.94631460647168,0.0782721903501532,2.968915713260462,-4.522078237935439,-1.4667772022816008,49.99999999999997,-0.8802947460987547,0.5708149429271921,-98.85739757770956,16.761926408649693,2.857942340107141,19.761691532359002,-36.527099692390465,NC State 2024 Roster,Pittsburgh,,Softball,,fda5c3fc-46df-46ff-9c6f-b75c1ca796b8,9bd15b6d-0e19-4743-aecf-f21885ed850d,66.20604764441465,1.0243880322488323,1.367393796276691,7.130585904578676,-0.603734474792538,60.517596120283,2.905062244954559,0.7856303991673154,-1.3168305918094731,-1.3576423758089233,0.3849462705611218,-2.481629191239788,-2.995377073199745,-69.5968478028952,,470.33782245614316,-1264.4873968318782,34.862360230953634,0.23577276500559374,-0.9372628147498023,0.2568065796838056,6.346336643921402,-6.431288074900356,-24.22570501160416,-0.7961573234141905,1.6562185600848287,2.817738954757516,-0.11214830824078693,0.9205042593494263,,,,,,,,,1.0,0,,-9.560824626203951,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
6,05/03/2024,4:04:10 PM,3,1,Rylee Wyman,,,Nc state 2024 roster,Cami Compson,compsca10,Right,Pittsburgh,,1,Top,1,0,0,Dropball,,StrikeCalled,,,,,,,64.43461574464074,5.837724425328816,0.10602539110056278,972.9337491122159,25.216681147436624,6:45,1.2362617160655722,1.0583419222436656,6.0000000000000036,-35.665309621350964,-5.688881932035791,-3.14336214701916,1.9022537772310992,0.8622418179316704,59.19335117957798,-4.116400932164779,-0.7736816532219358,0.39405919031897485,,,,,,,,,,,,3.709274417485254,-8.741791889384954,-1.002895288763944,49.99999999999997,-0.4490412147327552,-0.6389580272052734,-96.58548349762009,15.09690934383508,3.40869269237027,18.851949732282332,-40.207448784264265,NC State 2024 Roster,Pittsburgh,,Softball,,fda5c3fc-46df-46ff-9c6f-b75c1ca796b8,ca98c55c-ea5b-4859-9f7f-4a4b61c8bd71,64.50169293013697,1.2297569745916714,1.059710363480874,5.951030847921505,0.0817118782460667,59.226702962614574,1.9070895894187587,0.8613210277183799,-4.010081908433712,-0.7938647349513417,0.3940096643771517,-2.989634629711486,-7.178827494640698,-47.09495519059498,,662.3590528956898,-712.6573967964388,68.07853602571402,0.6159085934090596,-0.7324829644841959,0.2900436368985152,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
7,05/03/2024,4:04:28 PM,3,2,Rylee Wyman,,,Nc state 2024 roster,Cami Compson,compsca10,Right,Pittsburgh,,1,Top,1,0,1,Changeup,,BallCalled,,,,,,,58.57733811849182,7.99410880220066,-4.453017486575221,1017.667757359947,21.128572802288712,6:45,1.365040575833096,1.5983738550597806,6.0000000000000036,-44.806277973877236,-7.949805496876252,-3.6638437392978442,2.6434948153993396,-1.4780583756753332,53.62142965164796,-4.445872871218238,-5.471207198727291,0.4369466416877944,,,,,,,,,,,,2.6644698379433245,-12.204590397350389,-2.5742230916392668,49.99999999999997,-0.9131071370711474,6.304553744083627,-87.16431636683758,18.19111146090851,1.9916133918745544,15.495756374521607,-41.29662449060796,NC State 2024 Roster,Pittsburgh,,Softball,,fda5c3fc-46df-46ff-9c6f-b75c1ca796b8,52b86cb4-5d0c-4666-986a-733b6856d342,58.62305062373117,1.3564599071014414,1.599515330399278,8.142655980014336,-4.473262494470867,53.62823033609906,2.6496849755784413,-1.478847783791964,-4.311449254785929,-5.488308781701093,0.4369227955560403,-3.5352180753855817,-9.842570897282256,-28.332523517389358,,895.759400054221,-482.9728373154397,88.02080969706823,0.821035132561259,-0.4745879328715071,0.3172815864068785,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
8,05/03/2024,4:04:45 PM,3,3,Rylee Wyman,,,Nc state 2024 roster,Cami Compson,compsca10,Right,Pittsburgh,,1,Top,1,1,1,Riseball,,StrikeCalled,,,,,,,67.06802507864376,5.664862462568814,-0.4459408481319273,1223.1220164579502,26.08843276573896,6:45,1.195993243223021,1.3792864447785056,6.0000000000000036,-29.14374954654682,-1.4856298587174699,-0.9853867006567422,2.297104968295199,1.0202153652360073,61.51606554761647,-2.4721217127161785,-0.7217242382163617,0.3785147852721898,,,,,,,,,,,,0.9908605432704714,-3.7744735782054355,-1.4706312088790823,50.000000000000036,-0.3845365602841051,0.6325526312176055,-100.5658384016154,14.417562526567426,0.9869033321046968,20.47644527436937,-35.9334490055965,NC State 2024 Roster,Pittsburgh,,Softball,,fda5c3fc-46df-46ff-9c6f-b75c1ca796b8,76496ad4-20d7-4365-a3a3-9437f419df2e,67.16306832842643,1.1917205236095467,1.3817126054823188,5.741082676795554,-0.490297077774905,61.58197457293076,2.300713931137035,1.018425312211743,-2.3925146886703996,-0.7607667977280107,0.37844126976705555,-0.7053919154198145,-2.7063649969412773,-75.7677831406731,,300.70753862137843,-1185.581057271258,24.58524452794988,0.22080410697876984,-0.9693072656026523,0.1081155455575973,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
9,05/03/2024,4:05:02 PM,3,4,Rylee Wyman,,,Nc state 2024 roster,Cami Compson,compsca10,Right,Pittsburgh,,1,Top,1,1,2,Changeup,,BallCalled,,,,,,,59.18324761144768,6.983063782619392,-4.054375470124219,870.7812946598706,20.929116844492953,6:45,1.5548149187615043,1.3301047459502293,6.0000000000000036,-42.87403472930694,-6.960711600153019,-3.29946821800101,2.3513208150150717,-1.4670170799626323,54.3064603300011,-4.940642998026819,-4.972665897397996,0.4313197243456349,,,,,,,,,,,,2.377773324777208,-10.685176434692016,-2.2186532943927304,49.99999999999997,-0.4689701145374471,5.819519773227972,-88.325106583953,16.57621147070044,1.8240403126702003,15.968969086598518,-40.37087489385312,NC State 2024 Roster,Pittsburgh,,Softball,,fda5c3fc-46df-46ff-9c6f-b75c1ca796b8,1348deb9-1904-46bd-a93a-08bbc8777b72,59.2341426758476,1.5469988574130054,1.3312674084430456,7.119387848104494,-4.075116272555057,54.32049421341855,2.357206209226213,-1.467842045794699,-4.814368025083968,-4.990333472965968,0.4312855621336773,-3.167967204649037,-8.77011639129385,-31.619798923965007,,741.5101663895432,-456.53339009372826,85.15458140142744,0.7953634310815639,-0.5242801985911415,0.30418298089044293,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
10,05/03/2024,4:05:21 PM,3,5,Rylee Wyman,,,Nc state 2024 roster,Cami Compson,compsca10,Right,Pittsburgh,,1,Top,1,2,2,Riseball,,Foul,,,,,,,66.15167378095087,6.432409016905777,0.4112570090101675,1262.3909484863282,65.7742361844554,8:15,1.1067802931898423,1.1954749326359777,6.0000000000000036,-29.608123601666495,-1.0987387257026668,-4.640433438318395,2.651232244156587,1.0641861666119343,60.56854714995361,-1.8266866486667777,-0.8875140943261864,0.384295629997385,53.03799235588585,-5.69470270782712,-53.457674579372366,1985.6975898742678,,,,19.118734726837754,,-53.10253343256144,0.2189485736048564,5.567277956558264,-3.6002270895427912,-1.0558303897259385,50.00000000000002,-0.6545051621550871,-1.407590800347359,-99.05062759100551,15.612053558865206,5.379460591801395,19.85740512572759,-35.65281962422246,NC State 2024 Roster,Pittsburgh,,Softball,,fda5c3fc-46df-46ff-9c6f-b75c1ca796b8,427223e0-7729-48f8-8a83-b5c2a5641626,66.24695222524804,1.1020432776588533,1.1965654143195488,6.515232162571189,0.3915084804143355,60.63265631308626,2.6550263498219557,1.063467948200314,-1.7424489944429602,-0.9032240896908204,0.3842210694978068,-4.5149536081084936,-2.383281896251556,-63.591657357571044,,561.4680513458519,-1130.65668270174,44.47655870941415,0.18250205966102473,-0.8956470133578316,0.4055976154795293,-42.40133801812999,31.423839279160546,-5.262840713224856,-1.35186089198469,1.7987064283459897,2.6424770180337025,-15.289466411904222,11.478598973500404,0.591260915430506,-0.7474218532696879,-0.030834835458904003,-0.4603453790795825,-0.37919974754983093,0.8026765746041303,,,1.0,0,1.0,23.139554676733535,high,high,,,37.0,Amanda Hasler,,Nc state 2024 roster,2022-11
