PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance
1,5/6/22,18:02:10,1,1,Maddie Mcpherson,NA,Left,Nc state,Kaley Mudge,NA,NA,Florida state,NA,1,Top,0,0,0,Fastball,2,StrikeCalled,NA,NA,NA,0,0,NA,69.81752964,5.9984358780000004,-0.712660804,NA,NA,NA,1.310789181,0.554068137,6,NA,NA,NA,3.010366758,0.111449939,64.18124668,-0.816742453,-0.712660804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,2e1654bd-cd88-11ec-a31f-5ffbd0ba5f98,69.91968064,1.307869281,0.554068137,6.049657765,-0.712660804,64.25719198,3.012871405,0.111449939,-0.761656085,-0.712660804,0.363118802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,low,high,NA,NA,37
2,5/6/22,18:02:31,1,2,Maddie Mcpherson,NA,Left,Nc state,Kaley Mudge,NA,NA,Florida state,NA,1,Top,0,0,1,Dropball,1,Foul,NA,NA,NA,0,0,NA,70.24383529,4.954664529,1.205664012,NA,NA,NA,1.446248794,0.210070206,6,NA,NA,NA,2.523363229,0.958953948,64.71353375,-1.763390473,1.205664012,NA,50.53810748,33.27341782,-53.39492348,NA,-88.86855813,64.82576166,15.00905679,131.7510352,NA,-53.80899141,2.46210084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,3a83d047-cd88-11ec-b3e1-a7955dc09b1c,70.34451138,1.443334888,0.210070206,5.00554615,1.205664012,64.78768989,2.525809732,0.958953948,-1.709523649,1.205664012,0.360328678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-33.91920705,25.19528947,27.72697404,-1.303346709,0.18851484,2.637344369,-106.3300663,77.79622272,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,18.82783265,low,high,NA,NA,37
3,5/6/22,18:03:00,1,3,Maddie Mcpherson,NA,Left,Nc state,Kaley Mudge,NA,NA,Florida state,NA,1,Top,0,0,2,Fastball,2,InPlay,NA,FlyBall,Double,0,0,NA,71.13143377,5.266543627,-0.410642407,NA,NA,NA,1.447971865,0.272617295,6,NA,NA,NA,2.76861475,0.017584971,65.48590596,-1.286743783,-0.410642407,NA,66.30928747,33.91984026,-21.99704863,NA,-41.16513959,102.0070159,40.664972,197.9602331,NA,-21.98570824,3.12433352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,4c057626-cd88-11ec-8eeb-9b74e12ffabd,71.23465448,1.445083936,0.272617295,5.316472385,-0.410642407,65.56135794,2.770967888,0.017584971,-1.234487271,-0.410642407,0.355932629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.60999238,51.01908748,37.00273682,-0.127107562,0.735434254,2.802674486,-74.11142297,183.5640239,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,33.95897149,low,high,NA,NA,37
4,5/6/22,18:03:40,2,1,Maddie Mcpherson,NA,Left,Nc state,Sydney Sherrill,NA,NA,Florida state,NA,1,Top,0,0,0,Riseball,4,InPlay,NA,Popup,Out,1,0,NA,61.95028324,4.828581245,-1.501039697,1940.682576,210.5238216,01:00:00,1.351543923,1.033003405,6,-21.94271249,10.64803663,5.174886249,2.529908452,0.531815431,56.39947584,-1.324755337,-0.047052392,0.410883493,56.9873817,67.27072888,-42.16207453,2982.177279,NA,NA,NA,91.40974572,NA,-59.3756325,4.460112598,-6.629278741,10.52980283,-1.424823682,50,0.036034685,3.165190661,-93.19704216,10.9413867,-5.606790199,19.00731202,-23.26834542,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,6400fba6-cd88-11ec-bdc0-315bffadaca5,62.07785663,1.350388642,1.03303039,4.847644933,-1.501322029,56.49893901,2.531237962,0.531688564,-1.294602467,-0.049999412,0.410754922,5.175145572,9.290597426,43.8535375,50.6190094,1399.451756,1344.53845,72.11131658,-0.621179911,0.692817293,-0.366250892,-14.77956719,16.32128916,52.56178827,-0.754826936,1.540574856,2.923011502,-78.66041324,46.56480433,-0.961385049,-39.37460205,0.056371251,0.878335675,0.033587433,0.476863006,NA,NA,0.970346012,0,0.995601403,24.96851082,medium,high,44.44289154,67.26375024,37
5,5/6/22,18:04:40,3,1,Maddie Mcpherson,NA,Left,Nc state,Kalei Harding,NA,NA,Florida state,NA,1,Top,1,0,0,Riseball,3,Foul,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,a2fe5f3c-d09d-4790-b76f-4f767d532e23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,5/6/22,18:04:44,3,2,Maddie Mcpherson,NA,Left,Nc state,Kalei Harding,NA,NA,Florida state,NA,1,Top,1,0,1,Fastball,3,Foul,NA,NA,NA,0,0,NA,68.82835151,5.54685262,2.195735111,NA,NA,NA,1.687521107,-0.226281871,6,NA,NA,NA,3.047781206,1.138039311,63.33625903,-1.463323866,2.195735111,NA,42.31343187,56.46980042,47.99133544,NA,NA,NA,NA,94.39967252,NA,47.00913894,3.137138442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,89d4a81e-cd88-11ec-bc12-5b885e0f3009,68.92887943,1.684466164,-0.226281871,5.59995025,2.195735111,63.40949006,3.050318739,1.138039311,-1.407115095,2.195735111,0.368287151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.36711609,15.64217781,35.27225636,-0.898122906,1.840335147,3.552508409,69.04981802,64.36940891,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,11.52426702,low,high,NA,NA,37
7,5/6/22,18:05:14,3,3,Maddie Mcpherson,NA,Left,Nc state,Kalei Harding,NA,NA,Florida state,NA,1,Top,1,0,2,Changeup,2,Foul,NA,NA,NA,0,0,NA,59.73925169,9.079163363,2.143915662,983.0004185,346.7963762,05:30:00,1.557730724,-0.134300706,6,-40.26650258,-4.813683938,1.10139903,3.892426575,1.289575254,54.36348467,-2.105996681,2.451717941,0.428545468,38.43227851,54.8115684,164.9002058,NA,NA,NA,NA,79.68386998,NA,165.5595083,2.824234119,-0.515933475,-8.913060911,0.609971779,50,-0.923113353,-3.177214814,-88.83117933,19.62544396,-0.400894923,15.9911872,-39.09975036,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,9c09ed45-cd88-11ec-b8e6-b12bd5fa16cc,59.81161981,1.551024014,-0.136198616,9.194616974,2.177807262,54.39884264,3.897586665,1.290923606,-1.992721152,2.481106629,0.42849048,0.887415543,-6.566120187,44.51211074,9.018793963,700.9798353,689.1422881,71.31022755,0.694251031,0.701060015,-0.162881435,5.769385844,-21.38259994,31.40921264,-1.299967285,1.476911601,4.023499557,19.87111218,-77.16643076,NA,NA,NA,NA,NA,NA,NA,NA,0.994442558,0,NA,-2.831782251,medium,high,81.88308543,8.763218618,37
8,5/6/22,18:05:57,3,4,Maddie Mcpherson,NA,Left,Nc state,Kalei Harding,NA,NA,Florida state,NA,1,Top,1,0,2,Riseball,3,Foul,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,02a98fe0-3992-43a2-8b6a-b438df51704f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,5/6/22,18:06:12,3,5,Maddie Mcpherson,NA,Left,Nc state,Kalei Harding,NA,NA,Florida state,NA,1,Top,1,0,2,Fastball,2,StrikeCalled,Strikeout,NA,NA,1,0,NA,70.67946406,4.47134634,-1.537796174,NA,NA,NA,1.293839787,0.409437042,6,NA,NA,NA,2.096155569,-0.545835011,65.1767435,-2.157764081,-1.537796174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,be7339b5-cd88-11ec-b8a8-b73ac63460e5,70.78016596,1.290922645,0.409437042,4.521919981,-1.537796174,65.25021446,2.098545624,-0.545835011,-2.104952394,-1.537796174,0.357905388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,low,high,NA,NA,37
10,5/6/22,18:06:48,4,1,Maddie Mcpherson,NA,Left,Nc state,Mack Leonard,NA,NA,Florida state,NA,1,Top,2,0,0,Fastball,2,BallCalled,NA,NA,NA,0,0,NA,70.45400216,5.763361251,-2.703939619,NA,NA,NA,1.312278425,0.404290937,6,NA,NA,NA,2.902261138,-1.276228597,64.79152535,-0.932793511,-2.703939619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,d39299a1-cd88-11ec-82e6-b79f1cadb315,70.55679325,1.309392991,0.404290937,5.813872007,-2.703939619,64.86787063,2.904721532,-1.276228597,-0.878754788,-2.703939619,0.360070617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,low,high,NA,NA,37
